Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Mbaye Diagne,9,-,0.5,0.4,0.9,0.4,0.9,1.3
Arda Ozcimen,-,-,-,-,-,-,-,0.3
Ahmet Yilmaz Calik,1,1,0.3,0.1,1,-,0.1,0.4
Abdülkerim Bardakci,2,3,0.3,0.4,0.6,0.1,0.2,0.7
Hugo Rodallega,14,3,0.8,0.8,1.5,0.3,1.6,2.5
Armin Hodzic,5,1,0.9,1.9,1.4,0.2,1.8,2.2
Manuel da Costa,2,-,0.3,0.2,0.7,-,0.2,0.8
Michael Frey,-,-,2,1,1,-,1,8
Nazim Sangaré,-,-,1,-,4,-,-,-
Mustafa Yumlu,-,-,0.1,0.1,0.8,-,0.1,0.3
Mostafa Mohamed,8,-,0.3,0.7,0.9,0.3,1.1,1.8
Marko Jevtovic,4,2,0.5,0.2,1,-,0.5,0.7
Georgios Tzavellas,2,1,0.6,0.2,1.1,-,0.1,0.5
Ryan Babel,7,5,1.1,1.2,0.4,0.3,0.9,1.4
Günay Güvenc,-,-,0.1,-,0.2,-,-,-
Alperen Babacan,-,-,-,-,-,-,-,-
Bahadir Ozturk,-,-,-,0.3,1.5,-,0.3,-
Omar Elabdellaoui,-,-,0.5,0.6,0.3,0.1,0.3,0.8
Edin Visca,5,8,2.7,0.4,0.8,0.1,0.7,1.8
Arda Kizildag,1,-,0.3,0.1,1.3,0.1,0.2,0.4
Ángelo Sagal,1,5,1.8,1.8,1.7,0.3,1.7,2.5
Mustapha Yatabaré,10,2,0.5,0.5,1,0.7,0.9,2.3
Karlo Muhar,1,1,0.3,0.6,0.4,-,0.4,0.4
Montassar Talbi,1,-,0.1,0.4,0.3,-,0.3,0.8
Sofiane Feghouli,2,4,1,0.5,0.3,-,0.4,0.9
Neven Subotic,1,-,0.4,0.4,0.6,-,0.8,0.4
Alassane Ndao,11,9,1.2,0.9,0.9,0.3,0.8,2.4
Atinc Nukan,2,2,0.2,0.1,0.3,-,0.1,0.3
Luiz Gustavo,1,1,0.4,0.5,1.1,-,0.3,0.7
Enzo Roco,3,1,0.3,0.3,1,-,0.1,0.5
Radamel Falcao,9,2,0.6,0.4,1.1,0.6,0.5,1.2
Tyler Boyd,5,-,0.4,1.4,0.6,0.1,1.1,1.1
Fatih Ozturk,-,-,-,-,-,-,-,0.3
Halil Dervisoglu,3,1,0.4,1.5,0.5,0.4,0.8,1.8
Martin Skrtel,-,1,0.5,0.1,0.9,0.1,0.1,0.1
Efecan Karaca,2,4,1.4,1.1,1.8,0.4,1.1,1.6
Stelios Kitsiou,1,4,0.6,1.1,2.2,-,0.9,1.2
Gastón Campi,-,1,0.3,-,0.1,-,-,0.3
Zeki Yavru,2,1,0.9,0.4,0.7,-,0.3,0.4
Tolga Cigerci,1,-,0.4,1.1,1.1,0.1,0.6,1.1
Emre Kilinc,4,4,1,1.1,0.8,0.1,0.7,1.4
Ismail Köybasi,3,2,0.7,0.7,0.4,0.3,0.5,0.9
Amilton,5,4,0.8,1.8,1.7,0.5,1.2,2.8
Ugur Demirok,2,-,-,0.1,0.4,0.1,-,0.1
Rayane Aabid,3,4,1.5,0.9,0.8,-,0.8,1.3
Utku Yuvakuran,-,-,-,-,-,-,-,-
Guilherme,2,1,1.1,1.3,1.7,0.3,0.7,2.4
Léo Schwechlen,1,2,0.4,0.1,1.4,-,0.4,0.9
Berat Özdemir,-,-,0.7,0.7,1.3,-,0.6,0.6
Julian Jeanvier,-,-,0.3,-,0.3,-,-,0.8
Serkan Asan,1,2,0.5,0.8,1.3,-,0.5,0.8
Veysel Sari,4,-,0.3,0.3,1.2,-,0.2,0.5
Dogan Alemdar,-,-,-,0.1,0.3,-,-,-
Sadik Ciftpinar,-,-,-,-,0.8,-,-,-
Ryan Donk,2,3,0.2,0.2,0.8,-,0.1,0.3
DeAndre Yedlin,1,-,0.8,0.5,0.5,0.2,0.5,0.7
Juanfran,-,1,1.2,0.3,0.9,-,0.4,0.9
Edgar Ié,2,-,0.3,0.5,0.3,-,0.3,0.9
Jacques François Moubandje,3,1,0.6,0.6,0.6,-,0.5,1.1
Adama Noss Traoré,-,6,1.3,1.2,2.1,0.1,0.7,1.3
Ridvan Yilmaz,1,2,0.5,0.7,0.6,-,0.2,0.9
Soner Aydogdu,4,6,0.9,0.8,0.6,0.1,0.7,1
Kristoffer Nordfeldt,-,-,-,0.1,0.2,-,-,-
Tyler Boyd,1,-,0.8,1.3,1.5,-,1.3,2.5
Christian Cueva,-,1,2.1,1.3,0.9,0.3,1.6,1.4
Aytac Kara,4,2,0.7,0.8,1.9,-,0.7,1.4
Erik Sabo,5,2,0.8,0.7,1.5,0.3,0.7,1.1
Emre Tasdemir,-,1,0.7,0.9,0.6,0.1,0.2,1.4
Mehmet Topal,2,2,0.4,0.3,0.5,0.1,0.5,0.2
