Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Gwion Edwards,6,4,0.8,0.8,1.3,0.1,1.5,1.9
Brennan Johnson,11,5,0.7,1.4,1.5,0.4,1.7,2.4
George Cooper,1,2,2.2,1.2,1.1,0.1,1.3,1
Mikael Mandron,11,4,0.8,0.4,1.1,0.5,1.4,2.6
Marvin Ekpiteta,2,2,0.2,-,0.6,-,0.1,0.3
Harry Chapman,7,2,0.9,1.2,1.2,-,1.2,2
Sean McConville,1,5,2.3,0.5,1.3,0.1,0.9,1.1
Jordan Jones,3,4,1.9,1,1.7,0.1,0.6,1.4
Luke Leahy,8,3,0.9,0.3,1.6,0.3,0.5,0.9
Joe Wright,2,1,0.3,0.4,1.2,-,0.4,0.6
Matthew Pennington,2,1,0.2,0.3,0.9,-,0.5,0.7
Sean Clare,1,3,0.7,0.4,1.1,-,0.7,1
Matthew Millar,1,-,0.2,0.4,0.4,0.2,1.9,2
Dion Charles,19,3,0.8,1,2.4,1.1,2,2.9
Josh Vela,3,2,0.8,0.6,0.9,-,0.9,1.1
Tom Flanagan,-,1,0.4,0.3,1.1,0.1,0.2,0.6
Ian Maatsen,1,3,0.8,0.8,0.7,0.1,0.9,1.9
Aaron Pierre,4,-,0.3,0.5,0.9,-,0.4,0.6
Joshua Emmanuel,-,2,0.9,1.1,1.3,-,1.3,1.1
Josh Magennis,18,5,0.8,0.2,0.5,0.7,0.7,1.6
Jack Whatmough,2,1,0.1,0.2,0.6,-,0.1,0.3
George Johnston,1,1,0.4,-,0.4,-,0.2,0.4
Callum Connolly,2,2,0.2,0.1,1.3,0.1,0.1,0.3
Curtis Tilt,3,-,0.1,0.3,1.4,-,0.4,0.6
Sam Hughes,2,1,0.1,0.1,1,-,0.3,0.7
Sullay Kaikai,7,8,1.3,0.5,1.5,0.1,1.3,1.4
Fraser Horsfall,3,-,0.2,0.2,0.9,0.2,0.1,0.4
Oliver Rathbone,3,5,0.9,0.9,2.3,0.1,1.7,2.1
Billy Jones,-,-,0.7,0.7,-,-,0.7,0.3
Tom Hopper,10,4,0.5,0.1,2.4,0.4,1.2,1.8
Charlie Kirk,6,8,1.9,0.6,0.8,0.4,0.8,1.6
Keane Lewis-Potter,13,5,0.8,0.7,1,0.4,0.8,1.5
Luke Chambers,2,2,0.5,0.3,0.7,0.1,0.3,0.6
Shaun Whalley,9,5,1.2,1,1.3,0.7,1.4,2.1
Andy Butler,-,1,0.1,-,1,-,0.1,0.1
Robert Apter,-,1,1,-,-,-,-,-
Conor McGrandles,4,2,0.4,0.5,1,0.1,0.8,1.1
Callum Camps,9,2,0.7,0.6,1.4,-,1,1.8
Mark Hughes,-,-,0.2,0.1,1,-,0.1,0.4
Chuks Aneke,15,2,0.7,0.4,0.6,0.2,0.8,1.7
Denver Hume,1,2,1.3,1.5,1.2,-,0.7,1.2
Cameron Pring,-,-,0.9,0.3,0.7,-,0.9,0.8
Tom James,3,-,0.5,0.3,0.6,0.1,0.3,0.9
Andrew Shinnie,3,6,0.9,0.4,1,-,0.8,0.6
Cameron Jerome,13,4,0.9,0.1,0.4,0.7,1.2,1.6
Sammie Szmodics,15,6,0.9,0.6,0.8,0.5,1.5,2
Conor Grant,4,11,1.6,0.3,0.9,-,0.6,0.5
Marcus Harness,7,8,1,1,0.8,0.1,2,2.3
Eoghan O'Connell,1,1,0.5,0.7,0.6,-,0.3,0.6
Ethan Ebanks-Landell,1,-,-,0.2,0.5,-,0.2,0.4
Joe Walsh,-,-,0.3,0.1,0.3,-,0.3,0.2
Nathanael Ogbeta,2,2,0.5,1.8,0.8,-,1.6,1.6
Ayoub Assal,4,2,0.6,0.6,0.9,0.2,1.8,2
Oliver Norburn,4,1,0.7,0.3,1.7,-,0.6,0.7
Harry Pickering,3,1,1.9,0.4,1.2,0.1,0.5,0.9
Charlie Daniels,1,2,1.9,0.9,0.4,0.1,0.6,0.6
Adam Jackson,1,1,0.2,-,0.5,-,-,0.3
Scott Wootton,1,-,0.2,-,0.4,-,0.1,0.2
Cameron Brannagan,1,2,1.1,0.2,1,-,0.6,1.2
Grant Leadbitter,7,1,0.6,0.4,0.7,-,0.5,0.5
Josef Bursik,-,-,-,-,-,-,-,0.2
Zech Medley,-,-,0.2,0.3,0.2,0.1,0.3,1.3
Luke O'Neill,-,3,1.4,0.4,0.6,-,0.4,0.6
John Marquis,16,6,0.8,0.4,1.6,0.7,1.4,2
Tayo Edun,1,6,0.8,0.9,1.4,0.1,1.3,2
Ethan Laird,-,3,1.1,1.3,2.3,0.2,2.2,2.1
Taylor Richards,10,5,0.9,1.1,2.1,0.1,1.8,2.1
Ben Barclay,1,1,0.3,0.3,0.5,-,0.2,0.3
Elliot Lee,6,2,1.2,0.8,1.1,0.1,1.1,1.7
Lynden Gooch,4,9,1.1,1.2,1,0.1,1.1,1.5
Richard Smallwood,-,-,0.4,0.2,0.4,-,0.2,0.3
Jack Baldwin,1,-,0.3,0.3,1.2,-,0.3,0.3
Louis Jones,-,-,-,-,0.1,-,-,0.1
Aaron Morley,2,7,1.5,0.3,0.1,-,0.4,0.5
Kane Hemmings,15,2,0.5,0.3,0.9,0.3,1.3,2.3
Will Jaaskelainen,-,-,-,-,0.2,-,-,-
CJ Hamilton,5,3,1.5,1,0.9,0.3,2.2,2.8
John Brayford,4,1,0.4,0.1,0.8,-,0.1,0.7
Joseph Mills,-,4,1,0.2,0.9,-,0.2,0.5
Callum Lang,9,-,0.8,0.7,1.6,0.7,1.8,2.1
Gary Madine,4,1,0.9,0.1,1.2,0.2,1,1.9
Josh Sims,1,7,1.4,1,1.2,0.1,1.3,1.8
Alfie Jones,-,-,0.1,0.1,0.3,-,0.2,0.4
Tom Pearce,-,3,1,0.7,1.2,0.2,0.4,0.9
Owen Dale,11,2,0.6,0.9,1.6,0.1,2.1,2
James Hill,-,1,0.2,-,0.8,-,0.2,0.2
Andre Dozzell,-,1,1.3,0.4,0.8,-,0.5,0.9
Tyreece John-Jules,5,3,0.9,0.4,1.6,0.3,1.2,2.2
Lucas Akins,9,-,1.2,0.4,1,0.4,1.6,2.8
Tendayi Darikwa,-,1,0.7,1,0.4,-,0.7,0.8
Elliot Embleton,2,4,1.4,0.9,0.1,0.1,0.9,1.8
Nathan Cameron,-,-,0.5,-,-,-,-,0.5
George Long,-,-,-,-,0.1,-,-,-
Matthew Virtue-Thick,2,-,0.9,0.4,0.6,-,0.4,1.6
Adedeji Oshilaja,1,1,0.4,0.4,0.6,0.1,0.3,0.4
James Husband,-,1,0.4,0.3,1.1,-,0.4,0.7
Alfie Kilgour,1,-,0.3,0.1,0.7,-,0.1,0.3
Marcus McGuane,-,4,0.9,0.9,2.7,0.1,1.9,1.8
Jayson Leutwiler,-,-,-,-,0.1,-,-,-
Dejan Iliev,-,-,-,-,-,-,-,-
Max Power,5,3,0.8,0.3,0.8,-,0.6,0.6
Charlie Mulgrew,1,-,0.3,0.1,0.5,-,0.1,0.1
Kieron Freeman,-,-,-,0.5,1.5,-,1,0.5
Michael Bostwick,2,2,0.3,-,0.6,0.1,0.1,0.3
Callum Johnson,-,3,0.9,0.3,1,0.1,0.7,0.8
Dean Lewington,-,-,0.5,0.3,1.5,-,0.5,0.7
Ben Amos,-,-,0.1,-,0.3,-,-,-
Darnell Johnson,-,-,0.5,0.4,0.3,0.1,0.5,0.7
Daniel Batty,-,2,1.6,0.6,0.9,-,1.2,2.2
Terell Thomas,-,-,0.4,0.3,0.6,0.1,0.2,0.8
Oliver Turton,1,1,0.4,0.4,1,-,0.6,0.6
Ched Evans,5,2,0.6,0.4,2,0.4,1.5,1.9
Barrie McKay,2,4,1.2,1.3,0.8,0.1,0.7,1.3
Nesta Guinness-Walker,1,2,0.9,1.2,1.1,-,0.5,1.2
Joe Garner,3,-,0.5,0.3,2.7,0.6,1.3,1.6
Dion Sanderson,1,-,0.1,0.5,0.8,-,0.1,0.3
Ryan Williams,5,4,0.7,0.8,1.2,-,1,2.1
Will Aimson,-,1,0.1,0.2,1.7,0.1,0.3,0.6
Alex Palmer,-,1,0.1,-,0.1,-,-,0.1
Flynn Downes,-,-,0.6,0.7,1.4,-,0.4,1.3
Chris Maguire,5,5,1.3,0.4,0.8,0.1,0.6,0.9
Sam Hoskins,7,6,0.9,0.5,1,0.1,0.9,1.7
Harry Darling,-,-,0.5,0.5,1.3,-,0.7,0.8
Timothy Eyoma,1,-,0.5,0.4,0.4,-,0.4,0.6
Josh Scowen,1,1,0.7,0.4,1.1,-,0.9,1.2
Paul Downing,-,-,-,-,0.7,-,-,0.3
Carlton Morris,3,1,1,0.9,1,0.3,1.5,1.9
Alex Rodriguez,1,1,0.1,0.2,0.5,-,0.4,0.7
Sam Finley,3,1,0.7,0.7,0.9,-,0.8,0.8
Luke Offord,1,-,0.2,0.1,1.1,-,0.3,0.5
Will Keane,10,5,0.8,0.7,0.5,0.1,1.5,2
Jason Pearce,-,2,0.2,-,1,0.1,-,0.2
Scott Twine,7,3,0.7,0.5,2.2,-,1.6,1.8
Josh Eccles,-,-,0.3,0.5,1.8,-,0.5,1.8
Ryan Wintle,2,2,0.5,0.5,0.7,-,0.4,0.9
James Bolton,1,-,0.5,0.2,0.5,0.1,0.1,0.1
Regan Poole,-,1,0.3,0.4,1.1,0.2,0.8,1.1
Joseph Dodoo,4,3,0.4,0.4,0.5,0.5,0.9,1.3
Ben Watson,1,-,0.4,0.2,0.4,-,0.3,0.5
Chris Maxwell,-,1,0.1,-,0.3,-,-,-
Andrew Cannon,2,3,0.7,0.7,1.5,-,1.1,1
Reece Brown,2,2,0.6,0.3,0.5,-,0.8,0.8
Reece James,7,2,0.9,0.3,0.5,0.2,0.8,0.9
Panutche Camará,2,2,0.9,1.1,1.2,0.1,1.2,1.5
Luke McCormick,6,2,0.8,0.6,1.8,0.1,1,1.2
William Grigg,8,3,0.5,0.2,0.6,0.4,1.2,1.4
Jordan Willis,-,1,0.2,0.2,0.4,-,0.4,0.9
Alex Gilbey,3,2,0.5,0.7,0.9,0.2,0.8,1.2
Danny Andrew,2,1,0.8,0.5,0.2,-,0.4,0.7
Janoi Donacien,-,-,0.6,0.7,0.5,0.1,0.5,0.4
Alan Judge,4,2,1,0.3,1.1,0.3,0.6,1.7
Teddy Bishop,4,2,0.4,1.3,1.6,0.2,0.9,1.3
Darnell Johnson,-,1,0.6,0.5,0.4,-,0.2,0.6
James Norwood,9,3,0.5,0.2,1.1,0.8,0.8,2.6
Ollie Palmer,5,2,0.7,0.3,1,0.1,0.7,0.8
Ross Stewart,3,-,0.8,0.1,0.4,0.2,0.4,1.3
Michael Nottingham,-,-,0.7,-,0.3,-,0.3,-
