Name,Drb,Fouled,Off,Disp,UnsTch,League
Alexander Nübel,-,-,-,-,-,Bundesliga
Fabian Kunze,0.3,1,-,0.3,0.5,Bundesliga
Tobias Strobl,0.3,0.9,-,0.6,1,Bundesliga
Pascal Stenzel,0.3,0.2,-,0.1,0.5,Bundesliga
Hannes Wolf,0.5,0.8,0.1,1.1,1.3,Bundesliga
Pierre Kunde Malong,0.5,0.8,0.1,0.5,0.8,Bundesliga
Dan-Axel Zagadou,-,0.1,-,0.2,0.1,Bundesliga
Michael Gregoritsch,0.4,0.6,0.2,0.6,0.9,Bundesliga
Niklas Moisander,0.1,0.4,-,0.2,0.3,Bundesliga
William,0.6,0.8,-,0.6,1.4,Bundesliga
Akaki Gogia,0.3,0.6,-,0.3,0.1,Bundesliga
Lukas Klünter,0.6,0.8,-,0.2,0.6,Bundesliga
Kerim Çalhanoglu,1.5,0.3,-,0.8,1,Bundesliga
Jan Morávek,0.2,0.2,-,0.2,0.8,Bundesliga
Mathew Leckie,0.4,0.2,0.1,0.6,1,Bundesliga
Marius Bülter,0.4,0.6,0.1,0.4,1.1,Bundesliga
Keita Endo,0.3,0.8,0.1,0.3,0.5,Bundesliga
Tiago Dantas,-,0.5,-,-,-,Bundesliga
Oscar Wendt,0.2,0.1,-,0.1,0.2,Bundesliga
Cedric Teuchert,0.3,0.6,0.1,0.7,1,Bundesliga
Robert Gumny,0.3,0.8,-,0.7,1,Bundesliga
Salih Özcan,0.3,1.5,0.1,0.8,1.3,Bundesliga
Julian Ryerson,0.5,0.5,-,0.5,1,Bundesliga
Ridle Baku,1,2.5,-,0.5,1.5,Bundesliga
Matija Nastasic,-,0.2,-,-,0.2,Bundesliga
Cebio Soukou,0.5,0.4,0.1,1.1,1,Bundesliga
Arne Maier,0.5,0.3,0.1,0.6,1.3,Bundesliga
Mijat Gacinovic,0.2,0.3,-,0.2,0.6,Bundesliga
Gonçalo Paciência,0.7,0.9,0.7,1.1,2.2,Bundesliga
Nassim Boujellab,0.4,1.4,-,1.1,1.5,Bundesliga
Yuya Osako,0.5,0.5,0.2,0.7,1,Bundesliga
Kilian Ludewig,0.7,0.3,0.3,0.7,2.2,Bundesliga
Benno Schmitz,-,0.5,-,0.1,0.4,Bundesliga
Tahith Chong,0.8,1.1,-,0.7,1.2,Bundesliga
Reinier,0.1,0.3,0.1,0.1,0.4,Bundesliga
Felix Klaus,-,-,-,-,0.3,Bundesliga
Joao Victor,0.5,0.3,0.2,0.5,1,Bundesliga
László Bénes,-,0.7,-,0.3,-,Bundesliga
Bastian Oczipka,0.3,0.6,-,0.6,1,Bundesliga
Ragnar Ache,-,0.1,0.1,0.3,1,Bundesliga
Ishak Belfodil,1,0.6,0.4,0.9,1.6,Bundesliga
Melayro Bogarde,0.8,1.1,-,0.6,0.8,Bundesliga
Aarón Martín,0.6,-,-,0.4,0.6,Bundesliga
Bartosz Bialek,0.1,0.2,0.1,0.1,1,Bundesliga
Jan Thielmann,0.1,0.3,0.1,0.5,1.4,Bundesliga
Jóan Símun Edmundsson,-,0.4,-,0.2,0.2,Bundesliga
Finn Dahmen,-,0.7,-,-,-,Bundesliga
Nils Seufert,0.3,0.5,-,0.4,0.5,Bundesliga
Emmanuel Dennis,1.2,0.6,0.8,0.4,3.1,Bundesliga
Sebastian Rudy,0.5,0.5,-,0.5,1,Bundesliga
Ádám Szalai,0.3,0.7,0.3,1.1,2.3,Bundesliga
Benito Raman,0.5,0.5,0.2,0.6,1.4,Bundesliga
Dimitris Limnios,0.4,1,0.1,0.3,0.7,Bundesliga
Marco Höger,0.7,0.3,-,-,0.3,Bundesliga
Marcin Kaminski,-,-,-,-,0.2,Bundesliga
Niklas Tauer,0.2,0.2,-,-,0.2,Bundesliga
Jessic Ngankam,0.3,0.4,0.1,0.6,0.9,Bundesliga
Sven Schipplock,0.3,0.9,0.1,0.2,0.7,Bundesliga
Nishan Burkart,1,-,-,-,1,Bundesliga
Philipp Bargfrede,-,1,-,1,-,Bundesliga
Janik Haberer,0.4,0.4,0.1,0.2,0.9,Bundesliga
Fredrik Jensen,0.5,0.2,0.1,0.8,1,Bundesliga
Niko Gießelmann,-,0.8,0.1,0.2,0.4,Bundesliga
Christopher Scott,0.5,-,-,1,0.5,Bundesliga
Nick Woltemade,0.8,0.3,-,0.8,1.5,Bundesliga
Arne Maier,-,-,-,-,0.5,Bundesliga
Nico Schulz,-,0.3,-,0.5,0.8,Bundesliga
Darko Churlinov,0.4,0.2,0.1,0.4,0.4,Bundesliga
Timothy Chandler,0.2,0.1,0.3,0.1,0.3,Bundesliga
Max Meyer,0.2,0.4,-,0.4,1,Bundesliga
Yunus Malli,-,2,-,3,1,Bundesliga
Tony Jantschke,-,0.4,-,-,0.1,Bundesliga
Christian Gebauer,0.1,0.4,-,0.4,0.6,Bundesliga
Hee-Chan Hwang,0.4,0.6,0.1,0.7,0.6,Bundesliga
Reinhold Yabo,0.2,0.5,0.3,0.5,0.5,Bundesliga
Steffen Tigges,-,-,-,0.2,0.2,Bundesliga
Nathan de Medina,0.3,0.3,-,0.6,0.9,Bundesliga
Can Bozdogan,0.4,1.1,-,1.2,2.1,Bundesliga
Hamza Mendyl,0.7,-,-,-,0.7,Bundesliga
Tanguy Nianzou,0.3,0.7,-,-,0.2,Bundesliga
Sebastian Griesbeck,-,0.3,0.1,0.3,0.5,Bundesliga
Tim Maciejewski,-,-,-,-,-,Bundesliga
Alfred Finnbogason,0.2,0.3,-,0.6,1.2,Bundesliga
Lino Tempelmann,0.1,0.7,-,0.3,-,Bundesliga
Daniel Ginczek,0.3,0.1,0.1,0.4,1.1,Bundesliga
Joscha Wosz,-,-,-,0.5,-,Bundesliga
Chang-Hoon Kwon,0.5,0.4,0.1,0.4,0.4,Bundesliga
Luca Mack,-,-,-,-,-,Bundesliga
Joshua Zirkzee,-,0.3,0.3,0.3,1.3,Bundesliga
Marc Roca,0.3,0.3,-,0.3,0.5,Bundesliga
Michaël Cuisance,-,-,-,2,-,Bundesliga
Amir Abrashi,-,-,-,0.2,0.2,Bundesliga
Johannes Eggestein,-,-,-,-,-,Bundesliga
Tolu Arokodare,-,0.1,0.2,0.2,0.6,Bundesliga
Noah Joel Sarenren Bazee,0.2,0.2,0.2,0.6,0.6,Bundesliga
Guus Til,-,0.1,-,0.1,0.9,Bundesliga
Josep Martínez,-,-,-,-,-,Bundesliga
Eduard Löwen,-,-,-,0.4,0.3,Bundesliga
Patrick Erras,-,-,-,-,-,Bundesliga
Ibrahima Traoré,-,0.1,0.1,0.3,0.6,Bundesliga
Issah Abass,0.5,-,-,-,-,Bundesliga
Hamadi Al Ghaddioui,-,0.5,-,-,0.5,Bundesliga
Vedad Ibisevic,-,-,0.8,0.5,1.3,Bundesliga
Alessandro Schöpf,0.6,0.7,0.2,1.5,1.2,Bundesliga
Dong-Won Ji,0.2,0.2,-,-,-,Bundesliga
Jan-Luca Schuler,-,-,-,1,0.5,Bundesliga
Brian Behrendt,-,-,-,-,-,Bundesliga
Nabil Bentaleb,0.4,0.3,-,0.9,1,Bundesliga
Paul Nebel,0.3,0.3,-,0.3,0.3,Bundesliga
Alkhaly Momo Cissé,-,-,-,-,0.6,Bundesliga
Joel Pohjanpalo,-,-,-,-,-,Bundesliga
Klauss,-,-,-,0.8,0.3,Bundesliga
Tim Civeja,-,-,-,-,0.3,Bundesliga
Steven Skrzybski,0.2,1.2,0.2,0.6,1.2,Bundesliga
Konrad Laimer,-,0.7,0.3,0.3,0.3,Bundesliga
Eren Sami Dinkci,0.1,-,0.1,0.4,1.1,Bundesliga
Daishawn Redan,0.3,0.3,-,0.1,-,Bundesliga
Danny da Costa,0.2,-,-,-,0.7,Bundesliga
Naouirou Ahamada,1.8,1.5,-,0.8,1,Bundesliga
Lilian Egloff,-,-,-,0.5,0.5,Bundesliga
Frederik Sörensen,0.3,0.3,-,0.3,-,Bundesliga
Vasilis Pavlidis,-,-,-,-,-,Bundesliga
Ahmed Kutucu,0.4,0.1,-,0.1,0.7,Bundesliga
Dennis Borkowski,-,-,-,-,1,Bundesliga
Ilia Gruev,-,-,-,-,-,Bundesliga
Joshua Brenet,1,-,-,-,-,Bundesliga
Joshua Mees,-,-,-,-,-,Bundesliga
Levent Mercan,-,-,-,-,-,Bundesliga
Marten Winkler,-,-,-,-,-,Bundesliga
Omar Marmoush,-,-,-,-,-,Bundesliga
Paulinho,1,-,-,2,3,Bundesliga
William,-,-,-,-,-,Bundesliga
Anthony Modeste,-,0.8,0.4,0.3,0.8,Bundesliga
Maximilian Beier,-,0.3,-,-,0.3,Bundesliga
Jonas Michelbrink,-,1.5,-,-,1,Bundesliga
Jimmy Adrian Kaparos,-,-,-,-,-,Bundesliga
Merveille Papela,-,-,-,-,-,Bundesliga
Niklas Lomb,-,-,-,-,0.5,Bundesliga
Leon Dajaku,0.5,0.5,1,0.5,1,Bundesliga
Mohamed Sankoh,-,-,-,1,-,Bundesliga
Sebastian Müller,-,-,-,-,0.5,Bundesliga
Mikail Maden,-,-,-,-,2,Bundesliga
Emrehan Gedikli,-,-,-,-,2,Bundesliga
Rabbi Matondo,0.3,0.3,0.3,1.3,2.3,Bundesliga
Jonas Michel Dirkner,-,-,-,1,-,Bundesliga
Lukas Petkov,-,-,-,-,1,Bundesliga
Jacob Bruun Larsen,-,-,1,1,2,Bundesliga
Neymar,4.8,3.7,0.2,2.7,4.1,Ligue_1
Kylian Mbappé,2.9,1.2,0.5,1.5,2.6,Ligue_1
Andy Delort,1,1.4,0.6,0.8,2.5,Ligue_1
Memphis Depay,2.1,1.4,0.3,1.5,3.2,Ligue_1
Baptiste Santamaría,0.7,1.7,0.3,1,0.7,Ligue_1
Yvann Maçon,1.3,1.2,-,1.5,1.8,Ligue_1
Ángel Di María,1.5,1,0.3,0.8,2.1,Ligue_1
Karl Toko Ekambi,1.7,0.8,0.4,0.7,2.1,Ligue_1
Benjamin André,0.8,1.5,-,1.1,1.1,Ligue_1
Téji Savanier,1.9,2.4,-,1.6,1.8,Ligue_1
Gaetan Laborde,0.9,0.8,0.2,0.8,2.7,Ligue_1
Marco Verratti,2.3,2.4,-,1.4,1.4,Ligue_1
Fabien Centonze,1.6,1.6,0.1,0.9,1.8,Ligue_1
Ludovic Ajorque,0.3,1.3,0.3,0.9,2.1,Ligue_1
Farid Boulaya,1.8,1.9,-,1.1,2.2,Ligue_1
Lucas Paquetá,1.1,2.3,0.2,1.1,1.8,Ligue_1
Zinedine Ferhat,1.9,2,0.3,1.5,2.7,Ligue_1
Frédéric Guilbert,1.2,1,-,0.5,1.5,Ligue_1
Romain Faivre,2.5,2,-,0.9,2.1,Ligue_1
Aleksandr Golovin,0.9,0.6,0.1,0.6,1.4,Ligue_1
Steve Mounie,0.4,0.8,0.6,1.1,2,Ligue_1
Aurelien Tchouameni,0.6,1.7,-,0.9,1.4,Ligue_1
Raphinha,1.7,2,-,0.5,1.2,Ligue_1
Marçal,-,-,-,-,-,Ligue_1
Burak Yilmaz,0.5,1.3,1,0.8,2,Ligue_1
Angelo Fulgini,2.5,4,0.1,2.1,3,Ligue_1
Amine Gouiri,1.5,1.1,0.2,1.6,2.4,Ligue_1
Kiki Kouyate,0.1,1.2,0.2,0.2,0.5,Ligue_1
Romain Philippoteaux,1,-,-,0.7,1.3,Ligue_1
Dimitry Bertaud,-,0.4,-,-,-,Ligue_1
Jéremy Doku,3.7,2.3,0.2,2,2.8,Ligue_1
Wesley Fofana,0.5,1.3,0.3,0.3,-,Ligue_1
Jonathan Bamba,1.4,1.8,0.1,1.9,2.3,Ligue_1
Yohann Pelé,-,-,-,-,-,Ligue_1
Arkadiusz Milik,0.5,1.3,0.3,0.8,2.2,Ligue_1
Kevin Volland,0.5,1.3,0.4,1.1,2.3,Ligue_1
Wissam Ben Yedder,0.8,1.1,0.5,1.2,1.9,Ligue_1
Ludovic Blas,2.6,1.4,0.1,1.8,2.4,Ligue_1
José Fonte,0.2,0.4,-,-,0.3,Ligue_1
Reinildo,1,1.2,0.1,0.4,0.8,Ligue_1
Marquinhos,0.1,0.2,-,0.1,0.3,Ligue_1
Pape Abou Cissé,0.1,0.6,0.1,-,0.6,Ligue_1
Rafinha,1.3,1.7,-,1.5,1.5,Ligue_1
Mahdi Camara,0.8,1.1,-,0.6,1.1,Ligue_1
Léo Dubois,0.8,0.9,0.1,0.4,1.2,Ligue_1
Mehmet Zeki Çelik,0.7,0.5,0.1,0.5,1.2,Ligue_1
Sven Botman,0.2,0.7,0.1,0.1,0.5,Ligue_1
Florian Thauvin,1.6,1.5,0.2,1.4,2.2,Ligue_1
Mathieu Debuchy,0.5,0.7,0.2,0.5,1.3,Ligue_1
Marcelo,0.1,0.3,-,0.1,0.3,Ligue_1
Alfred Gomis,-,0.2,-,-,-,Ligue_1
Massadio Haidara,0.6,1.4,0.1,0.3,1.3,Ligue_1
Moise Kean,1,0.2,0.2,1.2,1.7,Ligue_1
Sofiane Diop,1.4,1.8,0.1,1.1,1.7,Ligue_1
Loic Bade,0.7,0.5,-,0.4,0.7,Ligue_1
Tinotenda Kadewere,0.9,0.8,0.3,1,1.6,Ligue_1
Nayef Aguerd,0.3,0.8,0.1,0.3,0.3,Ligue_1
Boubacar Kamara,1,1.6,-,0.7,1.1,Ligue_1
Valentin Rongier,1,0.9,-,0.3,1.3,Ligue_1
Vincent Pajot,0.3,1,0.1,0.3,0.7,Ligue_1
Laurent Koscielny,0.1,0.9,0.1,-,0.3,Ligue_1
Brendan Chardonnet,0.2,0.7,-,0.1,0.3,Ligue_1
Dimitri Payet,1.1,1.4,-,0.8,1.6,Ligue_1
Serhou Guirassy,0.9,2,0.2,1.1,2.4,Ligue_1
Lilian Brassier,0.4,1.1,-,0.1,1.5,Ligue_1
Randal Kolo Muani,1.4,2,0.6,1.6,3.1,Ligue_1
Pol Lirola,1.5,0.8,-,0.6,2,Ligue_1
Keylor Navas,-,0.1,-,-,-,Ligue_1
Jeff Reine-Adélaïde,3,1,-,-,1,Ligue_1
Jeff Reine-Adélaïde,3,1.5,0.1,2.9,2.4,Ligue_1
Yunis Abdelhamid,0.2,0.7,-,0.4,0.4,Ligue_1
Hatem Ben Arfa,3.2,1.5,0.2,2.4,2.4,Ligue_1
Habib Maïga,1.1,1.2,0.1,1.1,1.5,Ligue_1
Hamari Traoré,0.7,0.7,0.1,0.3,0.8,Ligue_1
Alexander Djiku,0.2,1.2,0.1,0.2,0.3,Ligue_1
Jonathan Clauss,0.7,0.4,0.1,0.4,1.6,Ligue_1
Gelson Martins,1.7,1.6,0.2,1.3,2.5,Ligue_1
Martin Terrier,0.8,1.1,0.3,0.7,2.3,Ligue_1
Armand Laurienté,1.9,1.3,0.3,1.2,2.2,Ligue_1
Cheick Oumar Doucoure,1.2,0.5,-,0.7,0.9,Ligue_1
Yoane Wissa,1.4,2.2,0.3,0.8,1.9,Ligue_1
Maxwel Cornet,0.6,0.9,0.1,0.4,1,Ligue_1
Luiz Araújo,1.8,0.6,-,1,1.3,Ligue_1
Benjamin Bourigeaud,0.2,0.3,0.1,0.4,0.8,Ligue_1
Jordan Amavi,0.9,1.1,-,0.7,1,Ligue_1
Idrissa Gueye,0.9,0.7,-,0.7,1,Ligue_1
Florian Sotoca,0.6,1.4,0.3,1.1,1.8,Ligue_1
Franck Honorat,0.7,0.4,0.1,0.8,1.1,Ligue_1
Ruben Aguilar,0.4,1.1,-,0.4,1.2,Ligue_1
Romain Perraud,0.9,1.5,0.1,0.5,0.9,Ligue_1
Gaël Kakuta,1.5,1.1,0.1,1.5,2.2,Ligue_1
Hassane Kamara,1,0.9,-,0.6,1.3,Ligue_1
Mauro Icardi,0.2,0.6,0.3,0.4,0.7,Ligue_1
Houssem Aouar,1.5,0.8,0.1,1.2,1.8,Ligue_1
Alessandro Florenzi,0.2,0.3,0.1,0.1,0.4,Ligue_1
Mitchel Bakker,0.6,0.3,0.1,0.4,0.7,Ligue_1
Jonathan David,0.6,1.2,0.1,1.3,2.3,Ligue_1
Damien Da Silva,0.3,0.7,-,0.1,0.2,Ligue_1
Dante,0.1,0.4,-,0.1,0.2,Ligue_1
Layvin Kurzawa,0.7,0.4,0.1,0.7,1.3,Ligue_1
Boulaye Dia,1.3,1,0.4,1.5,2.4,Ligue_1
Yvan Neyou,2,1.5,-,0.5,0.9,Ligue_1
Sébastien Corchia,0.7,1.7,-,0.6,1,Ligue_1
Jean-Clair Todibo,1.1,0.9,-,0.3,0.9,Ligue_1
Ander Herrera,0.4,0.5,-,0.3,0.8,Ligue_1
Jean Eudes Aholou,1,1.2,-,0.7,1.5,Ligue_1
Ibrahima Niane,0.6,1.2,0.3,0.9,3.7,Ligue_1
Pape Sarr,0.8,1.1,-,0.4,1.7,Ligue_1
Mike Maignan,-,0.2,-,-,-,Ligue_1
Denis Bouanga,1.6,1,0.3,1.5,3.4,Ligue_1
Trevoh Chalobah,1.3,0.9,-,0.3,0.9,Ligue_1
Youssouf Fofana,0.9,0.9,-,0.7,1.3,Ligue_1
Bruno Guimarães,0.8,1.1,-,0.5,0.8,Ligue_1
Jonathan Gradit,1,1.9,-,0.4,0.8,Ligue_1
Eduardo Camavinga,1.2,1.5,-,0.7,1.8,Ligue_1
Harold Moukoudi,0.4,0.5,-,0.4,0.3,Ligue_1
Julien Laporte,0.2,0.6,-,0.1,0.1,Ligue_1
Pierre Lees-Melou,0.8,0.8,-,0.7,0.9,Ligue_1
Birger Meling,0.6,1.5,-,0.4,1.2,Ligue_1
Guillermo Maripán,0.1,0.3,-,-,0.3,Ligue_1
Benoit Badiashile,0.1,0.4,0.1,0.1,0.4,Ligue_1
Yacine Adli,1.4,1.1,-,1.2,1.2,Ligue_1
Romain Thomas,0.1,0.6,0.1,0.1,0.4,Ligue_1
Alexis Claude Maurice,1.6,1.8,-,1.4,2.1,Ligue_1
Otávio,0.3,0.6,-,0.4,0.3,Ligue_1
Caio Henrique,0.5,0.4,0.1,0.2,1.2,Ligue_1
Kenny Lala,0.8,0.7,-,1,1.8,Ligue_1
Renato Sanches,1.7,1.2,0.1,0.9,1.5,Ligue_1
Pablo,-,0.4,-,0.2,0.5,Ligue_1
Andrei Girotto,0.1,0.7,-,0.1,0.4,Ligue_1
Daniele Rugani,1,2,-,-,-,Ligue_1
Opa Nguette,1.8,1.4,0.4,2.7,3.4,Ligue_1
Morgan Sanson,0.8,0.8,-,1.1,2.2,Ligue_1
Laurent Abergel,0.8,1,-,1.2,1.4,Ligue_1
Habib Diallo,0.5,0.8,0.4,1.2,2.7,Ligue_1
Marshall Munetsi,0.6,0.7,-,0.3,1.1,Ligue_1
Rayan Aït-Nouri,2.7,1,-,1,1.7,Ligue_1
Samuel Kalu,1.8,1.8,0.3,1.3,2.5,Ligue_1
Djibril Sidibé,0.3,0.7,-,0.2,0.7,Ligue_1
Boubakary Soumaré,0.9,0.5,-,0.7,0.7,Ligue_1
Paul Baysse,0.1,0.5,-,0.1,0.1,Ligue_1
Ghislain Konan,1.4,0.8,0.1,0.8,1.1,Ligue_1
Xavier Chavalerin,0.6,0.2,0.1,0.4,0.8,Ligue_1
Anthony Caci,0.8,0.4,-,0.5,1.1,Ligue_1
Renaud Ripart,0.7,1.7,0.1,1.3,1.9,Ligue_1
Hiroki Sakai,0.3,0.6,0.1,0.4,0.6,Ligue_1
Danilo Pereira,0.3,0.7,-,0.3,0.5,Ligue_1
Kalifa Coulibaly,0.2,0.4,0.6,0.8,1.5,Ligue_1
Bruno Ecuele Manga,0.3,0.7,-,0.2,0.4,Ligue_1
Junior Sambia,1,1.2,0.1,1,1.1,Ligue_1
Nathanael Mbuku,1.3,1.8,0.1,0.8,1.5,Ligue_1
Julian Draxler,0.6,0.5,0.2,0.5,0.3,Ligue_1
Steven Nzonzi,0.6,0.4,-,0.2,0.3,Ligue_1
Sacha Boey,0.9,0.5,0.1,0.5,1.4,Ligue_1
Moses Simon,1.4,0.9,0.1,1.4,2,Ligue_1
Ngonda Muzinga,1.2,0.5,-,0.6,1.4,Ligue_1
Mohamed Simakan,0.5,1.4,0.1,0.5,0.6,Ligue_1
Pablo Sarabia,0.3,0.6,0.3,0.5,1,Ligue_1
Youssouf Sabaly,1.2,1.3,0.1,0.9,1.5,Ligue_1
Seko Fofana,1.4,0.7,-,1.1,1.7,Ligue_1
Morgan Schneiderlin,0.5,0.4,-,0.3,0.8,Ligue_1
Abdou Diallo,0.8,0.4,-,-,0.7,Ligue_1
Thomas Mangani,0.3,0.7,-,0.4,0.5,Ligue_1
Ronaël Pierre-Gabriel,1.2,1,0.1,0.4,0.5,Ligue_1
Thomas Delaine,1.2,0.7,-,0.5,1.1,Ligue_1
Duje Caleta-Car,0.1,0.5,-,0.1,0.2,Ligue_1
Wout Faes,0.4,0.5,-,0.3,0.3,Ligue_1
Leandro Paredes,0.2,0.8,-,0.3,0.4,Ligue_1
Sergio Rico,-,-,-,-,0.2,Ligue_1
Etienne Green,-,0.1,-,-,-,Ligue_1
John Boye,0.1,0.6,0.1,0.1,0.4,Ligue_1
Nicolas Pallois,0.5,0.4,0.1,0.3,0.4,Ligue_1
Terem Moffi,0.8,0.6,0.3,1.3,2.9,Ligue_1
Adil Aouchiche,1,0.9,-,0.8,1.8,Ligue_1
Remi Oudin,0.4,0.9,0.1,0.8,1.2,Ligue_1
Wahbi Khazri,1.2,1.4,0.3,1.1,1.8,Ligue_1
Anthony Lopes,-,0.2,-,-,-,Ligue_1
Jason Denayer,0.2,0.2,-,-,0.2,Ligue_1
Gabriel Silva,0.5,1.8,-,0.3,0.5,Ligue_1
Walter Benítez,-,0.1,-,-,0.1,Ligue_1
Jérémy Pied,0.7,0.3,-,0.5,-,Ligue_1
Daniel Congré,0.1,0.7,-,0.1,0.4,Ligue_1
Rony Lopes,1.1,0.9,-,0.8,1.9,Ligue_1
Giulian Biancone,0.5,1,-,1,0.5,Ligue_1
Alexandre Oukidja,0.1,0.3,-,-,-,Ligue_1
Thomas Foket,0.5,0.9,0.1,0.5,1,Ligue_1
Timothee Pembele,1.3,0.5,-,0.5,1.8,Ligue_1
Ibrahima Sissoko,0.8,0.6,-,0.6,1.3,Ligue_1
Predrag Rajkovic,0.1,0.3,-,-,0.1,Ligue_1
Presnel Kimpembe,0.3,0.9,-,0.1,0.5,Ligue_1
Dennis Appiah,0.5,0.1,-,0.8,0.8,Ligue_1
Ignatius Ganago,1,1.9,0.5,1.1,2,Ligue_1
Charles Traoré,0.2,1,-,0.4,1.2,Ligue_1
Thiago Mendes,0.5,0.7,-,0.4,0.8,Ligue_1
William Saliba,0.5,0.5,-,0.2,0.6,Ligue_1
Flavien Tait,1,1.3,-,0.6,1.2,Ligue_1
Jonas Omlin,0.1,0.1,-,-,-,Ligue_1
Andreaw Gravillon,0.3,1.4,-,0.2,0.6,Ligue_1
Yassine Benzia,1.1,1.3,-,1,1.9,Ligue_1
Fabio,0.3,0.5,-,0.6,0.7,Ligue_1
Jonathan Ikoné,1.4,0.6,0.2,1.5,1.6,Ligue_1
Cesc Fàbregas,0.3,0.6,-,0.4,0.8,Ligue_1
Miguel Trauco,0.4,0.5,-,0.4,1,Ligue_1
Mathieu Cafaro,0.7,1.2,0.2,0.4,1.8,Ligue_1
Pablo Martinez,-,1.4,-,0.3,0.1,Ligue_1
Valon Berisha,0.4,0.7,-,0.5,1.1,Ligue_1
Baptiste Reynet,-,0.2,-,-,-,Ligue_1
Álvaro González,0.1,0.9,0.1,0.1,0.3,Ligue_1
Ibrahima Diallo,1.8,1.6,-,1,0.8,Ligue_1
Issiaga Sylla,0.8,0.4,0.1,0.7,1,Ligue_1
Matthieu Udol,0.6,0.7,-,0.7,1.3,Ligue_1
Axel Disasi,0.3,0.7,-,0.1,0.2,Ligue_1
Toma Basic,0.7,0.9,0.1,0.6,1.4,Ligue_1
Arnaud Kalimuendo,3,3,1,3,2,Ligue_1
Sofiane Boufal,2.4,1.6,-,1.5,1.9,Ligue_1
Romain Hamouma,1.2,1.2,0.3,1.3,2.9,Ligue_1
Souleyman Doumbia,0.9,0.6,-,0.9,1.7,Ligue_1
Hwang Ui-Jo,0.7,1,0.5,0.8,1.9,Ligue_1
Clément Grenier,0.4,0.7,-,0.4,0.9,Ligue_1
Alban Lafont,-,0.2,-,-,-,Ligue_1
Brandon Soppy,0.9,1.5,-,0.4,1.1,Ligue_1
Dimitri Lienard,0.4,0.4,-,0.4,0.9,Ligue_1
Adrien Truffert,0.6,0.9,-,0.5,1.1,Ligue_1
Yusuf Yazici,0.4,0.3,0.2,0.6,1,Ligue_1
Hichem Boudaoui,1,0.8,0.2,0.9,1.5,Ligue_1
Niclas Eliasson,0.3,1.4,0.1,0.4,1.5,Ligue_1
Jean-Charles Castelletto,0.3,0.3,-,0.1,0.2,Ligue_1
Jean-Ricner Bellegarde,1.3,1.3,-,1.1,2,Ligue_1
Thilo Kehrer,0.1,0.4,-,0.1,0.3,Ligue_1
Pierrick Capelle,0.6,0.5,0.1,0.9,1.1,Ligue_1
Enock Kwateng,0.4,0.9,-,0.4,1.1,Ligue_1
Jonathan Panzo,0.6,0.4,-,0.1,0.4,Ligue_1
Benoît Costil,0.1,0.1,-,-,-,Ligue_1
Nicolas Cozza,0.6,0.8,0.1,0.2,1.1,Ligue_1
Enzo Le Fée,1.1,1.1,-,0.9,1.3,Ligue_1
Lucas Perrin,0.3,0.6,-,0.1,0.4,Ligue_1
Steven Fortes,0.2,0.5,-,0.1,0.2,Ligue_1
Domagoj Bradaric,0.3,0.5,-,0.2,0.8,Ligue_1
Alfred Gomis,-,0.1,-,-,-,Ligue_1
Lassana Coulibaly,0.5,1.1,-,0.6,0.9,Ligue_1
Arnaud Nordin,0.9,1.9,0.1,0.7,1.6,Ligue_1
Maxence Caqueret,1.1,0.9,-,1,1.3,Ligue_1
Lamine Fomba,0.4,0.5,-,1.3,1.2,Ligue_1
Kasper Dolberg,0.4,2,0.2,1.2,2.9,Ligue_1
Pedro Mendes,0.1,1.2,-,0.1,0.4,Ligue_1
Imran Louza,0.5,1.4,0.1,0.6,1.5,Ligue_1
Jordan Lotomba,1,1.2,0.1,0.8,0.9,Ligue_1
Paul Lasne,0.2,0.8,-,0.2,0.6,Ligue_1
Arnaud Kalimuendo,0.8,0.9,-,1.1,1.8,Ligue_1
Ismael Traoré,0.4,0.3,-,0.1,0.6,Ligue_1
Gautier Larsonneur,-,0.2,-,-,-,Ligue_1
Mehdi Abeid,1.1,1.2,0.1,0.6,1.3,Ligue_1
Sinaly Diomande,0.2,0.5,-,0.1,0.1,Ligue_1
Myziane Maolida,1.1,0.5,0.1,0.9,1.4,Ligue_1
Pape Gueye,0.2,1.4,-,0.5,1,Ligue_1
Youcef Atal,1.1,1.5,0.4,0.7,2.2,Ligue_1
Arbër Zeneli,1.4,0.9,0.2,0.9,2,Ligue_1
Florent Mollet,0.4,0.8,0.1,0.8,0.9,Ligue_1
Timothée Kolodziejczak,0.1,0.3,-,0.1,0.4,Ligue_1
Dylan Bronn,0.4,0.3,-,0.2,0.3,Ligue_1
Xeka,0.2,0.8,-,0.1,0.6,Ligue_1
Mihailo Ristic,0.6,0.5,-,0.6,0.9,Ligue_1
Boubacar Traore,-,0.5,-,-,0.5,Ligue_1
Christophe Herelle,0.3,1,0.1,0.1,0.3,Ligue_1
Panagiotis Retsos,1,0.3,-,-,0.5,Ligue_1
Mexer,0.3,0.2,-,0.3,0.2,Ligue_1
Stephy Mavididi,1,0.9,0.1,1.1,2.1,Ligue_1
Lamine Gueye,0.6,1.4,0.3,1.2,2.3,Ligue_1
Romain Salin,0.1,0.1,-,-,-,Ligue_1
Arnaud Souquet,0.5,0.9,-,0.6,1,Ligue_1
Facundo Medina,0.3,0.3,-,0.5,0.9,Ligue_1
Leonardo Balerdi,0.5,1.3,0.1,0.5,0.5,Ligue_1
