Name,Drb,Fouled,Off,Disp,UnsTch,League
Jannik Vestergaard,0.2,0.4,-,0.2,0.4,Premier_league
Arthur Masuaku,2.4,0.7,0.1,1.3,1.2,Premier_league
Alexandre Lacazette,0.7,1.7,0.3,1,1.6,Premier_league
Andros Townsend,1.3,1.6,0.1,1.6,1.4,Premier_league
John McGinn,1.4,2.1,-,0.9,1.8,Premier_league
Wilfried Zaha,1.8,2.9,0.7,2.6,3.6,Premier_league
Andrew Robertson,0.7,0.3,0.2,0.3,1.1,Premier_league
Bukayo Saka,1.4,2,0.5,1.3,2.3,Premier_league
Jorginho,0.6,1,-,0.5,0.7,Premier_league
Jonny Evans,0.3,0.4,-,0.1,0.1,Premier_league
Romain Saïss,0.3,0.4,-,0.1,0.4,Premier_league
Stuart Dallas,0.6,1.3,-,0.9,1.4,Premier_league
Dwight McNeil,1.8,1.1,0.1,1.7,1.6,Premier_league
Nick Pope,-,0.2,-,-,0.1,Premier_league
Tanguy Ndombele,2.2,1.8,-,1,1.7,Premier_league
Yerry Mina,-,0.5,-,-,0.1,Premier_league
N'Golo Kanté,0.9,0.2,-,0.5,1.6,Premier_league
Toby Alderweireld,0.2,0.1,-,0.1,0.1,Premier_league
Dani Ceballos,1,1,-,0.6,0.9,Premier_league
Bertrand Traoré,1.4,1.1,0.2,0.7,1.9,Premier_league
Fikayo Tomori,-,-,-,-,-,Premier_league
Gaetano Berardi,-,-,-,-,-,Premier_league
Mateo Kovacic,2,1.1,-,0.9,1,Premier_league
Tom Cairney,1.6,1.8,0.1,1.1,1.5,Premier_league
Joël Veltman,0.6,1.4,-,0.3,0.6,Premier_league
Martin Dúbravka,-,0.4,-,-,0.1,Premier_league
Oleksandr Zinchenko,0.3,0.2,0.1,0.3,0.8,Premier_league
Antonee Robinson,1.8,0.3,-,0.8,1.6,Premier_league
Kelechi Iheanacho,1.3,0.5,0.4,1.4,2.3,Premier_league
João Virgínia,-,-,-,-,-,Premier_league
Terence Kongolo,-,1,-,-,-,Premier_league
Anthony Martial,1.6,1.2,0.7,1.7,2.3,Premier_league
James McArthur,0.8,0.8,-,0.6,0.9,Premier_league
Lewis Dunk,0.2,0.6,0.1,-,0.4,Premier_league
Kyle Walker-Peters,1.5,1.4,0.2,1.6,1.2,Premier_league
Danny Ings,1,0.6,0.6,0.6,2.3,Premier_league
Callum Wilson,1,1.6,0.8,1.5,2.8,Premier_league
Trézéguet,0.8,0.9,0.2,0.6,1.3,Premier_league
Timothy Castagne,0.4,0.5,-,0.4,0.9,Premier_league
Pascal Groß,0.3,0.5,0.1,0.5,1,Premier_league
Fabinho,0.2,0.9,-,0.2,0.6,Premier_league
Stuart Armstrong,2.1,1.1,0.1,2.1,2.3,Premier_league
Jordan Henderson,0.4,0.5,-,0.2,0.3,Premier_league
Aaron Cresswell,0.1,0.5,-,0.3,0.4,Premier_league
Chris Wood,0.2,0.7,0.7,1.3,2.4,Premier_league
Eberechi Eze,1.9,2.1,-,1.1,1.7,Premier_league
Rúben Neves,0.3,0.5,-,0.4,0.7,Premier_league
Fernandinho,0.5,0.5,-,0.2,0.3,Premier_league
Timo Werner,0.8,0.9,0.8,0.8,2.5,Premier_league
Pascal Struijk,0.1,0.3,-,0.3,0.4,Premier_league
Tyrone Mings,0.2,0.5,0.1,0.1,0.5,Premier_league
Jonjo Shelvey,0.7,0.3,-,0.2,0.6,Premier_league
Leandro Trossard,1.1,0.9,0.1,1.7,1.9,Premier_league
Andreas Christensen,0.4,0.4,-,0.1,0.5,Premier_league
Joachim Andersen,0.3,0.5,-,0.1,0.3,Premier_league
Karl Darlow,-,0.2,-,-,-,Premier_league
Calum Chambers,0.4,0.2,-,0.4,0.7,Premier_league
Rob Holding,0.3,0.2,0.1,0.2,0.4,Premier_league
Anwar El Ghazi,0.9,1,0.2,1.3,1.7,Premier_league
Conor Hourihane,-,-,-,-,0.3,Premier_league
Abdoulaye Doucouré,0.7,0.4,-,0.9,1.2,Premier_league
Amad,1.7,1.3,-,1.7,1.7,Premier_league
Pablo Fornals,0.9,0.5,0.2,0.6,1.1,Premier_league
Pierre-Emerick Aubameyang,0.4,0.6,0.6,0.7,1.3,Premier_league
Ben Godfrey,0.3,0.5,0.1,0.2,0.9,Premier_league
Che Adams,0.8,1.5,0.5,1.2,2.4,Premier_league
Adam Webster,0.6,0.5,-,0.2,0.9,Premier_league
Kyle Bartley,0.1,0.3,0.2,0.1,0.3,Premier_league
Emile Smith Rowe,0.5,1,0.2,0.4,1.9,Premier_league
Allan,1.3,1.3,-,0.8,0.9,Premier_league
Kyle Walker,1,0.5,-,0.7,0.7,Premier_league
Josh Brownhill,0.5,1,0.1,0.5,1.1,Premier_league
Aymeric Laporte,0.1,0.6,0.1,0.1,0.5,Premier_league
Ferran Torres,0.8,0.7,0.2,0.9,1,Premier_league
Nicolas Pépé,1,0.9,0.1,0.8,1.9,Premier_league
Ross Barkley,1.2,0.7,0.2,1.3,1.6,Premier_league
Hugo Lloris,-,0.1,-,-,-,Premier_league
Willy Boly,0.2,0.4,-,0.1,0.5,Premier_league
Dan Burn,0.4,0.2,0.1,0.3,1,Premier_league
Sébastien Haller,0.6,0.9,0.6,1.4,2.6,Premier_league
Ezri Konsa,0.2,1.5,-,0.2,0.5,Premier_league
Jarrod Bowen,0.9,1.4,0.4,1.3,1.7,Premier_league
Matt Doherty,0.3,0.7,-,0.5,1.1,Premier_league
Thomas Partey,1.2,0.7,-,0.4,0.9,Premier_league
Joelinton,1.2,1.2,0.2,1.4,2.6,Premier_league
Christian Pulisic,1.8,1.2,0.1,1.1,2.5,Premier_league
Marc Albrighton,1.2,0.6,0.1,0.9,1.1,Premier_league
Çaglar Söyüncü,0.2,0.7,-,0.2,0.3,Premier_league
Alphonse Areola,-,0.1,-,-,-,Premier_league
Christian Fuchs,-,0.6,-,0.1,0.2,Premier_league
Sam Johnstone,-,0.1,-,-,-,Premier_league
Alisson,0.1,0.2,-,-,-,Premier_league
Granit Xhaka,0.3,1.2,-,0.4,0.6,Premier_league
Tosin Adarabioyo,0.3,0.2,0.1,0.2,0.4,Premier_league
Angelo Ogbonna,0.1,0.3,-,0.2,0.1,Premier_league
Gabriel Magalhães,0.2,1.1,-,0.3,0.2,Premier_league
