Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Cristian Montaño,3,1,0.6,0.9,0.8,0.2,1.3,1.1
George Maris,1,3,0.7,0.3,0.6,-,0.6,1.2
Ben Jackson,1,-,1,0.4,0.4,-,-,0.6
Cole Stockton,13,3,0.8,0.6,1.3,0.5,1.5,3.2
Eoin Doyle,19,3,0.8,0.5,0.6,0.7,0.7,2.1
Ashley Hunter,7,6,1.5,0.6,1.5,0.1,1,1.4
Joe McNerney,1,-,0.1,0.1,0.7,0.1,0.1,0.5
Tommy Smith,2,2,0.1,0.2,1,-,0.1,0.3
Chris Stokes,2,-,0.2,0.1,0.5,-,0.1,0.3
Will Smith,2,1,0.1,0.3,0.7,0.1,0.3,0.7
Ollie Clarke,3,2,1.1,1.2,1.3,-,1.1,1.6
Josh Sheehan,3,4,1.2,0.6,2.2,-,0.8,1.3
Elliot Watt,3,2,1.1,0.5,0.7,-,0.8,1.1
Liam Sercombe,7,2,0.9,0.8,0.5,-,1.2,1.2
Connor Hall,1,1,0.1,0.2,0.8,-,0.1,0.5
Jay Matete,3,1,0.5,1.2,1.8,-,2,1.8
Nathan Smith,4,-,0.2,-,1.2,0.1,0.2,0.3
Rollin Menayese,1,-,0.1,0.3,0.7,-,0.3,0.6
Chris Lines,-,3,1.8,0.3,0.5,-,0.3,0.9
Sean Long,2,1,0.4,0.2,0.5,-,0.2,0.3
Joshua McPake,4,-,0.9,2.1,1.9,0.2,2.6,3
Václav Hladky,-,-,0.1,-,0.3,-,-,-
Matthew Dolan,7,3,0.8,0.2,1.3,-,0.2,0.6
George Ray,1,-,0.1,-,0.3,-,0.2,0.3
Ludvig Öhman,-,1,0.7,-,1.7,-,-,0.3
Ian Henderson,17,7,1.4,0.3,0.8,1,1.1,2.1
Pierce Sweeney,3,3,0.3,0.1,0.7,-,0.1,0.3
Tom Clarke,2,2,0.3,0.1,0.8,-,0.3,0.6
George Nurse,1,2,0.8,0.8,0.4,0.1,0.3,0.5
Ben Garrity,2,1,0.6,0.1,1.1,0.1,0.3,1.1
Niall Canavan,-,1,0.1,-,0.4,-,-,0.2
Laurie Walker,-,-,-,-,0.3,-,-,-
Giles Coke,-,-,0.3,0.5,0.8,-,0.5,0.6
Callum Wright,4,2,0.8,0.4,0.4,0.2,0.4,1.1
Malvind Benning,-,-,1.1,0.7,1,-,0.4,0.6
Joshua Key,1,5,0.6,1.5,0.7,-,1.4,1.2
Cohen Bramall,-,3,1.4,0.7,0.4,0.3,0.7,1.2
Kyle Howkins,-,-,-,-,-,-,0.5,-
Conor McAleny,19,1,0.4,0.7,0.9,0.3,1,1.7
Kyle Knoyle,2,6,1.2,0.9,0.8,-,0.8,1
Stephen Quinn,2,2,1.5,0.4,1.5,0.1,0.3,1
Ryan Clampin,1,1,0.3,0.9,1.1,-,0.5,1.1
Liam Kinsella,-,1,0.6,0.1,2,-,0.5,0.9
Alex Gilliead,1,3,0.8,1,1,0.1,1.2,1.3
Liam Gibson,-,2,0.3,0.5,0.4,-,0.3,0.3
Sam Hart,-,3,0.7,0.6,1.2,-,0.6,1.1
Conor Thomas,5,2,0.9,0.2,0.7,0.1,0.5,0.7
David Stockdale,-,-,-,-,-,-,-,-
Charlie Carter,3,-,0.6,0.7,0.6,0.2,1.1,1.2
Liam Kitching,-,1,1.3,0.2,0.7,0.3,0.6,0.7
Luke Waterfall,1,1,0.1,0.1,0.8,0.1,0.1,0.3
Dan Jones,1,-,1.7,0.1,0.4,-,0.1,0.5
Davis Keillor-Dunn,10,6,1.4,0.7,0.9,0.1,1.6,1.8
Harry Clarke,1,1,0.3,0.6,0.6,0.1,0.5,0.7
Tom Parkes,1,-,0.1,0.1,0.5,-,0.3,0.4
Connor Wood,1,2,0.6,0.7,1.4,-,0.6,1.2
Luis Fernandez,-,-,-,-,3,-,-,1
Tom Clifford,3,1,0.9,0.3,0.4,-,0.6,0.5
