Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Thibaut Courtois,-,-,-,-,0.1,-,-,0.1
Mario Gaspar,-,2,0.5,0.4,0.4,-,0.2,0.8
Óscar Mingueza,2,2,0.3,0.3,0.6,-,0.3,0.3
Sandro Ramírez,5,1,0.5,1,2.6,0.6,0.9,2
Iza,-,1,0.4,1.1,1.6,-,0.8,0.8
Unai Núñez,1,1,0.2,0.2,0.4,-,0.3,0.3
Hugo Mallo,3,1,0.5,0.5,0.9,0.2,0.5,1.1
Pau Torres,2,2,0.2,0.8,0.5,0.1,0.2,0.6
Dimitrios Siovas,2,-,0.2,0.3,0.3,-,0.1,0.4
Papu Gómez,3,1,0.9,0.7,1.2,0.1,0.9,0.7
Claudio Bravo,-,-,0.2,0.2,-,-,-,-
Saúl Ñíguez,2,1,0.7,0.5,0.5,0.2,0.4,1
Álex Moreno,-,2,0.7,1.1,1,-,0.5,1.4
Pedri,3,3,1.1,0.8,1.1,-,0.9,1.7
Brais Méndez,9,-,0.5,0.4,1.8,0.1,1.3,2.3
Álvaro Negredo,8,4,0.6,0.8,1.1,0.2,0.6,1.8
Sergio Herrera,-,-,-,-,0.3,-,-,0.2
David Ferreiro,2,4,2,1.2,1,0.4,1,1.1
Ronald Araujo,2,1,0.1,0.3,0.7,0.1,0.1,0.3
Paulo Oliveira,-,1,0.1,0.2,0.3,-,0.1,0.2
Alberto Perea,2,3,0.5,2.3,1.2,-,1.3,0.9
Denis Suárez,-,9,1.3,1,1.1,-,0.7,1.6
João Félix,7,5,0.7,1,1.5,0.2,1.1,1.3
Sergi Roberto,1,2,0.9,0.5,0.7,0.1,0.3,0.3
Darwin Machís,5,5,0.8,1.4,1.4,0.3,1.3,2
Yuri Berchiche,1,3,0.7,0.7,1.3,-,0.6,1
Rafa Mir,13,1,0.2,0.4,0.5,0.9,0.5,2.2
Rubén Sobrino,1,-,0.7,1.1,1.8,0.3,0.6,2.7
Felipe,-,-,0.1,0.1,0.5,-,-,0.1
Antonio Blanco,-,-,0.5,-,0.5,-,0.3,-
Juan Iglesias,-,-,0.4,0.5,1.6,0.1,0.5,0.7
Mathías Olivera,-,-,0.7,0.8,0.8,0.1,0.8,1.2
Edu Expósito,-,3,1.4,1.3,0.9,-,1.1,1.5
José Gayà,1,7,1.1,1,0.9,0.4,0.5,1.2
Juan Foyth,-,-,0.2,1.4,0.9,-,0.6,0.5
Lucas Olaza,-,2,0.8,0.3,1,0.1,0.3,0.3
Jaume Doménech,-,-,-,-,-,-,-,-
Rubén Duarte,1,1,0.9,0.2,1.3,-,0.3,0.5
Yassine Bounou,1,-,-,-,0.1,-,-,-
Renan Lodi,1,2,0.5,1,1.2,0.1,0.4,0.9
Alfonso Espino,-,3,0.5,0.5,0.7,0.1,0.5,1
Marcelo,-,2,1,0.8,0.9,0.3,0.3,0.9
Andoni Gorosabel,-,1,0.7,0.3,0.9,-,0.4,1
