Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Bryan Mbeumo,8,10,1.3,0.8,1.2,0.3,1,2.2
Matty James,3,3,1.3,0.7,1,-,0.7,1.5
Josh Laurent,3,3,0.5,0.9,0.7,0.1,1,1.1
Tom Lees,1,1,0.4,-,0.6,0.2,0.1,0.2
Omar Richards,-,-,0.5,1.3,1.5,-,1,1.2
Kal Naismith,1,-,0.5,0.8,1.2,-,0.4,0.6
Tom McIntyre,2,2,0.4,0.3,0.5,-,-,0.5
Harlee Dean,4,-,0.2,0.3,0.7,-,0.3,0.7
Sam McCallum,1,2,0.7,0.6,2.2,-,0.2,1.3
Callum Brittain,-,5,0.8,1.7,0.3,-,0.9,1.5
Barry Bannan,2,5,1.8,1.5,0.5,-,0.7,1.2
Tim Krul,-,-,-,0.1,0.2,-,-,0.1
Darnell Fisher,1,-,0.4,0.4,2.5,-,0.4,1.6
Iván Sánchez,2,7,1.4,1.2,1.9,0.1,1,1.4
Danny Batth,1,-,0.1,0.1,0.3,-,0.1,0.4
Josh Dasilva,5,4,1.1,1.6,1.3,-,1.4,1.1
Vitaly Janelt,4,3,0.6,0.4,1.2,-,0.5,0.7
Ryan Tafazolli,2,2,0.4,0.1,0.4,0.2,0.1,0.2
Perry Ng,-,3,0.6,0.3,1.8,0.1,0.5,1.2
Jarrad Branthwaite,-,-,-,0.2,1,0.1,0.2,0.5
Graeme Shinnie,3,1,1.1,0.9,1.4,-,0.8,1.3
Andy Yiadom,1,1,0.9,1.9,1.6,0.1,0.7,1
Winston Reid,-,-,0.2,0.1,1.4,-,-,0.4
Connor Roberts,5,7,1.8,0.2,1.7,0.1,0.5,0.8
Will Hughes,2,-,0.6,0.4,1,-,0.6,0.7
Sonny Bradley,-,1,0.3,0.1,1.1,-,0.1,0.4
Ryan Yates,2,2,0.4,0.2,2.3,0.2,0.6,0.6
Andrew Hughes,-,2,0.3,0.2,0.4,-,0.3,0.7
Morgan Fox,-,3,0.7,0.4,0.4,-,0.3,0.5
Joe Ralls,5,4,1.1,0.5,0.7,0.1,0.5,1
Philip Billing,8,4,0.8,0.7,1,-,1,1.8
Andreas Weimann,2,-,0.4,0.3,2.6,0.3,0.1,2.1
Daniel Barlaser,3,4,1.6,0.4,0.8,-,0.4,0.8
Christian Kabasele,1,-,0.1,0.3,1,-,0.1,0.4
Bradley Johnson,3,-,0.6,0.4,1.3,0.1,0.5,0.7
Jefferson Lerma,3,2,0.8,0.7,1.5,0.1,0.5,1
Ken Sema,5,5,1.2,1,0.8,0.3,1.1,1.9
Jeremy Ngakia,-,1,0.4,1.1,0.7,-,0.7,1
Nathaniel Chalobah,3,1,0.3,0.7,1.2,-,0.6,1.6
Henrik Dalsgaard,2,1,0.6,0.6,1,-,0.1,0.7
Ben Brereton,7,4,1.1,1.4,1.5,0.5,1.1,2.4
Harry Toffolo,2,5,1.1,0.8,1.3,0.2,0.6,1.2
Callum Styles,4,3,0.8,0.8,1.1,-,1,2.4
George Saville,6,4,0.8,0.4,1.1,0.1,0.9,1.3
Mathias Jensen,2,7,1.5,0.6,0.3,-,0.7,1.3
Ben Davies,-,-,0.2,0.2,0.5,-,0.1,0.2
Nathan Collins,2,1,0.5,0.7,0.5,-,0.4,1.2
Lewis Cook,1,1,0.7,1.3,1.1,-,0.9,1
Daniel Ayala,-,1,0.1,0.2,0.7,0.2,0.2,0.4
Rico Henry,1,2,0.8,1,1.2,-,0.7,1.4
Sam Clucas,2,3,1.7,0.3,0.9,0.1,0.3,0.9
Julian Börner,3,-,0.3,0.2,1,-,0.3,0.2
David Brooks,5,7,1.1,1.1,1.4,0.2,1,2.1
Neeskens Kebano,1,3,1.2,1.2,1.6,0.4,1.2,1.7
Lewis O'Brien,3,3,1.1,1.3,1.5,0.1,1.2,1.7
Yannick Bolasie,3,3,0.5,0.9,0.6,0.3,0.9,2.2
Junior Stanislas,10,4,1.4,0.9,0.4,0.1,0.8,1.1
Nathan Byrne,-,4,1.4,1.1,1.2,-,0.6,1.3
Will Vaulks,5,2,1.1,0.2,0.6,0.1,0.5,0.5
Joe Lumley,-,-,0.2,-,0.4,-,-,-
Sammy Ameobi,3,2,0.6,1.5,0.7,0.3,2,2.4
Chris Martin,2,5,1.2,-,1,0.2,0.5,1.5
Pontus Jansson,-,-,0.3,0.1,0.5,-,0.1,0.2
Christian Nørgaard,-,-,0.7,0.4,0.7,-,0.1,0.8
Lyndon Dykes,12,5,0.8,0.4,0.8,0.3,1,1.8
Dominic Hyam,3,-,-,0.1,0.7,0.1,0.1,0.4
Sam Gallagher,8,3,0.6,0.8,0.9,0.4,1.1,2
Charlie Austin,8,1,0.5,0.5,1.1,0.4,0.9,1.8
Cameron Carter-Vickers,1,1,0.2,0.3,0.3,-,0.2,0.2
Kiko Femenía,-,4,0.8,0.7,0.6,0.1,0.4,1.2
Joshua Earl,-,-,0.4,0.6,1,-,0.2,1.2
Jay Fulton,3,2,0.4,0.5,0.9,0.1,0.4,0.5
Naby Sarr,4,-,0.2,0.3,0.6,0.1,0.2,0.3
Stefan Johansen,4,2,1.6,0.5,0.5,-,0.6,1.1
Tommy Smith,2,3,1.4,0.3,1.1,0.1,0.3,0.5
Lloyd Kelly,1,4,0.7,0.6,0.9,0.1,0.9,1.1
Marc Bola,1,1,0.7,0.8,1.1,0.1,0.3,0.8
Jordi Osei-Tutu,-,-,0.4,1,1.3,-,1,1.1
Joe Bennett,1,2,0.4,0.6,0.7,0.3,0.5,0.4
Ilias Chair,8,4,1.6,1.1,0.7,0.5,1.2,2.3
Louis Britton,1,-,-,-,-,-,-,1
James Chester,-,-,0.1,0.3,0.4,-,0.2,0.3
Felipe Araruna,-,-,-,-,1.5,-,0.5,1
Sepp van den Berg,-,-,0.4,0.3,0.4,-,0.7,1.1
Geoff Cameron,-,3,0.4,0.3,0.9,-,0.6,0.7
Craig Cathcart,1,1,0.2,0.1,0.2,-,0.1,0.2
Anfernee Dijksteel,-,-,0.3,0.8,1.2,-,0.4,1
Jake Bidwell,1,8,0.9,0.1,0.6,0.2,0.2,0.5
Christopher Schindler,-,-,0.1,-,0.8,-,-,0.3
Asmir Begovic,-,1,-,-,0.2,-,-,-
Conor Hourihane,5,2,0.9,0.2,0.6,0.1,0.4,0.9
Carlton Morris,7,3,0.5,0.4,0.9,-,1.1,1.7
Joe Worrall,1,1,0.3,0.1,0.4,0.1,0.1,0.4
Matty Pearson,2,-,0.2,0.1,0.9,-,0.1,0.5
Glen Rea,3,2,0.2,0.4,0.9,-,0.2,0.6
Colin Kazim-Richards,8,2,0.6,0.5,0.9,0.7,0.9,2.4
Jamal Lowe,14,-,0.5,1,1.4,0.8,1.6,3
Gustavo Hamer,5,2,1.5,0.5,0.8,-,0.5,1.3
Scott Wharton,-,-,0.1,-,0.1,-,-,0.3
Benjamin Whiteman,1,-,0.7,0.3,0.3,-,0.1,0.4
Harvey Elliott,7,11,1.7,0.9,0.7,0.1,0.6,1.8
Steven Fletcher,9,4,0.5,0.4,0.8,0.6,0.9,2.2
Scott McKenna,1,-,0.2,0.3,0.7,-,0.1,0.3
Darnell Fisher,-,-,0.8,0.3,2.4,0.1,0.6,0.8
Leo Østigard,2,2,0.2,-,1,-,0.1,0.5
Lukas Rupp,-,3,1,0.7,0.7,-,0.8,1
Tobias Figueiredo,-,1,0.2,0.2,0.5,-,0.2,0.2
Cauley Woodrow,13,5,1.1,0.4,1.1,0.7,1.2,3.1
Diego Rico,1,3,0.8,0.3,1,0.1,0.5,0.8
Andy Rinomhota,1,3,0.4,0.5,2,-,0.5,1.2
Pipa,2,4,0.9,1.1,0.9,0.1,0.9,1.6
Jonny Howson,1,1,0.6,0.5,0.7,-,0.3,0.8
Dillon Phillips,-,-,-,-,0.1,-,-,-
Sam Hutchinson,1,-,-,0.1,0.6,0.1,0.1,0.5
Mads Bech Sørensen,2,-,0.3,0.1,0.8,-,0.1,0.4
Tom Lawrence,3,1,0.8,1.3,0.9,-,0.7,1.7
James McClean,2,3,0.8,0.6,0.5,0.2,0.8,1.7
Samba Sow,-,1,0.3,0.5,0.8,-,0.8,1.2
Ryan Manning,-,2,0.7,0.2,1.3,0.1,0.4,0.8
Chris Mepham,1,-,0.2,0.2,0.6,-,0.3,0.4
Gaëtan Bong,-,1,0.6,0.6,0.5,0.1,0.5,1.4
Alex Pearce,-,-,0.2,0.1,0.5,-,-,0.3
Carel Eiting,3,3,1.3,0.6,0.3,-,0.6,1
Filip Krovinovic,1,2,1.4,0.8,1.8,0.1,0.7,1.9
Murray Wallace,1,-,0.5,0.3,0.7,-,0.3,0.9
Jack Simpson,-,-,-,0.2,0.1,-,-,0.4
Greg Cunningham,1,-,0.5,0.6,1,-,0.3,0.5
Marlon Pack,2,2,1,0.5,0.7,-,0.2,0.3
Seny Timothy Dieng,-,-,-,-,0.3,-,-,-
Sam Morsy,1,5,0.8,0.7,0.8,-,0.4,0.8
Liam Kelly,2,-,0.3,0.3,1,-,0.2,0.6
Callum Paterson,8,3,0.4,0.3,1.2,0.3,0.6,1.8
Lee Wallace,1,3,0.7,0.6,0.7,0.1,0.3,1.1
Achraf Lazaar,-,-,-,0.6,0.2,-,0.8,0.4
Caolan Boyd-Munce,-,-,1,1,-,-,-,1
Tom Trybull,-,1,0.2,0.2,0.6,-,0.3,0.4
Cheyenne Dunkley,-,1,0.2,0.1,0.4,-,0.1,0.2
Liam Moore,-,1,0.2,0.1,0.6,0.1,-,0.5
Josh Knight,1,-,0.3,0.4,1.2,-,0.3,0.8
Ciaron Brown,-,-,0.3,0.1,1.4,0.1,0.1,0.4
Marcus Browne,2,1,0.6,-,1.2,0.6,0.2,0.4
William Troost-Ekong,1,-,0.1,0.1,0.3,-,0.1,0.4
Anthony Knockaert,2,1,1.3,1.4,1.1,0.1,1.2,1.9
Ched Evans,5,1,0.9,0.5,2,0.7,1.5,4.3
Callum O'Hare,3,8,1.1,1.5,2.6,0.2,1.9,3.3
George Friend,-,-,0.1,0.7,0.7,0.1,0.5,1.3
Kasey Palmer,2,2,0.8,1.5,1.1,-,1.3,1.7
Matt Smith,3,2,0.4,0.1,0.3,0.5,0.2,0.6
Alfa Semedo,2,2,0.3,1.1,0.7,0.1,0.8,1.2
Ryan Nyambe,-,4,0.7,0.6,1.3,-,0.7,1.2
Joe Rothwell,3,4,0.9,1.3,0.4,-,0.6,1.3
Kyle McFadzean,2,1,0.3,-,0.8,-,0.1,0.2
Mario Vrancic,3,5,1,0.4,0.7,0.1,0.7,0.7
Lukas Jutkiewicz,8,3,0.4,0.1,1.4,0.5,0.8,2
Clark Robertson,-,1,0.6,0.1,0.6,0.1,-,0.4
Maxime Colin,1,2,0.7,0.6,0.5,-,0.4,1.4
Kyle Naughton,-,1,0.2,0.3,0.5,-,0.2,0.4
Anthony Stewart,1,1,0.2,0.3,0.8,-,0.4,0.4
Paul Huntington,-,-,-,-,0.2,0.1,-,0.1
Mahlon Romeo,1,1,0.4,0.9,1.6,0.1,0.7,1.4
George Evans,1,1,0.5,0.4,0.5,0.1,0.3,0.8
Michael Sollbauer,-,-,0.1,0.1,0.4,-,0.1,0.2
Daniel Bachmann,-,-,-,-,0.1,-,-,-
David Raya Martin,-,-,-,-,0.3,-,-,-
Daniel Iversen,-,-,-,-,0.2,-,-,-
Tommy Rowe,1,2,0.5,0.3,0.6,-,0.4,1.1
Curtis Thompson,-,-,0.5,0.8,2,-,1,1.5
Matt Crooks,6,3,0.8,0.7,0.9,0.3,0.9,2.1
Massimo Luongo,-,-,0.3,0.3,0.8,-,0.5,0.7
Tom Lockyer,-,-,0.3,0.2,0.9,-,0.3,0.5
Jamie Paterson,3,2,1.3,0.9,1.1,-,0.8,1.3
Maxime Biamou,5,2,0.6,0.4,1.2,0.6,1,2.6
John Swift,1,2,1.1,0.9,0.7,0.2,1.1,1.7
David Wheeler,3,1,0.3,0.1,0.7,0.1,0.2,1
Dominic Iorfa,-,-,0.2,0.4,0.2,0.1,0.1,1.2
Dan McNamara,-,1,0.8,0.9,1.1,0.1,0.8,1.4
Jonathan Hogg,1,-,0.3,0.1,1,-,0.5,0.9
Gary Gardner,2,-,0.7,0.4,0.8,0.1,0.3,1.2
Lewis Holtby,-,1,1.2,0.3,1.2,0.1,0.9,1.1
Viktor Johansson,-,-,-,-,0.4,-,-,-
Fraizer Campbell,7,3,0.6,0.6,1.4,0.2,0.7,1.9
Yuri Ribeiro,1,-,0.7,1,1.2,-,1,0.8
Famara Diédhiou,8,1,0.4,0.3,0.8,0.4,1,2.5
Osman Kakay,1,1,0.6,0.8,0.5,-,1,2
Kieran Dowell,5,1,1,0.3,0.5,0.1,0.6,1.3
Amari'i Bell,-,-,0.6,0.7,1.1,0.1,0.6,1.6
Jordan Smith,-,-,-,-,-,-,-,-
Lee Buchanan,-,3,0.4,0.6,1,0.1,0.8,1.5
Ben Foster,-,-,-,-,-,-,-,-
David Stockdale,-,-,0.2,0.1,0.3,-,-,0.1
Jamal Blackman,-,-,-,-,0.2,-,-,-
Jérémie Bela,3,6,1.3,1.2,1.1,0.3,1,2.3
George Edmundson,1,-,0.2,0.3,0.8,0.1,0.3,0.3
Jacob Sørensen,1,1,0.4,0.4,0.7,-,0.5,0.5
Tariqe Fosu-Henry,4,3,0.4,1.1,1.1,0.1,1.1,1.5
Adam Reach,5,3,0.8,0.7,0.5,0.1,0.7,1.9
Chris Willock,3,5,0.8,1.2,1,0.2,1.1,1.8
Jake Clarke-Salter,-,-,0.1,0.5,0.4,0.1,-,1
Carl Jenkinson,-,-,1.3,0.7,0.3,-,-,0.3
Wayne Rooney,1,-,2,0.8,0.4,-,0.7,1.3
Wes Harding,-,4,0.6,0.3,0.4,-,0.4,1.2
Dan Gosling,2,1,0.3,0.6,0.9,0.1,0.9,1.2
Rhys Norrington-Davies,1,-,0.4,0.5,1.3,-,0.6,1.2
Thomas Holmes,-,2,0.3,0.3,0.7,-,0.3,0.4
Matthew Olosunde,-,3,0.4,0.5,1.2,-,0.7,1.1
Adam Smith,-,5,0.7,0.6,1.8,0.1,0.7,1.4
Callum O'Dowda,1,1,0.7,1.2,2.1,0.1,1.4,1.8
James Collins,10,2,0.5,0.4,1.5,0.7,0.6,2
Sheyi Ojo,5,7,0.5,0.8,1.1,0.2,0.6,1.8
Jamie Lindsay,3,1,0.5,0.1,1.1,-,0.5,0.8
Maikel Kieftenbeld,-,-,0.3,0.5,1,-,0.6,1.6
Jason McCarthy,2,2,0.8,0.2,0.7,-,0.3,0.5
John Obi Mikel,-,1,0.3,0.7,1,-,0.8,1
Uche Ikpeazu,6,3,0.5,0.8,2.4,0.5,2.3,4.7
Kadeem Harris,-,4,0.7,1.5,1.4,0.1,0.9,1.4
Zak Vyner,2,1,0.1,0.3,0.2,-,0.2,0.4
Richard Wood,2,-,0.3,-,1,0.3,0.2,0.4
Tom Sang,-,-,0.7,0.6,0.8,-,0.7,1.3
Sam Field,1,-,0.2,0.2,0.5,-,0.3,0.7
David Junior Hoilett,2,2,0.8,0.8,0.6,0.4,1,1.3
Robert Glatzel,3,2,0.4,0.8,1.1,0.1,0.8,1.3
Jack Grimmer,-,1,0.5,0.3,0.5,-,0.2,0.7
Admiral Muskwe,3,-,0.5,0.8,1,0.2,1.1,1.5
Isaac Mbenza,5,7,1.2,0.4,0.5,0.5,0.3,1
Joel Bagan,-,-,0.6,0.6,0.3,-,0.1,0.1
Liam Palmer,1,2,0.5,0.3,0.8,-,0.3,0.6
Dennis Adeniran,-,1,0.2,1,1.2,-,0.5,0.8
Joe Lolley,1,2,0.9,1.3,0.9,0.1,1.2,1.6
Mason Bennett,6,1,0.6,0.5,1.2,0.2,1.2,2.4
Bartosz Bialkowski,-,-,-,-,0.2,-,-,-
Ryan Giles,-,1,0.9,0.9,0.5,0.1,0.7,1.6
Josh Windass,9,5,0.7,0.6,1,0.6,0.7,1.2
Jordan Archer,-,-,-,-,1,-,-,-
Jordan Thompson,1,2,0.9,0.3,1.2,-,0.4,0.9
Domingos Quina,1,-,0.7,1.1,1.5,0.1,1.4,2.1
Jason Knight,2,-,0.6,0.7,2.2,0.1,0.9,2
Thomas Kaminski,-,-,-,-,0.1,-,-,-
Taylor Harwood-Bellis,-,-,0.2,-,0.1,-,-,0.3
Lewis Travis,-,-,0.4,0.7,1.4,-,0.7,1.6
Nathan Wood,-,-,0.3,-,0.8,-,0.3,0.5
Jordan Clark,1,-,0.5,0.8,1,0.1,0.8,1.4
