Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Diego Llorente,1,-,0.3,0.4,0.6,-,0.5,0.7
Matt Targett,-,2,1,0.4,0.6,-,0.2,0.6
Marcos Alonso,2,-,1.2,0.7,0.9,0.2,0.7,1
Nélson Semedo,1,1,0.6,1.8,1,0.1,0.8,1.6
Diogo Jota,9,-,0.6,1.1,1.1,0.1,1.1,2.1
Jannik Vestergaard,3,-,0.2,0.2,0.4,-,0.2,0.4
Arthur Masuaku,-,2,0.9,2.4,0.7,0.1,1.3,1.2
Alexandre Lacazette,13,2,0.7,0.7,1.7,0.3,1,1.6
Andros Townsend,1,5,1.2,1.3,1.6,0.1,1.6,1.4
John McGinn,3,5,1.1,1.4,2.1,-,0.9,1.8
Wilfried Zaha,11,2,1,1.8,2.9,0.7,2.6,3.6
Andrew Robertson,1,7,1.7,0.7,0.3,0.2,0.3,1.1
Bukayo Saka,5,3,1.2,1.4,2,0.5,1.3,2.3
Jorginho,7,1,0.9,0.6,1,-,0.5,0.7
Jonny Evans,2,2,0.4,0.3,0.4,-,0.1,0.1
Romain Saïss,3,-,0.2,0.3,0.4,-,0.1,0.4
Stuart Dallas,8,2,0.7,0.6,1.3,-,0.9,1.4
Dwight McNeil,2,5,1.3,1.8,1.1,0.1,1.7,1.6
Nick Pope,-,-,0.1,-,0.2,-,-,0.1
Tanguy Ndombele,3,2,0.4,2.2,1.8,-,1,1.7
Yerry Mina,2,-,-,-,0.5,-,-,0.1
N'Golo Kanté,-,2,0.7,0.9,0.2,-,0.5,1.6
Toby Alderweireld,1,-,0.3,0.2,0.1,-,0.1,0.1
Dani Ceballos,-,3,1.1,1,1,-,0.6,0.9
Bertrand Traoré,7,6,1,1.4,1.1,0.2,0.7,1.9
Fikayo Tomori,-,-,-,-,-,-,-,-
Gaetano Berardi,-,-,-,-,-,-,-,-
Mateo Kovacic,-,1,0.8,2,1.1,-,0.9,1
Tom Cairney,1,1,1.7,1.6,1.8,0.1,1.1,1.5
Joël Veltman,1,1,0.8,0.6,1.4,-,0.3,0.6
Martin Dúbravka,-,-,-,-,0.4,-,-,0.1
Oleksandr Zinchenko,-,-,0.8,0.3,0.2,0.1,0.3,0.8
Antonee Robinson,-,-,1,1.8,0.3,-,0.8,1.6
Kelechi Iheanacho,12,2,1.1,1.3,0.5,0.4,1.4,2.3
João Virgínia,-,-,-,-,-,-,-,-
Terence Kongolo,-,-,-,-,1,-,-,-
Anthony Martial,4,3,0.8,1.6,1.2,0.7,1.7,2.3
James McArthur,-,2,0.8,0.8,0.8,-,0.6,0.9
Lewis Dunk,5,-,0.3,0.2,0.6,0.1,-,0.4
Kyle Walker-Peters,-,2,0.5,1.5,1.4,0.2,1.6,1.2
Danny Ings,12,4,0.8,1,0.6,0.6,0.6,2.3
Callum Wilson,12,5,0.7,1,1.6,0.8,1.5,2.8
Trézéguet,2,1,0.6,0.8,0.9,0.2,0.6,1.3
Timothy Castagne,2,3,0.8,0.4,0.5,-,0.4,0.9
Pascal Groß,3,8,2.1,0.3,0.5,0.1,0.5,1
Fabinho,-,-,0.1,0.2,0.9,-,0.2,0.6
Stuart Armstrong,4,5,1.1,2.1,1.1,0.1,2.1,2.3
Jordan Henderson,1,1,0.7,0.4,0.5,-,0.2,0.3
Aaron Cresswell,-,8,1.6,0.1,0.5,-,0.3,0.4
Chris Wood,12,3,0.7,0.2,0.7,0.7,1.3,2.4
Eberechi Eze,4,6,1.3,1.9,2.1,-,1.1,1.7
Rúben Neves,5,1,0.9,0.3,0.5,-,0.4,0.7
Fernandinho,-,2,0.7,0.5,0.5,-,0.2,0.3
Timo Werner,6,8,1,0.8,0.9,0.8,0.8,2.5
Pascal Struijk,1,-,0.1,0.1,0.3,-,0.3,0.4
Tyrone Mings,2,2,0.2,0.2,0.5,0.1,0.1,0.5
Jonjo Shelvey,1,3,1.2,0.7,0.3,-,0.2,0.6
Leandro Trossard,5,5,1.4,1.1,0.9,0.1,1.7,1.9
Andreas Christensen,-,-,0.4,0.4,0.4,-,0.1,0.5
Joachim Andersen,1,1,0.3,0.3,0.5,-,0.1,0.3
Karl Darlow,-,-,-,-,0.2,-,-,-
Calum Chambers,-,2,1.1,0.4,0.2,-,0.4,0.7
Rob Holding,-,1,0.1,0.3,0.2,0.1,0.2,0.4
Anwar El Ghazi,10,-,0.9,0.9,1,0.2,1.3,1.7
Conor Hourihane,1,1,1.3,-,-,-,-,0.3
Abdoulaye Doucouré,2,3,0.7,0.7,0.4,-,0.9,1.2
Amad,-,1,0.7,1.7,1.3,-,1.7,1.7
Pablo Fornals,5,4,0.9,0.9,0.5,0.2,0.6,1.1
Pierre-Emerick Aubameyang,10,3,0.8,0.4,0.6,0.6,0.7,1.3
Ben Godfrey,-,2,0.1,0.3,0.5,0.1,0.2,0.9
Che Adams,9,5,1,0.8,1.5,0.5,1.2,2.4
Adam Webster,1,-,0.2,0.6,0.5,-,0.2,0.9
Kyle Bartley,3,1,0.2,0.1,0.3,0.2,0.1,0.3
Emile Smith Rowe,2,4,1.4,0.5,1,0.2,0.4,1.9
Allan,-,-,0.7,1.3,1.3,-,0.8,0.9
Kyle Walker,1,1,0.3,1,0.5,-,0.7,0.7
Josh Brownhill,-,1,0.5,0.5,1,0.1,0.5,1.1
Aymeric Laporte,-,-,0.3,0.1,0.6,0.1,0.1,0.5
Ferran Torres,7,2,0.8,0.8,0.7,0.2,0.9,1
Nicolas Pépé,10,1,0.4,1,0.9,0.1,0.8,1.9
Ross Barkley,3,1,1.6,1.2,0.7,0.2,1.3,1.6
Hugo Lloris,-,-,-,-,0.1,-,-,-
Willy Boly,1,1,0.1,0.2,0.4,-,0.1,0.5
Dan Burn,1,-,0.4,0.4,0.2,0.1,0.3,1
Sébastien Haller,3,-,0.6,0.6,0.9,0.6,1.4,2.6
Ezri Konsa,2,-,0.1,0.2,1.5,-,0.2,0.5
Jarrod Bowen,8,5,0.8,0.9,1.4,0.4,1.3,1.7
Matt Doherty,-,2,0.6,0.3,0.7,-,0.5,1.1
Thomas Partey,-,2,0.5,1.2,0.7,-,0.4,0.9
Joelinton,4,2,0.5,1.2,1.2,0.2,1.4,2.6
Christian Pulisic,4,2,0.9,1.8,1.2,0.1,1.1,2.5
Marc Albrighton,1,5,1.2,1.2,0.6,0.1,0.9,1.1
Çaglar Söyüncü,1,-,0.3,0.2,0.7,-,0.2,0.3
Alphonse Areola,-,-,-,-,0.1,-,-,-
Christian Fuchs,-,-,0.1,-,0.6,-,0.1,0.2
Sam Johnstone,-,1,-,-,0.1,-,-,-
Alisson,1,-,-,0.1,0.2,-,-,-
Granit Xhaka,1,2,0.5,0.3,1.2,-,0.4,0.6
Tosin Adarabioyo,-,-,0.2,0.3,0.2,0.1,0.2,0.4
Angelo Ogbonna,3,-,0.1,0.1,0.3,-,0.2,0.1
Gabriel Magalhães,2,-,0.1,0.2,1.1,-,0.3,0.2
Callum Hudson-Odoi,2,3,1.4,0.7,0.3,0.2,0.7,0.6
Tariq Lamptey,1,1,0.9,1.2,2.5,0.1,0.5,1.9
David McGoldrick,8,1,0.5,1.3,0.9,0.5,1.3,2.5
Mason Greenwood,7,2,0.5,1.2,0.6,0.1,0.9,1.1
Martin Ødegaard,1,2,1.4,0.9,0.6,0.1,0.8,1
Sergio Reguilón,-,3,0.6,0.8,0.7,-,0.6,1.3
Conor Townsend,-,2,0.9,0.4,1,0.1,0.3,1.3
Ozan Kabak,-,-,0.1,0.3,0.3,-,0.3,0.4
Matthew Lowton,1,1,0.8,0.8,0.4,-,0.3,1.1
Pablo Marí,-,-,0.1,0.3,0.4,-,-,0.1
Robin Olsen,-,-,-,-,0.1,-,-,-
David Button,-,-,-,-,-,-,-,-
Fabián Balbuena,1,-,-,0.1,0.2,-,-,0.2
Rhys Williams,-,-,0.2,-,0.2,-,-,-
Hakim Ziyech,2,3,1.5,0.8,0.7,0.2,0.7,1.3
Jan Bednarek,1,1,0.1,0.1,0.4,-,0.1,0.3
