Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Arsen Adamov,-,1,0.8,0.5,3.1,-,1,1.1
Moritz Bauer,-,2,1.9,0.1,0.3,-,0.4,0.9
Nemanja Miletic,1,-,1.3,1,1.8,-,1.2,1.7
Yaroslav Godzyur,-,-,-,-,0.1,-,-,-
Yuri Dyupin,-,-,-,-,0.2,-,-,0.1
Konstantin Maradishvili,1,1,0.8,0.5,1.1,-,0.7,1.5
Ezequiel Ponce,9,1,0.6,0.9,0.6,0.4,1.1,1.8
Abdul Mohammed Kadiri,2,-,0.3,1.2,0.5,-,0.2,0.5
Dmitriy Chistyakov,-,1,0.3,-,0.4,-,-,0.3
Nikola Moro,3,1,0.7,0.5,0.8,-,0.6,0.5
Filip Uremovic,-,-,0.5,0.2,0.6,-,0.5,0.5
Yaroslav Rakitskiy,1,3,0.8,0.1,0.5,-,0.1,0.3
Kaio,1,-,0.1,0.5,1.2,-,0.4,0.6
Brian Idowu,3,1,1.1,0.3,0.6,0.1,0.5,1
Bernard Berisha,8,2,1.2,1.3,1.3,0.7,1.5,2.3
Daniil Lesovoy,2,-,1,2.7,1.8,-,2.2,1.8
Igor Leshchuk,-,-,-,-,-,-,-,-
Othman El Kabir,1,4,1.6,0.7,2.1,0.3,0.9,1.6
Artem Timofeev,3,2,0.8,0.4,1.4,0.1,0.6,1.1
Eric Bicfalvi,7,1,1.3,0.7,1.5,0.2,2,3.5
Hördur Magnússon,1,1,0.4,0.1,0.9,-,0.1,-
Marcus Berg,9,3,1,0.1,0.9,0.4,0.6,1.7
Darko Jevtic,3,3,1.9,0.8,0.4,-,1.1,0.8
Emil Bohinen,-,-,1.5,1,0.3,-,0.3,2
Matvey Safonov,-,-,-,-,0.1,-,-,-
Aleksandr Belenov,-,-,-,-,-,-,-,-
Cedric Gogoua,-,-,0.2,0.2,0.5,-,0.1,0.4
Zoran Nizic,-,1,0.2,0.4,0.6,-,0.1,0.3
Dmitri Skopintsev,1,1,0.7,1.3,1,0.1,0.7,1.5
Stefan Strandberg,1,1,0.5,0.3,0.4,-,0.1,0.4
Sergei Borodin,-,-,-,-,-,-,-,-
Ismael Silva,1,4,1.3,0.4,1.2,-,0.9,1
Ilya Kukharchuk,5,5,0.9,0.5,1.4,0.2,0.7,1.1
Salomón Rondón,4,2,0.8,0.3,0.2,0.2,0.3,2.5
Kings Kangwa,1,3,1.7,1,0.6,0.2,0.5,0.9
Nail Umiarov,-,4,0.6,0.3,0.6,-,0.6,0.6
Timofey Margasov,-,5,0.8,0.2,0.4,-,0.3,0.5
Yuri Gazinskiy,3,2,0.7,0.3,1,0.1,0.3,0.8
Kento Hashimoto,6,1,0.5,0.3,0.6,0.1,0.6,1
Kirill Nababkin,-,-,-,-,0.3,-,-,0.3
Oleksandr Kaplienko,-,1,0.5,0.3,0.5,0.1,0.3,0.4
Sergey Pesjakov,-,-,-,-,-,-,-,-
Dmitriy Shomko,-,-,0.3,0.8,0.3,-,1,0.8
Ilya Pomazun,-,-,-,-,0.1,-,-,-
Vladimir Rykov,-,-,0.4,0.1,0.9,-,-,0.2
Vyacheslav Grulev,4,1,1,0.8,1.1,0.2,1.6,1.9
Josip Condric,-,-,-,-,0.1,-,-,0.1
Nikita Burmistrov,6,1,1.1,0.5,0.6,0.4,1,1.6
Vitaly Gudiev,-,-,-,-,-,-,-,-
German Onugkha,4,-,0.2,1.1,1.6,0.3,1.9,2.3
Andrey Semenov,2,-,0.4,0.1,0.9,-,0.1,0.1
Vladimir Iljin,9,3,0.8,0.8,0.8,0.6,1.5,1.3
Andrey Mostovoy,6,2,0.9,0.9,1,0.2,0.8,1.1
Tonny Vilhena,2,2,0.9,0.9,1.2,-,0.8,1.5
Yuri Zhirkov,-,2,0.7,0.1,0.5,0.1,0.1,0.3
Aleksey Shchetkin,2,-,0.4,-,0.2,-,0.6,2
Georgi Zotov,-,1,0.6,1.1,0.9,0.1,0.6,1.5
Anton Shunin,-,-,0.1,-,0.1,-,-,-
Baktiyor Zainutdinov,1,1,0.7,0.4,1.4,0.1,0.4,1.2
Sergei Ryzhikov,-,-,0.1,-,-,-,-,-
Igor Akinfeev,-,-,-,-,-,-,-,-
Nikolay Zabolotny,-,-,-,-,-,-,-,-
Cristian Ramírez,-,1,1.3,0.5,0.8,0.2,0.4,0.8
Andrey Lunev,-,-,-,-,-,-,-,-
Guilherme,-,-,-,-,-,-,-,0.1
Ali Sowe,3,-,1.1,0.7,1,0.2,1.6,2.7
Kristoffer Olsson,3,2,0.8,0.3,1.1,-,1,0.7
Aleksandr Dovbnya,-,-,-,-,-,-,-,0.2
Joãozinho,1,3,1.7,0.5,0.9,0.5,0.9,1.3
Dimitri Barinov,1,1,0.5,0.1,0.4,-,0.1,0.8
Rifat Zhemaletdinov,3,5,1,1,1.1,0.3,1.2,1.6
Odise Roshi,2,-,1.3,0.5,0.7,0.2,0.8,0.7
Varazdat Haroyan,-,-,1,-,-,-,-,-
Aleksandr Maksimenko,-,-,-,-,0.2,-,-,-
Soslan Dzhanaev,-,-,-,-,0.1,-,-,-
Sergey Tkachev,3,3,1.5,0.3,1,-,0.4,1.2
Konstantin Pliev,-,-,0.2,0.2,0.4,-,0.4,0.3
Vitali Lystsov,-,-,-,0.2,0.4,-,0.2,0.4
Georgi Kostadinov,-,-,0.4,0.2,2.6,-,0.4,0.6
Emanuel Mammana,-,1,0.2,0.2,0.2,-,0.1,0.2
Georgi Dzhikiya,-,-,0.4,0.1,1.2,-,0.3,0.4
Vladislav Ignatjev,3,-,0.4,0.2,1.3,-,1.1,0.9
Ivan Maevski,-,-,-,0.4,0.4,0.2,0.8,1.2
Kirill Zaika,1,3,0.7,0.3,1.4,-,0.6,1.1
Egor Danilkin,-,-,0.2,0.1,0.3,-,-,0.3
Aleksandr Putsko,-,-,0.1,0.4,0.4,0.1,0.1,0.3
Aleksey Ionov,1,2,1.8,0.4,0.2,0.6,0.9,1.2
Aleksey Sutormin,3,4,1,0.3,0.5,-,0.7,0.8
Alexander Lomovitskiy,2,2,1,1,1.3,0.4,2.1,3.2
Daniil Kulikov,-,2,0.9,0.2,0.6,-,0.3,1.1
Nikolai Zolotov,-,-,0.3,0.1,0.8,0.3,0.3,1.3
Fedor Chalov,7,4,0.8,0.5,0.5,-,0.6,1.9
Alan Dzagoev,2,1,1,0.3,1.3,0.3,0.7,1.1
Oleg Kozhemyakin,-,1,0.2,0.2,0.3,-,0.3,0.5
Oleg Shatov,1,3,1.3,0.4,1.6,-,1,1.2
Maksim Nenakhov,-,3,0.8,0.4,0.8,-,0.8,0.9
Dmitry Zhivoglyadov,-,2,0.8,0.3,1.4,-,0.5,0.9
Konstantin Tyukavin,3,3,1,0.3,0.9,0.3,0.4,1.3
Evgeni Gapon,-,-,0.7,0.5,1.2,-,0.3,0.3
Danil Stepanov,1,1,0.4,0.7,2.1,-,0.5,1.5
Aleksandr Erokhin,7,3,0.6,0.1,0.4,0.1,0.4,0.8
Roman Eremenko,1,1,1.2,0.4,0.6,0.1,0.5,0.8
Alexander Selikhov,-,-,-,-,-,-,-,-
Valeriu Ciuperca,2,-,0.9,0.8,2.4,0.1,1.8,0.9
Aleksandr Saplinov,1,-,-,-,-,-,-,0.7
Robert Bauer,1,-,0.6,0.6,1.3,-,0.8,0.6
Egor Baburin,-,-,-,-,0.5,-,-,-
Denis Terentjev,-,1,0.9,0.3,0.2,-,0.7,1.2
Evgeny Kharin,3,1,0.6,0.4,0.9,0.1,1,1.6
Guillermo Varela,-,-,0.5,0.7,0.9,0.1,0.5,1.2
Aleksandr Chernikov,-,-,-,-,1,-,-,1
Wilker Ángel,1,1,0.1,-,0.8,0.1,0.1,0.2
Clinton N'Jie,4,-,0.7,1.5,0.3,0.7,0.7,1.6
Pavel Mamaev,2,1,1.3,0.3,0.5,0.1,0.5,1
Aleksandr Kokorin,2,1,0.9,0.3,1.1,0.3,0.5,0.3
Pavel Pogrebnyak,4,-,1.1,0.4,1.2,0.8,0.7,1.8
Aleksey Gerasimov,-,-,0.1,0.1,0.2,-,0.1,0.1
Ibrahim Tsallagov,-,-,0.6,0.2,1,-,0.4,0.7
Artem Polyarus,-,-,2.6,1,1.3,-,0.8,1.6
Zuriko Davitashvili,-,-,0.9,1.8,1.2,0.1,2.3,2.7
Andrey Egorychev,2,-,0.4,1,0.8,0.1,0.7,2
Haitam Aleesami,-,-,0.3,0.2,0.3,-,0.2,0.5
Aleksey Ionov,4,3,0.9,0.3,0.4,0.7,0.2,1.3
Aleksey Kozlov,1,1,0.3,-,0.7,-,0.7,0.6
Alexey Nikitin,-,-,0.1,-,0.7,-,0.1,0.2
Vladimir Dyadyun,-,1,0.8,0.3,0.9,0.5,1.4,2.8
Ade,-,-,-,-,0.8,-,0.3,0.1
Egor Sorokin,-,-,0.1,0.1,0.3,-,-,0.1
Pavel Maslov,-,-,0.3,0.3,0.8,-,0.4,0.5
Roman Neustädter,1,-,0.1,0.1,0.6,-,0.1,0.2
Ivan Miladinovic,1,-,0.1,0.3,0.8,-,0.2,0.3
Ivan Novoseltsev,-,1,0.3,-,0.6,-,-,0.1
Georgy Schennikov,-,-,0.8,0.5,1.6,-,0.5,1
Silvije Begic,-,-,0.2,0.2,0.5,-,0.1,0.2
Aleksandr Dolgov,1,1,0.5,0.7,0.8,0.2,0.7,1.3
Ilya Zhigulev,-,-,1.1,0.3,2.2,-,1.2,1.7
Sergey Parshivlyuk,-,1,0.9,0.3,0.7,0.1,0.4,0.5
Aleksandr Troshechkin,2,3,0.7,0.1,1.3,-,0.6,0.9
Daniil Khlusevich,3,3,0.6,0.8,0.7,0.2,0.9,0.9
Timur Zhamaletdinov,4,1,0.7,0.4,0.9,0.7,1,1.5
Vadim Karpov,-,1,0.1,0.2,0.3,-,-,0.6
Mikhail Kerzhakov,-,-,-,0.1,-,-,-,-
Jimmy Tabidze,-,-,-,-,0.9,-,0.2,0.5
François Kamano,5,1,0.6,0.6,1.2,0.3,1,1.4
Mikhail Kostyukov,1,1,0.4,0.1,0.8,0.3,0.9,0.6
Evgeni Chernov,-,-,0.4,0.2,1.2,0.2,0.3,1
Arshak Koryan,4,1,0.9,0.4,0.9,0.1,0.8,1.4
Dmitriy Poloz,6,3,0.6,0.6,0.5,0.1,0.7,1.1
Evgeni Chernov,1,-,0.7,-,1,-,0.6,0.3
Soltmurad Bakaev,2,5,1,0.7,1.2,0.1,1.1,1.4
Éder,1,1,0.9,0.3,1.4,0.3,0.7,2
Daniil Utkin,1,-,1.3,0.3,0.4,-,0.6,1
Mohamed Konate,3,2,0.5,0.3,0.6,0.9,1.2,2.2
Grigory Morozov,-,1,0.5,0.7,0.2,0.1,0.5,0.7
Flamarion Junior,4,1,0.7,0.9,3,0.2,1.5,2.1
Aleksey Gritsaenko,1,-,-,0.1,0.8,-,-,0.1
Ilya Kutepov,-,-,0.4,0.1,0.3,-,0.1,0.4
Anton Piskunov,-,-,0.8,0.5,0.8,-,1,0.8
Danila Sukhomlinov,-,-,-,1.3,2,-,0.7,0.7
Ilya Martynov,-,-,-,-,1,-,-,0.5
Ramazan Gadzhimuradov,2,-,-,1.5,2.3,0.1,0.8,2.1
Khoren Bayramyan,3,1,0.6,0.7,1,0.1,0.9,1.3
Vladislav Karapuzov,-,1,1.6,1.3,0.6,0.1,1,1.2
Nikolay Kipiani,1,2,0.8,0.5,1.4,-,1,1.3
Dmitri Efremov,-,2,0.5,0.7,1.1,-,0.9,1
Daniil Krugovoy,-,2,0.4,0.5,0.5,0.1,0.3,0.3
Arnór Sigurdsson,2,3,1.2,0.4,0.9,0.2,0.9,0.7
Danijel Miskic,-,1,0.5,0.2,0.7,0.1,0.2,0.7
Goran Causic,1,-,0.4,0.4,0.8,-,0.5,0.7
Zé Luís,1,1,0.5,0.3,0.8,0.3,1,2.3
Pontus Almqvist,1,1,0.5,0.8,1.3,0.1,0.8,2.1
Oleg Aleinik,-,-,0.7,0.2,1.3,0.1,0.6,1.1
Igor Smolnikov,-,1,0.5,0.3,0.7,0.1,0.2,0.9
Guram Tetrashvili,-,-,0.3,0.3,1.2,0.1,0.3,1.1
Branko Jovicic,-,1,0.3,0.1,0.5,-,0.7,0.8
Zelimkhan Bakaev,1,5,1,0.7,0.8,-,0.7,1.1
Solomon Kvirkvelia,-,-,0.1,-,0.4,-,-,0.2
Pavel Mogilevets,1,1,0.8,0.3,0.2,-,1.2,1.8
Aleksandr Dovbnya,-,-,0.2,0.2,0.4,-,0.1,0.2
Danila Prokhin,-,-,0.2,-,0.4,-,-,0.4
Artem Sokol,-,1,0.3,0.2,0.1,0.1,0.4,0.3
Yuri Kovalev,1,2,0.5,0.5,1.4,0.2,0.3,1.9
Nikolai Rasskazov,-,-,0.4,0.6,0.3,0.1,0.6,0.9
Pavel Karasev,1,2,0.6,0.2,0.8,-,0.6,0.7
Nikolay Poyarkov,-,-,0.8,0.6,1.1,0.2,0.4,0.9
Kirill Kravtsov,-,-,0.5,0.3,0.8,-,0.3,0.5
Stanislav Magkeev,-,-,0.3,0.1,0.4,-,0.3,0.8
