Name,Goals,Assists,KeyP,Drb,Fouled,Off,Disp,UnsTch
Stanislav Kritsyuk,-,-,-,-,0.3,-,-,0.1
Pedrinho,1,2,2,0.8,1.5,-,0.8,1.1
Tiago Esgaio,1,1,0.4,0.2,0.7,0.1,0.3,0.9
Zaidu Sanusi,1,1,0.4,0.9,1,0.2,0.4,1.9
Angel Gomes,6,3,1.5,1.3,2.1,0.2,1.1,2.1
Odysseas Vlachodimos,-,-,-,-,0.1,-,-,-
Beto,11,2,0.6,0.9,1.1,0.4,1.1,3.2
Miguel Oliveira,-,-,-,-,-,-,-,-
André Moreira,-,-,-,-,0.4,-,-,-
Gilberto,-,1,0.7,1.2,1,-,0.8,1.4
Toni Martínez,7,-,0.3,0.2,0.7,0.4,0.4,0.9
João Vigário,1,2,1.5,0.5,0.6,-,0.4,1.3
Julian Weigl,-,-,0.4,0.7,1.3,-,0.4,0.8
Joel,9,2,0.5,0.8,1.6,0.7,0.8,2.3
Nahuel Ferraresi,3,-,0.3,0.8,1.2,-,0.6,0.9
João Talocha,2,2,1.1,0.4,0.7,-,0.2,0.4
Al Musrati,3,3,0.6,0.3,0.3,-,0.5,0.4
Gonçalo Inacio,1,1,0.2,0.3,0.3,-,0.3,0.3
Luther Singh,5,5,0.8,1.3,1.7,0.3,0.9,2.3
Crysan,4,6,0.7,1.3,1.8,0.3,1.4,2.5
César Martins,1,-,0.2,0.2,0.4,0.1,0.1,0.4
Moussa Marega,7,1,0.5,0.4,1.6,0.6,1.2,2.4
Zé Carlos,-,-,-,1,1.8,-,0.3,0.8
Allano,2,-,0.7,1.2,2.5,0.2,1.2,2.3
Ricardo Mangas,4,1,0.5,0.7,1.7,0.1,0.7,1
Pêpê,-,-,1.3,0.7,0.6,0.1,0.7,1
Manuel Ugarte,1,2,0.8,1.5,2.3,-,0.7,1.6
Anderson Carvalho,1,1,0.4,0.4,1,-,0.3,0.8
Marko Grujic,2,-,0.2,0.4,0.6,-,0.2,0.4
Vitor Tormena,-,1,0.2,0.4,0.1,-,-,0.3
Brian Araújo,-,-,-,-,-,-,-,-
Danilo Pereira,-,-,0.3,0.3,1.7,-,0.3,0.7
André Amaro,1,-,0.1,0.3,0.8,-,0.2,0.3
Rafael Ramos,-,3,0.7,0.9,1,-,0.5,1
Gian-Luca Waldschmidt,7,2,1.1,0.4,0.7,0.1,0.7,1.3
Lucas Possignolo,2,-,0.2,0.1,0.3,-,0.1,0.2
Chancel Mbemba,1,-,0.3,0.1,0.3,-,-,0.2
