Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Fredrik Gulbrandsen,Istanbul Basaksehir, 28, AM(L),FW,,11(18),1157,7,-,1,-,1.4,74.7,0.7,1,6.45
Murat Akça,Yeni Malatyaspor, 30, D(C),,,3(1),280,-,-,-,-,0.5,83.1,3.3,-,6.44
Alparslan Erdem,Fatih Karagumruk, 32, D(L),M(L),,7(5),553,-,1,2,-,0.2,78.3,0.5,-,6.44
Mohammed Kesselly Kamara,Hatayspor, 23, Forward,,,4(17),656,1,3,4,-,0.8,73.2,0.7,-,6.44
Anthony Uzodimma,Kayserispor, 22, Midfielder,,,2,153,-,-,-,-,0.5,71.4,-,-,6.44
Anton Maglica,Kayserispor, 29, FW,,,4(4),355,1,1,1,-,1.3,71.1,1.1,1,6.44
Isaac Sackey,Hatayspor, 27, D(C),DMC,,16(12),1378,-,-,9,1,0.4,82.9,1.1,-,6.44
Dominik Furman,Genclerbirligi, 28, M(C),,,14(7),1090,-,3,4,-,0.5,84.2,0.2,-,6.44
Evren Eren Elmali,Kasimpasa, 20, Defender,,,3(1),227,-,-,-,-,0.3,75,0.8,-,6.44
Rafael,Istanbul Basaksehir, 30, D(LR),M(R),,18(3),1380,-,-,4,2,0.8,80.7,1.5,-,6.43
Jesse Sekidika,Galatasaray, 24, AM(LR),,,0(6),81,1,-,-,-,1,88.2,-,-,6.43
Youssouf Ndayishimiye,Istanbul Basaksehir, 22, DMC,,,7(7),697,-,-,1,-,0.1,89,1.1,-,6.43
Ziya Erdal,Sivasspor, 33, D(L),M(CL),,8(11),836,1,-,2,-,0.1,79.7,0.6,-,6.43
Flávio,Trabzonspor, 25, M(C),,,17(14),1710,1,2,1,2,0.5,85.7,0.5,1,6.42
Anderson Esiti,Goztepe, 27, DMC,,,7(13),810,1,-,2,-,0.3,88.5,0.4,-,6.42
Júnior Caiçara,Istanbul Basaksehir, 32, D(R),M(R),,5(3),506,-,-,1,-,-,87,0.3,-,6.42
Paolo Hurtado,Konyaspor, 30, AM(C),FW,,2(4),246,-,-,-,-,1.2,82.4,0.2,-,6.42
Papiss Demba Cissé,Fenerbahce, 36, AM(R),FW,,5(20),758,5,1,2,-,1.1,74.8,0.9,1,6.42
Konrad Michalak,Rizespor, 23, AM(LR),,,12(19),1366,2,2,-,-,0.6,73.3,0.2,1,6.42
Seyed Majid Hosseini,Trabzonspor, 24, D(C),,,7(11),737,-,-,2,-,-,91.5,1.1,-,6.42
Michal Pazdan,Ankaragucu, 33, D(C),,,14(1),1130,-,-,4,1,0.3,81.7,1.5,-,6.42
Amar Rahmanovic,Konyaspor, 27, AM(C),,,9(9),777,-,4,5,-,0.9,74.4,0.9,-,6.41
Gökdeniz Bayrakdar,Antalyaspor, 19, AM(R),,,18(13),1825,6,-,6,-,1.4,72.4,0.6,-,6.41
Tunay Torun,Rizespor, 31, M(CLR),,,10(7),928,2,-,3,-,0.7,85.2,0.1,1,6.41
Marvin Bakalorz,Denizlispor, 31, M(C),,,24(7),2088,1,1,8,-,0.5,80.3,1,1,6.41
Johanna Omolo,Erzurum BB, 31, DMC,,,19(1),1478,-,1,4,-,0.6,88.8,0.7,-,6.41
Junior Fernandes,Istanbul Basaksehir, 33, AM(LR),FW,,3(6),290,1,-,2,-,1.2,68.5,0.7,-,6.41
Gökhan Töre,Besiktas, 29, M(LR),FW,,5(15),633,3,1,1,-,1,82.7,0.2,-,6.41
Radoslaw Murawski,Denizlispor, 27, DMC,,,30(2),2505,1,1,11,2,0.3,82.9,0.7,-,6.41
Ahmet Gulay,Alanyaspor, 18, Defender,,,2(2),220,-,-,-,-,-,81.8,0.8,-,6.41
Ersin Destanoglu,Besiktas, 20, GK,,,35,3115,-,-,2,1,-,75.9,0.3,-,6.41
Damian Kadzior,Alanyaspor, 28, AM(R),,,5(12),579,-,2,-,-,0.9,86.4,0.2,-,6.41
Koray Altinay,Fatih Karagumruk, 29, D(CR),DMC,,16(9),1393,-,2,8,-,0.2,86.7,0.7,1,6.41
Emre Güral,Ankaragucu, 32, AM(CR),FW,,8(18),874,4,3,4,-,1.3,76.2,0.5,1,6.40
Filip Novák,Fenerbahce, 30, D(L),,,9(9),854,1,-,-,-,0.2,82,1.4,-,6.40
Isaac Cofie,Sivasspor, 30, DMC,,,16(9),1461,-,-,5,-,0.3,83.7,1,-,6.40
Cenk Gönen,Denizlispor, 33, GK,,,16,1392,-,-,1,-,-,54.1,0.4,1,6.40
Mehmet Erdem Ugurlu,Gaziantep FK, 32, Defender,,,0(1),16,-,-,-,-,-,88.9,1,-,6.40
Dogukan Sinik,Antalyaspor, 22, M(CLR),,,9(12),915,1,-,2,-,0.9,81.5,0.1,-,6.40
Kaan Kanak,Erzurum BB, 30, D(L),M(LR),,12(1),1078,1,-,4,-,0.8,72.3,0.7,-,6.39
Rahman Bugra Cagiran,Erzurum BB, 26, D(L),DMC,,2(10),317,1,1,-,-,0.7,72.6,0.3,-,6.39
Demba Ba,Istanbul Basaksehir, 36, AM(C),FW,,17(9),1682,5,1,1,-,2.5,80.2,1.1,-,6.39
Kerim Alici,Goztepe, 23, Defender,,,4(1),317,-,-,2,-,0.2,91.7,1.2,-,6.39
Oguzhan Capar,Kayserispor, 24, Defender,,,2(1),190,-,-,1,-,-,75,2,-,6.39
Soner Dikmen,Genclerbirligi, 27, M(C),,,28(6),2435,1,-,7,-,1,79.8,0.7,-,6.39
