Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Laurent Henkinet,Standard Liege, 28, Goalkeeper,,,1,90,-,-,-,-,-,62.1,1,-,7.04
Yevhenii Makarenko,Kortrijk, 30, D(L),DMC,,24(4),2246,3,-,4,-,0.9,82.8,2,2,7.03
Charles De Ketelaere,Club Bruges, 20, M(CL),FW,,26(11),2503,4,6,-,-,1.3,72.4,1,2,7.03
Sebastien Bruzzese,Cercle Bruges, 32, GK,,,1,90,-,-,-,-,-,57.9,2,-,7.03
Bas Dost,Club Bruges, 32, FW,,,17(2),1348,9,3,-,-,1.8,70.9,2.1,2,7.03
Andrew Hjulsager,Oostende, 26, AM(CR),,,31(1),2716,3,10,5,-,2.5,70.7,0.7,5,7.03
Clinton Mata,Club Bruges, 28, D(CR),,,36(3),3247,1,2,6,-,0.3,79.1,1.2,3,7.02
Maxime D'Arpino,Oostende, 24, M(C),,,33,2880,1,3,6,-,0.8,75.6,0.7,1,7.02
Rob Schoofs,KV Mechelen, 27, DMC,,,32(2),2766,4,7,4,-,2,81.7,1,-,7.02
Nicolas Gavory,Standard Liege, 26, D(L),DMC,M(L),30(1),2632,1,6,2,1,0.5,78.2,1,-,7.01
Alexis Gamboa,Waasland-Beveren, 22, D(C),,,7(1),665,-,-,1,-,0.1,83.7,2.5,1,7.01
Klauss,Standard Liege, 24, FW,,,10(3),933,5,2,-,-,2.8,76.7,2.3,1,7.00
Alexandre De Bruyn,Gent, 26, Midfielder,,,0(2),28,2,-,-,-,1.5,86.7,-,-,7.00
Percy Tau,Anderlecht, 27, AM(CR),FW,,12(2),1080,4,1,1,-,2.3,77.9,0.7,-,7.00
Merveille Bokadi,Standard Liege, 25, D(C),DMC,,27(4),2483,4,-,2,-,0.8,83.3,2.6,1,7.00
Brandon Mechele,Club Bruges, 28, D(C),,,35,3150,2,-,2,-,0.4,85.8,3,1,6.99
Knowledge Musona,Eupen, 30, AM(CR),,,22(2),1755,7,2,4,-,3.1,82.4,0.7,4,6.98
Aboubakary Koita,Waasland-Beveren, 22, AM(L),FW,,20(7),1790,7,1,3,-,2.2,79,0.4,4,6.98
Geoffrey Hairemans,KV Mechelen, 29, AM(CR),,,30(3),2459,8,3,4,-,1.7,81.3,0.9,2,6.98
Jan Van den Bergh,Beerschot, 26, D(CL),,,27(1),2400,4,3,6,-,0.6,73.9,2.7,3,6.97
Frédéric Duplus,OH Leuven, 31, D(L),,,6,514,1,-,1,-,1.2,79,1.8,-,6.97
Sven Kums,Gent, 33, M(C),,,28(2),2424,3,4,5,-,0.7,85,0.9,2,6.97
Jordan Botaka,Sporting Charleroi, 27, D(R),M(R),FW,9(1),689,-,1,1,-,0.8,77,0.6,-,6.97
Adrien Trebel,Anderlecht, 30, M(C),,,11(7),1007,2,6,2,-,0.9,83.3,0.3,2,6.96
Maarten Vandevoordt,Genk, 19, GK,,,16,1440,-,-,1,-,-,79.9,0.2,-,6.96
Kristian Thorstvedt,Genk, 22, AM(C),,,22(8),2026,7,3,4,-,1.2,84.4,1.2,2,6.96
Peter Zulj,Anderlecht, 27, DMC,,,7(1),626,-,-,3,-,1,80.4,0.8,-,6.96
Terem Moffi,Kortrijk, 22, FW,,,2,150,1,-,-,-,2,77.1,2.5,-,6.96
Arthur Theate,Oostende, 21, D(C),,,29,2576,3,-,6,-,0.6,71.8,3,1,6.95
Junior Pius,Royal Antwerp, 25, D(C),,,4(2),341,2,-,-,-,0.7,84.7,2.5,1,6.94
Thomas Kaminski,Gent, 28, GK,,,1,90,-,-,-,-,-,73.9,-,-,6.94
Noe Dussenne,Standard Liege, 29, D(C),,,18(2),1593,2,-,3,1,0.9,79.2,3.6,1,6.94
Eduard Sobol,Club Bruges, 26, D(L),M(L),,26(4),2165,2,3,6,-,1.1,77.4,1.3,3,6.93
Ali Gholizadeh,Sporting Charleroi, 25, AM(LR),,,32(2),2791,8,6,4,-,1.9,73.3,0.3,2,6.92
Louis Bostyn,Zulte Waregem, 27, GK,,,28,2520,-,-,-,-,-,58.8,0.3,3,6.92
