Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Glen Kamara,Rangers, 25, DMC,,,28(5),2587,1,1,2,-,0.3,90.7,1.2,1,6.90
Jon McLaughlin,Rangers, 33, GK,,,11,990,-,-,-,-,-,90.2,0.5,-,6.90
Hatem Elhamed,Celtic, 30, D(CR),,,4(4),409,-,2,-,-,0.1,87.3,1,-,6.90
David Wotherspoon,St. Johnstone, 31, AM(C),,,28(9),2501,3,4,6,-,1.5,73.6,1.2,2,6.89
Jamie McCart,St. Johnstone, 23, D(C),,,37,3330,-,-,5,-,0.4,62.2,5.4,-,6.89
James Forrest,Celtic, 29, M(LR),,,8(5),735,3,1,-,-,1.8,88,-,1,6.89
Devante Cole,Motherwell, 26, FW,,,19(3),1575,8,3,3,-,2.1,67.7,1.6,2,6.89
Tony Watt,Motherwell, 27, AM(L),FW,,28(4),2309,3,5,7,-,1.6,62,3.3,4,6.88
Liam Donnelly,Motherwell, 25, Defender,,,1,90,-,-,-,-,2,90.6,7,-,6.87
Ross Stewart,Ross County, 24, AM(L),FW,,19,1650,2,1,2,-,2.1,69,5.5,2,6.87
Mohamed Elyounoussi,Celtic, 26, AM(CLR),FW,,21(13),1781,10,4,2,-,2.3,77.7,1.5,4,6.86
Jackson Irvine,Hibernian, 28, M(CL),,,14(1),1200,-,3,3,-,0.9,70.5,2.4,-,6.86
Jeremie Frimpong,Celtic, 20, D(R),M(R),,19(3),1675,1,2,-,-,0.6,84.8,0.7,-,6.86
Ryan Hedges,Aberdeen, 25, M(CLR),,,25(3),2083,5,3,1,1,1.8,75.5,0.8,1,6.86
Liam Smith,Dundee United, 25, D(R),M(R),,23(2),2110,1,2,5,-,0.2,64.1,1.9,1,6.85
Allan McGregor,Rangers, 39, GK,,,27,2430,-,-,1,-,-,75.8,0.3,1,6.85
Scott McMann,Hamilton Academical, 24, D(L),M(L),,31,2776,-,4,3,1,0.5,61.7,1.9,1,6.85
Declan Gallagher,Motherwell, 30, D(C),,,24(2),2184,1,1,6,-,0.5,75,3.9,-,6.84
