Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Sergio Gómez,SD Huesca, 20, Midfielder,,,4(25),773,-,1,1,-,0.3,82.2,-,-,6.28
Enric Gallego,Osasuna, 34, FW,,,8(14),803,-,2,2,-,0.6,58.9,3.4,-,6.28
Ibai Gómez,Athletic Bilbao, 31, AM(LR),,,4(9),422,-,1,-,-,0.4,77.1,0.5,-,6.28
Gastón Silva,SD Huesca, 27, D(CL),M(L),,6(6),599,-,-,2,-,-,84,0.9,-,6.28
Jota,Real Valladolid, 22, Forward,,,7(10),665,1,-,1,-,0.7,74.6,0.1,-,6.28
Kévin Rodrigues,Eibar, 27, D(L),M(L),,11(11),1094,1,1,1,-,0.5,73.2,0.6,1,6.28
Jota,Deportivo Alaves, 29, AM(CLR),,,18(5),1408,-,2,3,1,0.7,75.2,0.2,-,6.28
Mariano,Real Madrid, 27, FW,,,5(11),508,1,-,-,-,0.9,69.5,1.3,-,6.28
Dani Gómez,Levante, 22, FW,,,17(17),1660,2,2,3,-,0.9,78.4,0.4,-,6.27
Alfon,Celta Vigo, 22, Forward,,,0(2),33,-,-,-,-,0.5,100,0.5,-,6.27
Nico Williams,Athletic Bilbao, 19, Forward,,,0(2),55,-,-,-,-,0.5,56.3,0.5,-,6.27
Jaume Costa,Villarreal, 33, D(LR),M(L),,3(11),346,-,1,1,-,0.1,82.3,0.2,-,6.27
Sergio Carreira,Celta Vigo, 20, Defender,,,3,261,1,-,-,-,0.7,72.5,-,-,6.27
Álvaro Giménez,Cadiz, 30, FW,,,3(8),404,2,1,-,-,0.5,53.6,2,-,6.26
Adrián Marín,Granada, 24, D(L),,,3(6),266,-,1,1,-,0.1,69.4,0.4,-,6.26
Burgui,Deportivo Alaves, 27, AM(LR),,,0(1),20,-,-,-,-,-,100,-,-,6.26
Álex Blanco,Valencia, 22, M(L),,,6(7),580,1,-,1,-,0.5,77.8,0.2,-,6.26
Facundo Pellistri,Deportivo Alaves, 19, M(R),,,5(7),540,-,-,-,-,0.4,66,0.7,-,6.26
Roberto Jiménez,Real Valladolid, 35, GK,,,14,1171,-,-,-,1,-,44.1,0.1,-,6.26
Javi Sánchez,Real Valladolid, 24, D(C),,,11(5),920,-,-,3,-,0.2,79.8,0.9,-,6.26
Modibo Sagnan,Real Sociedad, 22, D(C),,,7(9),620,-,-,3,-,0.3,88.3,0.8,-,6.25
Shinji Okazaki,SD Huesca, 35, AM(CLR),FW,,14(11),1128,1,1,1,-,0.8,76.3,1.2,-,6.25
Christian Oliva,Valencia, 25, M(C),,,1(8),193,-,2,-,-,0.2,82.4,0.1,-,6.25
Kuki Zalazar,Real Valladolid, 23, Forward,,,0(2),28,-,1,-,-,-,75,0.5,-,6.25
Manu García,Deportivo Alaves, 35, DMC,,,11(15),1115,-,-,7,1,0.4,69.5,1.6,-,6.24
Emiliano Rigoni,Elche, 28, AM(CLR),FW,,12(11),1142,1,1,5,-,0.7,82.2,0.2,-,6.24
Adrián López,Osasuna, 33, M(CLR),FW,,5(12),474,1,1,-,-,0.6,73.4,1.1,-,6.24
