Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Ihlas Bebou,Hoffenheim, 27, M(CLR),FW,,23(9),2204,9,7,3,-,1.5,76.9,1.8,1,6.96
Dani Olmo,RBL, 23, AM(CLR),FW,,26(6),2207,5,9,1,-,2.4,77.6,0.8,2,6.95
John Brooks,Wolfsburg, 28, D(C),,,31(1),2774,2,-,5,-,0.6,83.4,3,1,6.94
Florian Neuhaus,Borussia M.Gladbach, 24, M(C),,,30(3),2632,6,5,9,-,1.5,84.4,0.4,1,6.94
Leroy Sané,Bayern, 25, M(CLR),FW,,18(14),1807,6,9,2,-,1.8,78.3,0.3,2,6.94
Moussa Diaby,Leverkusen, 21, M(CLR),,,28(4),2394,4,10,5,-,1.6,84,0.2,2,6.93
Marvin Friedrich,Union Berlin, 25, D(C),,,34,3060,5,2,1,-,0.7,79.7,2.6,2,6.93
Josip Stanisic,Bayern, 21, Defender,,,1,90,-,-,-,-,2,91.4,5,-,6.93
Felix Uduokhai,Augsburg, 23, D(C),,,29,2610,1,-,5,-,0.4,81.7,3.5,1,6.93
Daichi Kamada,Eintracht Frankfurt, 24, AM(CR),FW,,28(4),2376,5,12,3,-,1.2,78,0.5,1,6.93
Amos Pieper,Arminia Bielefeld, 23, D(C),,,30,2684,1,1,6,-,0.5,82.7,2.4,2,6.92
Mark Flekken,Freiburg, 27, GK,,,3,270,-,-,-,-,-,72.6,-,-,6.92
Konstantinos Mavropanos,Stuttgart, 23, D(C),,,19(2),1474,-,-,5,-,0.7,79.2,2.2,1,6.91
Christopher Lenz,Union Berlin, 26, D(L),M(L),,27,2259,-,3,3,-,0.6,73.4,1.1,1,6.91
Matthias Ginter,Borussia M.Gladbach, 27, D(CR),DMC,,34,3060,2,1,2,-,0.7,84.8,2.7,-,6.91
Christoph Baumgartner,Hoffenheim, 21, AM(CL),FW,,28(3),2380,6,3,7,-,2,74.9,1.9,2,6.91
Florian Hübner,Union Berlin, 30, D(C),,,6,526,-,-,3,-,0.5,74.7,3.2,-,6.91
Renato Steffen,Wolfsburg, 29, M(LR),,,19(2),1578,5,4,3,-,1.4,75.4,0.8,1,6.91
Nicolas Höfler,Freiburg, 31, D(C),DMC,,30(1),2730,1,3,11,-,0.6,84.5,2,1,6.91
Paulo Otávio,Wolfsburg, 26, D(L),M(L),,19(4),1738,-,2,7,1,0.6,74.5,1,1,6.91
Orel Mangala,Stuttgart, 23, DMC,,,24,2110,1,3,4,-,1.1,84.6,0.4,1,6.90
Blendi Idrizi,Schalke, 23, Forward,,,3,241,1,-,1,-,1.3,72.5,1.3,-,6.90
Marc Oliver Kempf,Stuttgart, 26, D(C),,,32,2734,2,1,5,-,0.5,82.4,2.9,1,6.89
Benjamin Pavard,Bayern, 25, D(CLR),,,22(2),1944,-,-,3,-,0.5,87.1,1.6,-,6.89
Florian Wirtz,Leverkusen, 18, AM(C),,,25(4),2230,5,5,1,-,1.1,77.7,0.2,-,6.89
Ellyes Skhiri,FC Koln, 26, DMC,,,32,2790,5,2,5,-,0.5,86.7,1.3,2,6.88
Robert Andrich,Union Berlin, 26, M(C),,,29,2529,5,2,5,1,1.4,79.6,1.7,3,6.88
Ondrej Duda,FC Koln, 26, AM(C),FW,,32,2556,7,4,6,1,1.6,76.6,1.1,1,6.88
Dayot Upamecano,RBL, 22, D(C),,,27(2),2333,1,-,6,-,0.5,88.4,2.6,3,6.87
Ludwig Augustinsson,Werder Bremen, 27, D(L),M(L),,21(2),1961,-,4,4,-,0.7,69.1,2,2,6.87
Ritsu Doan,Arminia Bielefeld, 22, AM(CLR),FW,,33(1),2786,5,2,1,-,2,70,0.5,2,6.86
Amine Harit,Schalke, 23, AM(CLR),FW,,25(3),2111,2,5,4,-,0.8,77.4,0.2,6,6.86
Manuel Akanji,Borussia Dortmund, 25, D(C),,,26(2),2350,2,-,4,-,0.7,92,1.6,1,6.86
Diadie Samassékou,Hoffenheim, 25, DMC,,,31,2576,-,2,3,-,0.5,82.7,1.5,-,6.86
Fabian Klos,Arminia Bielefeld, 33, FW,,,32(2),2725,5,2,4,-,1.6,54.9,6.5,2,6.85
Exequiel Palacios,Leverkusen, 22, M(C),,,7(2),572,-,-,1,-,0.2,86.6,0.2,-,6.84
Marcel Halstenberg,RBL, 29, D(CL),M(L),,19(5),1653,2,2,2,-,0.6,86.7,1.8,1,6.84
Obite Evan Ndicka,Eintracht Frankfurt, 21, D(CL),,,23,2044,3,1,10,-,0.7,84.8,2.1,-,6.84
Salif Sané,Schalke, 30, D(C),DMC,,11(3),1069,-,-,5,-,0.5,80.8,4.7,1,6.84
Josip Brekalo,Wolfsburg, 22, AM(CLR),,,22(7),1825,7,3,1,-,1.6,77,0.3,2,6.83
Alassane Plea,Borussia M.Gladbach, 28, AM(LR),FW,,19(10),1807,6,1,2,-,2.1,75.3,0.9,2,6.83
Ramy Bensebaini,Borussia M.Gladbach, 26, D(CL),DMC,,20(5),1814,4,-,7,-,0.9,80.9,1.7,1,6.83
Djibril Sow,Eintracht Frankfurt, 24, DMC,,,25(3),2180,-,2,6,-,0.4,87.8,1,-,6.83
Rafal Gikiewicz,Augsburg, 33, GK,,,34,3060,-,-,3,-,-,64.4,0.3,2,6.83
Shkodran Mustafi,Schalke, 29, D(CR),,,11(2),1035,1,-,1,-,0.7,78.3,3.8,2,6.82
Jonas Hector,FC Koln, 31, D(L),M(CL),,15(4),1294,3,1,2,-,1.4,78.6,2.8,1,6.82
Florian Grillitsch,Hoffenheim, 25, D(C),M(CL),,22(4),1882,2,1,4,1,0.8,86.6,1.2,1,6.81
Giovanni Reyna,Borussia Dortmund, 18, AM(CLR),,,23(9),1984,4,5,1,-,1.2,83.1,0.5,2,6.81
Amadou Haidara,RBL, 23, M(CLR),,,21(10),1910,3,1,4,-,1.4,80,1.1,1,6.81
Patrik Schick,Leverkusen, 25, AM(R),FW,,20(9),1865,9,1,4,-,1.9,69.3,2.3,-,6.81
Joakim Nilsson,Arminia Bielefeld, 27, D(C),,,24(1),2163,-,-,1,-,0.2,82.6,2.9,-,6.80
Julian Baumgartlinger,Leverkusen, 33, DMC,,,12(5),1072,2,-,1,-,0.4,86,1.3,1,6.80
Stefan Ortega Moreno,Arminia Bielefeld, 28, GK,,,34,3060,-,1,1,-,-,70.6,0.2,2,6.79
Nordi Mukiele,RBL, 23, D(CR),M(R),,21(7),1684,3,1,5,-,0.8,78.4,2,-,6.79
Sheraldo Becker,Union Berlin, 26, AM(LR),FW,,15(3),1114,3,3,2,-,1.7,69.1,0.4,2,6.79
David Alaba,Bayern, 28, D(CL),M(CL),,30(2),2676,2,3,4,-,0.7,85.6,0.6,-,6.79
Chris Richards,Hoffenheim, 21, D(C),,,11,947,-,1,1,-,0.2,85.5,2,-,6.79
André Hahn,Augsburg, 30, AM(CLR),FW,,24(5),2047,8,3,4,-,1.5,56.9,2.4,1,6.79
Nico Schlotterbeck,Union Berlin, 21, D(C),,,15(1),1287,1,-,2,1,1.4,81.1,2.8,-,6.79
Jhon Córdoba,Hertha Berlin, 28, FW,,,17(4),1544,7,1,3,-,2.3,76.7,1.9,1,6.78
Dominik Kohr,Mainz, 27, DMC,,,14(3),1268,1,1,3,-,0.9,73.4,1.5,1,6.77
Ansgar Knauff,Borussia Dortmund, 19, Forward,,,0(4),68,1,1,-,-,0.5,63.6,0.3,-,6.77
Jeremiah St. Juste,Mainz, 24, D(CR),DMC,,32,2880,-,1,4,-,0.7,78.1,2.1,1,6.77
Yussuf Poulsen,RBL, 26, AM(R),FW,,14(13),1352,5,4,1,-,1.7,72.7,1.5,3,6.77
Mahmoud Dahoud,Borussia Dortmund, 25, M(C),,,15(6),1264,1,1,3,-,0.8,86.4,0.5,1,6.77
