Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Juan Zurbriggen,Colon, 21, Midfielder,,,0(1),25,-,-,-,-,-,50,3,-,6.22
Ramiro Ruiz Rodriguez,Atletico Tucuman, 21, Forward,,,0(1),23,-,-,-,-,-,71.4,-,-,6.22
Renzo Paparelli,Talleres, 24, Defender,,,1(1),101,-,-,-,-,-,84.5,0.5,-,6.22
Mauro Da Luz,Colon, 26, Forward,,,4(7),455,-,-,-,-,0.8,57.9,1,-,6.21
Hugo Silveira,Patronato de Parana, 28, Forward,,,2(8),267,2,1,2,1,1.4,66.7,0.9,-,6.21
Matías Moya,Banfield, 23, Midfielder,,,2(3),157,-,-,-,-,1,81.6,-,-,6.21
Marcelo Freites,Godoy Cruz, 22, M(R),,,5(4),424,-,-,1,-,0.6,64.3,0.6,-,6.21
Andrés Mehring,Godoy Cruz, 27, GK,,,6(1),594,-,-,-,-,-,53.1,0.1,-,6.21
José Barreto,Patronato de Parana, 21, Forward,,,1(7),141,-,-,-,-,0.9,51.4,1.3,-,6.21
Facundo Pons,Arsenal Sarandi, 25, Forward,,,1(2),88,-,-,-,-,0.7,61.9,0.7,-,6.20
Braian Ojeda,Defensa y Justicia, 20, Midfielder,,,2(8),268,-,-,1,-,0.6,80.7,0.7,-,6.20
Jesús Vargas,Gimnasia LP, 21, Forward,,,0(5),82,-,-,-,-,0.6,70,0.2,-,6.20
Leonardo Villalba,Central Cordoba de Santiago,,,,,1(5),138,-,-,-,-,0.5,60.7,0.2,-,6.20
Alfonso Parot,Rosario Central, 31, D(L),,,0(1),9,-,-,-,-,-,100,-,-,6.20
Mateo Montenegro,Central Cordoba de Santiago,,,,,1(1),88,-,-,1,-,-,52.6,0.5,-,6.20
Alan Marinelli,Rosario Central, 22, Forward,,,0(4),27,-,-,-,-,-,75,-,-,6.19
Nicolás Orsini,Lanus, 26, Forward,,,0(20),276,1,1,1,-,0.4,66.7,0.6,-,6.19
Luciano Pizarro,Godoy Cruz, 23, Midfielder,,,0(1),14,-,-,-,-,-,75,-,-,6.19
Leonel Picco,Arsenal Sarandi, 22, Midfielder,,,0(2),37,-,-,-,-,0.5,86.4,0.5,-,6.19
Mauricio Caranta,Talleres, 42, GK,,,2,180,-,-,-,-,-,83.6,-,-,6.19
Joaquín Varela,Godoy Cruz, 24, D(C),,,10(3),785,-,-,2,2,0.3,77.7,1.2,-,6.18
Fausto Montero,Argentinos Juniors, 32, DMC,,,0(7),109,-,-,-,-,-,55,0.3,-,6.18
Franco González,Godoy Cruz, 22, Midfielder,,,2(2),157,-,-,-,-,0.3,82.1,0.3,-,6.18
Eugenio Isnaldo,Defensa y Justicia, 27, AM(L),,,0(2),32,-,-,-,-,0.5,75,-,-,6.18
Janeiler Rivas,Gimnasia LP, 33, Defender,,,1,76,-,-,-,-,1,83.3,1,-,6.18
Pablo Cortizo,Patronato de Parana, 31, Midfielder,,,0(3),29,-,-,-,-,-,75,0.3,-,6.17
Gastón Lodico,Lanus, 23, M(C),,,0(4),47,-,-,-,-,0.3,84.4,-,-,6.17
Lorenzo Faravelli,Huracan, 28, M(C),,,7(1),486,-,-,-,-,0.6,75.1,0.3,-,6.17
Agustín Curruhinca,Huracan, 21, Forward,,,1(5),245,-,-,-,-,0.3,71.2,0.3,-,6.16
Fabián Cubero,Velez Sarsfield, 42, D(CR),,,0(1),2,-,-,-,-,-,75,-,-,6.16
Mauro Valiente,Talleres, 21, Midfielder,,,0(2),15,-,-,-,-,0.5,100,0.5,-,6.16
Facundo Barboza,Godoy Cruz, 24, AM(C),,,2(2),144,-,-,-,-,0.3,78.9,0.3,-,6.16
Daniel Osvaldo,Banfield, 35, AM(C),FW,,0(2),61,-,-,1,-,0.5,55.6,1,-,6.15
Braian Álvarez,Union, 23, Midfielder,,,1(4),133,-,-,-,-,0.4,56.8,-,-,6.14
Lucas Ríos,Union, 23, Midfielder,,,1(1),77,-,-,-,-,-,56.3,0.5,-,6.14
Benjamín Rollheiser,River Plate, 21, Forward,,,1(2),91,-,-,1,-,1.3,58.6,-,-,6.14
Martín Cañete,Union, 21, Forward,,,1(2),131,-,-,1,-,0.3,82.3,1.3,-,6.14
Pablo Cuadra,Union, 25, AM(L),FW,,2(4),213,-,-,-,-,0.2,79.5,0.2,-,6.13
Francisco Fydriszewski,Newell's Old Boys, 28, FW,,,1,62,-,-,-,-,-,69.2,-,-,6.13
Matías Gómez,Gimnasia LP, 22, AM(L),,,0(6),82,-,-,2,-,0.3,74.3,0.3,-,6.13
Álvaro Barreal,Velez Sarsfield, 20, AM(R),,,1(4),112,-,-,-,-,0.6,83.3,0.6,-,6.12
Camilo Albornoz,Atletico Tucuman, 20, Midfielder,,,0(1),45,-,-,-,-,-,78.6,-,-,6.11
Cristian Chávez,Central Cordoba de Santiago,,,,,0(3),87,-,-,-,-,1,81.3,0.3,-,6.10
Nicolás Castro,Newell's Old Boys, 20, Midfielder,,,0(3),40,-,-,-,-,0.3,78.9,-,-,6.10
Ezequiel Cérica,Arsenal Sarandi, 34, Forward,,,2(9),312,1,-,1,-,0.7,75.4,0.5,-,6.10
Facundo Tobares,Aldosivi, 21, Forward,,,0(1),55,-,-,-,-,-,56.3,1,-,6.09
Federico Vietto,Patronato de Parana, 23, Forward,,,0(2),4,-,-,-,-,-,66.7,-,-,6.09
Gustavo Toledo,Atletico Tucuman, 31, D(R),,,2(1),182,-,-,-,-,0.3,59.5,1,-,6.09
Agustín Fontana,Banfield, 24, FW,,,2(9),341,1,-,2,-,0.8,53.3,0.7,-,6.09
Nicolás Leguizamón,Colon, 26, FW,,,4(3),340,1,-,1,-,1.3,69.9,0.6,-,6.08
Agustín Lagos,Atletico Tucuman, 19, Defender,,,1,53,-,-,1,-,-,50,1,-,6.08
Iván Maggi,Racing Club, 21, Forward,,,0(1),2,-,-,-,-,-,-,-,-,6.08
Damián Fernández,Velez Sarsfield, 20, Defender,,,0(1),5,-,-,1,-,-,-,-,-,6.07
Juan Franzoni,Patronato de Parana, 21, Forward,,,0(5),43,-,-,-,-,-,77.8,0.8,-,6.07
Martín Payero,Banfield, 22, M(C),,,0(1),17,-,-,-,-,1,100,-,-,6.07
Nicolás Fernández,San Lorenzo, 25, AM(L),FW,,4,271,-,-,-,-,0.5,76.1,0.5,-,6.07
Raúl Bobadilla,Argentinos Juniors, 33, AM(R),FW,,0(2),36,-,-,-,-,1,80,-,-,6.06
Alejo Antilef,Arsenal Sarandi, 22, M(C),,,0(4),84,-,-,1,-,0.8,83.3,-,-,6.06
Bruno Bianchi,Colon, 32, D(C),,,2,180,-,-,1,-,0.5,74.2,1.5,-,6.06
Francisco Pizzini,Independiente, 27, AM(LR),FW,,1(1),59,-,-,-,-,-,73.1,0.5,-,6.06
Giuliano Galoppo,Banfield, 21, Midfielder,,,0(4),13,-,-,-,-,-,90.9,0.5,-,6.05
Ezequiel Navarro,Huracan, 19, Defender,,,2,180,-,-,-,-,-,64.3,2.5,-,6.05
