Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Mickael Tirpan,Fortuna Sittard, 27, D(R),DMC,,11(1),988,1,-,-,-,0.3,71.7,1.9,2,7.02
Lutsharel Geertruida,Feyenoord, 20, D(R),,,25(5),2254,5,2,-,-,0.5,90,0.5,1,7.02
Ahmed El Messaoudi,FC Groningen, 25, M(CR),,,25(3),2226,8,2,2,-,1.8,75.5,1.6,4,7.01
Lassina Traoré,Ajax, 20, FW,,,7(5),555,7,4,-,-,1.6,73.2,1.1,1,7.00
Jonathan Mulder,ADO Den Haag, 19, Defender,,,0(1),45,-,-,-,-,1,80,-,-,7.00
Riechedly Bazoer,Vitesse, 24, D(C),DMC,,29,2457,5,1,6,2,1.4,88,0.6,3,6.98
Albert Gudmundsson,AZ Alkmaar, 23, AM(CLR),FW,,25(1),1977,7,4,1,-,2.2,80.9,0.2,2,6.97
Jurriën Timber,Ajax, 19, D(CR),,,16(4),1509,1,-,-,-,0.3,88,1.1,-,6.97
Kostas Lamprou,RKC Waalwijk, 29, GK,,,34,3060,-,-,1,-,-,65.5,0.5,3,6.97
George Cox,Fortuna Sittard, 23, D(L),,,32(1),2825,5,4,2,-,0.4,67.3,0.8,3,6.97
André Onana,Ajax, 25, GK,,,20,1800,-,-,1,-,-,79.9,0.2,-,6.97
Klaas Jan Huntelaar,Ajax, 37, FW,,,3(8),386,7,1,-,-,1.8,82.1,0.7,-,6.96
Sean Klaiber,Ajax, 26, D(R),M(CR),,6(9),754,-,3,1,-,0.7,89.9,0.6,-,6.96
Bart Nieuwkoop,Feyenoord, 25, D(R),,,12(3),1028,-,-,1,-,0.3,79.7,2.1,-,6.96
Jan Paul van Hecke,SC Heerenveen, 20, D(C),,,26(2),2324,1,1,6,-,0.5,83.2,3.3,2,6.96
Tommy St. Jago,FC Utrecht, 21, D(C),,,23(1),2057,-,-,2,-,0.4,87.4,2.7,-,6.95
