Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Alan Ruschel,America MG, 31, D(L),M(LR),,0(1),6,-,-,-,-,-,62.5,-,-,6.17
Alê,America MG, 30, Midfielder,,,1,90,-,-,-,-,1,86.2,1,-,6.17
Charles,Ceara, 24, DMC,,,0(1),14,-,-,1,-,-,85.7,1,-,6.17
Danilo,Palmeiras, 20, DMC,,,0(1),36,-,-,-,-,-,77.8,-,-,6.17
Jhonata Robert,Gremio, 21, AM(L),,,0(1),45,-,-,1,-,-,64.7,1,-,6.17
Bruno Melo,Fortaleza, 28, D(L),,,0(1),2,-,-,-,-,-,33.3,1,-,6.16
Éverson,Atletico MG, 30, GK,,,1,90,-,-,-,-,-,66.7,-,-,6.16
Lucas Silva,Gremio, 28, DMC,,,1,46,-,-,-,-,-,87.9,-,-,6.16
Natanael Pimienta,Atletico GO, 30, D(L),M(L),,1,90,-,-,-,-,1,47.4,1,-,6.16
Lucas Ribeiro,Internacional, 22, D(C),,,1,90,-,-,1,-,-,89.6,2,-,6.15
Luiz Henrique,Fluminense, 20, AM(R),,,0(1),5,-,-,-,-,-,75,-,-,6.15
Eduardo Vargas,Atletico MG, 31, AM(CLR),FW,,0(1),19,-,-,-,-,1,100,-,-,6.14
Juan Cazares,Fluminense, 29, AM(CLR),,,0(1),5,-,-,-,-,-,33.3,-,-,6.14
Thonny Anderson,Bahia, 23, AM(C),FW,,0(1),16,-,-,-,-,-,66.7,1,-,6.14
Matheus Ribeiro,Chapecoense AF, 28, D(R),,,1,90,-,-,-,-,-,70.6,-,-,6.13
Ricardo Ryller,Red Bull Bragantino, 27, DMC,,,0(1),10,-,-,-,-,-,66.7,-,-,6.13
Wellington,Fluminense, 30, DMC,,,0(1),1,-,-,-,-,-,-,-,-,6.13
Jonas,Bahia, 29, DMC,,,0(1),13,-,-,-,-,-,83.3,-,-,6.12
Lucas Araújo,Bahia, 22, Midfielder,,,0(1),4,-,-,-,-,-,100,-,-,6.12
Marcos Guilherme,Santos FC, 25, AM(CLR),,,0(1),16,-,-,-,-,1,81.8,-,-,6.12
Anderson Leite,Chapecoense AF, 28, Midfielder,,,1,87,-,-,-,-,1,85,2,-,6.11
Brenno,Gremio, 22, Goalkeeper,,,1,90,-,-,-,-,-,56,-,-,6.10
Matheus Galdezani,Bahia, 29, M(C),,,0(1),4,-,-,-,-,-,66.7,1,-,6.10
Rafael Elias,Cuiaba, 22, Forward,,,0(1),10,-,-,-,-,-,50,-,-,6.10
Hugo Moura,Flamengo, 23, DMC,,,0(1),3,-,-,-,-,-,100,1,-,6.09
Geuvânio,Chapecoense AF, 29, AM(LR),FW,,0(1),25,-,-,-,-,-,87.5,-,-,6.08
Matías Zaracho,Atletico MG, 23, AM(C),,,0(1),27,-,-,-,-,-,100,-,-,6.08
Natan,Red Bull Bragantino, 20, D(C),,,0(1),2,-,-,-,-,-,100,-,-,6.08
Rafael Gava,Cuiaba, 28, Midfielder,,,1,71,-,-,-,-,2,90,2,-,6.08
Cássio,Corinthians, 33, GK,,,1,90,-,-,-,-,-,75,-,-,6.07
Igor Rabello,Atletico MG, 26, D(C),,,1,90,-,-,1,-,-,78.7,1,-,6.07
Jádson,Athletico Paranaense, 37, AM(CLR),,,1,59,-,-,-,-,1,77.8,-,-,6.07
Ramon,America MG, 24, Midfielder,,,0(1),27,-,-,-,-,1,75,1,-,6.07
Mailson,Sport Recife, 24, GK,,,1,90,-,-,-,-,-,83.3,-,-,6.06
Marrony,Atletico MG, 22, AM(L),FW,,1,71,-,-,-,-,1,78.6,-,-,6.05
Fernando Pacheco,Juventude, 21, Forward,,,0(1),1,-,-,-,-,-,-,1,-,6.02
Luciano,Sao Paulo, 28, AM(CR),FW,,0(1),34,-,-,-,-,-,73.7,-,-,6.02
Léo Pereira,Gremio, 20, Forward,,,1,46,-,-,-,-,-,86.7,-,-,6.01
