Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
James McKeown,Grimsby, 31, GK,,,34(1),3091,-,-,2,-,-,56.6,0.3,2,6.46
Jamie Proctor,Newport, 29, FW,,,5(5),482,1,-,-,-,1.6,69.5,2,-,6.45
Luke James,Barrow, 26, FW,,,33(11),3064,3,4,1,-,1.3,65.2,1.3,1,6.45
Kurtis Guthrie,Port Vale, 28, FW,,,9(8),870,1,1,4,-,1.4,52.6,3.8,-,6.45
Jake Hesketh,Crawley, 25, AM(CL),,,11(4),935,-,1,2,1,0.8,76.4,0.3,-,6.45
Scott Wagstaff,Forest Green, 31, M(CLR),,,22(13),1957,1,2,2,-,0.3,75.7,0.4,-,6.45
Romain Vincelot,Stevenage, 35, DMC,,,14(12),1178,-,-,5,-,0.3,55.7,2.2,-,6.45
Idris El Mizouni,Cambridge U, 20, AM(CL),,,3(8),339,-,1,-,-,1.2,82.9,0.3,-,6.45
Jordan Slew,Morecambe, 28, AM(L),FW,,10(7),918,1,2,-,-,0.9,63.5,2.8,-,6.44
Hayden White,Walsall, 26, D(CR),,,26(2),2272,-,2,5,1,0.1,67.3,1.7,-,6.44
George Williams,Grimsby, 25, AM(CL),,,10(9),894,2,2,1,-,1,73.4,0.5,1,6.44
Harry Pritchard,Bradford, 28, AM(CL),,,11(5),940,2,1,1,-,1.1,75.7,1,-,6.44
Elliott Hewitt,Grimsby, 27, D(CR),DMC,,36(1),3223,1,1,4,-,0.4,59.6,2.2,-,6.44
Daniel Devine,Carlisle, 23, M(C),,,5(6),510,-,-,-,-,0.8,55.8,1.5,-,6.44
Jack Aitchison,Stevenage, 21, AM(CL),FW,,17(9),1585,1,-,-,-,1.3,73.4,0.3,-,6.44
Lee Angol,Leyton Orient, 26, AM(L),FW,,7(5),643,1,-,4,-,1.3,71.7,0.9,-,6.44
Offrande Zanzala,Carlisle, 24, FW,,,15(8),1360,5,2,3,-,1.6,57.7,2,1,6.44
Dylan Fage,Oldham, 22, D(R),M(R),,22(12),2216,1,1,-,-,0.4,74.6,0.7,-,6.44
Anthony Hartigan,Newport, 21, M(C),,,11(3),951,-,2,2,-,0.8,72.2,0.9,-,6.44
Jake Young,Forest Green, 19, FW,,,10(20),1154,6,1,-,-,1.2,61.4,0.5,-,6.44
Brice Ntambwe,Oldham, 28, DMC,,,19(5),1583,-,-,4,-,0.1,78.2,1.7,-,6.44
Arthur Iontton,Stevenage, 20, Midfielder,,,1(1),97,-,-,1,-,0.5,67.5,2,-,6.44
Aramide Oteh,Stevenage, 22, AM(L),FW,,7(6),677,4,1,3,-,0.8,77.3,0.5,1,6.43
Jordan Green,Southend, 26, AM(L),,,3,231,-,-,-,-,0.3,73.2,0.7,-,6.43
Tyrese Sinclair,Mansfield, 20, FW,,,7(12),729,3,-,2,-,1.8,67.3,0.9,-,6.43
Danny Rose,Grimsby, 33, DMC,,,19(3),1539,-,1,1,-,0.3,78.9,1.1,-,6.43
Nicky Maynard,Newport, 34, FW,,,12(10),1081,3,2,-,-,1.7,74,0.7,1,6.43
James Morton,Grimsby, 22, M(C),,,4(3),429,-,-,-,-,0.1,75.8,0.7,-,6.43
Luke Norris,Colchester, 27, FW,,,7(10),783,4,-,3,-,1.1,59.9,1.7,-,6.43
Stephen Hendrie,Morecambe, 26, D(L),,,23(14),2272,1,1,5,1,0.4,56.4,1.1,-,6.43
Jason Taylor,Barrow, 34, M(C),,,28(6),2483,-,2,1,-,0.3,68.8,1.6,-,6.43
Paul Farman,Carlisle, 31, GK,,,43,3870,-,-,4,-,-,29.6,0.2,-,6.42
Kwame Poku,Colchester, 19, AM(CLR),,,27(6),2136,-,1,-,-,1.1,78.2,0.3,-,6.42
Dominic Bernard,Forest Green, 24, D(CR),DMC,M(R),25(3),2207,-,-,6,-,0.1,76.1,1,-,6.42
Kevin van Veen,Scunthorpe, 30, FW,,,14(5),1151,1,3,1,-,1.5,63.6,0.8,1,6.42
Elliott Bonds,Cheltenham, 21, Midfielder,,,3(2),247,-,-,2,-,0.8,66.7,0.2,-,6.42
Idris El Mizouni,Grimsby, 20, AM(CL),,,6,498,-,-,-,-,1.2,73.7,1.2,-,6.42
Luke McGee,Forest Green, 25, GK,,,35,3180,-,-,-,-,-,60.2,0.1,-,6.42
Terry Taylor,Grimsby, 19, DMC,,,11(2),914,-,-,4,-,0.5,77.3,0.6,-,6.42
A-Jay Leitch-Smith,Morecambe, 31, FW,,,1(4),113,1,-,1,-,0.8,86.1,0.6,-,6.42
Reiss Greenidge,Bolton, 24, D(C),,,3(2),277,-,1,1,1,0.4,67.8,1.4,-,6.41
Bryce Hosannah,Bradford, 22, M(R),,,8,591,-,-,1,-,0.6,73.8,0.5,-,6.41
Jordan Barnett,Oldham, 21, M(L),,,7(10),729,-,-,4,-,0.9,61,0.5,-,6.41
Duncan Idehen,Grimsby, 18, D(C),,,5(1),373,-,-,1,-,-,72.8,4.3,-,6.41
Ashley Nadesan,Crawley, 26, FW,,,30(10),2798,5,4,6,-,1,62,1.6,1,6.41
Kyle Taylor,Southend, 22, M(C),,,21(10),1945,1,1,1,-,0.5,77.6,0.7,-,6.41
Zak Mills,Port Vale, 29, D(LR),M(R),,18(3),1611,-,-,3,-,0.3,59.4,1.2,-,6.41
Jai Rowe,Scunthorpe, 19, D(R),,,15(10),1395,1,-,4,-,0.2,51.6,1.4,-,6.41
Jack Evans,Newport, 23, Midfielder,,,0(1),62,-,-,-,-,-,65,3,-,6.41
Ryan Taylor,Newport, 33, FW,,,15(13),1558,2,3,-,-,0.6,62.8,3.1,-,6.41
Sam Hornby,Bradford, 26, GK,,,18,1620,-,-,1,-,-,37.4,0.7,-,6.40
Josh Wright,Crawley, 31, M(C),,,15(5),1396,-,2,3,-,0.5,72.4,1.8,-,6.40
Shilow Tracey,Cambridge U, 23, AM(R),,,5(12),546,1,1,1,-,0.4,79,0.4,-,6.40
