Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
James Tarkowski,Burnley, 28, D(C),,,36,3240,1,-,6,-,0.6,70.1,4.6,3,7.02
Antonio Rüdiger,Chelsea, 28, D(CR),,,19,1710,1,-,-,-,0.7,89.4,2.2,-,7.02
Trent Alexander-Arnold,Liverpool, 22, D(R),M(R),,34(2),3033,2,7,2,-,1.5,79.4,0.2,2,7.02
Wesley Fofana,Leicester, 20, D(C),,,27(1),2265,-,-,7,-,0.4,86.4,3.3,-,7.01
Declan Rice,West Ham, 22, D(C),DMC,,32,2880,2,1,2,-,0.8,88,1.4,1,7.01
Kalvin Phillips,Leeds, 25, D(C),DMC,,28(1),2431,1,2,10,-,0.5,84.7,1,1,7.01
James Maddison,Leicester, 24, AM(CLR),,,24(7),2105,8,5,4,-,2.4,83.3,0.1,2,7.00
Ben Chilwell,Chelsea, 24, D(L),M(L),,27,2290,3,5,3,-,1,82,1.4,2,7.00
Emiliano Martínez,Aston Villa, 28, GK,,,38,3420,-,-,1,-,-,62.5,0.3,3,7.00
André-Frank Zambo Anguissa,Fulham, 25, DMC,,,29(7),2587,-,3,6,-,0.9,84.2,1.8,4,6.99
Yves Bissouma,Brighton, 24, M(C),,,35(1),3114,1,-,8,1,1.2,87.4,1.1,-,6.98
Richarlison,Everton, 24, AM(CLR),FW,,33(1),2872,7,3,4,1,2.4,70,1.2,4,6.98
Harvey Barnes,Leicester, 23, AM(CL),,,22(3),1950,9,4,-,-,2.2,75.2,1,2,6.98
Alex Telles,Man Utd, 28, D(L),M(L),,8(1),692,-,2,-,-,0.6,84.7,1.9,-,6.97
Okay Yokuslu,West Brom, 27, D(C),DMC,,15(1),1319,-,1,4,-,0.8,82.5,2.6,-,6.96
Jack Harrison,Leeds, 24, AM(LR),,,34(2),2858,8,8,2,-,1.3,74,0.7,4,6.96
Matheus Pereira,West Brom, 25, AM(CLR),,,30(3),2582,11,6,2,1,2,79.6,0.4,2,6.96
Joel Matip,Liverpool, 29, D(C),,,9(1),693,1,2,2,-,0.5,87.7,2.3,1,6.96
Vladimir Coufal,West Ham, 28, D(R),M(R),,34,3055,-,7,3,-,0.4,71.2,1.6,1,6.95
Pierre-Emile Højbjerg,Tottenham, 25, M(C),,,38,3420,2,4,9,-,0.4,88.5,1.2,1,6.95
Luke Ayling,Leeds, 29, D(CR),M(R),,38,3400,-,-,7,-,0.6,79,1.7,-,6.94
Scott Carson,Man City, 35, GK,,,1,90,-,-,-,-,-,90,-,-,6.94
Reece James,Chelsea, 21, D(R),DMC,M(R),25(7),2367,1,2,3,-,1.1,88.4,1.3,1,6.94
Oriol Romeu,Southampton, 29, DMC,,,20(1),1768,1,1,6,-,0.7,82.6,1.5,2,6.93
Matthew Cash,Aston Villa, 23, D(R),M(CLR),,28,2380,-,2,6,1,0.3,75.7,1.3,1,6.93
Scott McTominay,Man Utd, 24, D(C),DMC,,24(8),2128,4,1,3,-,0.8,87,1.5,-,6.93
Ahmed Hegazi,West Brom, 30, D(C),,,1,90,-,-,-,-,-,67.9,5,-,6.93
Ben Mee,Burnley, 31, D(CL),,,30,2694,2,-,3,-,0.7,71.1,3.7,2,6.93
Anthony Elanga,Man Utd, 19, Forward,,,2,156,1,-,-,-,1,75.5,0.5,1,6.93
Fred,Man Utd, 28, M(C),,,27(3),2397,1,-,5,-,0.8,87.7,0.3,-,6.92
Timothy Fosu-Mensah,Man Utd, 23, D(CR),,,1,81,-,-,1,-,1,90.9,1,-,6.92
César Azpilicueta,Chelsea, 31, D(CLR),M(R),,24(2),2191,1,2,5,1,0.4,86.9,2.1,1,6.92
Ademola Lookman,Fulham, 23, AM(CLR),FW,,31(3),2756,4,4,5,-,2,80.9,0.2,2,6.92
Michael Keane,Everton, 28, D(CR),,,33(2),2990,3,1,4,-,0.5,87.2,3.2,2,6.92
Rúben Dias,Man City, 24, D(C),,,32,2845,1,-,4,-,0.4,93.2,1.9,-,6.91
Thiago Silva,Chelsea, 36, D(C),,,23,1938,2,-,3,1,0.6,93,2,-,6.91
Raúl Jiménez,Wolves, 30, FW,,,10,825,4,-,-,-,2.6,79.2,1.5,1,6.91
Illan Meslier,Leeds, 21, GK,,,35,3150,-,-,-,-,-,77.1,0.6,3,6.91
Diego Llorente,Leeds, 27, D(C),DMC,,14(1),1206,1,-,1,-,0.5,83.3,2.2,1,6.90
Matt Targett,Aston Villa, 25, D(L),M(L),,38,3405,-,2,7,-,0.2,78,1.9,-,6.90
Marcos Alonso,Chelsea, 30, D(CL),M(L),,11(2),960,2,-,2,-,1.7,82.5,1.8,1,6.90
Nélson Semedo,Wolves, 27, D(LR),M(R),,34,2988,1,1,5,-,0.7,81,1.2,1,6.90
Diogo Jota,Liverpool, 24, AM(CLR),FW,,12(7),1113,9,-,2,-,2.4,74.9,0.7,-,6.89
Jannik Vestergaard,Southampton, 28, D(C),,,29(1),2575,3,-,3,1,0.8,83.6,3.3,1,6.89
Arthur Masuaku,West Ham, 27, D(L),M(L),,12,1011,-,2,2,-,0.5,83.2,0.8,-,6.89
Alexandre Lacazette,Arsenal, 30, M(LR),FW,,22(9),1931,13,2,3,-,1.5,78.8,0.9,3,6.89
Andros Townsend,Crystal Palace, 29, AM(LR),FW,,25(9),2259,1,5,-,-,1.1,73.7,0.1,1,6.88
John McGinn,Aston Villa, 26, M(C),,,37,3330,3,5,12,-,1.2,79.4,0.6,-,6.88
Wilfried Zaha,Crystal Palace, 28, AM(LR),FW,,29(1),2614,11,2,6,-,2,78.3,0.3,2,6.88
Andrew Robertson,Liverpool, 27, D(L),M(L),,38,3386,1,7,2,-,0.5,84.4,0.8,-,6.88
Bukayo Saka,Arsenal, 19, D(L),M(CLR),,30(2),2562,5,3,1,-,1.9,81.8,0.4,2,6.88
Jorginho,Chelsea, 29, DMC,,,23(5),2014,7,1,2,-,0.5,89.2,0.6,4,6.88
Jonny Evans,Leicester, 33, D(CL),,,28,2476,2,2,7,-,0.3,85.9,3.3,1,6.87
Romain Saïss,Wolves, 31, D(C),DMC,,27,2408,3,-,2,-,1,81.2,2.6,2,6.87
Stuart Dallas,Leeds, 30, D(LR),M(CLR),,38,3411,8,2,7,-,1.3,83.7,0.9,3,6.87
Dwight McNeil,Burnley, 21, M(LR),,,34(2),3071,2,5,1,-,0.7,79,0.5,1,6.87
Nick Pope,Burnley, 29, GK,,,32,2880,-,-,1,-,-,44.6,0.3,6,6.86
Tanguy Ndombele,Tottenham, 24, M(C),,,28(5),2108,3,2,3,-,0.5,85.6,0.3,2,6.86
Yerry Mina,Everton, 26, D(C),,,23(1),1939,2,-,2,-,0.7,90.1,2.8,1,6.86
N'Golo Kanté,Chelsea, 30, DMC,,,24(6),2146,-,2,7,-,0.3,86.5,0.6,1,6.86
Toby Alderweireld,Tottenham, 32, D(CR),,,25,2241,1,-,2,-,0.4,82.5,1.8,-,6.86
Dani Ceballos,Arsenal, 24, M(CL),,,17(8),1616,-,3,4,-,0.5,87.2,0.3,2,6.85
Bertrand Traoré,Aston Villa, 25, AM(R),FW,,29(7),2338,7,6,1,-,1.8,77.7,0.9,3,6.85
Fikayo Tomori,Chelsea, 23, D(CR),,,0(1),45,-,-,-,-,-,96.6,-,-,6.85
Gaetano Berardi,Leeds, 32, D(CLR),,,1(1),114,-,-,-,-,0.5,83.6,2,-,6.85
Mateo Kovacic,Chelsea, 27, M(CL),,,21(6),1820,-,1,4,-,0.9,90.8,0.4,2,6.84
Tom Cairney,Fulham, 30, M(CR),,,9(1),759,1,1,2,-,1.2,92.3,0.4,-,6.84
Joël Veltman,Brighton, 29, D(CR),M(R),,25(3),2283,1,1,3,-,0.5,77.7,1.5,-,6.84
Martin Dúbravka,Newcastle, 32, GK,,,13,1170,-,-,-,-,-,70.1,0.4,1,6.84
Oleksandr Zinchenko,Man City, 24, D(L),M(CR),,15(5),1474,-,-,-,-,0.8,89.8,1.5,-,6.84
Antonee Robinson,Fulham, 23, D(L),M(L),,24(4),2162,-,-,4,1,0.4,74.9,1.3,1,6.84
Kelechi Iheanacho,Leicester, 24, AM(C),FW,,16(9),1458,12,2,1,-,2.4,79.8,0.3,2,6.84
João Virgínia,Everton, 21, GK,,,0(1),47,-,-,-,-,-,41.7,-,-,6.84
Terence Kongolo,Fulham, 27, D(CL),,,1,90,-,-,-,-,-,81.8,3,-,6.84
Anthony Martial,Man Utd, 25, AM(LR),FW,,17(5),1488,4,3,-,1,2,84.4,0.8,1,6.84
James McArthur,Crystal Palace, 33, M(CLR),,,17(1),1471,-,2,3,-,0.3,81.7,1.2,1,6.84
Lewis Dunk,Brighton, 29, D(C),,,33,2933,5,-,5,2,1,89.4,2.4,-,6.84
Kyle Walker-Peters,Southampton, 24, D(R),,,30,2649,-,2,4,-,0.6,80.9,0.5,-,6.84
Danny Ings,Southampton, 28, AM(C),FW,,26(3),2185,12,4,1,-,2,66.3,0.8,2,6.84
Callum Wilson,Newcastle, 29, FW,,,23(3),2086,12,5,2,-,1.9,69.5,1.7,4,6.84
Trézéguet,Aston Villa, 26, AM(LR),,,12(9),1166,2,1,-,-,1.7,75.7,1.3,1,6.83
Timothy Castagne,Leicester, 25, D(R),M(LR),,27,2346,2,3,1,-,0.3,84.3,1.6,2,6.82
Pascal Groß,Brighton, 29, M(CR),FW,,27(7),2482,3,8,3,-,0.9,81.6,0.6,1,6.82
Fabinho,Liverpool, 27, D(CR),DMC,,28(2),2565,-,-,6,-,0.3,90.3,1.8,-,6.82
Stuart Armstrong,Southampton, 29, AM(CLR),,,32(1),2774,4,5,3,-,1.7,80.7,0.2,2,6.82
Jordan Henderson,Liverpool, 30, D(C),M(CLR),,20(1),1708,1,1,-,-,0.7,87.3,0.5,-,6.82
Aaron Cresswell,West Ham, 31, D(CL),M(L),,36,3172,-,8,3,-,0.5,78.9,1,2,6.81
Chris Wood,Burnley, 29, FW,,,32(1),2750,12,3,-,-,2.1,65.1,4.7,1,6.81
Eberechi Eze,Crystal Palace, 22, AM(CLR),,,29(5),2565,4,6,3,-,1.1,84.2,0.4,4,6.81
Rúben Neves,Wolves, 24, DMC,,,31(5),2680,5,1,8,-,1.9,84.4,0.7,1,6.81
Fernandinho,Man City, 36, D(CR),DMC,,12(9),1185,-,2,6,-,0.7,87.2,1.4,-,6.81
Timo Werner,Chelsea, 25, AM(CLR),FW,,29(6),2608,6,8,2,-,2.3,78.8,0.3,1,6.81
Pascal Struijk,Leeds, 21, D(C),DMC,,22(5),2074,1,-,3,-,0.5,86,1.7,-,6.81
