Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Max O'Leary,Bristol City, 24, GK,,,3,270,-,-,-,-,-,43.6,0.3,-,6.51
Toby Peter Sibbick,Barnsley, 22, D(CR),DMC,,13(10),1385,-,-,3,-,-,48.3,3,-,6.51
Luke Berry,Luton, 28, AM(C),,,22(9),1875,2,1,4,-,0.8,76.5,1.4,-,6.51
Ben Pearson,Preston, 26, DMC,,,8(1),656,-,1,1,-,0.4,88.5,0.3,-,6.51
Pelly-Ruddock Mpanzu,Luton, 27, M(C),,,38(6),3452,2,3,4,-,1,75.4,0.9,1,6.51
Jack Hunt,Bristol City, 30, D(R),M(R),,37(4),3253,2,2,5,-,0.1,63.5,0.7,1,6.51
Marvin Johnson,Middlesbrough, 30, D(L),M(LR),,22(20),2149,3,4,2,-,0.8,58.2,0.5,-,6.51
Loïc Mbe Soh,Nottingham Forest, 19, D(C),,,5(2),459,1,-,-,-,0.4,77.3,1.7,-,6.51
Bruno Martins Indi,Stoke, 29, D(CL),,,2,170,-,-,-,-,-,78.8,3,-,6.51
Jack Stacey,Bournemouth, 25, D(R),M(R),,18(14),1741,1,1,2,-,0.3,76.9,0.9,-,6.50
Kamil Jozwiak,Derby, 23, AM(LR),,,30(11),2691,1,2,6,-,1,74.5,0.8,-,6.50
Jacob Davenport,Blackburn, 22, DMC,,,6(9),610,1,-,3,-,0.5,82,0.5,-,6.50
Antoine Semenyo,Bristol City, 21, AM(LR),FW,,24(20),2434,2,4,2,-,1,73.9,1.1,-,6.50
Daniel Bentley,Bristol City, 27, GK,,,43,3870,-,-,-,-,-,50.8,0.4,1,6.50
Ryan Allsop,Wycombe, 28, GK,,,29,2610,-,-,4,-,-,37.1,0.1,1,6.50
Romal Palmer,Barnsley, 21, M(C),,,24(12),1701,1,1,2,-,0.7,59.1,1.4,-,6.50
Philip Zinckernagel,Watford, 26, M(C),,,9(11),916,1,5,2,-,1.1,82,0.3,-,6.50
Tom Barkhuizen,Preston, 27, M(CLR),FW,,29(16),2681,4,2,-,1,0.9,70.7,1.1,-,6.50
Adam Davies,Stoke, 28, GK,,,17,1486,-,-,1,-,-,57.9,0.2,-,6.50
Ádám Nagy,Bristol City, 25, M(C),,,25(6),2137,2,3,1,-,0.2,79.5,0.4,-,6.50
Tom Dele-Bashiru,Watford, 21, Midfielder,,,1(1),64,-,-,-,-,1.5,72.7,1.5,-,6.49
Tyreeq Bakinson,Bristol City, 22, DMC,,,20(14),2055,4,1,2,-,0.6,73.6,1.2,2,6.49
Andre Wisdom,Derby, 28, D(CR),M(R),,36(2),3118,1,-,4,-,0.2,82.2,1.3,1,6.49
Josh Dacres-Cogley,Birmingham, 25, D(R),,,5,387,-,-,-,-,0.2,60.1,1.2,-,6.49
Andrew Omobamidele,Norwich, 18, D(C),,,8(1),712,-,-,-,-,-,89.5,1.3,-,6.49
Emiliano Marcondes,Brentford, 26, AM(C),,,14(20),1548,2,3,3,-,1,74.6,0.6,-,6.49
Richard Stearman,Huddersfield, 33, D(C),,,14(7),1255,-,1,5,-,-,80.9,3.4,-,6.49
Dominic Gape,Wycombe, 26, DMC,,,12(2),871,-,-,1,-,0.1,52.9,1.3,-,6.48
Declan Rudd,Preston, 30, GK,,,22,1980,-,-,-,-,-,48.6,0.4,-,6.48
Ryan Giles,Rotherham, 21, D(L),M(L),,12(11),1165,2,-,-,-,0.3,64,0.5,-,6.48
Craig Forsyth,Derby, 32, D(CL),,,19(1),1629,-,-,1,-,0.5,63.2,2.7,-,6.48
Joel Latibeaudiere,Swansea, 21, D(CR),,,4(4),417,-,-,-,-,0.4,81.4,1.1,-,6.48
Garath McCleary,Wycombe, 34, D(R),M(CLR),FW,20(12),1850,4,1,4,-,1,63.6,0.9,-,6.48
Alex Smithies,Cardiff, 31, GK,,,31,2711,-,-,-,-,-,46.3,0.2,-,6.48
Daniel Johnson,Preston, 28, M(CLR),,,24(9),2084,4,3,5,-,0.6,77.5,0.6,2,6.48
Rhys Norrington-Davies,Luton, 22, D(CL),M(L),,16(2),1429,-,2,2,-,0.3,73.5,1.2,-,6.48
Chiedozie Ogbene,Rotherham, 24, AM(R),,,6(5),608,-,-,-,-,1.4,55,0.9,-,6.47
Shaun Williams,Millwall, 34, DMC,,,12(15),1208,-,2,3,-,0.5,72.7,1.4,-,6.47
Daniel Barden,Norwich, 20, Goalkeeper,,,1(1),135,-,-,-,-,-,81.8,-,-,6.47
Lewis Grabban,Nottingham Forest, 33, AM(C),FW,,24(4),2002,6,1,2,-,1.8,77.7,0.5,2,6.47
Fred Onyedinma,Wycombe, 24, AM(CLR),FW,,26(17),2472,3,2,2,-,1,65.9,1.2,1,6.47
Ben Sheaf,Coventry, 23, DMC,,,21(9),1816,-,1,4,-,0.7,83.7,0.9,1,6.47
Nahki Wells,Bristol City, 31, AM(LR),FW,,36(10),3047,10,3,4,-,1.4,75.1,0.3,-,6.47
Keiren Westwood,Sheff Wed, 36, GK,,,20,1724,-,-,-,-,-,41.4,0.4,1,6.46
Álex Vallejo,Huddersfield, 29, DMC,,,12(4),1030,-,1,1,-,0.7,85.7,0.9,-,6.46
Joseph Rafferty,Preston, 27, D(LR),,,15(7),1334,-,1,1,1,0.1,70,1.2,2,6.46
Chris Brunt,Bristol City, 36, D(L),M(CLR),,5(7),509,-,-,-,-,0.3,78.3,0.8,-,6.46
Jon Toral,Birmingham, 26, AM(CLR),,,10(6),743,2,1,3,-,0.7,65.5,1.8,1,6.46
Jacob Brown,Stoke, 23, AM(LR),FW,,27(14),2432,5,-,8,-,1,64,2.2,-,6.46
Elliot Lee,Luton, 26, AM(CLR),,,8(4),625,1,1,-,-,0.8,79.6,0.4,1,6.46
Josef Bursik,Stoke, 20, GK,,,15,1350,-,-,-,-,-,55.7,0.3,-,6.46
Michael McGovern,Norwich, 36, GK,,,9(1),816,-,-,-,-,-,71.5,-,-,6.46
Max Bird,Derby, 20, DMC,,,21(12),2066,-,-,2,-,0.5,83.9,0.7,-,6.45
Conor Masterson,QPR, 22, D(C),,,3(1),329,-,-,-,-,0.3,70.5,3.5,-,6.45
Matt Penney,Sheff Wed, 23, D(L),M(L),,10(2),852,-,-,2,-,0.5,62.4,0.8,-,6.45
Jordan Rhodes,Sheff Wed, 31, FW,,,15(21),1488,7,1,-,-,1,62.9,1.9,2,6.45
Ryan Schofield,Huddersfield, 21, GK,,,29(1),2655,-,-,2,-,-,64,0.2,-,6.45
Josh Murphy,Cardiff, 26, AM(LR),FW,,12(20),1128,2,5,2,-,0.7,67,0.4,-,6.45
Ben Wilmot,Watford, 21, D(C),,,14(11),1324,1,1,4,-,0.4,74.1,1.4,-,6.45
Mikel San José,Birmingham, 32, D(C),DMC,,19(8),1807,-,1,4,-,0.6,70,1.6,1,6.45
Ben Wiles,Rotherham, 22, D(L),M(CLR),,36(8),3361,2,1,7,-,0.7,69.8,0.4,1,6.44
Connor Mahoney,Millwall, 24, AM(LR),,,4(10),566,1,1,-,-,0.7,74.9,0.1,1,6.44
Cafú,Nottingham Forest, 28, M(C),,,26(5),2346,-,2,5,-,0.5,85.2,0.8,-,6.44
Julien Da Costa,Coventry, 25, M(R),,,10(8),925,-,-,1,-,0.2,63.7,1,-,6.44
Leandro Bacuna,Cardiff, 29, D(LR),M(CLR),,32(10),2920,2,1,8,-,0.9,76.8,0.3,1,6.44
Billy Mitchell,Millwall, 20, M(C),,,10(6),836,1,-,1,-,0.6,80.9,0.9,-,6.44
Connor Malley,Middlesbrough, 21, Midfielder,,,0(3),112,-,-,-,-,0.7,79.4,1.3,-,6.44
Luke Daniels,Brentford, 33, GK,,,4,360,-,-,-,-,-,67.5,-,-,6.44
