Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Mathias Honsak,Darmstadt, 24, AM(LR),FW,,19(8),1576,4,5,1,-,1.6,68.1,1,2,6.80
Ron Schallenberg,Paderborn, 22, DMC,,,30(1),2606,1,-,6,1,0.4,86.2,1.6,-,6.79
Tim Leibold,Hamburg, 27, D(L),M(CL),,29,2587,4,3,4,1,0.8,83.6,0.4,1,6.79
Ludovit Reis,Osnabrueck, 21, DMC,,,24(3),1921,1,1,6,-,0.5,83.8,0.9,-,6.79
Mergim Mavraj,Greuther Fuerth, 34, D(C),,,18(1),1515,-,1,5,-,0.7,82.6,2.5,-,6.79
Herbert Bockhorn,Bochum, 26, D(R),M(R),,17(7),1383,1,2,3,-,0.8,74.8,1.3,1,6.79
Tim Skarke,Darmstadt, 24, AM(CLR),,,22(8),1829,5,4,3,-,1.6,70.8,0.5,-,6.78
Danilo Wiebe,Eintracht Braunschweig, 27, D(R),M(R),,23(2),2107,1,3,5,-,0.4,68.5,0.7,1,6.78
Kristoffer Peterson,Fortuna Duesseldorf, 26, AM(CLR),,,19(7),1369,7,2,5,1,1.3,71.6,0.2,2,6.78
Dawid Kownacki,Fortuna Duesseldorf, 24, AM(LR),FW,,15(12),1385,7,5,5,-,1.6,72.6,1.7,2,6.78
Marco Komenda,Holstein Kiel, 24, D(C),,,9(4),786,1,-,3,-,0.4,83,1.8,1,6.77
Julian Justvan,Paderborn, 23, AM(C),,,21(8),1552,2,6,1,-,1.3,72.6,0.3,2,6.77
Rico Benatelli,St. Pauli, 29, M(C),,,23(3),1959,3,1,5,-,0.3,89.1,1,-,6.77
Jan Elvedi,Jahn Regensburg, 24, D(C),,,29,2610,-,1,5,-,0.5,74.9,2,-,6.77
Fabian Reese,Holstein Kiel, 23, AM(LR),FW,,26(6),2022,2,6,1,1,2.1,77.8,0.6,3,6.77
Sei Muroya,Hannover, 27, D(R),,,27(5),2580,-,3,4,-,0.3,74.1,1.1,1,6.76
Niklas Hult,Hannover, 31, D(L),M(CL),,30,2566,2,3,6,-,0.5,78.4,0.8,1,6.76
Christoph Kobald,Karlsruher SC, 23, D(C),DMC,,32(1),2891,1,-,-,1,0.7,82.3,2.5,-,6.76
Markus Kuster,Karlsruher SC, 27, Goalkeeper,,,1,89,-,-,-,-,-,55.6,-,-,6.76
Jeremy Dudziak,Hamburg, 25, D(LR),M(CL),,21(6),1720,2,6,2,-,0.7,78.1,0.3,-,6.76
Amadou Mvom Onana,Hamburg, 19, DMC,,,14(11),1510,2,-,6,1,0.4,78.5,1.6,1,6.76
Aleksandr Zhirov,Sandhausen, 30, D(C),,,29,2518,1,2,6,1,0.2,66.9,3.7,-,6.76
Kevin Sessa,FC Heidenheim, 20, DMC,,,21(9),1724,2,6,-,1,0.9,73,0.7,1,6.75
Leonardo Koutris,Fortuna Duesseldorf, 25, D(L),,,11(4),1003,-,2,1,-,0.7,75.2,0.6,-,6.75
Marcel Sobottka,Fortuna Duesseldorf, 27, DMC,,,23(9),2079,5,3,5,-,0.9,78.9,1,1,6.75
Robin Meißner,Hamburg, 21, Forward,,,3(7),304,3,2,-,-,1.7,69.8,0.5,1,6.75
Shinta Appelkamp,Fortuna Duesseldorf, 20, AM(C),,,13(8),1110,6,1,1,-,0.9,85.2,0.3,2,6.75
Lars Lukas Mai,Darmstadt, 21, D(C),,,27(2),2471,-,1,3,1,0.5,86.1,2.7,-,6.75
Florent Muslija,Hannover, 22, AM(CL),,,15(11),1267,5,1,3,-,1.6,81.4,0.3,1,6.75
Albion Vrenezi,Jahn Regensburg, 27, AM(CR),FW,,21(6),1718,4,2,7,-,2.1,68.8,0.6,-,6.75
Denis Thomalla,FC Heidenheim, 28, AM(CL),FW,,28(2),2201,5,2,2,-,1,68.9,3.2,1,6.75
Raphael Wolf,Fortuna Duesseldorf, 32, GK,,,1(1),106,-,-,1,-,-,61.7,-,-,6.75
Felix Klaus,Fortuna Duesseldorf, 28, AM(CLR),,,13(3),1010,2,2,1,-,1.1,75.8,1.1,1,6.74
Marius Gersbeck,Karlsruher SC, 25, GK,,,33,2970,-,-,1,-,-,66.9,0.6,1,6.74
Alfredo Morales,Fortuna Duesseldorf, 31, M(C),,,11(4),1056,-,1,5,-,0.5,80.8,1.4,1,6.74
Patrick Drewes,Bochum, 28, GK,,,4(1),441,-,-,-,-,-,70.4,-,-,6.73
Daniel Gordon,Karlsruher SC, 36, D(C),,,8(5),710,2,-,1,-,0.8,79.9,2.5,1,6.73
Kyoung-Rok Choi,Karlsruher SC, 26, AM(CR),,,22(2),1801,5,1,2,-,1.4,75.9,0.7,1,6.73
Florian Krüger,Erzgebirge Aue, 22, AM(LR),FW,,33(1),2814,11,6,1,-,1.8,68.8,0.7,1,6.73
Rouwen Hennings,Fortuna Duesseldorf, 33, FW,,,23(10),2109,9,3,3,-,1.7,72.2,1.6,2,6.73
