Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
João Mário,Sporting, 28, M(CLR),,,24(4),1992,2,1,4,-,0.8,87.9,0.6,-,6.90
Hidemasa Morita,Santa Clara, 26, DMC,,,20,1800,2,1,1,-,0.5,79.1,1.3,-,6.90
Jan Vertonghen,Benfica, 34, D(CL),,,26(2),2406,-,-,2,-,0.7,86.8,3.4,-,6.90
Daniel Guimarães,Nacional, 34, GK,,,14,1260,-,-,-,-,-,58.4,-,1,6.90
Rúben Lima,Belenenses SAD, 31, D(CL),M(L),,32(1),2863,-,4,5,-,0.6,66.2,1.7,2,6.90
Nicolás Otamendi,Benfica, 33, D(C),,,27,2430,1,-,13,-,0.7,87.9,2.9,-,6.90
Mario González,Tondela, 25, FW,,,25(2),2137,15,2,-,-,2.1,65.2,2.2,2,6.89
Aderllan Santos,Rio Ave, 32, D(C),,,32,2792,2,-,7,-,0.8,86,3.3,2,6.88
Luís Neto,Sporting, 33, D(C),,,20(2),1692,-,1,7,-,0.2,86.9,1.9,-,6.88
Darwin Núñez,Benfica, 21, FW,,,19(10),1793,6,9,2,-,2,68.3,1.2,1,6.87
Helton Leite,Benfica, 30, GK,,,15,1350,-,-,1,-,-,74.7,0.1,-,6.87
André André,Vitoria de Guimaraes, 31, M(C),,,32,2619,6,3,9,-,1,85.2,0.8,1,6.87
Ricardo Horta,Braga, 26, AM(CLR),FW,,30(2),2480,9,3,2,-,2.3,81,0.1,3,6.86
Nuno Santos,Sporting, 26, AM(CLR),,,23(8),1920,7,6,4,-,1.1,80.3,0.3,1,6.86
Getterson,Maritimo, 30, AM(R),FW,,2,180,-,-,-,-,0.5,46.2,-,-,6.86
Zainadine Júnior,Maritimo, 32, D(C),,,28,2466,1,-,6,-,0.7,81.1,2.7,2,6.86
Óscar Estupiñán,Vitoria de Guimaraes, 24, FW,,,21(2),1780,8,2,1,-,1.9,70,4.5,-,6.86
Falaye Sacko,Vitoria de Guimaraes, 26, D(R),M(R),,28,2482,-,1,3,-,0.4,78.7,1.5,1,6.85
Pizzi,Benfica, 31, M(CLR),,,19(13),1856,6,4,6,-,1.3,86.3,0.3,4,6.85
Rúben Vinagre,Famalicao, 22, D(L),M(L),,20,1649,-,3,3,-,0.4,78.6,0.5,2,6.85
Pedro Trigueira,Tondela, 33, GK,,,16(1),1516,-,-,1,-,-,59.7,0.5,1,6.85
Gabriel Pires,Benfica, 27, M(C),FW,,10(10),1031,1,2,7,-,0.4,84.6,1.8,1,6.84
Ricardo Quaresma,Vitoria de Guimaraes, 37, AM(CLR),,,17(11),1623,4,5,5,-,1.5,74.1,0.1,3,6.84
Bruno Viana,Braga, 26, D(C),,,13,1111,2,-,2,-,0.7,89.1,2.5,1,6.84
Ruben Lameiras,Famalicao, 26, M(LR),,,11,879,4,1,-,-,1.5,65.3,0.5,1,6.84
Alberth Elis,Boavista, 25, AM(LR),FW,,28(3),2550,8,6,4,-,1.6,69.8,2.2,2,6.83
André Castro,Braga, 33, M(C),,,20(1),1438,2,3,1,-,1,83,1.4,-,6.83
Lucas Fernandes,Portimonense, 23, AM(CL),FW,,7,579,-,2,2,-,0.9,91.2,0.3,-,6.83
Kalindi,Nacional, 27, D(R),,,14,1216,-,-,2,-,0.2,71.6,0.9,1,6.83
Claudio Winck,Maritimo, 27, D(R),M(R),,28(1),2488,-,5,7,-,0.8,65.6,1.5,-,6.83
Diogo Gonçalves,Benfica, 24, D(R),M(LR),,12(9),1181,1,5,5,-,0.4,84.9,0.5,1,6.82
Maracás,Pacos de Ferreira, 27, D(C),,,23,1994,-,-,3,-,0.3,84.5,2.8,-,6.82
Stephen Eustáquio,Pacos de Ferreira, 24, DMC,,,32,2805,2,1,7,1,0.7,85.8,1.1,2,6.82
Gustavo Sauer,Boavista, 28, M(CLR),,,28(4),2099,2,1,4,-,1.4,77.3,0.3,1,6.82
Luís Maximiano,Sporting, 22, GK,,,2,156,-,-,-,-,-,80.6,0.5,-,6.82
Fábio Abreu,Moreirense, 28, FW,,,3,270,2,-,1,-,2.3,67.7,3,-,6.82
Rodrigo Pinho,Maritimo, 30, FW,,,13(5),1237,9,-,5,-,2.1,64.4,1.4,2,6.81
Amir Abedzadeh,Maritimo, 28, GK,,,29,2610,-,-,2,-,-,62.6,0.6,1,6.81
Stanislav Kritsyuk,Belenenses SAD, 30, GK,,,27,2314,-,-,1,2,-,59.5,0.5,3,6.81
Pedrinho,Gil Vicente, 28, M(CR),,,15(4),1297,1,2,1,-,1.2,74,0.8,1,6.80
Tiago Esgaio,Belenenses SAD, 25, D(CR),DMC,M(R),32,2736,1,1,6,-,0.5,70.2,2,1,6.80
Zaidu Sanusi,Porto, 23, D(L),M(L),,19(6),1799,1,1,1,1,0.6,79.7,1.7,-,6.80
Angel Gomes,Boavista, 20, AM(CL),FW,,29(1),2508,6,3,8,1,1.8,77.5,0.1,2,6.80
Odysseas Vlachodimos,Benfica, 27, GK,,,18,1620,-,-,-,-,-,74.3,0.2,-,6.80
Beto,Portimonense, 23, FW,,,21(9),1964,11,2,5,-,2,64.7,2.5,5,6.79
Miguel Oliveira,Moreirense, 27, Goalkeeper,,,2,180,-,-,-,-,-,63,0.5,-,6.79
André Moreira,Belenenses SAD, 25, GK,,,7(1),714,-,-,-,-,-,59.6,0.3,-,6.79
Gilberto,Benfica, 28, D(R),M(R),,17(8),1490,-,1,5,-,0.3,84.9,1.2,-,6.79
Toni Martínez,Porto, 23, FW,,,6(12),601,7,-,2,-,1,71.4,1.7,-,6.79
João Vigário,Nacional, 25, D(L),,,18(3),1517,1,2,1,-,0.6,71.1,1,2,6.78
Joel,Maritimo, 27, AM(L),FW,,27(5),2259,9,2,5,-,1.6,75.7,2.4,3,6.78
Julian Weigl,Benfica, 25, D(C),DMC,,23(5),2036,-,-,10,-,0.3,91.1,0.9,1,6.78
Nahuel Ferraresi,Moreirense, 22, D(CR),,,20(4),1930,3,-,5,-,0.5,81.8,2.3,3,6.78
João Talocha,Gil Vicente, 31, D(L),M(L),,28(3),2527,2,2,4,-,0.8,74.1,1.8,3,6.78
Al Musrati,Braga, 25, DMC,,,23(5),1961,3,3,6,-,0.4,85.1,1.1,-,6.78
Gonçalo Inacio,Sporting, 19, D(C),,,15(5),1357,1,1,2,1,0.6,84.1,2.3,-,6.78
