Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Wes Burns,Fleetwood, 26, D(R),M(R),,29(4),2601,5,2,7,-,1.1,69.9,1.3,4,7.00
Stephen Humphrys,Rochdale, 23, FW,,,24(5),2126,11,3,3,-,3.3,72.5,2.6,3,7.00
Jake Beesley,Rochdale, 24, FW,,,27,2291,6,1,3,-,1.6,65.2,5.9,2,7.00
Tom Naylor,Portsmouth, 29, D(CR),DMC,,46,4114,6,-,7,-,1.1,78.5,2.7,2,6.99
Greg Docherty,Hull, 24, DMC,,,44,3777,5,4,7,-,1.6,76.7,0.8,4,6.99
Cian Bolger,Northampton, 29, D(C),,,26,2316,1,-,7,-,0.6,60,5.2,3,6.98
Reece Burke,Hull, 24, D(CR),,,31(3),2874,4,1,1,1,0.4,79.9,2.5,-,6.98
Lloyd Jones,Northampton, 25, D(C),,,27,2430,-,-,4,-,0.2,64.6,5.4,2,6.98
Jacob Greaves,Hull, 20, D(C),,,39,3510,-,1,3,-,0.6,80.1,3.9,1,6.98
Luke Matheson,Ipswich, 18, D(R),,,2,180,-,-,1,-,-,64,3,-,6.97
Hayden Carter,Burton, 21, D(C),,,24,2160,4,1,7,-,1,57.5,2.8,2,6.97
Tom Anderson,Doncaster, 27, D(C),,,44,3884,2,1,6,-,0.5,76,5.1,2,6.96
Peter Kioso,Northampton, 21, D(R),M(R),,21,1839,3,1,6,-,0.7,60.6,4,1,6.96
Lewis Montsma,Lincoln City, 23, D(C),,,39(4),3587,6,-,6,-,0.5,77.7,2.9,4,6.96
Aristote Nsiala,Ipswich, 29, D(C),,,27,2441,-,-,2,-,0.3,76.8,4.3,1,6.96
Stuart Moore,Blackpool, 26, Goalkeeper,,,1,90,-,-,-,-,-,56.8,-,-,6.96
Elliott Moore,Oxford, 24, D(C),,,48,4320,5,4,5,-,0.7,78.7,4.8,2,6.96
Akin Famewo,Charlton, 22, D(C),,,20(2),1787,-,1,1,-,0.1,70.1,4,1,6.96
Luke O'Nien,Sunderland, 26, D(CR),M(CR),,36(4),3229,2,-,9,1,0.6,80.5,3.5,3,6.95
Jonny Smith,Burton, 23, AM(LR),,,13(3),1185,2,4,2,-,2.1,70.5,0.2,1,6.95
Sam Stubbs,Fleetwood, 22, D(C),,,5,388,1,-,-,-,0.4,71.3,3.4,-,6.95
Bailey Wright,Sunderland, 28, D(CR),,,35,3113,2,-,5,-,0.7,81.4,4.3,-,6.94
Kenneth Dougall,Blackpool, 28, DMC,,,35(2),3114,4,1,7,-,0.6,76.2,1.4,2,6.94
Ellis Simms,Blackpool, 20, FW,,,19(4),1520,10,1,1,-,2.3,63,2.7,2,6.94
Kal Naismith,Wigan, 29, D(CL),M(LR),,12,1040,2,1,1,-,1.6,72.9,2.5,1,6.94
Matt O'Riley,Milton Keynes Dons, 20, M(C),,,22(1),1873,3,2,1,-,2,86.6,0.6,2,6.93
James Henry,Oxford, 31, AM(CLR),,,36(3),3030,7,8,4,1,1.9,72.4,0.8,3,6.92
Liam Bridcutt,Lincoln City, 32, DMC,,,25(1),2061,-,2,9,-,0.4,77.9,1.5,1,6.92
Jerry Yates,Blackpool, 24, AM(L),FW,,44(3),3842,21,8,4,-,1.9,73.6,1.7,4,6.92
Luke Woolfenden,Ipswich, 22, D(C),,,24(1),2205,1,-,3,-,0.2,80.5,2.2,-,6.91
