Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
João Mário,0.6,0.3,-,0.3
Fransergio,1.6,0.7,-,0.8
Pelé,0.4,0.2,-,0.2
Nanu,0.4,0.2,-,0.3
Marcus Edwards,1.2,0.7,-,0.5
Lincoln,0.8,0.6,-,0.2
Mansur,0.1,-,-,0.1
Lucas Mineiro,1.1,0.4,0.1,0.6
Antonio Adán,-,-,-,-
Chidozie Awaziem,0.5,-,-,0.4
Pedro Nuno,2,1.2,0.2,0.7
Marco Baixinho,0.4,-,0.3,0.1
Mikel Agu,0.8,0.2,0.1,0.5
Eduardo Mancha,0.7,-,0.2,0.5
Agustín Marchesín,-,-,-,-
Jorge Fernandes,0.3,-,-,0.3
Toni Borevkovic,0.3,-,-,0.3
Srdjan Babic,0.5,-,0.2,0.3
Denis,-,-,-,-
Carlos Valenzuela,0.7,0.3,-,0.4
Marcelo,0.4,-,-,0.4
Gonçalo Ramos,1,-,-,1
Mikel Villanueva,0.5,-,0.1,0.3
Tomás Ribeiro,0.4,0.2,0.1,0.2
Jhon Murillo,0.8,0.1,-,0.7
Pedro Rebocho,0.1,-,-,0.1
Tiago Sá,-,-,-,-
Reggie Cannon,0.2,0.1,-,0.1
Kewin,-,-,-,-
Pedro Henrique,1.9,0.2,0.5,1.1
Jackson Porozo,0.3,-,-,0.3
Yan,0.9,0.5,-,0.4
Luiz Carlos,0.7,0.3,0.1,0.3
Gelson Dala,1.6,0.4,0.1,1.1
Jordi,-,-,-,-
Stefano Beltrame,1,0.7,-,0.3
Pedrão,0.4,0.1,0.1,0.3
Iván Jaime,1.2,0.7,-,0.5
Aylton Boa Morte,1.1,0.2,0.1,0.8
Nicolás Gaitán,0.8,0.3,0.2,0.3
Riccieli,0.2,-,0.1,0.1
Silvio,0.3,0.2,-,0.1
Yohan Tavares,0.2,-,-,0.2
Samuel Lino,1.8,0.4,0.2,1.2
Lazar Rosic,0.3,-,-,0.2
Mateus Pasinato,-,-,-,-
Filipe Soares,1.1,0.6,0.1,0.5
David Carmo,0.8,-,-,0.8
Rafik Guitane,0.4,0.2,-,0.2
Pawel Kieszek,-,-,-,-
Dudu,0.3,-,-,0.3
Anthony D'Alberto,0.1,0.1,-,-
Enzo Martínez,0.4,0.3,-,0.2
Samuel,-,-,-,-
Luiz Lúcio Reis Júnior,-,-,-,-
Fábio Coentrão,0.8,0.3,-,0.5
Ygor Nogueira,0.5,-,-,0.5
Rodrigão,0.4,-,-,0.4
Lucas Piazon,0.8,0.4,-,0.4
Afonso Taira,0.2,0.2,-,-
Andraz Sporar,1.4,-,0.3,1.1
Patrick Willian,0.6,0.2,0.1,0.3
Gonçalo Silva,0.3,0.1,0.1,0.1
Amine Oudrhiri,0.5,0.3,0.1,0.2
Júlio Romao,-,-,-,-
Walterson,1.4,0.8,-,0.6
Bebeto,0.3,0.2,-,0.1
Claude Goncalves,0.6,0.4,-,0.2
Mateo Cassierra,1.3,0.1,0.3,0.8
João Camacho,1.3,0.8,-,0.4
Cafu,0.5,0.1,0.1,0.3
Bruno Jordão,0.9,0.3,-,0.6
Matheus Clemente,-,-,-,-
Diogo Figueiras,0.4,0.2,-,0.2
Pedro Augusto,0.5,0.1,0.1,0.3
Adil Rami,0.3,0.1,-,0.1
Fali Candé,0.6,0.5,-,-
Cristián Borja,0.3,0.2,-,0.1
Fernando Fonseca,0.1,0.1,-,0.1
Hélder Ferreira,0.7,0.2,0.1,0.5
Joao Mendes,0.2,0.2,-,-
João Novais,0.9,0.9,-,-
Claudio Falcão,0.9,0.2,0.2,0.5
Bruno Miguel Rodrigues,0.4,-,-,0.4
Matheus Nunes,0.5,0.1,0.1,0.3
André Almeida,0.5,0.4,-,0.1
Shoya Nakajima,1,0.8,-,0.3
Antoine Leautey,1.1,0.4,-,0.7
Bruno Varela,-,-,-,-
Matheus,-,-,-,-
Henrique,0.5,0.2,-,0.4
