Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea,League
Nick Pope,-,-,-,-,Premier_league
Tanguy Ndombele,0.5,0.2,-,0.3,Premier_league
Yerry Mina,0.7,-,0.1,0.5,Premier_league
N'Golo Kanté,0.3,0.2,-,0.1,Premier_league
Toby Alderweireld,0.4,-,0.1,0.3,Premier_league
Dani Ceballos,0.5,0.3,-,0.2,Premier_league
Bertrand Traoré,1.8,0.5,0.1,1.1,Premier_league
Fikayo Tomori,-,-,-,-,Premier_league
Gaetano Berardi,0.5,-,-,0.5,Premier_league
Mateo Kovacic,0.9,0.7,-,0.1,Premier_league
Tom Cairney,1.2,0.7,-,0.5,Premier_league
Joël Veltman,0.5,0.1,-,0.4,Premier_league
Martin Dúbravka,-,-,-,-,Premier_league
Oleksandr Zinchenko,0.8,0.6,-,0.3,Premier_league
Antonee Robinson,0.4,0.2,-,0.2,Premier_league
Kelechi Iheanacho,2.4,0.8,0.2,1.3,Premier_league
João Virgínia,-,-,-,-,Premier_league
Terence Kongolo,-,-,-,-,Premier_league
Anthony Martial,2,0.4,0.2,1.4,Premier_league
James McArthur,0.3,0.2,-,0.1,Premier_league
Lewis Dunk,1,0.2,0.1,0.7,Premier_league
Kyle Walker-Peters,0.6,0.2,-,0.4,Premier_league
Danny Ings,2,0.4,0.1,1.4,Premier_league
Callum Wilson,1.9,0.2,0.3,1.4,Premier_league
Trézéguet,1.7,0.3,0.1,1.2,Premier_league
Timothy Castagne,0.3,-,0.1,0.2,Premier_league
Pascal Groß,0.9,0.5,-,0.5,Premier_league
Fabinho,0.3,0.2,-,0.2,Premier_league
Stuart Armstrong,1.7,1.1,-,0.6,Premier_league
Jordan Henderson,0.7,0.4,0.1,0.2,Premier_league
Aaron Cresswell,0.5,0.4,-,0.1,Premier_league
Chris Wood,2.1,0.5,0.3,1.4,Premier_league
Eberechi Eze,1.1,0.6,0.1,0.4,Premier_league
Rúben Neves,1.9,1.5,-,0.4,Premier_league
Fernandinho,0.7,0.5,-,0.2,Premier_league
Timo Werner,2.3,0.3,0.2,1.7,Premier_league
Pascal Struijk,0.5,-,0.1,0.3,Premier_league
Tyrone Mings,0.5,-,0.1,0.5,Premier_league
Jonjo Shelvey,1.4,1,-,0.3,Premier_league
Leandro Trossard,1.7,0.7,-,0.9,Premier_league
Andreas Christensen,0.2,-,-,0.2,Premier_league
Joachim Andersen,0.4,0.2,0.1,0.1,Premier_league
Karl Darlow,-,-,-,-,Premier_league
Calum Chambers,0.8,0.3,-,0.5,Premier_league
Rob Holding,0.5,0.1,-,0.4,Premier_league
Anwar El Ghazi,2.3,1.3,0.1,0.9,Premier_league
Conor Hourihane,1.3,1,-,0.3,Premier_league
Abdoulaye Doucouré,0.6,0.3,0.1,0.2,Premier_league
Amad,0.3,0.3,-,-,Premier_league
Pablo Fornals,1.5,0.5,0.1,1,Premier_league
Pierre-Emerick Aubameyang,2,0.3,0.3,1.4,Premier_league
Ben Godfrey,0.5,0.2,0.1,0.2,Premier_league
Che Adams,1.5,0.3,0.3,0.9,Premier_league
Adam Webster,0.9,0.2,0.1,0.6,Premier_league
Kyle Bartley,0.5,-,0.2,0.2,Premier_league
Emile Smith Rowe,0.7,0.2,-,0.5,Premier_league
Allan,0.3,0.2,-,0.1,Premier_league
Kyle Walker,0.4,0.4,-,-,Premier_league
Josh Brownhill,1,0.6,0.1,0.3,Premier_league
Aymeric Laporte,0.4,0.1,0.1,0.3,Premier_league
Ferran Torres,1.5,0.4,0.1,1,Premier_league
Nicolas Pépé,1.7,0.3,0.1,1.2,Premier_league
Ross Barkley,1.6,0.7,-,0.8,Premier_league
Hugo Lloris,-,-,-,-,Premier_league
Willy Boly,0.7,0.1,-,0.6,Premier_league
Dan Burn,0.6,0.1,-,0.4,Premier_league
Sébastien Haller,1.6,0.1,0.3,1.2,Premier_league
Ezri Konsa,0.6,-,0.1,0.5,Premier_league
Jarrod Bowen,1.4,0.4,0.2,0.9,Premier_league
Matt Doherty,0.2,0.1,0.1,-,Premier_league
Thomas Partey,1.1,1,-,0.1,Premier_league
Joelinton,1.4,0.3,-,1.1,Premier_league
Christian Pulisic,1.6,0.3,0.3,1,Premier_league
Marc Albrighton,0.7,0.4,-,0.2,Premier_league
Çaglar Söyüncü,0.4,-,0.1,0.3,Premier_league
Alphonse Areola,-,-,-,-,Premier_league
Christian Fuchs,0.4,0.4,-,-,Premier_league
Sam Johnstone,-,-,-,-,Premier_league
Alisson,-,-,-,-,Premier_league
Granit Xhaka,0.7,0.6,-,0.1,Premier_league
Tosin Adarabioyo,0.5,-,0.1,0.5,Premier_league
Angelo Ogbonna,0.5,-,0.2,0.3,Premier_league
Gabriel Magalhães,0.7,0.1,0.1,0.5,Premier_league
Callum Hudson-Odoi,1,0.5,-,0.5,Premier_league
Tariq Lamptey,0.5,-,0.1,0.5,Premier_league
David McGoldrick,2,0.8,0.2,1,Premier_league
Mason Greenwood,2.2,0.6,0.1,1.4,Premier_league
Martin Ødegaard,1.1,0.6,-,0.4,Premier_league
Sergio Reguilón,0.7,0.3,-,0.4,Premier_league
Conor Townsend,0.4,0.2,-,0.3,Premier_league
Ozan Kabak,0.1,-,0.1,-,Premier_league
Matthew Lowton,0.6,0.5,-,0.1,Premier_league
Pablo Marí,0.2,0.1,-,0.1,Premier_league
Robin Olsen,-,-,-,-,Premier_league
David Button,-,-,-,-,Premier_league
Fabián Balbuena,0.6,-,0.1,0.5,Premier_league
Rhys Williams,0.8,-,-,0.8,Premier_league
Hakim Ziyech,1.5,1.1,-,0.4,Premier_league
Jan Bednarek,0.3,-,0.1,0.2,Premier_league
Japhet Tanganga,0.3,-,0.2,0.2,Premier_league
Tyrick Mitchell,0.1,-,0.1,0.1,Premier_league
Ethan Ampadu,0.3,0.2,-,0.1,Premier_league
Tammy Abraham,1.5,-,0.2,1.2,Premier_league
Fraser Forster,-,-,-,-,Premier_league
Victor Lindelöf,0.1,-,0.1,0.1,Premier_league
Kenny Tete,0.3,0.1,-,0.2,Premier_league
Chris Basham,0.3,-,0.1,0.2,Premier_league
Héctor Bellerín,0.6,0.3,-,0.3,Premier_league
Daniel Podence,1.3,0.4,-,0.9,Premier_league
Kieran Tierney,0.6,0.4,-,0.1,Premier_league
Mbaye Diagne,1.6,0.1,0.4,1.1,Premier_league
Oliver McBurnie,1.3,0.1,0.2,1,Premier_league
João Moutinho,0.4,0.3,-,0.1,Premier_league
Douglas Luiz,0.8,0.6,-,0.1,Premier_league
Edinson Cavani,1.3,0.2,0.2,1,Premier_league
Rodrigo,1.8,0.7,0.2,1,Premier_league
Craig Dawson,0.7,-,0.2,0.5,Premier_league
Charlie Taylor,0.1,0.1,-,-,Premier_league
Davinson Sánchez,0.3,-,0.1,0.2,Premier_league
Isaac Hayden,0.7,0.3,-,0.4,Premier_league
Gylfi Sigurdsson,1.4,0.8,-,0.6,Premier_league
Danny Welbeck,1.5,0.2,0.2,1.1,Premier_league
Paul Dummett,0.2,-,0.1,0.1,Premier_league
Jacob Murphy,1.2,0.8,-,0.4,Premier_league
Mohammed Salisu,0.3,0.1,-,0.3,Premier_league
Eric Dier,0.5,0.3,0.1,0.1,Premier_league
Gabriel Martinelli,1.4,0.2,0.1,1.1,Premier_league
Harrison Reed,0.4,0.4,-,0.1,Premier_league
Miguel Almirón,1,0.4,-,0.5,Premier_league
Luke Thomas,0.5,0.1,-,0.4,Premier_league
Willian,0.8,0.4,0.1,0.3,Premier_league
Séamus Coleman,0.5,0.3,-,0.2,Premier_league
Leander Dendoncker,0.9,0.2,-,0.7,Premier_league
Jeffrey Schlupp,0.7,0.1,-,0.5,Premier_league
Dean Henderson,-,-,-,-,Premier_league
Jordan Pickford,-,-,-,-,Premier_league
Ahmed El Mohamady,0.6,0.1,0.1,0.4,Premier_league
Issa Diop,0.2,-,-,0.2,Premier_league
Sergio Agüero,1.6,0.1,0.1,1.4,Premier_league
Ciaran Clark,0.4,-,-,0.3,Premier_league
Federico Fernández,0.2,-,-,0.2,Premier_league
Matt Ritchie,0.6,0.4,-,0.2,Premier_league
Mason Holgate,0.2,-,-,0.1,Premier_league
Conor Gallagher,1,0.6,-,0.3,Premier_league
Ashley Westwood,0.5,0.4,-,0.1,Premier_league
Lucas Moura,0.6,0.2,0.1,0.3,Premier_league
Emerson,-,-,-,-,Premier_league
Benjamin Mendy,0.5,0.2,-,0.3,Premier_league
Ola Aina,0.5,0.3,-,0.1,Premier_league
Lukasz Fabianski,-,-,-,-,Premier_league
Darnell Furlong,0.7,0.1,0.1,0.6,Premier_league
Georginio Wijnaldum,0.8,0.4,0.1,0.4,Premier_league
Giovani Lo Celso,0.8,0.4,-,0.4,Premier_league
Ezgjan Alioski,0.7,0.3,-,0.4,Premier_league
Daniel James,1.1,0.3,0.1,0.7,Premier_league
Ederson,-,-,-,-,Premier_league
Ricardo Pereira,0.5,0.2,-,0.3,Premier_league
Jack Robinson,0.5,0.1,0.1,0.4,Premier_league
Fabio Carvalho,2.3,0.5,0.3,1.5,Premier_league
Kai Havertz,1.2,0.2,0.1,0.9,Premier_league
Ben White,0.3,-,-,0.3,Premier_league
Ayoze Pérez,1.2,0.4,0.1,0.8,Premier_league
Jamaal Lascelles,0.8,-,-,0.8,Premier_league
Mario Lemina,0.7,0.5,-,0.2,Premier_league
Robert Sánchez,-,-,-,-,Premier_league
Saïd Benrahma,1.2,0.8,0.1,0.3,Premier_league
Naby Keita,0.9,0.6,-,0.3,Premier_league
Robin Koch,0.5,0.1,0.1,0.4,Premier_league
Maximilian Kilman,0.4,0.1,-,0.3,Premier_league
John Egan,0.5,-,0.1,0.4,Premier_league
Curtis Jones,0.8,0.3,-,0.5,Premier_league
Nemanja Matic,0.3,0.3,0.1,-,Premier_league
Scott Dann,0.3,-,0.1,0.2,Premier_league
Nathan Aké,0.3,0.1,-,0.2,Premier_league
Joe Rodon,0.1,-,-,0.1,Premier_league
Neal Maupay,2.2,0.4,0.3,1.5,Premier_league
Gary Cahill,0.6,-,-,0.6,Premier_league
Cheikhou Kouyaté,0.2,-,0.1,0.1,Premier_league
Theo Walcott,1.4,0.6,-,0.8,Premier_league
Bernardo,1.3,-,0.7,0.7,Premier_league
Ben Davies,0.2,0.1,0.1,0.1,Premier_league
Édouard Mendy,-,-,-,-,Premier_league
Rayan Aït-Nouri,0.7,0.3,-,0.4,Premier_league
Bernd Leno,-,-,-,-,Premier_league
Luka Milivojevic,0.6,0.5,-,0.1,Premier_league
Aaron Ramsdale,-,-,-,-,Premier_league
Nathan Redmond,1.6,0.6,-,1,Premier_league
Joel Ward,0.1,0.1,-,-,Premier_league
Rúnar Alex Rúnarsson,-,-,-,-,Premier_league
Kasper Schmeichel,-,-,-,-,Premier_league
Kean Bryan,0.2,-,0.1,0.2,Premier_league
Ivan Cavaleiro,1.3,0.5,0.1,0.7,Premier_league
Alex Iwobi,0.5,0.2,-,0.3,Premier_league
Juan Mata,0.6,0.2,-,0.3,Premier_league
Jayden Bogle,1.1,0.1,0.1,0.8,Premier_league
Conor Coady,0.2,-,0.1,0.1,Premier_league
Jack Stephens,0.3,-,0.1,0.3,Premier_league
Bobby De Cordova-Reid,1,0.2,0.1,0.7,Premier_league
Marvelous Nakamba,0.2,0.2,-,-,Premier_league
Darren Randolph,-,-,-,-,Premier_league
Olivier Giroud,1.7,0.3,0.4,1,Premier_league
Jordan Ayew,0.8,0.2,-,0.5,Premier_league
Mateusz Klich,1,0.6,-,0.5,Premier_league
John Fleck,0.5,0.4,-,0.1,Premier_league
Robbie Brady,0.8,0.4,-,0.4,Premier_league
Jack Cork,0.3,0.1,-,0.2,Premier_league
Robert Snodgrass,0.5,0.1,-,0.4,Premier_league
Dara O'Shea,0.1,-,-,0.1,Premier_league
David Luiz,0.8,0.3,-,0.5,Premier_league
Ruben Loftus-Cheek,1.2,0.3,-,0.8,Premier_league
Aleksandar Mitrovic,2.2,0.4,0.1,1.7,Premier_league
Rui Patrício,-,-,-,-,Premier_league
Alex McCarthy,-,-,-,-,Premier_league
Steven Bergwijn,0.7,0.2,-,0.5,Premier_league
Neco Williams,0.3,-,-,0.3,Premier_league
Dele Alli,0.8,0.2,0.1,0.5,Premier_league
Jóhann Gudmundsson,0.9,0.5,-,0.3,Premier_league
Oliver Norwood,0.3,0.3,-,-,Premier_league
Cédric Soares,0.7,0.5,-,0.2,Premier_league
Ainsley Maitland-Niles,0.7,0.5,-,0.2,Premier_league
Joe Gomez,-,-,-,-,Premier_league
James Milner,0.5,0.3,-,0.1,Premier_league
Emil Krafth,0.4,0.3,-,0.2,Premier_league
David de Gea,-,-,-,-,Premier_league
Cengiz Ünder,1,0.9,-,0.1,Premier_league
Patrick van Aanholt,0.8,0.4,-,0.4,Premier_league
Max Lowe,0.3,0.1,-,0.1,Premier_league
Ashley Barnes,1.7,0.5,0.1,1,Premier_league
Jonny,0.1,-,-,0.1,Premier_league
Tom Davies,0.3,0.2,-,-,Premier_league
André Gomes,0.5,0.5,-,-,Premier_league
Vicente Guaita,-,-,-,-,Premier_league
Rúben Vinagre,-,-,-,-,Premier_league
Adam Lallana,0.7,0.2,-,0.5,Premier_league
Virgil van Dijk,0.8,0.2,0.2,0.4,Premier_league
Moussa Sissoko,0.1,-,-,0.1,Premier_league
Willian José,1.1,0.3,0.2,0.6,Premier_league
Ainsley Maitland-Niles,0.2,0.2,-,-,Premier_league
Marçal,0.2,0.2,-,-,Premier_league
Alexis Mac Allister,1.1,0.9,-,0.3,Premier_league
Erik Pieters,0.2,0.1,-,0.1,Premier_league
Ryan Fredericks,0.3,0.1,0.1,0.1,Premier_league
Daniel Jebbison,1,0.3,0.3,0.5,Premier_league
John Ruddy,-,-,-,-,Premier_league
Tyler Roberts,1,0.5,-,0.5,Premier_league
Sander Berge,0.7,0.1,-,0.5,Premier_league
Mohamed Elneny,0.4,0.2,-,0.2,Premier_league
Takumi Minamino,1.3,0.5,-,0.8,Premier_league
Theo Corbeanu,-,-,-,-,Premier_league
Ryan Bertrand,0.3,0.1,-,0.1,Premier_league
Dennis Praet,0.5,0.2,-,0.3,Premier_league
Steven Alzate,0.5,0.3,-,0.2,Premier_league
Bernard,0.5,0.3,-,0.2,Premier_league
Grady Diangana,0.7,0.2,0.1,0.5,Premier_league
Callum Robinson,1.1,0.4,0.1,0.6,Premier_league
Manuel Lanzini,0.7,0.3,-,0.4,Premier_league
Eric Bailly,0.2,-,-,0.2,Premier_league
Daniel Amartey,0.2,-,0.1,0.2,Premier_league
Takumi Minamino,0.8,0.2,-,0.6,Premier_league
Ben Osborn,0.4,0.2,-,0.2,Premier_league
Semi Ajayi,0.4,-,0.1,0.3,Premier_league
Sam Field,-,-,-,-,Premier_league
Tim Ream,-,-,-,-,Premier_league
Percy Tau,-,-,-,-,Premier_league
Xherdan Shaqiri,0.8,0.6,-,0.1,Premier_league
