Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea,League
Federico Ravaglia,-,-,-,-,Serie_A
Edoardo Vergani,-,-,-,-,Serie_A
Federico Marchetti,-,-,-,-,Serie_A
Aleksandr Kokorin,-,-,-,-,Serie_A
Antonio Palumbo,1,1,-,-,Serie_A
Nicolás Schiappacasse,-,-,-,-,Serie_A
Martin Palumbo,-,-,-,-,Serie_A
Petar Micin,-,-,-,-,Serie_A
Djavan Anderson,-,-,-,-,Serie_A
Antonio Mazzotta,-,-,-,-,Serie_A
Raul Moro,-,-,-,-,Serie_A
Riccardo Calafiori,-,-,-,-,Serie_A
Augustus Kargbo,-,-,-,-,Serie_A
Andrea Adorante,-,-,-,-,Serie_A
Lorenzo Del Pinto,-,-,-,-,Serie_A
Simone Colombi,-,-,-,-,Serie_A
Chaka Traorè,0.3,-,-,0.3,Serie_A
Nícolas,-,-,-,-,Serie_A
Ciprian Tatarusanu,-,-,-,-,Serie_A
Lionel Messi,5.6,2.9,0.4,2.3,La_Liga
Ángel Jiménez,-,-,-,-,La_Liga
Gerard Moreno,2.9,0.5,0.2,2.3,La_Liga
Karim Benzema,3.6,0.9,0.5,2.2,La_Liga
Ansu Fati,2,0.3,0.1,1.6,La_Liga
Casemiro,1.4,0.6,0.3,0.5,La_Liga
Iago Aspas,1.5,0.3,0.1,1.1,La_Liga
Marcos Llorente,1.3,0.6,-,0.7,La_Liga
Mikel Merino,1.3,0.3,0.2,0.8,La_Liga
Toni Kroos,1.2,0.9,0.1,0.2,La_Liga
Joselu,2.5,0.6,0.2,1.7,La_Liga
Kieran Trippier,0.1,0.1,-,-,La_Liga
Lucas Vázquez,0.9,0.5,-,0.3,La_Liga
Geoffrey Kondogbia,0.8,0.8,-,-,La_Liga
Diego Llorente,-,-,-,-,La_Liga
Antoine Griezmann,2,0.4,0.2,1.4,La_Liga
Javi Galán,0.2,0.2,-,0.1,La_Liga
Yannick Carrasco,1.4,0.5,0.1,0.9,La_Liga
Luis Suárez,3.3,0.7,0.3,2.2,La_Liga
Luka Modric,1.3,0.8,-,0.5,La_Liga
Frenkie de Jong,0.5,0.1,0.1,0.2,La_Liga
Nabil Fekir,2.6,1.5,-,1.1,La_Liga
José Campaña,1.4,0.8,-,0.7,La_Liga
Daniel Parejo,0.8,0.6,-,0.2,La_Liga
Thomas Partey,1.7,1.7,-,-,La_Liga
Jony Álamo,1,1,-,-,La_Liga
Carlos Soler,1.2,0.6,-,0.5,La_Liga
Mikel Oyarzabal,1.9,0.6,0.1,1.1,La_Liga
Alexander Isak,2.4,0.4,0.5,1.6,La_Liga
Rober Correa,0.4,0.3,-,0.1,La_Liga
Ousmane Dembélé,1.8,0.6,0.1,1.1,La_Liga
Jules Koundé,0.6,-,-,0.6,La_Liga
Fernando,0.2,0.1,0.1,0.1,La_Liga
Jordi Alba,0.8,0.4,-,0.4,La_Liga
David Silva,1,0.2,0.2,0.5,La_Liga
Emerson,0.3,0.1,0.1,0.2,La_Liga
Bryan Gil,1.4,0.5,0.1,0.8,La_Liga
Manu Sánchez,-,-,-,-,La_Liga
Sergio Barcia,-,-,-,-,La_Liga
Sergio Ramos,1.1,0.2,0.1,0.9,La_Liga
Sergio Canales,1.5,0.9,-,0.6,La_Liga
Guido Rodríguez,0.9,0.4,0.1,0.4,La_Liga
Kike García,2.4,0.5,0.2,1.7,La_Liga
Ángel Correa,1.4,0.4,0.1,0.9,La_Liga
Daniel Carvajal,0.7,0.5,-,0.2,La_Liga
Lucas Ocampos,2,0.5,0.3,1.2,La_Liga
Stefan Savic,0.2,-,0.2,0.1,La_Liga
Koke,0.5,0.3,-,0.1,La_Liga
Maximiliano Gómez,1.7,0.7,0.2,0.9,La_Liga
Suso,1.4,1,-,0.4,La_Liga
Jesús Navas,0.4,0.1,-,0.3,La_Liga
Sergio Busquets,0.1,0.1,-,-,La_Liga
Renato Tapia,0.5,0.3,-,0.3,La_Liga
Youssef En-Nesyri,2.1,0.1,0.3,1.6,La_Liga
Jan Oblak,-,-,-,-,La_Liga
Santi Mina,1.3,0.2,0.2,0.9,La_Liga
Eder Militão,0.9,0.1,0.1,0.7,La_Liga
Fidel,0.6,0.2,0.1,0.3,La_Liga
Mauro Arambarri,1.4,1,-,0.3,La_Liga
Raphael Varane,0.5,-,0.1,0.4,La_Liga
Jasper Cillessen,-,-,-,-,La_Liga
Marcos Acuña,0.6,0.3,-,0.3,La_Liga
Ferland Mendy,0.5,0.2,-,0.2,La_Liga
David García,0.4,-,-,0.3,La_Liga
Jawad El Yamiq,0.4,0.1,-,0.3,La_Liga
Gonçalo Guedes,1.6,1.1,-,0.5,La_Liga
Thomas Lemar,0.9,0.6,-,0.2,La_Liga
Yeray Álvarez,0.4,0.1,-,0.3,La_Liga
Alex Berenguer,1.4,0.5,0.1,0.7,La_Liga
Nolito,1.5,0.4,-,1.1,La_Liga
Adnan Januzaj,1.2,0.7,0.1,0.4,La_Liga
Iker Muniain,0.8,0.3,0.2,0.4,La_Liga
Carlos Domínguez,0.3,-,-,0.3,La_Liga
Joan Jordán,0.7,0.5,-,0.2,La_Liga
Sergio Escudero,0.7,0.3,-,0.3,La_Liga
Gabriel Paulista,0.5,0.1,-,0.3,La_Liga
Florian Lejeune,0.7,0.3,0.1,0.4,La_Liga
Aridane Hernández,0.1,-,-,0.1,La_Liga
Daniel Wass,1.1,0.8,0.1,0.2,La_Liga
Luis Milla,0.6,0.6,-,0.1,La_Liga
Mario Hermoso,0.6,0.3,0.1,0.3,La_Liga
Aritz Elustondo,0.2,-,0.1,0.1,La_Liga
Gerard Piqué,0.5,-,0.1,0.4,La_Liga
Yangel Herrera,1,0.4,0.1,0.5,La_Liga
Lucas Torró,0.7,0.3,0.1,0.2,La_Liga
Ante Budimir,1.6,0.1,0.3,1.1,La_Liga
Antonio Sivera,-,-,-,-,La_Liga
Philippe Coutinho,2.3,0.9,0.2,1.3,La_Liga
Nacho,0.5,0.1,0.1,0.2,La_Liga
Federico Valverde,0.9,0.4,-,0.5,La_Liga
Rubén García,0.8,0.4,0.1,0.3,La_Liga
José Giménez,0.7,0.1,-,0.6,La_Liga
Pablo Maffeo,0.4,0.2,-,0.3,La_Liga
Thibaut Courtois,-,-,-,-,La_Liga
Mario Gaspar,0.6,0.2,-,0.4,La_Liga
Óscar Mingueza,0.4,0.1,0.1,0.3,La_Liga
Sandro Ramírez,1.5,0.7,0.1,0.8,La_Liga
Iza,0.3,0.3,-,-,La_Liga
Unai Núñez,0.5,-,0.1,0.3,La_Liga
Hugo Mallo,0.6,0.1,0.1,0.4,La_Liga
Pau Torres,0.2,-,0.1,0.1,La_Liga
Dimitrios Siovas,0.8,0.1,0.1,0.6,La_Liga
Papu Gómez,1,0.6,-,0.4,La_Liga
Claudio Bravo,-,-,-,-,La_Liga
Saúl Ñíguez,1,0.4,0.1,0.6,La_Liga
Álex Moreno,0.5,0.1,-,0.3,La_Liga
Pedri,0.7,0.2,0.1,0.4,La_Liga
Brais Méndez,1.5,0.4,0.1,0.9,La_Liga
Álvaro Negredo,1.4,0.3,0.1,0.9,La_Liga
Sergio Herrera,-,-,-,-,La_Liga
David Ferreiro,0.7,0.4,-,0.3,La_Liga
Ronald Araujo,0.5,-,0.2,0.3,La_Liga
Paulo Oliveira,0.4,-,0.1,0.4,La_Liga
Alberto Perea,1,0.7,-,0.3,La_Liga
Denis Suárez,0.5,0.3,-,0.1,La_Liga
João Félix,1.3,0.4,-,0.8,La_Liga
Sergi Roberto,0.3,0.1,-,0.3,La_Liga
Darwin Machís,1.5,0.8,-,0.6,La_Liga
Yuri Berchiche,0.7,0.3,-,0.4,La_Liga
Rafa Mir,3.2,0.7,0.4,2.1,La_Liga
Rubén Sobrino,0.6,0.1,0.1,0.4,La_Liga
Felipe,0.4,-,0.1,0.3,La_Liga
Antonio Blanco,0.5,0.5,-,-,La_Liga
Juan Iglesias,0.4,0.3,-,0.1,La_Liga
Mathías Olivera,0.6,0.1,0.1,0.5,La_Liga
Edu Expósito,1.4,0.9,-,0.5,La_Liga
José Gayà,0.7,0.3,0.1,0.3,La_Liga
Juan Foyth,0.1,-,-,0.1,La_Liga
Lucas Olaza,0.6,0.4,-,0.2,La_Liga
Jaume Doménech,-,-,-,-,La_Liga
Rubén Duarte,0.5,0.2,-,0.2,La_Liga
Yassine Bounou,-,-,-,-,La_Liga
Renan Lodi,0.5,0.2,-,0.3,La_Liga
Alfonso Espino,0.3,0.2,-,-,La_Liga
Marcelo,0.8,0.4,-,0.4,La_Liga
Andoni Gorosabel,0.3,0.1,-,0.2,La_Liga
Thierry Correia,0.3,0.1,-,0.2,La_Liga
Vicente Iborra,0.2,0.1,-,0.2,La_Liga
Marc Cucurella,0.7,0.4,-,0.3,La_Liga
Javier Ontiveros,1.8,1.1,-,0.7,La_Liga
Miguel Gutiérrez,-,-,-,-,La_Liga
Diego Carlos,0.5,-,-,0.5,La_Liga
Jorge de Frutos,0.7,0.1,-,0.5,La_Liga
José Luis Morales,1.5,0.4,0.1,1,La_Liga
Robin Le Normand,0.5,0.1,0.1,0.4,La_Liga
Asier Illarramendi,-,-,-,-,La_Liga
Aarón Escandell,-,-,-,-,La_Liga
Uros Racic,1.1,0.7,-,0.4,La_Liga
Etienne Capoue,0.5,0.4,-,0.1,La_Liga
Marco Asensio,1.1,0.6,0.1,0.5,La_Liga
Aïssa Mandi,0.3,-,0.1,0.1,La_Liga
José Mari,0.8,0.7,-,-,La_Liga
Djené Dakonam,0.1,-,-,0.1,La_Liga
Lucas Boyé,1.7,0.6,0.1,1.1,La_Liga
Nacho Monreal,0.5,0.2,0.1,0.2,La_Liga
Eden Hazard,0.7,0.2,-,0.5,La_Liga
Manu Trigueros,0.9,0.5,-,0.3,La_Liga
Miguel Ángel Rubio,0.5,-,-,0.5,La_Liga
Raúl García,0.4,0.1,-,0.3,La_Liga
Rubén Peña,0.3,0.1,-,0.2,La_Liga
Guido Carrillo,1.2,0.1,-,1,La_Liga
Iñaki Williams,1.4,0.3,0.1,1,La_Liga
Gonzalo Melero,0.9,0.3,0.1,0.5,La_Liga
Anaitz Arbilla,0.8,0.6,0.1,0.2,La_Liga
Edgar Badia,-,-,-,-,La_Liga
Kenedy,1.3,1,0.1,0.2,La_Liga
Joaquín,0.4,0.1,-,0.3,La_Liga
Alfonso Pedraza,0.8,0.2,-,0.5,La_Liga
Sergi Gómez,0.1,-,-,0.1,La_Liga
Álvaro Fernández,-,-,-,-,La_Liga
Ander Capa,0.4,0.1,0.1,0.3,La_Liga
Rodrygo,1.1,0.2,-,0.9,La_Liga
Victor Chust,-,-,-,-,La_Liga
Lucas Olaza,0.8,0.4,-,0.4,La_Liga
Marc Bartra,0.5,0.2,0.1,0.3,La_Liga
Jonathan Calleri,1.9,0.3,0.1,1.5,La_Liga
Carlos Clerc,0.2,0.1,-,0.1,La_Liga
Rubén Rochina,1.4,1,-,0.4,La_Liga
Neto,-,-,-,-,La_Liga
Lucas Pérez,1.1,0.2,0.1,0.8,La_Liga
Sergiño Dest,0.5,0.1,-,0.4,La_Liga
Carlos Akapo,0.2,0.1,-,0.1,La_Liga
Juan Miranda,0.5,0.3,-,0.1,La_Liga
Ilaix Moriba,0.9,0.3,0.1,0.5,La_Liga
Gonzalo Verdú,0.3,0.1,0.1,0.2,La_Liga
Marc-André ter Stegen,-,-,-,-,La_Liga
Víctor Ruiz,0.1,-,0.1,-,La_Liga
Álvaro Odriozola,0.2,-,0.1,0.2,La_Liga
Ramiro Funes Mori,0.4,0.1,0.1,0.2,La_Liga
Vinícius Júnior,1.1,0.2,0.2,0.8,La_Liga
Roque Mesa,1,0.7,-,0.3,La_Liga
Martín Zubimendi,0.2,-,-,0.2,La_Liga
Antonio Sanabria,1.6,0.2,0.2,1.2,La_Liga
Aleix Vidal,0.1,0.1,-,-,La_Liga
Óscar Plano,1.1,0.4,0.1,0.6,La_Liga
Lee Kang-In,1,0.7,-,0.4,La_Liga
Nemanja Maksimovic,0.5,0.1,0.1,0.3,La_Liga
Moi Gómez,0.7,0.2,-,0.4,La_Liga
Álex Fernández,0.4,0.1,0.1,0.2,La_Liga
Nacho Vidal,0.3,0.1,-,0.2,La_Liga
Joaquín Fernández,0.3,-,-,0.3,La_Liga
Sime Vrsaljko,-,-,-,-,La_Liga
Tete Morente,0.6,0.2,0.1,0.3,La_Liga
Cucho Hernández,1.2,0.3,0.1,0.8,La_Liga
Saidy Janko,0.2,-,-,0.2,La_Liga
Jeison Murillo,0.3,-,-,0.3,La_Liga
Ivan Rakitic,1.1,0.5,0.1,0.5,La_Liga
Roger Martí,1.4,0.2,0.2,1,La_Liga
Raúl García,1.4,0.4,0.1,0.9,La_Liga
Héctor Herrera,0.4,0.2,-,0.3,La_Liga
Íñigo Martínez,0.6,0.3,-,0.4,La_Liga
Clément Lenglet,0.3,0.1,0.1,0.1,La_Liga
Borja Iglesias,1.4,0.3,0.1,1,La_Liga
Ximo Navarro,0.4,0.3,-,0.1,La_Liga
Hugo Guillamón,0.3,-,-,0.2,La_Liga
Aarón Martín,0.3,0.1,-,0.2,La_Liga
Willian José,1.1,0.1,0.1,0.9,La_Liga
Esteban Burgos,0.4,-,0.1,0.4,La_Liga
Sergi Enrich,1.7,-,0.4,1.2,La_Liga
Daniel Cárdenas,-,-,-,-,La_Liga
Jorge Pulido,0.5,0.2,0.1,0.2,La_Liga
Kike Barja,0.7,0.3,0.1,0.3,La_Liga
Raúl Albiol,0.2,0.1,0.1,0.1,La_Liga
Pablo Hervías,0.5,0.4,-,0.1,La_Liga
Igor Zubeldia,0.4,0.1,0.1,0.2,La_Liga
Josema,0.2,0.1,-,0.1,La_Liga
Sergio Asenjo,-,-,-,-,La_Liga
Jorge Miramón,0.4,0.2,-,0.2,La_Liga
Aihen Muñoz,0.3,0.1,-,0.1,La_Liga
Óscar Duarte,0.2,-,-,0.2,La_Liga
Samuel Chukwueze,1.1,0.3,-,0.8,La_Liga
Enis Bardhi,1.4,0.8,-,0.5,La_Liga
Augusto Solari,0.3,0.1,-,0.2,La_Liga
Josan,0.5,0.1,-,0.3,La_Liga
Mickaël Malsa,0.7,0.5,-,0.2,La_Liga
Álvaro Tejero,1,1,-,-,La_Liga
Juan Cala,0.5,0.1,0.1,0.4,La_Liga
Rúben Vezo,0.2,-,-,0.1,La_Liga
Karim Rekik,0.2,-,-,0.2,La_Liga
Jorge Molina,0.7,0.1,0.1,0.6,La_Liga
Óliver Torres,0.3,0.2,-,0.1,La_Liga
Carles Aleñá,1.4,0.9,-,0.5,La_Liga
Toni Villa,0.7,0.2,-,0.5,La_Liga
Iván Villar,-,-,-,-,La_Liga
Luis Suárez,1.7,0.5,0.1,1.1,La_Liga
Enes Ünal,1.4,0.3,0.2,0.9,La_Liga
Paco Alcácer,1.4,0.3,0.4,0.7,La_Liga
Samuel Umtiti,0.2,-,-,0.2,La_Liga
Unai López,1,0.8,-,0.2,La_Liga
Aitor Ruibal,1.2,0.4,-,0.7,La_Liga
Raúl Guti,0.8,0.5,-,0.3,La_Liga
Luis Rioja,0.7,0.3,-,0.4,La_Liga
Jaime Seoane,0.8,0.5,-,0.3,La_Liga
Junior Firpo,0.1,-,0.1,-,La_Liga
Fabián Orellana,1,0.3,-,0.7,La_Liga
Rubén Alcaraz,0.9,0.7,-,0.2,La_Liga
Pervis Estupiñán,0.4,0.1,-,0.3,La_Liga
Jens Jonsson,0.4,0.3,-,0.1,La_Liga
Antonio Barragán,0.2,-,0.1,0.1,La_Liga
Yeremi Pino,0.5,0.1,-,0.5,La_Liga
Cristian Tello,1.2,0.7,-,0.5,La_Liga
Pablo Ínsua,0.2,-,-,0.2,La_Liga
Pape Diop,0.8,0.4,0.1,0.3,La_Liga
Munir El Haddadi,1.3,0.5,0.1,0.8,La_Liga
Dani García,0.2,0.1,-,-,La_Liga
Rafa Soares,0.1,-,-,0.1,La_Liga
Edgar Méndez,1.1,0.3,0.2,0.6,La_Liga
Maxime Gonalons,0.2,-,-,0.2,La_Liga
Germán Sánchez,0.4,-,0.1,0.2,La_Liga
Antonio Puertas,0.7,0.3,-,0.5,La_Liga
Diego Costa,0.7,-,-,0.7,La_Liga
Álex Remiro,-,-,-,-,La_Liga
Ángel Montoro,0.7,0.5,-,0.1,La_Liga
Ander Guevara,0.3,0.2,-,0.1,La_Liga
Facundo Roncaglia,0.8,0.5,-,0.2,La_Liga
Damián Suárez,0.3,0.3,-,-,La_Liga
Alberto Moreno,0.8,0.4,-,0.4,La_Liga
Pere Milla,0.9,0.1,0.2,0.7,La_Liga
Marcos de Sousa,1.4,0.2,0.3,0.9,La_Liga
Bruno González,0.2,-,-,0.2,La_Liga
Fali,0.3,-,-,0.3,La_Liga
David Soria,-,-,-,-,La_Liga
Manu Sánchez,0.2,0.1,-,0.1,La_Liga
Mouctar Diakhaby,0.4,0.1,0.1,0.3,La_Liga
Vicente Esquerdo,0.3,0.3,-,-,La_Liga
Quini,0.4,0.3,-,0.1,La_Liga
Portu,0.8,0.1,0.1,0.6,La_Liga
Domingos Quina,1,0.5,-,0.5,La_Liga
Rodrigo Ely,0.5,-,-,0.5,La_Liga
Tomás Pina,0.3,0.1,-,0.2,La_Liga
Diego Lainez,0.6,0.3,-,0.3,La_Liga
Marvin Park,0.3,-,-,0.3,La_Liga
Ivan Saponjic,1.2,-,0.1,1.1,La_Liga
Joseph Aidoo,0.4,-,-,0.3,La_Liga
Néstor Araújo,0.2,-,-,0.2,La_Liga
Pedro Mosquera,0.3,0.2,-,0.1,La_Liga
Fernando Pacheco,-,-,-,-,La_Liga
Sidnei,0.1,-,0.1,-,La_Liga
Jon Moncayola,1.1,0.8,-,0.2,La_Liga
Jon Morcillo,0.8,0.5,-,0.3,La_Liga
Andrés Guardado,0.5,0.4,-,0.1,La_Liga
Rubén Yáñez,-,-,-,-,La_Liga
Luuk de Jong,0.9,0.1,0.1,0.7,La_Liga
Isco,0.8,0.4,-,0.4,La_Liga
Jeremías Ledesma,-,-,-,-,La_Liga
Jon Guridi,0.5,0.2,-,0.2,La_Liga
Allan-Roméo Nyom,0.3,0.1,-,0.2,La_Liga
Sergio Postigo,-,-,-,-,La_Liga
Rui Silva,-,-,-,-,La_Liga
Roberto Torres,1.4,0.7,-,0.7,La_Liga
Óscar De Marcos,0.2,-,-,0.2,La_Liga
Mikel Vesga,0.7,0.3,-,0.4,La_Liga
Carlos Bacca,0.9,0.2,-,0.6,La_Liga
Rodrigo Battaglia,0.5,0.2,-,0.3,La_Liga
Diego González,0.3,-,-,0.3,La_Liga
Dani Calvo,0.3,-,-,0.3,La_Liga
Pedro López,0.1,-,-,0.1,La_Liga
Borja García,0.7,0.2,-,0.4,La_Liga
Rober Pier,0.4,0.1,-,0.3,La_Liga
Marcos Mauro,0.3,-,0.1,0.2,La_Liga
Pepe Sanchez,0.3,0.3,-,-,La_Liga
Mikel Rico,0.6,0.2,-,0.4,La_Liga
Anthony Lozano,1.2,0.2,0.1,0.9,La_Liga
Marko Dmitrovic,0.1,-,-,0.1,La_Liga
Mikel Balenziaga,0.1,0.1,-,-,La_Liga
Denis Cheryshev,1,0.4,-,0.6,La_Liga
Aitor Fernández,-,-,-,-,La_Liga
Eugeni Valderrama,-,-,-,-,La_Liga
Kevin Vázquez,0.1,0.1,-,-,La_Liga
Denis Vavro,0.7,0.5,-,0.3,La_Liga
Ander Barrenetxea,0.7,0.5,-,0.3,La_Liga
Joseba Zaldua,0.2,0.1,-,0.1,La_Liga
Helibelton Palacios,-,-,-,-,La_Liga
Pedro Bigas,0.5,0.1,-,0.4,La_Liga
Nacho,0.3,0.2,-,0.1,La_Liga
Shon Weissman,1.2,0.1,0.1,1,La_Liga
Víctor Laguardia,0.3,-,-,0.2,La_Liga
Unai García,0.3,0.1,0.1,0.2,La_Liga
Oihan Sancet,0.8,0.1,0.1,0.5,La_Liga
Oier Sanjurjo,0.5,0.2,-,0.3,La_Liga
Cote,0.1,0.1,-,-,La_Liga
Nemanja Radoja,0.3,0.2,-,-,La_Liga
Fernando Niño,0.8,-,0.2,0.6,La_Liga
Jordi Masip,-,-,-,-,La_Liga
Jorge Pombo,1.2,0.6,0.1,0.5,La_Liga
Miralem Pjanic,0.8,0.6,-,0.3,La_Liga
Juan Cruz,-,-,-,-,La_Liga
Domingos Duarte,0.2,-,0.1,0.1,La_Liga
Johan Mojica,0.4,0.4,-,0.1,La_Liga
Carlos Neva,0.4,0.2,-,0.1,La_Liga
Kike Pérez,0.6,0.4,-,0.3,La_Liga
Coke,0.5,0.3,-,0.2,La_Liga
Trincão,0.8,0.3,-,0.6,La_Liga
Roberto López,0.8,0.6,-,0.2,La_Liga
Joel Robles,-,-,-,-,La_Liga
Dimitri Foulquier,0.3,-,-,0.2,La_Liga
Nikola Vukcevic,0.2,-,0.2,-,La_Liga
Paulo Gazzaniga,-,-,-,-,La_Liga
Abdoulaye Diaby,1,-,-,1,La_Liga
Emre Mor,0.7,0.3,-,0.5,La_Liga
Jon Pacheco Dozagarat,1,-,-,1,La_Liga
Juan Pérez,-,-,-,-,La_Liga
Víctor Díaz,0.3,0.2,0.1,-,La_Liga
Pedro León,0.8,0.5,-,0.3,La_Liga
Martín Aguirregabiria,0.1,-,-,0.1,La_Liga
Xabier Etxeita,0.4,-,0.2,0.2,La_Liga
Óscar Rodríguez,0.5,0.3,-,0.2,La_Liga
Iván Marcone,0.1,-,-,-,La_Liga
Martín Montoya,0.4,-,-,0.4,La_Liga
Darko Brasanac,0.5,0.1,0.1,0.3,La_Liga
Sergi Guardiola,1.2,0.3,0.1,0.9,La_Liga
Miguel Ángel Atienza,0.4,0.1,-,0.3,La_Liga
William Carvalho,0.6,0.3,-,0.3,La_Liga
Eliaquim Mangala,0.3,-,-,0.3,La_Liga
Fran Beltrán,0.6,0.4,-,0.2,La_Liga
Asier Villalibre,1.1,0.2,0.1,0.8,La_Liga
Tachi,0.2,-,0.1,0.2,La_Liga
Takefusa Kubo,0.8,0.4,-,0.4,La_Liga
Jony,0.5,0.2,-,0.2,La_Liga
Takashi Inui,1.3,0.7,-,0.6,La_Liga
Roberto Navarro,-,-,-,-,La_Liga
Martín Merquelanz,0.8,0.4,-,0.5,La_Liga
Unai Vencedor,0.3,0.3,-,-,La_Liga
Francis Coquelin,0.2,0.1,-,0.1,La_Liga
Sofian Chakla,0.3,-,-,0.3,La_Liga
Bryan Gil,-,-,-,-,La_Liga
Andrés Fernández,-,-,-,-,La_Liga
Erick Cabaco,0.3,-,-,0.3,La_Liga
Sergio Álvarez,0.2,0.1,-,0.1,La_Liga
Iñigo Vicente,0.3,0.3,-,-,La_Liga
Pere Pons,0.4,0.2,-,0.2,La_Liga
Jonás Ramalho,-,-,-,-,La_Liga
Javi Martínez,0.2,0.1,-,0.2,La_Liga
Recio,0.8,0.3,-,0.5,La_Liga
Deyverson,0.5,0.2,0.1,0.3,La_Liga
Manu Vallejo,0.6,-,0.1,0.5,La_Liga
Martin Braithwaite,0.8,0.1,0.1,0.6,La_Liga
Fede San Emeterio,0.1,0.1,-,-,La_Liga
Yunus Musah,0.2,0.1,-,0.1,La_Liga
Salvi Sánchez,0.6,0.3,-,0.3,La_Liga
Geoffrey Kondogbia,0.2,0.1,-,0.1,La_Liga
Tomás Vaclik,-,-,-,-,La_Liga
Oriol Rey,-,-,-,-,La_Liga
Iván Alejo,0.6,0.2,-,0.3,La_Liga
Carlos Fernández,0.6,0.1,0.2,0.4,La_Liga
Riqui Puig,0.3,0.2,0.1,-,La_Liga
Unai Simón,-,-,-,-,La_Liga
David Timor,0.6,0.6,-,-,La_Liga
Yoshinori Muto,0.8,0.2,0.2,0.5,La_Liga
Íñigo Lekue,0.1,0.1,-,-,La_Liga
Carlos Fernández,0.4,-,0.2,0.2,La_Liga
Jaime Mata,1.2,-,0.1,1.1,La_Liga
Luis Pérez,0.1,-,-,-,La_Liga
Alberto Cifuentes,-,-,-,-,La_Liga
Alejandro Pozo,0.4,0.3,-,0.1,La_Liga
Aleix García,0.3,0.3,-,-,La_Liga
Alejandro Cantero,0.8,0.3,-,0.5,La_Liga
Pedro Alcalá,0.2,-,-,0.2,La_Liga
Roberto Soldado,1,0.2,0.1,0.8,La_Liga
Kenan Kodro,0.5,0.3,-,0.3,La_Liga
Sergio Arribas,0.1,0.1,-,-,La_Liga
Son,0.3,0.1,-,0.2,La_Liga
Lucas Torreira,0.2,0.1,-,0.1,La_Liga
Jeison Lucumí,-,-,-,-,La_Liga
Míchel,0.5,0.4,-,0.1,La_Liga
Paul Akouokou,-,-,-,-,La_Liga
Juanmi,0.9,0.1,0.3,0.6,La_Liga
Nemanja Gudelj,0.3,0.3,-,-,La_Liga
Toño,0.2,0.2,-,-,La_Liga
Okay Yokuslu,0.3,0.1,0.1,0.1,La_Liga
Sergio Gómez,0.3,0.3,-,-,La_Liga
Enric Gallego,0.6,0.1,0.1,0.5,La_Liga
Ibai Gómez,0.4,0.2,-,0.2,La_Liga
Gastón Silva,-,-,-,-,La_Liga
Jota,0.7,0.3,-,0.4,La_Liga
Kévin Rodrigues,0.5,0.3,-,0.1,La_Liga
Jota,0.7,0.4,-,0.3,La_Liga
Mariano,0.9,0.3,0.1,0.5,La_Liga
Dani Gómez,0.9,0.3,-,0.6,La_Liga
Alfon,0.5,-,-,0.5,La_Liga
Nico Williams,0.5,-,-,0.5,La_Liga
Jaume Costa,0.1,-,-,0.1,La_Liga
Sergio Carreira,0.7,-,0.3,0.3,La_Liga
Álvaro Giménez,0.5,0.1,0.1,0.3,La_Liga
Adrián Marín,0.1,0.1,-,-,La_Liga
Burgui,-,-,-,-,La_Liga
Álex Blanco,0.5,-,-,0.5,La_Liga
Facundo Pellistri,0.4,0.2,-,0.3,La_Liga
Roberto Jiménez,-,-,-,-,La_Liga
Javi Sánchez,0.2,-,0.1,0.1,La_Liga
Modibo Sagnan,0.3,0.1,0.1,0.1,La_Liga
Shinji Okazaki,0.8,0.1,-,0.6,La_Liga
Christian Oliva,0.2,0.2,-,-,La_Liga
Kuki Zalazar,-,-,-,-,La_Liga
Manu García,0.4,0.2,-,0.2,La_Liga
Emiliano Rigoni,0.7,0.4,0.1,0.2,La_Liga
Adrián López,0.6,0.1,0.1,0.4,La_Liga
Kevin Gameiro,0.6,0.1,0.1,0.4,La_Liga
Idrissa Doumbia,0.2,0.1,-,-,La_Liga
Toni Lato,0.1,-,0.1,0.1,La_Liga
Fede Vico,0.5,0.3,0.1,0.2,La_Liga
Edgar Sevikyan,-,-,-,-,La_Liga
Álex Baena,0.3,0.3,-,-,La_Liga
Omenuke Mfulu,0.2,0.1,-,0.1,La_Liga
Kiko Olivas,-,-,-,-,La_Liga
Chema Rodríguez,0.3,0.2,-,0.1,La_Liga
Dani Raba,1.2,0.2,-,1,La_Liga
Oussama Idrissi,0.3,-,-,0.3,La_Liga
Dani Escriche,0.4,0.1,0.1,0.2,La_Liga
Álvaro Bravo,-,-,-,-,La_Liga
Rodrigo Sánchez,0.3,0.1,-,0.2,La_Liga
Guillem Molina,-,-,-,-,La_Liga
Luka Jovic,1.5,-,-,1.5,La_Liga
Jesús Vallejo,-,-,-,-,La_Liga
Martin Ødegaard,0.4,0.1,-,0.3,La_Liga
Jon Ander Garrido,0.2,-,-,0.2,La_Liga
Iñigo Pérez,0.4,0.3,-,0.1,La_Liga
Nehuen Pérez,0.4,-,0.1,0.3,La_Liga
Pablo Piatti,0.4,0.3,-,0.1,La_Liga
Ante Palaversa,-,-,-,-,La_Liga
Cifu,0.3,0.2,-,0.1,La_Liga
Jairo Izquierdo,0.3,0.1,-,0.2,La_Liga
Iñigo Córdoba,0.1,-,-,0.1,La_Liga
Jordan Holsgrove,0.2,-,-,0.2,La_Liga
Loren Morón,0.9,0.3,0.1,0.5,La_Liga
