Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Nathan McGinley,-,-,-,-
Jak Alnwick,-,-,-,-
Jason Holt,0.7,0.5,-,0.2
Barry Maguire,0.6,0.5,-,0.1
Tomas Rogic,1,0.5,-,0.5
Bruce Anderson,2,0.6,-,1.4
Stephen O'Donnell,0.2,0.1,-,0.1
David Templeton,2.4,1.6,-,0.8
Josh Mullin,0.9,0.5,-,0.4
Scott Bain,-,-,-,-
Calum Waters,0.2,0.1,0.1,0.1
Nicke Kabamba,1.3,-,0.1,1.3
David Moyo,0.9,0.2,0.1,0.6
Greg Leigh,-,-,-,-
Scott Arfield,1.1,0.2,-,0.9
Christopher Kane,1.8,0.4,0.3,1.1
Nicky Clark,1.3,0.5,0.1,0.7
Sam Cosgrove,1.4,0.5,-,0.9
Tom Grivosti,0.4,0.2,0.2,-
Coll Donaldson,0.4,0.1,-,0.2
Scott Martin,0.6,0.5,-,0.1
Ross Laidlaw,-,-,-,-
Sam Foley,0.5,0.4,-,0.1
Scott Pittman,1,0.4,0.2,0.4
Josh Doig,0.7,0.5,-,0.1
Stephen Kelly,0.9,0.9,-,-
Craig Conway,0.9,0.5,0.1,0.3
Liam Polworth,1.3,0.9,-,0.4
Ian Harkes,1,0.8,-,0.2
Marios Ogkmpoe,1.5,0.5,-,1
Luke Bolton,0.5,0.1,-,0.3
Jaze Kabia,1.1,0.1,0.1,0.9
Aaron Tshibola,0.5,0.1,-,0.4
Jason Naismith,0.9,0.3,-,0.7
Zeno Rossi,0.7,-,0.3,0.4
Leo Fuhr Hjelde,0.5,0.3,-,0.3
Aaron Taylor-Sinclair,0.3,-,-,0.3
Steve Lawson,0.1,0.1,-,0.1
Brandon Barker,1.2,0.6,-,0.6
Efe Ambrose,0.8,0.3,-,0.5
Tyler Magloire,0.1,-,-,0.1
Adam Montgomery,-,-,-,-
Vasilios Barkas,-,-,-,-
Charlie Trafford,0.4,0.2,-,0.2
Jack Simpson,0.4,-,-,0.4
Callum Booth,0.8,0.4,-,0.3
Iain Vigurs,0.5,0.5,-,-
Brandon Haunstrup,0.4,0.2,-,0.2
Dean Campbell,0.3,0.2,-,0.1
Marc McNulty,1,0.5,-,0.4
Liam Kelly,-,-,-,-
Liam Grimshaw,0.6,0.4,-,0.2
Djibril Diani,-,-,-,-
Oli Shaw,1.3,0.6,0.1,0.6
Craig Bryson,-,-,-,-
Jonathan Obika,1.4,0.4,0.2,0.9
Lewis Neilson,0.1,-,-,0.1
Guy Melamed,1.4,0.4,0.1,1
Aaron Chapman,-,-,-,-
Blair Spittal,1.2,1.2,-,-
Jackson Longridge,0.1,0.1,-,-
Glenn Middleton,1.6,1,-,0.6
Lewis Stevenson,-,-,-,-
Olivier Ntcham,0.8,0.4,-,0.4
Chris Cadden,0.7,0.1,-,0.6
Curtis Main,1.1,0.1,0.4,0.6
Harry Robinson,-,-,-,-
Cameron MacPherson,1.3,1.2,-,0.1
Scott Robinson,1.1,0.2,0.2,0.7
Craig Sibbald,1,0.7,-,0.3
Peter Pawlett,0.4,0.1,-,0.3
Melker Hallberg,0.4,0.2,-,0.2
George Stanger,-,-,-,-
Brian Easton,0.1,-,-,-
Jack McMillan,0.1,-,-,0.1
Jamie Hamilton,0.2,-,-,0.1
Callum Lang,1.2,0.4,0.3,0.5
Dillon Powers,0.4,0.1,-,0.2
Mitchell Pinnock,0.8,0.3,-,0.5
Cedric Itten,0.9,0.3,0.1,0.5
Jermaine Hylton,0.8,0.3,0.1,0.4
Craig Bryson,0.6,0.3,-,0.3
Tony Andreu,1.8,0.5,-,1.3
Harrison Paton,0.7,0.3,-,0.4
Youssouf Mulumbu,0.2,0.1,0.1,-
Trevor Carson,-,-,-,-
Carl Tremarco,-,-,-,-
Paul McMullan,0.3,0.1,-,0.1
Clévid Dikamona,0.4,0.1,-,0.3
Karamoko Dembele,0.4,-,-,0.4
Stephen Mallan,0.9,0.6,-,0.2
Jack MacKenzie,-,-,-,-
Lee Hodson,0.4,0.1,-,0.2
Reegan Mimnaugh,0.2,0.2,-,-
Drey Wright,0.3,0.1,-,0.2
Zech Medley,0.7,0.3,0.1,0.3
Stevie May,1.4,0.4,0.2,0.8
Nathan Thomas,1.3,0.8,0.2,0.3
