Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Facundo Sánchez,1.1,0.2,0.2,0.8
Cain Fara,0.6,0.1,0.1,0.3
Mariano Bareiro,0.3,-,-,0.2
Javier Toledo,2,0.4,0.3,1.3
Facundo Quignón,0.9,0.3,0.2,0.4
Tomás Pochettino,1.6,1.2,-,0.4
Cristian Vega,0.8,0.7,-,0.1
Lucas Rodríguez,0.4,0.3,-,0.1
Alejandro Donatti,1.3,0.5,0.1,0.7
Víctor Salazar,0.4,-,-,0.4
Alexander Barboza,1,0.5,-,0.5
Julio Buffarini,0.3,0.1,-,0.2
Leandro Contín,1.5,0.3,0.2,1
Santiago García,1.7,0.3,0.1,1.3
Wilder Cartagena,0.5,0.5,-,-
Christian Chimino,0.3,0.2,0.1,0.1
Maximiliano Lovera,1.5,1,0.3,0.3
Eric Ramírez,1.8,0.4,-,1.4
Claudio Corvalán,0.4,0.1,-,0.4
Mauro Pittón,-,-,-,-
Manuel Castro,1.2,0.5,0.1,0.6
Lucas Hoyos,-,-,-,-
Santiago Sosa,1,0.5,-,0.5
Lautaro Valenti,0.9,0.5,-,0.3
Iván Marcone,-,-,-,-
Leonel Miranda,0.9,0.7,-,0.1
Mauro Zárate,2.3,1.3,-,1
Jonathan Cabral,0.6,0.1,-,0.4
Silvio Romero,1.9,0.2,0.3,1.5
Franco Fragapane,1,0.2,-,0.7
Lisandro Alzugaray,1.5,0.7,0.1,0.7
Maximiliano Coronel,0.3,0.1,0.1,0.2
Santiago Hezze,0.3,0.3,-,-
Juan Lucero,1.8,-,0.4,1.5
Mauro Formica,1.7,0.9,-,0.8
Rafael Delgado,0.6,0.6,-,-
Jesús Soraire,1,0.8,-,0.3
Agustín Urzi,1.6,0.9,0.1,0.6
Gabriel Carrasco,0.6,0.4,-,0.1
Marcos Rojo,3,1,1,1
Fernando Pellegrino,-,-,-,-
Harrinson Mancilla,0.3,0.3,-,-
Adolfo Gaich,1.3,0.2,0.1,1
Emiliano Méndez,0.7,0.4,-,0.3
Oliver Benítez,-,-,-,-
Diego González,1.6,0.9,-,0.7
Jorge Broun,-,-,-,-
Daniel Sappa,-,-,-,-
Nahuel Tenaglia,0.5,0.3,-,0.2
Mateo Carabajal,0.3,0.1,-,0.2
Jonathan Bay,0.5,0.5,-,-
Domingo Blanco,0.9,0.4,0.1,0.5
Nery Domínguez,0.4,0.2,0.1,0.1
Walter Bou,3.2,1.6,0.1,1.6
Federico Gino,1.3,0.9,0.1,0.3
Gonzalo Bettini,0.4,0.3,-,0.1
Alan Franco,0.6,0.1,0.1,0.5
Cesar Ibañez,0.5,0.3,-,0.1
Fabio Pereyra,0.7,0.1,0.1,0.5
Ignacio Piatti,1,0.3,-,0.7
Lucas Romero,0.4,0.4,-,-
Thiago Almada,1.2,0.7,-,0.5
David Barbona,1.1,0.4,0.1,0.6
Marcos Senesi,0.8,-,-,0.8
Diego Novaretti,0.7,-,0.1,0.6
Facundo Almada,0.7,-,-,0.7
Lucas Chaves,-,-,-,-
Gastón Togni,0.8,0.6,-,0.2
Jonathan Sandoval,0.7,0.2,-,0.5
Fernando Torrent,0.6,0.2,-,0.4
Pablo Pérez,1.4,0.9,-,0.6
Jonathan Schunke,0.4,-,0.1,0.3
Gino Perruzzi,0.5,0.1,-,0.4
Diego García,1.3,0.8,0.1,0.4
Luciano Abecasis,-,-,-,-
Tomás Guidara,0.2,0.2,-,-
Agustín Bouzat,0.7,0.2,-,0.5
Mauricio Arboleda,-,-,-,-
Marco Ruben,2.4,0.4,0.4,1.6
Matías Escudero,0.5,0.1,0.2,0.2
Franco Soldano,1.3,0.1,0.1,1.2
Daniele De Rossi,-,-,-,-
Manuel Guanini,1.3,0.1,0.1,1.1
Gerónimo Poblete,0.2,0.2,-,-
Marcelo Herrera,1.2,0.7,-,0.5
Francis Mac Allister,1.1,0.9,-,0.2
Luis Unsain,-,-,-,-
Alexis Soto,0.4,0.4,-,-
Cecilio Domínguez,1.8,0.8,-,1
Andrés Roa,1.3,0.6,-,0.7
Matías Esquivel,0.4,0.4,-,-
Eugenio Mena,0.1,-,-,0.1
Lucas Barrios,1.8,0.5,0.3,1
Jonathan Bottinelli,0.6,0.1,0.1,0.4
Saúl Salcedo,0.5,0.1,-,0.4
Raúl Loaiza,0.3,0.3,-,0.1
Marcelo Herrera,-,-,-,-
Leonel Di Plácido,0.5,0.2,-,0.2
Leandro Díaz,2.2,0.7,0.1,1.3
Gianluca Ferrari,0.8,-,-,0.8
Marcelo Díaz,0.6,0.6,-,0.1
Matías Rojas,1.9,1.5,-,0.4
Fabricio Bustos,0.4,0.2,-,0.2
Marcos Sánchez,0.4,0.2,0.2,-
Luis Abram,0.2,-,0.1,0.2
Nicolás Capaldo,0.5,0.2,0.1,0.2
Jonathan Galván,0.3,-,-,0.3
Santiago Gentiletti,0.6,-,-,0.5
Juan Cavallaro,0.8,0.4,-,0.5
Maxi Rodríguez,1.6,0.4,-,1.2
Agustín Almendra,1.3,0.8,0.2,0.3
Juan Cruz Komar,0.7,-,0.1,0.6
Matías Ibáñez,-,-,-,-
Ezequiel Bullaude,-,-,-,-
Nicolás Tripicchio,0.5,-,-,0.5
Guido Herrera,-,-,-,-
Matías Nani,0.6,0.1,0.1,0.5
Maximiliano Romero,1.6,0.3,0.3,1
Fernando Belluschi,2.2,1.9,-,0.3
Alejandro Sánchez,-,-,-,-
Lucas Licht,0.5,0.5,-,-
Marcelo Benítez,0.7,0.3,-,0.3
Norberto Briasco,0.9,0.2,-,0.7
Miguel Torrén,0.6,0.5,-,0.2
Julián Álvarez,1.3,0.3,-,1
Ignacio Aliseda,1.5,0.6,0.2,0.7
Lucas Villalba,0.3,0.2,-,-
Luciano Gómez,0.6,0.5,-,0.1
Juan Galeano,0.9,0.6,-,0.3
Matías de los Santos,0.7,0.2,-,0.5
Ramón Arias,0.2,-,-,0.2
