Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Josip Condric,-,-,-,-
Nikita Burmistrov,2.1,0.8,0.2,1.2
Vitaly Gudiev,-,-,-,-
German Onugkha,1.9,0.4,0.1,1.5
Andrey Semenov,0.3,-,0.2,0.1
Vladimir Iljin,2.6,0.8,0.2,1.6
Andrey Mostovoy,1.1,0.2,0.1,0.8
Tonny Vilhena,2,1.3,0.1,0.6
Yuri Zhirkov,1,0.5,-,0.5
Aleksey Shchetkin,1.6,-,-,1.6
Georgi Zotov,0.4,0.2,-,0.2
Anton Shunin,-,-,-,-
Baktiyor Zainutdinov,1.2,0.6,0.1,0.6
Sergei Ryzhikov,-,-,-,-
Igor Akinfeev,-,-,-,-
Nikolay Zabolotny,-,-,-,-
Cristian Ramírez,0.9,0.6,-,0.3
Andrey Lunev,-,-,-,-
Guilherme,-,-,-,-
Ali Sowe,1.9,0.5,0.1,1.3
Kristoffer Olsson,0.9,0.4,-,0.5
Aleksandr Dovbnya,-,-,-,-
Joãozinho,1,0.6,-,0.3
Dimitri Barinov,1,0.5,-,0.5
Rifat Zhemaletdinov,0.9,0.5,-,0.4
Odise Roshi,2,0.7,-,1.3
Varazdat Haroyan,1,-,-,1
Aleksandr Maksimenko,-,-,-,-
Soslan Dzhanaev,-,-,-,-
Sergey Tkachev,1.7,1.1,-,0.6
Konstantin Pliev,0.4,0.2,-,0.1
Vitali Lystsov,0.4,0.4,-,-
Georgi Kostadinov,0.4,0.2,-,0.3
Emanuel Mammana,0.2,0.2,-,0.1
Georgi Dzhikiya,0.6,0.4,0.1,0.1
Vladislav Ignatjev,0.9,0.1,0.2,0.6
Ivan Maevski,-,-,-,-
Kirill Zaika,1,0.3,0.1,0.5
Egor Danilkin,0.3,0.1,-,0.2
Aleksandr Putsko,0.5,-,0.1,0.4
Aleksey Ionov,0.7,0.4,-,0.2
Aleksey Sutormin,0.8,0.2,-,0.6
Alexander Lomovitskiy,1.6,0.8,-,0.8
Daniil Kulikov,0.4,0.2,-,0.1
Nikolai Zolotov,-,-,-,-
Fedor Chalov,2.2,0.3,0.3,1.6
Alan Dzagoev,0.9,0.5,-,0.4
Oleg Kozhemyakin,0.4,0.1,0.1,0.3
Oleg Shatov,0.7,0.5,-,0.2
Maksim Nenakhov,0.6,0.4,-,0.1
Dmitry Zhivoglyadov,0.1,-,-,-
Konstantin Tyukavin,2,0.3,0.2,1.5
Evgeni Gapon,0.2,0.2,-,-
Danil Stepanov,0.6,0.4,-,0.2
Aleksandr Erokhin,1.8,0.4,0.2,1.2
Roman Eremenko,1.6,1.2,-,0.4
Alexander Selikhov,-,-,-,-
Valeriu Ciuperca,0.9,0.4,-,0.5
Aleksandr Saplinov,0.7,-,0.3,0.3
Robert Bauer,0.9,0.5,-,0.3
Egor Baburin,-,-,-,-
Denis Terentjev,0.7,0.4,0.1,0.2
Evgeny Kharin,0.7,0.3,0.1,0.3
Guillermo Varela,0.3,0.2,0.1,0.1
Aleksandr Chernikov,2,1,-,1
Wilker Ángel,0.3,-,0.1,0.1
Clinton N'Jie,1,0.1,-,1
Pavel Mamaev,1.5,0.5,0.2,0.8
Aleksandr Kokorin,0.8,0.1,-,0.6
Pavel Pogrebnyak,1.8,0.2,0.3,1.4
Aleksey Gerasimov,0.2,-,-,0.2
Ibrahim Tsallagov,0.4,0.3,-,0.1
Artem Polyarus,2.3,1.6,-,0.6
Zuriko Davitashvili,2.1,0.7,0.1,1.4
Andrey Egorychev,1,0.2,-,0.8
Haitam Aleesami,0.2,-,-,0.2
Aleksey Ionov,0.7,0.1,-,0.6
Aleksey Kozlov,0.4,0.2,0.1,-
Alexey Nikitin,0.4,-,0.1,0.3
Vladimir Dyadyun,1.7,0.6,0.1,1.1
Ade,0.2,-,-,0.2
Egor Sorokin,0.2,-,-,0.2
