Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Lewis Cook,0.8,0.7,-,0.1
Daniel Ayala,0.6,-,0.1,0.5
Rico Henry,0.3,0.1,-,0.1
Sam Clucas,0.8,0.4,0.1,0.4
Julian Börner,0.8,-,0.2,0.5
David Brooks,1.4,0.8,0.1,0.6
Neeskens Kebano,0.9,0.4,-,0.6
Lewis O'Brien,0.9,0.6,-,0.3
Yannick Bolasie,2,0.9,0.1,1
Junior Stanislas,2.1,1.2,0.1,0.8
Nathan Byrne,0.2,0.1,-,0.1
Will Vaulks,0.9,0.7,-,0.1
Joe Lumley,-,-,-,-
Sammy Ameobi,2,1.3,-,0.7
Chris Martin,1,0.2,0.2,0.6
Pontus Jansson,0.5,-,0.1,0.3
Christian Nørgaard,0.8,0.4,0.1,0.4
Lyndon Dykes,1.4,0.2,0.2,1
Dominic Hyam,0.4,-,0.1,0.3
Sam Gallagher,1.2,0.3,0.2,0.7
Charlie Austin,2.3,0.6,0.3,1.4
Cameron Carter-Vickers,0.2,-,0.1,0.1
Kiko Femenía,0.3,0.2,-,0.1
Joshua Earl,1.2,-,0.2,1
Jay Fulton,0.4,0.1,-,0.3
Naby Sarr,0.4,-,0.1,0.3
Stefan Johansen,1,0.6,-,0.3
Tommy Smith,0.5,0.3,-,0.2
Lloyd Kelly,0.3,-,-,0.3
Marc Bola,0.5,0.4,-,0.1
Jordi Osei-Tutu,0.4,0.1,-,0.3
Joe Bennett,0.3,-,0.1,0.2
Ilias Chair,1.9,0.7,0.1,1
Louis Britton,1,-,-,1
James Chester,0.6,-,0.1,0.5
Felipe Araruna,-,-,-,-
Sepp van den Berg,0.3,0.1,0.1,0.1
Geoff Cameron,0.4,0.2,-,0.2
Craig Cathcart,0.2,-,-,0.1
Anfernee Dijksteel,0.2,0.2,-,-
Jake Bidwell,0.7,-,0.2,0.4
Christopher Schindler,0.3,-,0.1,0.2
Asmir Begovic,-,-,-,-
Conor Hourihane,1,0.7,-,0.2
Carlton Morris,1.4,0.1,0.4,0.9
Joe Worrall,0.3,-,-,0.3
Matty Pearson,0.4,0.1,0.1,0.3
Glen Rea,0.9,0.3,0.1,0.4
Colin Kazim-Richards,1.4,0.3,0.3,0.7
Jamal Lowe,1.8,0.4,0.1,1.2
Gustavo Hamer,1.8,1.4,-,0.4
Scott Wharton,0.1,-,-,0.1
Benjamin Whiteman,0.8,0.6,-,0.3
Harvey Elliott,1,0.6,-,0.4
Steven Fletcher,1.8,0.4,0.4,1
Scott McKenna,0.3,-,-,0.3
Darnell Fisher,0.2,0.1,-,0.1
Leo Østigard,1,0.1,0.1,0.8
Lukas Rupp,1.1,0.8,-,0.3
Tobias Figueiredo,0.4,-,-,0.3
Cauley Woodrow,2.6,1,0.1,1.5
Diego Rico,0.2,0.2,-,-
Andy Rinomhota,0.4,0.2,-,0.2
Pipa,1.1,0.5,-,0.5
Jonny Howson,0.7,0.4,-,0.3
Dillon Phillips,-,-,-,-
Sam Hutchinson,0.1,-,0.1,-
Mads Bech Sørensen,0.1,-,-,0.1
Tom Lawrence,2.2,1.4,0.1,0.6
James McClean,0.6,0.2,-,0.4
Samba Sow,0.2,0.1,-,0.1
Ryan Manning,0.6,0.5,-,0.1
Chris Mepham,0.4,-,0.1,0.3
Gaëtan Bong,0.2,-,-,0.2
Alex Pearce,0.2,-,-,0.1
Carel Eiting,0.8,0.4,-,0.3
Filip Krovinovic,1.7,1,-,0.7
Murray Wallace,0.5,0.1,0.1,0.3
Jack Simpson,-,-,-,-
Greg Cunningham,0.4,0.1,-,0.3
Marlon Pack,0.4,0.2,0.1,0.1
Seny Timothy Dieng,-,-,-,-
Sam Morsy,0.9,0.6,-,0.3
Liam Kelly,0.6,0.5,0.1,-
Callum Paterson,1.1,0.2,0.2,0.7
Lee Wallace,0.4,0.2,-,0.2
Achraf Lazaar,0.8,0.6,-,0.2
Caolan Boyd-Munce,-,-,-,-
Tom Trybull,0.4,0.2,-,0.1
Cheyenne Dunkley,0.3,-,-,0.3
Liam Moore,0.5,0.2,-,0.3
Josh Knight,0.5,0.2,0.1,0.3
Ciaron Brown,0.3,-,0.3,-
Marcus Browne,1.2,0.4,0.4,0.4
William Troost-Ekong,0.2,-,0.1,0.1
Anthony Knockaert,1.5,0.8,-,0.6
Ched Evans,1.9,0.4,0.1,1.3
Callum O'Hare,1.3,0.3,0.2,0.8
George Friend,0.4,0.1,-,0.3
Kasey Palmer,0.7,0.6,-,0.1
Matt Smith,1.3,-,0.4,0.9
Alfa Semedo,0.8,0.3,-,0.4
Ryan Nyambe,0.1,0.1,-,0.1
Joe Rothwell,0.9,0.5,-,0.4
Kyle McFadzean,0.5,-,0.1,0.4
Mario Vrancic,1.8,1,0.1,0.7
Lukas Jutkiewicz,1.7,0.2,0.2,1.2
Clark Robertson,0.9,0.3,0.2,0.4
Maxime Colin,0.3,0.1,-,0.2
Kyle Naughton,0.2,0.2,-,-
Anthony Stewart,0.5,0.1,0.2,0.3
Paul Huntington,0.3,-,-,0.3
Mahlon Romeo,0.7,0.5,-,0.1
George Evans,0.5,0.2,0.1,0.2
Michael Sollbauer,0.2,-,0.1,0.1
Daniel Bachmann,-,-,-,-
David Raya Martin,-,-,-,-
Daniel Iversen,-,-,-,-
Tommy Rowe,0.4,-,-,0.4
Curtis Thompson,0.3,0.2,-,0.1
Matt Crooks,1.5,0.4,0.2,0.9
Massimo Luongo,0.4,0.3,-,0.2
Tom Lockyer,0.3,0.1,0.2,0.1
Jamie Paterson,1,0.5,0.1,0.5
Maxime Biamou,1.7,0.3,0.3,1.1
John Swift,1.3,1.1,-,0.2
David Wheeler,1,0.2,0.2,0.6
Dominic Iorfa,0.1,-,-,0.1
Dan McNamara,0.4,0.1,-,0.3
Jonathan Hogg,0.2,0.2,-,0.1
Gary Gardner,0.9,0.4,0.1,0.5
Lewis Holtby,1.1,0.5,-,0.6
Viktor Johansson,-,-,-,-
Fraizer Campbell,1.4,0.3,0.1,1
Yuri Ribeiro,0.1,-,-,-
Famara Diédhiou,0.9,0.3,-,0.6
Osman Kakay,0.5,0.1,0.1,0.3
Kieran Dowell,1.3,0.8,-,0.5
Amari'i Bell,0.5,0.3,-,0.3
Jordan Smith,-,-,-,-
Lee Buchanan,0.5,0.2,-,0.3
Ben Foster,-,-,-,-
David Stockdale,0.2,0.1,0.1,0.1
Jamal Blackman,-,-,-,-
Jérémie Bela,1.5,0.7,0.1,0.7
George Edmundson,0.5,-,0.2,0.3
Jacob Sørensen,0.5,0.1,-,0.4
Tariqe Fosu-Henry,0.6,0.2,-,0.3
Adam Reach,1.3,0.7,-,0.5
Chris Willock,0.9,0.4,-,0.5
Jake Clarke-Salter,0.2,-,0.1,0.1
Carl Jenkinson,-,-,-,-
Wayne Rooney,1.8,0.8,-,1
Wes Harding,0.2,0.1,-,0.1
