Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Niall Canavan,0.4,-,0.1,0.3
Laurie Walker,-,-,-,-
Giles Coke,0.6,0.4,0.1,0.1
Callum Wright,2.1,0.9,0.1,1.1
Malvind Benning,0.7,0.3,-,0.3
Joshua Key,0.6,0.1,0.1,0.4
Cohen Bramall,0.7,0.5,-,0.2
Kyle Howkins,2,-,1,1
Conor McAleny,3.1,1.2,-,1.8
Kyle Knoyle,0.5,0.2,-,0.3
Stephen Quinn,1.1,0.4,-,0.7
Ryan Clampin,0.4,0.2,-,0.2
Liam Kinsella,0.3,0.2,-,0.1
Alex Gilliead,0.7,0.3,0.1,0.4
Liam Gibson,0.1,0.1,-,-
Sam Hart,0.1,0.1,-,-
Conor Thomas,0.4,0.1,0.1,0.2
David Stockdale,-,-,-,-
Charlie Carter,1.3,0.3,-,1.1
Liam Kitching,0.3,0.1,-,0.2
Luke Waterfall,0.5,-,0.1,0.3
Dan Jones,0.7,0.3,0.1,0.3
Davis Keillor-Dunn,1.4,0.5,0.1,0.8
Harry Clarke,0.3,-,-,0.3
Tom Parkes,0.4,0.1,-,0.3
Connor Wood,0.7,0.5,-,0.2
Luis Fernandez,-,-,-,-
Tom Clifford,0.4,0.2,-,0.1
Shaun Hobson,0.3,-,0.1,0.2
Aaron Collins,2.9,1.3,0.1,1.6
Rollin Menayese,0.5,-,-,0.4
Mark Beck,0.9,-,0.3,0.6
Joe Cracknell,-,-,-,-
Josh Doherty,0.4,0.4,-,-
Jon Mellish,1.5,0.3,0.1,1.1
Jamie Turley,0.3,-,0.2,0.1
Gethin Jones,0.6,0.1,-,0.5
Robbie Cundy,0.4,-,-,0.4
Cameron Borthwick-Jackson,0.5,0.2,0.1,0.2
Harrison Dunk,0.5,0.2,-,0.3
Kyle Jameson,0.2,-,0.1,0.1
Callum Harriott,2,1.1,-,0.9
Matty Blair,0.6,0.2,0.1,0.3
Devante Rodney,2,0.9,0.1,1
Archie Collins,0.7,0.5,-,0.2
Lawrence Vigouroux,-,-,-,-
Joel Randall,1.4,0.3,0.2,0.8
Josh Coulson,0.5,-,0.1,0.5
Farrend Rawson,0.6,-,0.1,0.4
Jay Spearing,0.4,0.4,-,-
Callum Cooke,1.3,0.6,-,0.7
Nathan Ralph,0.4,-,-,0.4
Carl Winchester,1.6,1.1,-,0.4
Calum MacDonald,0.4,0.3,0.1,0.1
Glenn Morris,-,-,-,-
George Francomb,0.7,0.3,0.1,0.3
Nathaniel Knight-Percival,0.4,-,0.1,0.2
Kevin Lokko,0.7,-,-,0.7
Sam Lavelle,0.8,-,0.1,0.6
Neal Eardley,0.4,0.3,-,0.1
Alfie McCalmont,1.2,0.7,0.1,0.5
Josh March,2.2,0.4,0.3,1.5
Declan John,1,0.6,-,0.4
Liam Feeney,0.6,0.3,-,0.3
Josh Doherty,0.2,-,-,0.2
Jack Sparkes,0.9,0.6,-,0.3
Jack Armer,0.7,0.2,0.1,0.4
Josh Kay,1.5,0.5,0.1,0.9
Bobby Thomas,0.6,0.1,0.1,0.4
Zak Jules,0.5,0.1,0.1,0.4
Kieran Lee,0.9,0.2,0.4,0.3
Daniel Kemp,1.4,0.5,-,0.8
James Wilson,1.8,0.7,0.1,1
Daniel Happe,0.7,0.1,0.2,0.4
Nick Anderton,0.9,0.5,-,0.3
Ryan Fallowfield,0.3,0.2,-,0.1
Liam Shephard,0.6,0.3,-,0.3
Nathan Ferguson,1.1,0.8,-,0.2
Tom Dallison-Lisbon,0.5,-,0.1,0.4
Joss Labadie,1.4,0.7,0.1,0.6
Calvin Miller,0.7,0.3,0.1,0.3
Gime Toure,1.6,0.6,0.2,0.8
Luke Hendrie,0.4,0.2,0.1,0.1
Jack Iredale,0.4,0.2,-,0.2
Robbie Gotts,1.2,0.6,-,0.6
Jordan Bowery,1.7,0.3,0.2,1.1
Alfie May,2.6,0.8,0.1,1.7
Alex Hartridge,0.2,-,0.1,0.1
Oscar Threlkeld,0.4,0.4,-,0.1
Odin Bailey,1.6,0.9,0.1,0.6
Darron Gibson,0.2,0.2,-,-
Jobi McAnuff,1,0.8,-,0.2
Levi Sutton,0.5,0.2,-,0.3
Jake Eastwood,-,-,-,-
Danny Rowe,1.8,1.1,-,0.7
Luke Hannant,1.3,0.9,-,0.5
Max Melbourne,0.3,-,0.1,0.3
Toumani Diagouraga,0.6,0.1,0.1,0.4
Tom King,0.1,0.1,-,-
Jack Muldoon,1.7,0.5,0.2,1
Ryan Haynes,0.7,0.4,-,0.3
Paul Lewis,1.3,0.1,0.1,1.1
Alfie Beestin,0.8,0.2,0.1,0.6
Harry Seaden,-,-,-,-
James Pardington,-,-,-,-
Adam Thompson,0.3,-,0.2,0.2
Ian Lawlor,-,-,-,-
