Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Utku Yuvakuran,-,-,-,-
Guilherme,1.3,0.4,0.3,0.6
Léo Schwechlen,0.4,0.1,0.1,0.1
Berat Özdemir,0.5,0.3,-,0.2
Julian Jeanvier,0.3,-,-,0.3
Serkan Asan,0.1,-,-,-
Veysel Sari,0.8,0.3,0.1,0.4
Dogan Alemdar,-,-,-,-
Sadik Ciftpinar,-,-,-,-
Ryan Donk,0.3,-,-,0.3
DeAndre Yedlin,0.2,0.1,-,0.1
Juanfran,0.4,0.3,-,0.1
Edgar Ié,0.2,-,0.1,0.1
Jacques François Moubandje,0.7,0.3,0.1,0.3
Adama Noss Traoré,0.5,0.2,-,0.3
Ridvan Yilmaz,0.4,0.3,0.1,0.1
Soner Aydogdu,1.3,0.7,0.1,0.6
Kristoffer Nordfeldt,-,-,-,-
Tyler Boyd,0.8,0.5,-,0.3
Christian Cueva,0.9,0.6,-,0.3
Aytac Kara,1.7,0.9,-,0.8
Erik Sabo,1.8,0.8,-,0.9
Emre Tasdemir,0.3,0.1,-,0.2
Mehmet Topal,0.5,0.2,-,0.3
Tiago Pinto,0.2,0.1,-,0.1
Issam Chebake,0.5,0.2,-,0.3
Hakan Arslan,1.6,0.3,0.3,1.1
Abdulsamed Damlu,-,-,-,-
Yusuf Erdogan,1.6,0.5,0.1,0.9
Ugur Ciftçi,0.3,0.1,-,0.2
Ali Sasal Vural,-,-,-,-
Fernando Muslera,-,-,-,-
Munir Mohamedi,-,-,-,-
Kristijan Bistrovic,1.4,1.1,-,0.3
Florent Hadergjonaj,0.3,0.2,-,0.1
Diego Angelo,0.6,0.2,-,0.5
Zymer Bytyqi,0.8,0.5,0.1,0.3
Sokol Cikalleshi,1.7,0.7,0.2,0.8
Ismail Aissati,0.5,0.4,-,0.1
Arda Turan,0.7,0.1,-,0.6
Rubén Ribeiro,0.6,0.5,-,0.1
Abdülkadir Ömür,1.2,0.6,-,0.6
Andrea Bertolacci,0.9,0.2,-,0.6
Naldo,0.4,0.1,0.2,0.1
Martin Linnes,0.2,0.2,-,-
Altay Bayindir,-,-,-,-
Metehan Mert,0.6,-,0.2,0.4
Yassine Meriah,0.4,0.2,-,0.2
Adolphe Teikeu,0.4,-,0.1,0.3
Loret Sadiku,0.3,0.1,0.1,0.1
Ajdin Hasic,1.1,0.8,-,0.4
Ozgur Sert,1,0.3,-,0.7
Wallace,0.3,0.1,-,0.2
Cherif Ndiaye,1.1,0.1,0.3,0.7
Mickael Tirpan,0.8,0.6,-,0.3
Abdulkadir Parmak,0.4,0.2,-,0.2
Berkan Emir,0.4,0.3,-,0.1
Dusko Tosic,0.5,0.1,-,0.4
Mame Thiam,1.4,0.1,0.3,1
Fousseni Diabaté,0.5,0.1,-,0.4
Badou Ndiaye,2,0.8,0.1,1.1
Deniz Türüç,0.9,0.5,-,0.4
Obinna Nwobodo,0.2,0.2,-,-
Robin Yalcin,0.4,0.3,-,0.1
Roderick Miranda,0.5,-,-,0.5
Nuri Sahin,0.3,0.3,-,-
Mbwana Samatta,1.3,0.2,0.4,0.8
Emre Akbaba,1.7,0.6,0.2,0.9
Nejc Skubic,0.5,0.1,-,0.4
Bunyamin Balci,0.5,0.1,-,0.3
Ibrahim Akdag,0.8,0.4,-,0.4
Bernard Mensah,1.4,0.9,-,0.5
Ertac Özbir,-,-,-,-
Adem Ljajic,1.1,0.7,-,0.4
Sandro Lima,2.1,0.3,0.3,1.5
Nacer Chadli,1.5,0.6,0.1,0.9
Alpaslan Ozturk,0.7,-,0.1,0.6
Brahim Darri,1.3,0.5,0.2,0.7
Mauricio Lemos,1,0.5,-,0.5
Zafer Görgen,-,-,-,-
Endri Cekici,1.6,1,-,0.6
Erdogan Yesilyurt,1.6,0.8,0.1,0.7
Teenage Hadebe,0.3,-,0.1,0.2
Ogulcan Çaglayan,1.4,0.2,0.2,1
Mykola Morozyuk,0.4,0.3,-,0.1
Eray Birnican,-,-,-,-
Cenk Ahmet Alkilic,0.8,0.5,-,0.2
Atakan Ridvan Çankaya,0.2,-,0.1,-
Alexandros Katranis,0.4,0.2,-,0.1
Hüseyin Türkmen,0.3,-,0.1,0.2
Recep Niyaz,1.2,0.8,0.1,0.4
Aatif Chahechouhe,1.1,0.4,-,0.6
Fehmi Mert Günok,-,-,-,-
Zvonimir Sarlija,0.4,-,-,0.3
Irfan Can Egribayat,-,-,-,-
Nouha Dicko,1.6,0.4,0.3,0.9
Yusuf Abdioglu,0.1,-,-,-
Adis Jahovic,1.5,0.3,0.1,1.2
Abdurrahim Dursun,0.5,0.5,-,-
Milan Skoda,1.8,0.1,0.1,1.6
Boli Bolingoli-Mbombo,0.3,0.2,-,0.1
Hakan Özmert,1,0.8,-,0.2
Bangaly-Fodé Koita,1.6,0.3,0.1,1.2
Oussama Haddadi,0.3,0.1,-,0.2
Ramazan Civelek,0.1,0.1,-,-
Eric Lichaj,0.1,0.1,-,-
Amedej Vetrih,0.3,0.2,0.1,-
Jimmy Durmaz,0.9,0.5,-,0.4
Mesut Çaytemel,0.2,0.2,-,-
Pawel Olkowski,0.4,0.1,-,0.3
Kubilay Kanatsizkus,1,0.1,0.1,0.7
Arvydas Novikovas,1.7,1,-,0.7
Strahil Popov,0.4,0.3,-,0.2
Yalcin Kayan,0.3,0.1,-,0.2
Nehuén Paz,0.3,-,0.1,0.3
Aliou Badji,1.5,0.1,0.3,1.1
Miguel Lopes,0.8,0.1,-,0.7
Alper Potuk,1,0.3,-,0.7
Marko Mihojevic,0.4,0.1,0.1,0.1
Batuhan Unsal,-,-,-,-
Necip Uysal,0.2,0.1,-,0.1
