Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Aaron Cresswell,0.5,0.4,-,0.1
Chris Wood,2.1,0.5,0.3,1.4
Eberechi Eze,1.1,0.6,0.1,0.4
Rúben Neves,1.9,1.5,-,0.4
Fernandinho,0.7,0.5,-,0.2
Timo Werner,2.3,0.3,0.2,1.7
Pascal Struijk,0.5,-,0.1,0.3
Tyrone Mings,0.5,-,0.1,0.5
Jonjo Shelvey,1.4,1,-,0.3
Leandro Trossard,1.7,0.7,-,0.9
Andreas Christensen,0.2,-,-,0.2
Joachim Andersen,0.4,0.2,0.1,0.1
Karl Darlow,-,-,-,-
Calum Chambers,0.8,0.3,-,0.5
Rob Holding,0.5,0.1,-,0.4
Anwar El Ghazi,2.3,1.3,0.1,0.9
Conor Hourihane,1.3,1,-,0.3
Abdoulaye Doucouré,0.6,0.3,0.1,0.2
Amad,0.3,0.3,-,-
Pablo Fornals,1.5,0.5,0.1,1
Pierre-Emerick Aubameyang,2,0.3,0.3,1.4
Ben Godfrey,0.5,0.2,0.1,0.2
Che Adams,1.5,0.3,0.3,0.9
Adam Webster,0.9,0.2,0.1,0.6
Kyle Bartley,0.5,-,0.2,0.2
Emile Smith Rowe,0.7,0.2,-,0.5
Allan,0.3,0.2,-,0.1
Kyle Walker,0.4,0.4,-,-
Josh Brownhill,1,0.6,0.1,0.3
Aymeric Laporte,0.4,0.1,0.1,0.3
Ferran Torres,1.5,0.4,0.1,1
Nicolas Pépé,1.7,0.3,0.1,1.2
Ross Barkley,1.6,0.7,-,0.8
Hugo Lloris,-,-,-,-
Willy Boly,0.7,0.1,-,0.6
Dan Burn,0.6,0.1,-,0.4
Sébastien Haller,1.6,0.1,0.3,1.2
Ezri Konsa,0.6,-,0.1,0.5
Jarrod Bowen,1.4,0.4,0.2,0.9
Matt Doherty,0.2,0.1,0.1,-
Thomas Partey,1.1,1,-,0.1
Joelinton,1.4,0.3,-,1.1
Christian Pulisic,1.6,0.3,0.3,1
Marc Albrighton,0.7,0.4,-,0.2
Çaglar Söyüncü,0.4,-,0.1,0.3
Alphonse Areola,-,-,-,-
Christian Fuchs,0.4,0.4,-,-
Sam Johnstone,-,-,-,-
Alisson,-,-,-,-
Granit Xhaka,0.7,0.6,-,0.1
Tosin Adarabioyo,0.5,-,0.1,0.5
Angelo Ogbonna,0.5,-,0.2,0.3
Gabriel Magalhães,0.7,0.1,0.1,0.5
Callum Hudson-Odoi,1,0.5,-,0.5
Tariq Lamptey,0.5,-,0.1,0.5
David McGoldrick,2,0.8,0.2,1
Mason Greenwood,2.2,0.6,0.1,1.4
Martin Ødegaard,1.1,0.6,-,0.4
Sergio Reguilón,0.7,0.3,-,0.4
Conor Townsend,0.4,0.2,-,0.3
Ozan Kabak,0.1,-,0.1,-
Matthew Lowton,0.6,0.5,-,0.1
Pablo Marí,0.2,0.1,-,0.1
Robin Olsen,-,-,-,-
David Button,-,-,-,-
Fabián Balbuena,0.6,-,0.1,0.5
Rhys Williams,0.8,-,-,0.8
Hakim Ziyech,1.5,1.1,-,0.4
Jan Bednarek,0.3,-,0.1,0.2
Japhet Tanganga,0.3,-,0.2,0.2
Tyrick Mitchell,0.1,-,0.1,0.1
Ethan Ampadu,0.3,0.2,-,0.1
Tammy Abraham,1.5,-,0.2,1.2
Fraser Forster,-,-,-,-
Victor Lindelöf,0.1,-,0.1,0.1
Kenny Tete,0.3,0.1,-,0.2
Chris Basham,0.3,-,0.1,0.2
Héctor Bellerín,0.6,0.3,-,0.3
Daniel Podence,1.3,0.4,-,0.9
Kieran Tierney,0.6,0.4,-,0.1
Mbaye Diagne,1.6,0.1,0.4,1.1
Oliver McBurnie,1.3,0.1,0.2,1
João Moutinho,0.4,0.3,-,0.1
Douglas Luiz,0.8,0.6,-,0.1
Edinson Cavani,1.3,0.2,0.2,1
Rodrigo,1.8,0.7,0.2,1
Craig Dawson,0.7,-,0.2,0.5
Charlie Taylor,0.1,0.1,-,-
Davinson Sánchez,0.3,-,0.1,0.2
Isaac Hayden,0.7,0.3,-,0.4
Gylfi Sigurdsson,1.4,0.8,-,0.6
Danny Welbeck,1.5,0.2,0.2,1.1
Paul Dummett,0.2,-,0.1,0.1
Jacob Murphy,1.2,0.8,-,0.4
Mohammed Salisu,0.3,0.1,-,0.3
Eric Dier,0.5,0.3,0.1,0.1
Gabriel Martinelli,1.4,0.2,0.1,1.1
Harrison Reed,0.4,0.4,-,0.1
Miguel Almirón,1,0.4,-,0.5
Luke Thomas,0.5,0.1,-,0.4
Willian,0.8,0.4,0.1,0.3
Séamus Coleman,0.5,0.3,-,0.2
Leander Dendoncker,0.9,0.2,-,0.7
Jeffrey Schlupp,0.7,0.1,-,0.5
Dean Henderson,-,-,-,-
Jordan Pickford,-,-,-,-
Ahmed El Mohamady,0.6,0.1,0.1,0.4
Issa Diop,0.2,-,-,0.2
Sergio Agüero,1.6,0.1,0.1,1.4
Ciaran Clark,0.4,-,-,0.3
Federico Fernández,0.2,-,-,0.2
Matt Ritchie,0.6,0.4,-,0.2
Mason Holgate,0.2,-,-,0.1
Conor Gallagher,1,0.6,-,0.3
Ashley Westwood,0.5,0.4,-,0.1
Lucas Moura,0.6,0.2,0.1,0.3
Emerson,-,-,-,-
Benjamin Mendy,0.5,0.2,-,0.3
Ola Aina,0.5,0.3,-,0.1
Lukasz Fabianski,-,-,-,-
Darnell Furlong,0.7,0.1,0.1,0.6
Georginio Wijnaldum,0.8,0.4,0.1,0.4
Giovani Lo Celso,0.8,0.4,-,0.4
Ezgjan Alioski,0.7,0.3,-,0.4
Daniel James,1.1,0.3,0.1,0.7
Ederson,-,-,-,-
Ricardo Pereira,0.5,0.2,-,0.3
Jack Robinson,0.5,0.1,0.1,0.4
