Name,Total_shots,OutOfBox,SixYardBox,PenaltyArea
Filip Djuricic,1.7,0.8,0.1,0.9
Fabio Quagliarella,2.5,0.7,0.3,1.5
Ismaël Bennacer,0.6,0.5,-,0.1
Giacomo Bonaventura,1.3,0.8,-,0.4
Merih Demiral,0.4,-,-,0.4
Lukasz Skorupski,-,-,-,-
Rodrigo Palacio,1.5,0.3,0.2,1
Mattia Bani,0.5,-,0.1,0.4
Giangiacomo Magnani,0.5,0.2,-,0.3
Yordan Osorio,0.3,-,-,0.3
Gastón Brugman,0.7,0.6,-,0.1
Gian Marco Crespi,-,-,-,-
Gianluca Scamacca,1.8,0.6,0.2,1
Arkadiusz Reca,1,0.5,-,0.5
Christian Eriksen,1.2,0.8,-,0.3
Jerdy Schouten,0.3,0.3,-,-
Antonin Barak,1.3,0.5,0.2,0.6
Matteo Gabbia,0.6,0.1,-,0.5
Dejan Kulusevski,1,0.1,-,0.8
Mattia Destro,1.3,0.1,0.1,1.1
Jordan Veretout,1.4,0.7,0.1,0.6
Hamed Traore,1.2,0.5,0.1,0.7
Erick Pulgar,0.5,0.5,-,-
Weston McKennie,0.9,-,0.1,0.7
Giuseppe Pezzella,0.3,0.2,-,0.1
Domenico Criscito,0.3,0.2,-,0.1
Albin Ekdal,0.4,0.2,0.1,0.2
Ivan Perisic,1.1,0.1,0.1,0.8
Pedro,1.6,0.8,0.1,0.7
Matteo Scozzarella,-,-,-,-
Alex Ferrari,-,-,-,-
Roberto Pereyra,0.8,0.3,-,0.5
Ivan Ilic,0.4,0.3,-,0.1
Rafael Tolói,0.9,0.1,0.1,0.7
Manolo Gabbiadini,1.8,0.8,0.1,0.9
Lucas Leiva,0.4,0.3,-,0.1
Luiz Felipe,0.3,0.1,-,0.2
Gaetano Letizia,0.5,0.3,-,0.3
Darko Lazovic,1,0.4,-,0.6
Alexis Saelemaekers,0.9,0.5,-,0.4
Andrea Carboni,0.3,-,0.1,0.3
Adam Marusic,0.8,0.2,0.1,0.5
Georgios Kyriakopoulos,1,0.6,-,0.4
Leonardo Bonucci,0.6,0.1,0.1,0.3
Simone Verdi,1.2,0.8,-,0.4
Lyanco,0.5,0.2,0.1,0.2
Adama Soumaoro,0.4,-,0.1,0.3
Federico Ceccherini,0.5,-,0.1,0.4
Tomás Rincón,0.6,0.3,-,0.3
Chris Smalling,0.4,-,0.1,0.4
Rick Karsdorp,0.4,0.1,-,0.3
Nicolas Viola,1.1,0.6,-,0.5
Bryan Cristante,0.8,0.4,0.1,0.4
Tolgay Arslan,0.7,0.4,-,0.3
Andreas Cornelius,1,0.1,0.1,0.9
Adrien Tameze,0.5,0.4,0.1,0.1
Giorgio Chiellini,0.4,-,0.1,0.3
Alex Meret,-,-,-,-
Charalampos Lykogiannis,0.9,0.5,-,0.4
Lucas Martínez Quarta,0.8,0.2,-,0.5
Thomas Strakosha,-,-,-,-
Mario Pasalic,0.8,0.1,-,0.7
Mário Rui,0.7,0.5,-,0.2
Julian Chabot,0.4,-,-,0.3
Maya Yoshida,0.3,-,-,0.3
Luca Cigarini,1.1,1,-,0.1
Arthur,0.1,0.1,-,-
Lorenzo Tonelli,0.6,-,0.1,0.4
Rodrigo Becão,0.3,-,0.1,0.2
Adam Ounas,0.9,0.6,0.1,0.1
Manuel Lazzari,0.8,0.3,0.1,0.3
Kastriot Dermaku,-,-,-,-
Samir Handanovic,-,-,-,-
Tommaso Augello,0.2,0.1,-,0.1
Kamil Glik,0.8,0.1,0.1,0.6
Stefano Sturaro,0.8,0.5,0.2,0.2
Kostas Manolas,0.3,-,-,0.2
Emmanuel Gyasi,0.8,0.1,0.2,0.5
Gervinho,1.2,0.2,-,1
Tommaso Pobega,1.1,0.4,0.2,0.6
Rolando Mandragora,1.6,0.9,0.1,0.6
Antonio Mirante,-,-,-,-
Graziano Pellè,1.1,0.2,0.1,0.8
Riccardo Sottil,1.2,0.3,-,0.9
Giacomo Raspadori,0.9,0.1,0.1,0.7
Brahim Díaz,1,0.4,0.1,0.4
Mikkel Damsgaard,0.7,0.4,0.1,0.3
Arturo Vidal,0.9,0.3,0.1,0.6
Nicola Sansone,1.2,0.5,0.1,0.6
Yann Karamoh,0.9,0.2,0.2,0.6
Cristiano Biraghi,0.7,0.3,-,0.4
Pierre Kalulu,0.2,-,0.1,0.2
Amir Rrahmani,0.3,-,-,0.3
Lucien Agoume,0.2,0.1,-,0.1
Miguel Veloso,0.6,0.5,-,0.1
Pau López,-,-,-,-
Borja Mayoral,1.3,0.2,0.2,0.9
Pepe Reina,-,-,-,-
Samir,0.4,-,0.1,0.3
Luca Ceppitelli,0.4,-,-,0.4
Koffi Djidji,0.2,-,0.1,0.2
Matteo Darmian,0.3,-,-,0.3
Roberto Gagliardini,0.6,0.2,-,0.4
Gonzalo Villar,0.3,0.2,-,0.1
Gianluca Lapadula,2.1,0.4,0.2,1.5
Kevin Agudelo,0.7,0.2,-,0.4
Matteo Pessina,0.8,0.2,-,0.6
Bruno Alves,0.5,0.3,-,0.2
Nicolo Fagioli,-,-,-,-
Eldor Shomurodov,1.3,0.1,0.1,1.1
Salvador Ferrer,0.2,0.1,-,0.1
Stephan El Shaarawy,1.6,0.4,-,1.2
Stefano Okaka,1.1,0.1,0.1,0.9
Joakim Maehle,1.1,0.3,-,0.8
Nikola Maksimovic,0.3,-,0.1,0.2
Nicola Zalewski,-,-,-,-
Federico Fazio,0.5,-,-,0.5
Adrien Silva,0.3,0.2,-,-
Jasmin Kurtic,1,0.5,0.1,0.4
Marvin Zeegelaar,0.4,0.1,-,0.3
Andrea Petagna,0.9,0.1,0.2,0.7
Federico Bonazzoli,2,1,-,1
Rogerio,0.6,0.4,-,0.2
Martin Erlic,0.4,-,-,0.3
