Name,Team,Age,Apps,start_bench,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Tackles,Inter,Fouls,Offsides,Clear,Drb_past,Blocks,OwnG,Drb_per_game,Fouled,Off,Disp,UnsTch,Total_shots,OutOfBox,SixYardBox,PenaltyArea,KeyP,AvgP,Crosses,LongB,ThrB,Main_role,is_pos_c,is_pos_l,is_pos_r,secondary_role,is_pos_sec_c,is_pos_sec_l,is_pos_sec_r,third_role,is_pos_third_c,is_pos_third_l,is_pos_third_r
Josh Sheehan,Newport,26,46,0,4150,3,4,6,1,1.3,81.8,0.6,1,6.86,League_two,1.5,0.9,0.8,0.0,1.0,0.7,0.1,0,0.6,2.2,0.0,0.8,1.3,1.3,1.0,0.0,0.3,1.2,47.0,0.6,5.3,0.1, M,1,0,0,None,0,0,0,None,0,0,0
Greg Taylor,Cambridge U,31,46,0,4122,0,0,3,0,0.3,65.0,4.0,2,6.96,League_two,1.3,1.4,0.7,0.5,5.0,0.2,0.8,2,0.2,1.0,0.0,0.2,0.4,0.3,0.0,0.1,0.2,0.1,38.7,0.0,3.8,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Barry Bannan,Sheff Wed,31,46,0,4017,2,5,9,0,0.9,77.1,0.3,3,6.87,Championship,1.3,1.2,0.7,0.0,0.5,0.8,0.1,0,1.5,0.5,0.0,0.7,1.2,0.9,0.7,0.0,0.3,1.8,52.9,1.3,5.2,0.1, M,1,1,1,None,0,0,0,None,0,0,0
Ben Tozer,Cheltenham,31,46,0,4140,2,7,2,0,0.3,67.7,2.3,4,6.9,League_two,0.8,0.7,0.2,1.0,3.3,0.2,0.9,0,0.2,0.4,0.0,0.2,0.2,0.3,0.1,0.1,0.2,0.8,48.2,0.2,7.0,0.0, D,1,0,0,None,0,0,0,None,0,0,0
Alex Mowatt,Barnsley,26,46,0,4022,8,7,6,1,1.8,64.3,1.6,3,6.93,Championship,1.7,0.8,0.9,0.0,1.2,1.0,0.2,0,0.5,1.1,0.0,0.6,1.0,1.8,1.4,0.0,0.3,1.5,42.5,0.9,2.3,0.0, M,1,1,1,None,0,0,0,None,0,0,0
Udoka Godwin-Malife,Forest Green,21,46,1,4192,0,0,4,0,0.1,78.2,1.1,0,6.58,League_two,1.0,1.3,0.6,0.6,1.3,0.2,0.4,0,0.9,1.2,0.0,0.6,1.1,0.1,0.0,0.0,0.0,0.6,45.2,0.2,2.5,0.0, D,1,0,1,M,0,0,1,None,0,0,0
Václav Hladky,Salford City,30,46,0,4140,0,0,4,0,0.0,53.6,0.3,3,6.85,League_two,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.2,0.0,6.3,0.0, GK,1,0,0,None,0,0,0,None,0,0,0
Kyle Knoyle,Cambridge U,24,46,0,4123,2,6,3,0,0.5,66.1,1.0,1,6.82,League_two,1.2,0.7,0.8,0.1,2.4,0.2,0.3,0,0.9,0.8,0.0,0.8,1.0,0.5,0.2,0.0,0.3,1.2,34.1,0.7,3.1,0.1, D,0,0,1,M,0,0,1,None,0,0,0
Patrick McNair,Middlesbrough,26,46,0,4090,2,7,7,1,0.8,72.6,2.0,3,6.93,Championship,1.8,1.3,0.8,0.3,1.9,0.5,0.4,0,0.5,2.1,0.0,0.4,0.7,0.8,0.5,0.1,0.2,1.1,40.0,1.0,4.2,0.0, D,1,0,1,M,1,0,0,None,0,0,0
Yoann Barbet,QPR,28,46,0,4140,2,2,7,0,0.8,78.1,2.8,2,6.97,Championship,1.0,2.3,0.9,0.8,4.3,0.5,0.6,2,0.4,0.7,0.0,0.1,0.6,0.8,0.3,0.1,0.5,0.3,55.8,0.3,7.0,0.0, D,1,1,0,None,0,0,0,None,0,0,0
