Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Elijah Adebayo,0.7,0.2,2.3,-,0.8,0.6,0.2,-
Ryan Sweeney,1,1.6,1.2,0.4,4,0.3,0.6,-
James Hanson,-,-,1.4,-,1.2,0.1,0.1,-
John O'Sullivan,1.2,0.6,0.7,-,0.6,0.6,0.2,-
Sam Smith,0.3,0.1,1.7,-,1,0.3,-,-
Matthew Pollock,1.1,1.1,1,0.4,4.8,0.2,0.4,-
Scott Quigley,0.6,0.2,2.2,-,0.4,0.4,0.1,-
Stephen McLaughlin,1.5,1.4,0.7,0.1,1.6,0.5,0.1,-
Luke Norris,0.5,0.2,1.7,-,0.6,0.4,-,-
Charlie Raglan,1.3,1,0.6,0.5,2.4,0.3,0.3,-
Ben Tozer,0.8,0.7,0.2,1,3.3,0.2,0.9,-
Reece Staunton,1.6,1,1.3,-,4.9,0.5,0.3,-
Sam Perry,2.2,1.3,0.8,0.2,1.8,0.8,0.4,-
James Brophy,1.9,0.9,0.6,0.2,1.3,0.6,0.1,1
Brendan Sarpong-Wiredu,3,1.5,2.6,-,1.4,0.4,0.4,1
Cristian Montaño,2,0.7,0.9,0.1,1.6,0.7,0.1,-
George Maris,2.4,1.1,1.1,-,1.3,1.2,0.4,-
Ben Jackson,0.6,0.2,0.2,-,2.2,-,0.6,-
Cole Stockton,0.4,0.2,1.8,-,0.6,0.2,-,-
Eoin Doyle,0.4,0.1,0.7,-,0.4,0.5,0.1,-
Ashley Hunter,0.7,1,0.6,-,0.7,0.8,0.1,-
Joe McNerney,1.5,1,1.2,0.5,5.3,0.6,0.5,-
Tommy Smith,1.1,1.6,0.6,0.5,4.2,0.3,0.9,1
Chris Stokes,1.1,0.9,0.5,0.5,3.7,0.3,0.5,1
Will Smith,1,1,0.6,0.4,4.8,0.4,0.7,-
Ollie Clarke,1.9,0.6,1.2,-,1.4,1,0.3,-
Josh Sheehan,1.5,0.9,0.8,-,1,0.7,0.1,-
Elliot Watt,2.4,1.4,1.3,0.1,1.4,1.3,0.4,-
Liam Sercombe,1.5,0.9,0.6,-,0.4,0.9,0.1,-
Connor Hall,0.9,1.6,0.6,0.4,5.8,0.4,0.9,-
Jay Matete,2.9,1.5,2.1,-,1,1.1,0.2,-
Nathan Smith,1.2,0.9,1,0.3,4.3,0.3,0.5,-
Rollin Menayese,1.4,1.7,1.3,0.2,3.9,0.4,0.8,-
Chris Lines,1.2,1,1,-,0.8,0.7,0.3,-
Sean Long,0.8,0.9,0.7,0.3,2.3,0.2,0.3,1
Joshua McPake,1.7,0.5,1,-,0.5,0.5,0.2,-
Václav Hladky,-,-,-,-,1.3,-,-,-
Matthew Dolan,0.5,0.8,0.4,0.1,3,0.2,0.3,-
George Ray,0.5,1.5,0.5,0.2,2.6,-,0.7,-
Ludvig Öhman,2,2,1.3,0.7,4.7,0.3,1,-
Ian Henderson,0.6,0.5,1.7,-,0.3,0.6,0.1,-
Pierce Sweeney,0.8,1.2,0.6,0.5,3.3,0.2,0.6,-
Tom Clarke,1.8,1.2,1.1,0.1,2.5,0.6,0.3,-
George Nurse,1.2,1.3,0.7,0.2,0.6,0.3,-,-
Ben Garrity,2,1.8,1.1,-,1.9,0.4,0.4,-
Niall Canavan,0.6,1,0.4,0.4,5.8,0.1,1.2,-
Laurie Walker,-,0.2,-,-,0.6,0.1,-,-
Giles Coke,2.2,1.6,1.4,0.1,2.1,0.5,0.2,-
Callum Wright,0.8,0.6,1.3,-,0.4,0.8,-,-
Malvind Benning,1.9,1.3,1.1,0.1,2,0.6,0.3,1
Joshua Key,1.4,0.8,0.7,0.2,1.4,0.5,0.1,-
Cohen Bramall,1.2,0.8,0.8,0.3,2.8,0.6,0.5,-
Kyle Howkins,1,0.5,2.5,1.5,4.5,-,1,-
Conor McAleny,0.4,0.4,0.7,-,0.2,0.3,-,-
Kyle Knoyle,1.2,0.7,0.8,0.1,2.4,0.2,0.3,-
Stephen Quinn,1.3,0.9,0.8,-,0.8,0.8,0.1,-
Ryan Clampin,2.1,1.4,0.6,0.2,1.4,0.3,0.1,-
Liam Kinsella,2.8,2.1,1.6,-,1.6,0.7,0.3,-
Alex Gilliead,2.2,1.4,0.6,-,1,0.8,0.2,-
Liam Gibson,3.2,1.4,1,0.2,2.5,0.5,0.1,-
Sam Hart,2.2,1.4,1.3,0.1,1.6,1,0.4,-
Conor Thomas,2.2,1.3,1.6,0.1,0.6,0.6,0.1,-
David Stockdale,-,-,-,-,0.6,-,-,-
Charlie Carter,1.9,0.9,1.3,-,0.6,0.6,0.1,-
Liam Kitching,1.5,1,1,0.9,3.7,0.2,0.5,-
Luke Waterfall,0.5,1.1,1,0.5,6.5,0.3,0.6,3
Dan Jones,1.6,1.2,1.3,0.1,2.3,0.4,0.2,-
Davis Keillor-Dunn,0.9,0.8,0.6,-,0.7,0.7,0.1,-
Harry Clarke,0.8,2.2,1.2,0.3,4.5,0.3,0.7,1
Tom Parkes,1.1,1.4,0.7,0.5,4.5,0.3,0.4,-
Connor Wood,1.9,1,0.6,0.2,2.2,0.4,0.3,-
Luis Fernandez,1,2,1,-,-,1,3,-
Tom Clifford,2.3,1.1,0.4,0.3,2.3,0.3,0.2,-
Shaun Hobson,1.4,1.5,0.6,0.5,5.1,0.5,0.5,-
Aaron Collins,0.8,0.3,0.7,-,0.3,0.4,0.1,-
Rollin Menayese,1,1.5,1.2,1,4.2,0.3,0.7,-
Mark Beck,0.3,-,1.2,-,0.7,0.1,0.1,-
Joe Cracknell,-,-,-,-,1.3,0.4,-,-
Josh Doherty,0.8,1.3,0.7,0.3,3,0.7,0.3,-
Jon Mellish,1.7,0.6,1.7,-,1.2,0.6,0.1,-
Jamie Turley,1.2,1.6,1,0.3,4,0.3,0.6,-
Gethin Jones,1.4,0.6,0.6,0.1,1.8,0.7,0.4,-
Robbie Cundy,0.7,1.1,0.4,0.5,5.2,0.2,1,-
Cameron Borthwick-Jackson,1,1.7,0.5,0.2,1.9,0.3,0.5,-
Harrison Dunk,1.8,1,0.7,0.1,2,0.5,0.3,-
Kyle Jameson,1.6,1.3,0.8,0.4,3.1,0.3,0.3,-
Callum Harriott,1.1,0.9,1.3,-,0.5,0.7,-,-
Matty Blair,2.1,0.7,0.9,0.2,1.5,0.6,0.1,-
Devante Rodney,0.7,0.3,2,-,0.3,0.3,-,-
Archie Collins,1.1,1.2,0.8,0.1,0.9,0.5,0.3,-
Lawrence Vigouroux,-,-,-,-,0.5,-,-,-
Joel Randall,0.6,0.6,0.4,-,0.4,0.4,-,-
Josh Coulson,0.7,1.1,0.9,0.2,5,0.2,0.7,-
Farrend Rawson,0.6,1.3,1.1,0.3,3.7,0.1,0.6,2
Jay Spearing,2.4,1.4,1.4,-,1.2,0.8,0.7,-
Callum Cooke,1.5,0.4,0.6,-,0.5,0.6,0.1,-
Nathan Ralph,1.7,1.7,0.9,-,2.9,0.3,0.3,-
Carl Winchester,2,0.7,0.9,-,0.6,0.2,0.3,-
Calum MacDonald,2.4,1.3,0.8,0.1,1.3,0.6,0.3,-
Glenn Morris,0.1,-,-,-,1.3,-,-,-
George Francomb,1.3,1,0.8,0.2,2.2,0.5,0.5,-
Nathaniel Knight-Percival,1.7,1.2,1,0.3,4.1,0.6,0.5,1
Kevin Lokko,0.3,2,0.3,-,3,-,0.3,-
Sam Lavelle,1.1,1.1,0.8,0.4,4.1,0.3,0.6,-
