Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Steve Cook,0.6,1.4,0.6,0.8,4.1,0.2,0.8,-
Curtis Davies,1.2,1.5,0.5,0.3,4.5,0.4,0.6,-
Tom Cleverley,2.2,0.7,1.2,0.1,0.8,1.1,0.2,-
Joe Mattock,1.9,1.5,1.1,0.4,1.9,0.6,-,-
Darragh Lenihan,1.1,1.6,1.3,0.9,3.6,0.3,0.8,1
Ryan Leonard,2,1.6,1.1,0.1,1.6,0.7,0.4,-
Bryan Mbeumo,0.9,0.6,0.8,-,0.5,0.5,0.1,-
Matty James,1.6,1.3,1,-,0.7,1.1,0.2,-
Josh Laurent,2,1.4,1.3,-,0.9,1.3,0.4,-
Tom Lees,1.2,1.8,0.9,0.3,5.4,0.1,0.7,1
Omar Richards,2.8,1.4,1,0.1,1.3,0.7,0.2,-
Kal Naismith,2.1,0.7,0.5,0.5,2.8,0.7,0.5,-
Tom McIntyre,1.3,1.5,0.7,0.2,2.8,0.2,0.3,-
Harlee Dean,0.7,1.3,0.9,0.7,3.6,0.3,0.7,-
Sam McCallum,2.1,1.9,0.9,0.1,1.6,1.2,0.2,-
Callum Brittain,1.7,0.8,0.4,0.2,1.8,0.7,0.2,-
Barry Bannan,1.3,1.2,0.7,-,0.5,0.8,0.1,-
Tim Krul,-,-,-,-,0.6,-,-,-
Darnell Fisher,2.7,1.9,2,0.1,2.1,0.6,0.4,-
Iván Sánchez,1.6,0.7,0.7,-,0.2,1.1,0.1,-
Danny Batth,0.6,1.4,1.2,0.7,4.8,0.2,0.7,-
Josh Dasilva,0.7,0.2,0.5,-,0.6,0.5,0.1,-
Vitaly Janelt,1.7,1.5,1.2,0.1,1,0.7,0.4,-
Ryan Tafazolli,0.6,0.9,1.2,0.4,4.4,0.1,0.6,-
Perry Ng,2,0.9,1.3,0.1,1.9,0.5,0.3,-
Jarrad Branthwaite,2.3,2.3,1.1,1.2,2.8,0.8,0.6,-
Graeme Shinnie,2.1,1.2,1.2,-,1.2,1.1,0.2,-
Andy Yiadom,1.6,0.7,1.4,-,1.8,0.6,0.3,-
Winston Reid,0.5,1.5,1,0.5,2.5,0.1,0.5,-
Connor Roberts,0.7,1.1,0.8,0.1,1.3,0.5,0.5,-
Will Hughes,1.9,1.2,1.4,-,1,1.1,0.5,-
Sonny Bradley,1,1.4,0.7,0.6,4.7,0.4,0.7,1
Ryan Yates,1.6,1.1,1.2,-,1.9,0.8,0.3,-
Andrew Hughes,1.4,1.4,0.9,0.2,3.1,0.3,0.4,-
Morgan Fox,1.6,1.3,0.9,0.4,2.1,0.7,0.4,-
Joe Ralls,2.1,0.9,1.8,-,1.2,0.8,0.2,-
Philip Billing,1.2,0.6,1.1,0.1,1.1,0.8,0.2,-
Andreas Weimann,1.1,0.4,0.9,-,0.7,0.4,-,-
Daniel Barlaser,1.4,1.2,0.8,-,0.5,0.7,0.2,-
Christian Kabasele,0.8,0.9,0.7,0.9,3.1,0.3,0.8,-
Bradley Johnson,1.3,1.2,1.6,0.2,0.8,0.6,0.5,-
Jefferson Lerma,0.8,1,1.3,-,1.2,0.6,0.3,-
Ken Sema,1.3,0.6,1.1,-,0.6,0.7,-,-
Jeremy Ngakia,2.5,1.3,0.6,0.1,0.9,0.5,0.1,-
Nathaniel Chalobah,1.6,1.4,1.7,-,1.4,1,0.2,-
Henrik Dalsgaard,1.5,1.1,1.2,0.3,1.9,0.7,0.1,-
Ben Brereton,0.9,0.4,0.7,-,0.2,0.4,-,-
Harry Toffolo,0.8,1.9,1.1,0.1,1.7,0.4,0.5,-
Callum Styles,2.6,1.2,1,0.3,1.3,1.1,0.1,-
George Saville,1.6,0.9,1.4,-,0.8,0.6,0.2,-
Mathias Jensen,1.2,1.1,0.7,-,0.5,1.8,0.1,-
Ben Davies,1.2,1.4,0.5,0.4,4.3,0.2,0.5,-
Nathan Collins,1.1,1.2,0.8,0.1,2.7,0.3,0.6,-
Lewis Cook,1.3,1.5,1.3,-,0.3,1.1,0.2,-
Daniel Ayala,1.2,1.1,0.7,0.1,3.7,0.2,0.7,-
Rico Henry,1.3,0.9,0.5,0.2,1.4,0.5,0.1,-
Sam Clucas,0.9,1.1,1,-,0.9,0.7,0.2,-
Julian Börner,1.3,1.5,1.2,0.5,4,0.5,0.5,-
David Brooks,0.8,0.4,0.6,-,0.1,0.5,0.1,-
Neeskens Kebano,1.1,0.8,0.6,-,0.2,0.3,-,-
Lewis O'Brien,2,1,1.2,-,1,1.2,0.3,-
Yannick Bolasie,0.7,0.1,1.7,-,0.9,0.1,0.1,-
Junior Stanislas,0.4,-,0.3,-,0.4,0.1,-,-
Nathan Byrne,1.6,1.1,1.2,0.3,1.5,0.8,0.2,-
Will Vaulks,1.2,1.2,1.5,-,1,1.5,0.2,-
Joe Lumley,-,-,-,-,-,-,-,-
Sammy Ameobi,1.7,0.9,1.3,-,0.7,0.8,0.1,-
Chris Martin,0.5,0.3,1,-,1.5,0.3,0.2,-
Pontus Jansson,0.4,1,0.6,0.6,3.9,0.2,0.3,-
Christian Nørgaard,1.7,1.1,0.9,0.3,1.4,0.6,0.2,-
Lyndon Dykes,0.5,0.1,1.5,-,0.5,0.5,-,-
Dominic Hyam,1.2,1.5,0.4,0.4,4.3,0.6,0.5,-
Sam Gallagher,0.7,0.4,0.9,-,0.7,0.3,0.1,-
Charlie Austin,0.6,0.2,1.2,-,0.4,0.2,-,-
Cameron Carter-Vickers,1,1.1,0.6,0.9,3.6,0.1,0.7,-
Kiko Femenía,1.3,1.3,0.8,0.1,1.2,0.3,0.1,-
Joshua Earl,0.8,1.2,1.4,-,1.6,1.2,-,-
Jay Fulton,2.7,1.1,1.4,-,1,0.7,0.3,-
Naby Sarr,0.7,1.3,0.8,0.6,5,0.4,1,-
Stefan Johansen,1.1,0.8,1.5,-,0.2,1,0.3,-
Tommy Smith,1.3,1,0.6,0.1,1.5,0.7,0.2,-
Lloyd Kelly,1.2,0.8,1,0.3,2.4,0.2,0.3,-
Marc Bola,1.5,1.7,0.9,0.1,1.8,0.2,0.3,-
