Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Thiago Silva,0.9,1.4,0.6,0.6,3.6,0.3,0.6,-
Raúl Jiménez,0.3,0.8,0.9,-,1,0.7,-,1
Illan Meslier,-,-,-,-,1.2,-,-,1
Diego Llorente,2.3,1.3,1,0.3,2.5,0.9,0.9,-
Matt Targett,2.2,1.4,0.7,0.2,2.3,0.8,0.4,-
Marcos Alonso,1,0.9,1,-,2.2,0.5,0.1,-
Nélson Semedo,2.5,1.2,1.2,0.2,2.1,0.9,0.3,1
Diogo Jota,0.6,0.3,1.3,-,0.2,1.4,-,-
Jannik Vestergaard,1.7,1.4,0.6,0.5,4,0.6,0.5,-
Arthur Masuaku,1.7,0.7,0.8,0.2,1.4,1.9,-,-
Alexandre Lacazette,0.6,0.4,1.2,-,0.4,0.6,-,-
Andros Townsend,2.3,1.2,0.8,-,0.4,1.4,0.1,-
John McGinn,1.6,1.2,1.2,0.1,0.6,1.5,0.2,-
Wilfried Zaha,0.9,0.3,1.1,-,-,0.6,-,-
Andrew Robertson,1.2,0.6,0.6,0.3,1.8,0.8,0.2,-
Bukayo Saka,0.8,0.8,0.9,-,0.6,0.9,0.1,1
Jorginho,2,1.4,1.1,-,0.7,1.6,0.2,-
Jonny Evans,0.9,1.6,0.6,0.6,3.4,0.2,0.1,1
Romain Saïss,1.3,1.9,1.1,0.5,4.1,0.5,0.5,-
Stuart Dallas,1.9,1.2,1.1,0.1,1.2,1.5,0.1,-
Dwight McNeil,1.3,0.9,0.3,-,0.5,1.1,0.2,-
Nick Pope,-,0.1,0.1,-,1.3,-,-,-
Tanguy Ndombele,1.2,0.6,0.8,-,0.3,0.8,0.1,-
Yerry Mina,0.9,1,0.9,0.3,4.5,0.2,1,-
N'Golo Kanté,2.6,2,1.2,-,0.9,1,0.1,-
Toby Alderweireld,1.4,0.4,0.7,0.7,4.6,0.5,1.1,1
Dani Ceballos,1.5,1.4,0.9,0.1,0.6,1.2,0.2,-
Bertrand Traoré,0.7,0.4,0.9,-,0.3,0.7,-,-
Fikayo Tomori,2,2,1,-,8,-,1,-
Gaetano Berardi,1,0.5,0.5,-,1,-,0.5,-
Mateo Kovacic,1.7,0.6,0.6,-,0.3,0.6,-,-
Tom Cairney,0.9,-,0.4,-,0.1,0.3,-,-
Joël Veltman,2.4,1.2,1.2,0.2,2.1,1,0.2,-
Martin Dúbravka,-,-,-,-,0.9,-,-,-
Oleksandr Zinchenko,1.3,1.2,0.5,0.2,1.3,0.5,0.2,-
Antonee Robinson,1.6,1.3,0.7,0.1,1.9,0.6,0.1,-
Kelechi Iheanacho,0.5,0.1,1,-,-,0.5,-,-
João Virgínia,-,-,-,-,-,-,-,-
Terence Kongolo,3,2,1,1,2,-,-,-
Anthony Martial,0.1,-,0.7,-,0.4,0.5,0.1,-
James McArthur,3.2,1.3,1.8,0.1,1.6,1.3,0.2,-
Lewis Dunk,0.9,1,0.7,0.7,3.2,0.2,0.6,1
Kyle Walker-Peters,2.8,1.3,1.1,0.2,1.7,0.8,0.3,-
Danny Ings,0.8,0.1,0.7,-,0.7,0.6,0.1,-
Callum Wilson,0.5,0.3,1.5,-,0.5,0.4,0.1,-
Trézéguet,1.6,0.9,1.9,-,0.6,1.5,-,-
Timothy Castagne,1.9,1.1,0.7,0.2,1.9,0.7,0.2,-
Pascal Groß,1.3,0.7,0.6,-,0.4,0.9,0.1,-
Fabinho,1.9,1.5,1,0.5,2.2,0.9,0.3,-
Stuart Armstrong,1.8,0.7,1,0.1,0.6,1.5,-,-
Jordan Henderson,1.1,1.6,0.4,0.6,1.2,0.8,-,-
Aaron Cresswell,0.9,0.9,0.4,0.1,2,0.4,0.4,-
Chris Wood,0.4,-,1.2,-,0.6,0.4,0.1,-
Eberechi Eze,0.8,0.7,0.5,-,0.2,0.6,0.1,-
Rúben Neves,2.4,1.8,1.3,0.1,1.1,1.4,0.3,-
Fernandinho,1.5,1.1,1,0.1,0.8,1.1,0.1,-
Timo Werner,0.6,0.2,0.8,-,0.2,1,-,-
Pascal Struijk,1.8,1.7,1,0.2,3.1,0.4,0.8,-
Tyrone Mings,0.9,1.1,0.6,0.4,4.7,0.2,1.1,1
Jonjo Shelvey,1.3,1.2,1,-,1.3,0.9,0.5,-
Leandro Trossard,0.9,0.7,0.8,-,0.1,0.7,0.1,-
Andreas Christensen,0.6,1.2,0.5,0.4,2.9,0.5,0.8,-
Joachim Andersen,1.1,1.4,1.3,1.1,4.8,0.4,0.4,-
Karl Darlow,-,-,-,-,1.7,-,-,-
Calum Chambers,0.7,1,0.7,0.2,3.6,0.5,0.2,-
Rob Holding,1.4,0.8,0.8,0.5,4,0.6,0.9,1
Anwar El Ghazi,0.6,0.2,0.6,-,0.4,0.6,-,-
Conor Hourihane,-,-,0.3,-,0.5,0.5,-,-
Abdoulaye Doucouré,1.8,1.3,0.8,0.1,0.9,1,0.2,-
Amad,1,-,0.7,-,0.3,-,0.3,-
Pablo Fornals,1.3,1.1,0.8,-,0.2,1.9,-,-
Pierre-Emerick Aubameyang,0.4,0.2,0.4,-,0.5,0.6,-,1
Ben Godfrey,1.8,1.1,0.5,0.3,3.5,0.5,1.2,1
Che Adams,0.7,0.1,0.8,0.1,0.5,0.3,0.1,-
Adam Webster,1,1.6,0.8,0.3,2.9,0.4,0.6,-
Kyle Bartley,0.9,1.3,1,0.5,5.3,0.4,1.2,-
Emile Smith Rowe,0.7,0.5,0.3,-,0.5,0.6,0.1,-
Allan,3.3,0.8,1.5,0.1,1,2.8,0.5,-
Kyle Walker,1.2,0.6,1,0.3,0.9,0.3,0.3,-
Josh Brownhill,1.4,2.1,1.1,-,1.1,0.9,0.3,-
Aymeric Laporte,0.8,0.7,0.6,0.6,1.8,0.3,0.4,-
Ferran Torres,0.5,0.1,0.7,-,0.3,0.5,-,-
Nicolas Pépé,0.7,0.4,0.4,-,0.4,0.5,-,-
Ross Barkley,0.3,0.2,0.5,-,0.3,0.5,-,-
Hugo Lloris,-,-,-,-,0.5,-,-,-
Willy Boly,1.6,1.5,0.7,0.2,4,0.5,0.6,-
Dan Burn,1.9,1.1,1.3,0.1,2.6,1,0.3,1
Sébastien Haller,0.9,0.3,1.5,0.1,0.4,1,0.1,-
Ezri Konsa,0.7,0.8,0.5,0.4,4.4,0.1,1.3,-
Jarrod Bowen,0.7,0.6,0.4,-,0.1,0.5,-,-
Matt Doherty,1.7,1.4,1.2,0.2,2.1,1.2,0.3,-
Thomas Partey,1.8,1,0.8,-,0.6,1.3,0.2,-
Joelinton,1.1,0.3,0.8,-,0.7,0.7,0.1,-
Christian Pulisic,0.7,0.4,0.5,-,0.3,0.5,0.1,-
Marc Albrighton,1.1,0.5,0.3,0.1,0.6,0.9,0.1,-
Çaglar Söyüncü,1.2,1.2,0.8,0.6,3.4,0.6,0.4,-
Alphonse Areola,-,-,-,-,1.1,0.1,-,-
Christian Fuchs,2,1.8,1.6,-,3.3,0.8,0.4,-
Sam Johnstone,-,0.1,-,-,1,-,-,-
Alisson,0.1,0.1,-,-,1.3,-,-,-
Granit Xhaka,1.6,0.8,1.3,-,1.2,0.9,0.2,-
Tosin Adarabioyo,1.1,1.3,0.5,0.8,5.8,0.6,0.6,1
Angelo Ogbonna,0.9,1.1,1,0.5,4.1,0.3,0.4,-
Gabriel Magalhães,1.1,1.1,1,0.5,3.2,0.3,0.8,-
Callum Hudson-Odoi,1,0.3,0.5,-,0.2,0.6,-,-
Tariq Lamptey,1.5,1.7,1.9,0.1,0.8,0.6,0.1,-
David McGoldrick,0.9,0.1,1.3,-,0.7,0.5,0.1,-
Mason Greenwood,0.4,0.2,0.5,-,-,0.5,-,-
Martin Ødegaard,0.6,0.1,0.1,-,0.4,0.7,-,-
Sergio Reguilón,1.7,1.2,1,0.3,1.5,0.9,0.3,1
Conor Townsend,1.8,1.4,0.6,0.1,2,0.8,0.6,-
Ozan Kabak,2.1,1.3,1.3,0.9,3,0.3,0.2,-
Matthew Lowton,1.6,1.6,0.6,0.3,2.3,1.2,0.4,-
Pablo Marí,1.5,0.9,0.8,0.6,2.9,0.5,0.7,-
Robin Olsen,-,-,-,-,0.7,-,-,-
David Button,-,-,-,-,2,-,-,-
Fabián Balbuena,1.7,1.8,0.9,0.4,4.4,0.6,0.4,-
Rhys Williams,0.7,0.7,0.4,0.4,2.9,-,0.3,-
Hakim Ziyech,0.6,0.4,0.8,-,-,0.6,-,-
Jan Bednarek,1,2.3,0.8,0.8,3.7,0.7,0.8,1
Japhet Tanganga,0.8,0.5,1.8,0.3,2.2,0.3,0.8,-
Tyrick Mitchell,3.4,1.1,0.4,0.2,2.4,0.9,0.5,-
Ethan Ampadu,2.3,2,1,0.2,3.3,1,0.8,1
Tammy Abraham,0.3,0.2,1,-,0.8,0.3,-,-
Fraser Forster,0.1,-,0.1,-,2,0.1,-,-
Victor Lindelöf,0.8,1.1,0.8,0.6,3.3,0.4,0.5,-
Kenny Tete,2.2,1.2,1.3,0.2,2,0.4,0.2,-
Chris Basham,2.2,1.6,0.8,0.3,3.3,0.8,0.5,-
Héctor Bellerín,1.2,1.3,0.8,0.1,1.2,1.2,0.3,-
Daniel Podence,0.5,0.5,0.6,-,0.1,0.7,-,-
Kieran Tierney,1,0.6,0.5,0.2,2.1,0.7,0.4,-
Mbaye Diagne,0.3,0.1,1.1,-,1,0.2,0.1,-
Oliver McBurnie,0.7,0.3,1,-,1.3,0.5,0.1,-
João Moutinho,2.3,1.4,1.3,0.1,0.7,1.7,0.1,-
Douglas Luiz,1.5,1.3,1.8,-,1.2,1.2,0.5,-
Edinson Cavani,0.5,0.2,0.8,-,0.4,0.4,-,-
Rodrigo,0.5,0.2,0.7,-,0.6,0.7,-,-
Craig Dawson,0.5,1.5,0.6,0.2,4,0.3,1,2
Charlie Taylor,1.7,1,0.3,0.2,2.5,0.7,0.7,-
Davinson Sánchez,2.2,0.8,1.2,0.9,4.7,0.6,0.7,1
Isaac Hayden,2.2,1.8,1.6,0.1,1.9,0.9,0.4,-
Gylfi Sigurdsson,0.8,0.9,0.6,-,0.5,0.9,0.1,-
Danny Welbeck,0.5,0.3,0.8,-,0.5,0.5,-,-
Paul Dummett,1.1,1.1,0.6,0.3,4.7,0.5,0.5,-
Jacob Murphy,1.5,0.5,0.9,0.1,0.9,1,0.1,-
Mohammed Salisu,3.2,1.4,0.8,0.5,2.4,0.8,0.4,-
Eric Dier,0.8,0.8,0.6,0.4,4.4,0.3,1.1,-
Gabriel Martinelli,0.5,0.6,0.6,-,0.2,0.4,-,-
Harrison Reed,2,1.6,1.3,-,0.8,1.4,0.4,-
Miguel Almirón,1.4,0.7,0.5,-,0.5,1.2,0.1,-
Luke Thomas,1.6,1.1,0.7,0.1,1.4,0.5,0.1,-
Willian,0.5,0.3,0.2,-,0.2,0.4,-,-
Séamus Coleman,1.6,0.5,0.5,0.1,1.3,0.4,0.2,-
Leander Dendoncker,1.6,0.8,0.9,0.2,1.5,0.9,0.5,1
Jeffrey Schlupp,1.1,0.8,0.9,-,0.4,0.6,0.3,-
Dean Henderson,0.1,-,-,-,0.5,0.1,-,-
Jordan Pickford,-,0.1,-,-,1.3,0.1,-,-
Ahmed El Mohamady,1.2,1.2,0.4,0.1,1.6,0.4,0.2,-
Issa Diop,1.1,1.2,0.4,0.6,3.2,0.6,1.2,1
Sergio Agüero,0.3,0.2,0.2,-,-,0.8,-,-
Ciaran Clark,1.1,1.3,0.7,0.5,4.5,0.3,0.9,1
Federico Fernández,1.2,0.7,0.6,0.7,6,0.2,1.3,1
Matt Ritchie,0.6,0.7,0.7,0.1,2.3,0.8,0.1,1
Mason Holgate,2,1.3,1,0.3,2.9,1.1,0.5,-
Conor Gallagher,2.7,0.9,1.4,-,0.9,2.3,0.3,-
Ashley Westwood,0.6,1.2,0.9,-,0.8,0.8,0.2,-
