Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Christian Luyindama,0.7,1.8,0.7,0.6,4.3,0.4,0.4,-
José Sosa,1.5,1.2,0.9,0.1,0.9,1.1,0.1,-
Ervin Zukanovic,0.6,1.8,1.1,0.6,3.6,0.4,0.6,-
Mbaye Diagne,0.3,0.1,0.7,-,0.5,0.1,-,-
Arda Ozcimen,-,-,-,-,0.7,-,-,-
Ahmet Yilmaz Calik,0.9,2.1,0.8,0.4,3.9,0.3,0.8,-
Abdülkerim Bardakci,1.6,1.8,1.2,0.4,3.1,0.6,0.3,-
Hugo Rodallega,0.5,0.2,1.9,-,0.7,0.5,-,-
Armin Hodzic,0.7,0.3,1.6,-,0.3,1.2,-,-
Manuel da Costa,1.7,2,1,0.3,3.6,0.6,0.2,-
Michael Frey,-,-,3,-,-,1,-,-
Nazim Sangaré,-,-,1,-,1,-,-,-
Mustafa Yumlu,1.3,1.7,0.9,0.5,6,0.3,1,-
Mostafa Mohamed,0.8,0.1,0.9,-,0.4,0.5,0.1,-
Marko Jevtovic,1.7,1.4,1.6,0.1,1.4,1.3,0.4,1
Georgios Tzavellas,0.8,1.3,0.5,0.7,2.8,0.3,0.2,1
Ryan Babel,0.3,0.2,0.8,-,0.2,0.2,0.1,-
Günay Güvenc,-,-,-,-,1.1,0.1,-,1
Alperen Babacan,3,2,1,1,3,1,-,-
Bahadir Ozturk,1.3,1.8,0.3,-,4.3,0.8,0.3,-
Omar Elabdellaoui,1.4,1.8,1.2,0.1,1.1,0.4,0.2,-
Edin Visca,0.9,0.5,0.4,-,0.3,1.2,-,-
Arda Kizildag,1.8,2.3,0.9,0.4,4.5,1,0.9,2
Ángelo Sagal,1.2,0.4,1.3,-,0.6,0.9,-,-
Mustapha Yatabaré,1,0.3,1.6,-,0.5,0.8,0.1,-
Karlo Muhar,3,0.9,1.8,0.1,1.5,1.4,0.3,-
Montassar Talbi,1.7,2,1.2,0.1,3.6,0.7,1,-
Sofiane Feghouli,0.5,1,0.6,-,0.1,0.3,-,-
Neven Subotic,1.2,1.6,0.8,0.4,3.8,1.2,0.4,-
Alassane Ndao,0.8,0.7,0.6,-,0.2,0.6,-,-
Atinc Nukan,0.8,1.3,0.4,0.4,5.2,0.4,1.3,-
Luiz Gustavo,1.4,1.4,1.2,-,1,0.6,0.2,-
Enzo Roco,1.5,1.4,1.1,0.3,3.1,0.6,0.5,-
Radamel Falcao,0.5,0.1,0.8,-,0.5,0.1,-,-
Tyler Boyd,0.6,0.6,1.6,-,0.4,0.4,-,-
Fatih Ozturk,-,0.1,-,-,1,-,-,-
Halil Dervisoglu,0.8,0.1,1.3,-,0.1,0.1,-,-
Martin Skrtel,0.8,1.3,0.8,0.7,3.4,0.6,1.3,-
Efecan Karaca,1.2,0.3,1.1,-,0.1,0.8,0.1,-
Stelios Kitsiou,3.1,1.3,1.2,-,1,1.7,0.2,-
Gastón Campi,0.9,2.2,1,0.3,3.6,0.3,0.5,-
Zeki Yavru,1.5,1.5,0.9,0.1,1.4,0.9,0.2,-
Tolga Cigerci,0.8,1.1,0.9,-,0.5,0.6,0.1,-
Emre Kilinc,0.9,0.5,0.9,-,0.2,0.9,-,-
Ismail Köybasi,1.9,1.8,1.1,0.1,1.1,1.2,0.3,-
Amilton,1.2,0.8,1.5,-,0.5,1.4,0.2,-
Ugur Demirok,0.6,0.9,0.3,0.1,2.8,0.5,0.6,-
Rayane Aabid,0.9,0.8,0.5,-,0.5,0.5,0.1,-
Utku Yuvakuran,-,0.2,-,-,0.5,-,-,-
Guilherme,1.1,0.3,2.4,-,0.2,1.1,-,-
Léo Schwechlen,2.6,1.9,1.4,0.3,2.6,0.9,0.3,-
Berat Özdemir,2,1.7,0.8,0.3,1.3,0.7,0.1,-
Julian Jeanvier,0.8,2,1.8,1,3.5,-,-,-
Serkan Asan,1.7,2,1,0.2,1.8,0.7,0.4,1
Veysel Sari,1.7,1.2,0.8,0.7,3.2,0.5,0.5,-
Dogan Alemdar,-,0.1,-,-,0.7,-,-,-
Sadik Ciftpinar,1.5,2,0.5,0.2,2.5,0.7,0.8,-
Ryan Donk,1,0.8,0.7,0.3,2.4,0.3,0.2,-
DeAndre Yedlin,1.7,1.1,1.4,0.2,0.9,0.8,0.2,-
Juanfran,0.9,1.3,0.4,0.1,1.4,0.3,0.1,-
Edgar Ié,1.4,1.1,0.6,0.4,2.9,0.4,0.6,1
Jacques François Moubandje,1.1,1.3,1.3,0.3,1.4,0.3,0.1,-
Adama Noss Traoré,0.7,0.7,0.6,-,0.3,0.6,0.1,-
Ridvan Yilmaz,0.9,1.1,0.8,0.2,0.9,0.8,0.3,-
Soner Aydogdu,1.4,0.7,1.3,-,0.7,1.2,0.2,-
Kristoffer Nordfeldt,0.1,-,-,-,0.5,0.1,-,-
Tyler Boyd,1.3,0.8,2.5,-,0.8,1,-,-
Christian Cueva,1,0.6,1,0.1,-,1,-,-
Aytac Kara,1.5,1,1.5,-,1.2,1.5,0.1,-
Erik Sabo,0.5,0.5,1.1,-,0.5,0.2,0.2,-
Emre Tasdemir,0.9,0.7,1,0.2,0.9,0.4,0.3,-
Mehmet Topal,1.8,1,0.7,0.1,1.4,0.4,0.4,-
Tiago Pinto,2.1,1.9,0.9,0.2,1.4,1.1,0.5,-
Issam Chebake,1.4,1.7,1.4,0.2,1.9,0.7,0.2,-
Hakan Arslan,1.5,0.9,1,0.1,0.6,0.8,-,-
Abdulsamed Damlu,-,0.1,-,-,0.7,-,-,-
Yusuf Erdogan,1.1,1,1.3,-,0.4,0.8,-,-
Ugur Ciftçi,2.6,1.1,1.6,0.1,1.3,0.8,0.3,-
Ali Sasal Vural,-,-,0.1,-,0.6,0.1,-,-
Fernando Muslera,-,-,-,-,0.5,0.1,-,-
Munir Mohamedi,-,-,-,-,0.8,0.1,-,-
Kristijan Bistrovic,1.3,1.1,1.1,-,0.5,1.3,0.3,-
Florent Hadergjonaj,1.1,1.8,0.4,0.2,2.1,0.5,0.3,1
Diego Angelo,1.4,1.5,0.4,0.5,3.8,0.6,0.6,-
Zymer Bytyqi,0.5,0.1,0.2,-,0.2,0.4,0.1,-
Sokol Cikalleshi,1.1,0.3,1.7,-,0.3,0.8,-,-
Ismail Aissati,0.9,0.5,0.5,-,0.3,0.4,0.1,-
Arda Turan,1,0.3,1.1,-,0.4,0.8,0.1,-
Rubén Ribeiro,2.2,1.6,1.7,-,0.4,1.5,0.1,-
Abdülkadir Ömür,1,0.2,0.5,-,-,0.9,-,-
