Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Jeremie Boga,0.4,0.3,0.3,-,0.2,0.3,-,-
Hans Hateboer,1.3,0.8,0.9,0.1,0.4,0.5,-,-
Kevin Strootman,1.7,1.4,1.4,0.1,0.8,1,0.2,-
Wilfried Stephane Singo,1,1,1,0.1,1.3,0.6,0.1,-
Pietro Terracciano,-,-,-,-,0.5,-,-,-
Simone Edera,1.5,0.5,0.5,-,0.5,0.5,-,-
Gian Marco Ferrari,0.9,1.5,1.2,0.5,2.8,0.4,1.1,-
Ionut Radu,-,-,-,-,1,-,-,-
Alberto Paleari,-,-,-,-,1,-,-,-
Musa Barrow,0.7,0.3,0.4,-,0.3,0.4,0.1,-
Matthijs de Ligt,1.4,1.1,1.5,0.3,2.4,0.4,0.8,-
Nehuén Paz,1.5,1.8,0.5,0.5,2.7,0.2,0.3,-
Koray Günter,0.7,2.6,1.1,0.4,3.1,0.2,0.9,-
Franck Ribéry,0.8,0.1,1.2,-,-,0.8,0.1,-
Emil Audero,-,-,-,-,0.6,-,-,-
Elseid Hysaj,1.2,1.3,0.7,0.1,1.8,0.7,0.2,-
Marko Rog,2.9,1.4,2.4,-,0.9,1.5,0.4,-
Alessio Cragno,-,-,0.1,-,0.7,-,-,-
Gianluigi Donnarumma,-,-,-,-,0.9,-,-,-
Alexis Sánchez,0.5,0.2,0.6,-,-,0.4,-,-
M'Bala Nzola,0.5,0.1,2.2,-,0.8,0.1,-,-
Antonio Candreva,0.8,0.3,0.4,0.1,0.5,0.9,0.1,-
Cristián Zapata,1.5,1.3,0.5,0.3,4.7,0.3,0.9,-
Nikola Milenkovic,1.4,1.3,1.6,0.8,3.6,0.4,1,-
Mattia Perin,-,-,0.1,-,0.6,-,-,-
Razvan Marin,1.5,0.8,1.3,-,0.4,0.7,0.3,-
Léo Sena,1.4,0.7,0.4,-,0.2,0.9,0.3,-
Armando Izzo,1.2,2.1,1.7,0.3,2.4,0.8,0.4,-
Francesco Caputo,-,-,0.6,-,0.1,0.1,-,-
Diego Demme,2.3,0.5,1.4,-,0.6,1.7,-,-
Takehiro Tomiyasu,1.5,1.7,1,0.5,3.3,0.4,0.6,1
Bram Nuytinck,1.1,1.3,0.4,0.1,3.6,0.4,0.9,-
Davide Zappacosta,1.3,0.7,0.9,-,1.5,0.6,-,-
Tiemoué Bakayoko,2.2,1.1,1.1,-,0.3,0.5,0.1,-
Stefan Radu,1.4,1.5,0.6,0.2,2.3,0.5,0.5,-
Aaron Ramsey,1,0.3,0.9,-,0.3,0.8,0.1,-
Alessio Romagnoli,0.8,1.1,0.9,0.4,3.5,0.5,1,-
Cristian Ansaldi,1.5,0.5,0.8,0.2,1,0.5,0.2,-
Gianluigi Buffon,-,-,-,-,0.8,-,-,-
David Ospina,-,-,0.1,-,0.8,-,-,-
Radja Nainggolan,1.9,0.7,1,-,0.7,0.7,-,-
Gianluca Caprari,0.5,0.6,0.8,-,0.2,0.8,-,-
Yildirim Mert Çetin,1.3,2.3,1,0.2,2.2,0.7,1,-
Simy,0.2,0.2,1.3,-,1.3,0.5,0.1,-
José Luis Palomino,1.9,2.2,1.3,0.3,1.5,0.7,0.4,-
Hernani,1.5,0.9,1.5,-,1.1,1.1,0.1,-
Wojciech Szczesny,-,0.1,-,-,0.7,-,-,-
Bartosz Bereszynski,2.1,1.4,0.9,0.3,2.2,1,0.6,-
Diogo Dalot,1.5,1.2,1.2,-,1.8,0.8,0.2,-
Nahitan Nández,1.8,0.7,1.3,0.1,1.5,1.3,0.1,-
Riccardo Orsolini,1.1,0.3,0.6,-,0.6,0.7,0.1,-
Filip Djuricic,1,0.3,1.6,-,0.4,0.6,0.1,-
Fabio Quagliarella,0.4,0.2,0.8,-,0.3,0.5,-,-
Ismaël Bennacer,1.9,1,1,-,0.6,0.8,-,-
Giacomo Bonaventura,1,1.1,1.1,-,0.3,1.1,0.1,-
Merih Demiral,0.8,1.4,0.7,0.2,2.6,0.5,0.6,-
Lukasz Skorupski,-,-,-,-,1.2,0.1,-,-
Rodrigo Palacio,0.4,0.2,1.1,-,0.8,0.4,-,-
Mattia Bani,0.9,2.5,1.2,0.7,3.5,0.6,1,-
Giangiacomo Magnani,1,1.8,1.8,0.2,4,0.3,0.6,1
Yordan Osorio,1,2.3,0.7,0.6,3.2,0.7,0.8,-
Gastón Brugman,1.3,1.7,1,-,1.2,1.3,0.2,-
Gian Marco Crespi,-,-,-,-,-,-,-,-
Gianluca Scamacca,0.7,0.3,1.2,-,0.5,0.5,0.2,1
Arkadiusz Reca,1.1,1.7,1.1,0.2,1.9,1.2,0.1,-
Christian Eriksen,0.5,0.3,0.5,-,0.4,0.5,-,-
Jerdy Schouten,1.5,2.3,1.4,0.1,1,0.6,0.4,-
Antonin Barak,0.9,0.4,1.8,-,1.1,1,0.2,-
Matteo Gabbia,1.1,0.4,0.6,0.1,2.5,-,0.8,-
Dejan Kulusevski,0.9,0.3,1.2,-,0.1,0.8,-,-
Mattia Destro,0.2,0.1,1.3,-,0.3,0.2,-,-
Jordan Veretout,0.7,0.4,1.1,-,0.7,0.8,0.1,-
Hamed Traore,0.8,0.5,0.7,-,0.3,0.6,0.1,-
Erick Pulgar,1.3,1.3,0.7,0.1,1.3,0.9,0.3,-
Weston McKennie,1,0.8,1.3,-,0.7,0.6,0.1,-
Giuseppe Pezzella,1.4,0.5,1,0.1,1.8,0.8,0.4,-
Domenico Criscito,1.9,1.9,1,0.3,2.2,0.7,0.6,-
Albin Ekdal,1.8,1.5,1.5,-,1,1.3,0.4,-
Ivan Perisic,0.7,0.6,0.4,-,1,0.7,0.1,-
Pedro,0.9,0.3,0.9,-,-,1,-,-
Matteo Scozzarella,1.3,2,1,-,-,0.3,0.3,-
Alex Ferrari,2.3,1.9,0.8,0.5,2.1,0.8,0.5,-
Roberto Pereyra,0.5,0.8,1.1,-,0.6,0.5,0.1,-
Ivan Ilic,0.9,0.9,0.8,-,0.8,0.5,0.2,-
Rafael Tolói,1.6,1.1,1.2,0.1,2,0.7,0.2,-
Manolo Gabbiadini,0.1,0.2,0.8,-,0.3,0.1,0.1,-
Lucas Leiva,2.1,1.8,1.5,-,0.7,1.8,-,-
Luiz Felipe,2.3,1.5,1,0.1,1.9,0.6,0.6,-
Gaetano Letizia,1.5,0.8,0.6,0.5,1.5,0.8,0.1,-
Darko Lazovic,0.9,0.6,0.3,-,0.8,0.7,0.2,-
Alexis Saelemaekers,1.3,0.8,0.9,-,0.1,1.3,-,-
Andrea Carboni,2.3,0.9,0.7,0.2,3.1,0.9,0.3,-
Adam Marusic,1.1,1.1,0.5,0.3,1.3,0.6,0.2,1
Georgios Kyriakopoulos,1.5,0.7,0.7,0.2,1.4,0.9,0.2,-
Leonardo Bonucci,0.7,1.2,0.8,0.3,2.4,0.3,0.5,-
Simone Verdi,0.6,0.2,0.7,-,0.1,0.4,-,-
Lyanco,0.9,2,1,0.8,3.1,0.3,1.1,-
Adama Soumaoro,1.2,1,1.7,0.7,3.3,0.3,1.2,-
Federico Ceccherini,0.6,1.6,1.9,0.1,2.4,0.2,0.3,-
Tomás Rincón,1.9,0.9,2,0.1,1.1,1,0.2,-
Chris Smalling,0.9,1.8,0.8,0.5,2.8,0.3,0.7,-
Rick Karsdorp,1.1,0.9,1.1,0.3,0.9,0.8,-,-
Nicolas Viola,0.9,0.5,0.8,-,0.4,1.3,0.2,-
Bryan Cristante,0.8,1.2,0.9,0.6,1.8,0.6,0.2,1
Tolgay Arslan,1.7,0.7,1.3,0.1,0.4,1,0.1,-
Andreas Cornelius,0.4,-,1.2,-,0.9,0.3,0.1,-
Adrien Tameze,1.2,1,1.1,0.1,1.2,0.6,0.2,-
Giorgio Chiellini,0.7,1.6,1.1,0.2,3.3,0.4,0.8,1
Alex Meret,-,-,-,-,0.6,-,-,-
Charalampos Lykogiannis,1.1,1,0.9,0.3,2.5,0.5,0.4,-
Lucas Martínez Quarta,1.5,1.9,1.1,0.5,2.1,1.1,0.4,-
Thomas Strakosha,0.1,0.1,-,-,0.6,-,-,-
Mario Pasalic,1,0.3,0.8,-,0.2,0.3,-,-
Mário Rui,0.9,1,0.6,0.1,0.8,0.6,0.1,-
Julian Chabot,1.9,1.5,1.3,1.3,1.7,0.6,0.5,-
Maya Yoshida,0.5,1.8,0.5,0.8,2.8,0.2,1.1,-
Luca Cigarini,1.9,0.9,1.9,-,0.6,1.1,0.1,-
Arthur,0.8,0.8,0.5,-,0.4,0.9,-,-
Lorenzo Tonelli,1.4,1.1,1.3,0.6,4,0.5,0.6,-
Rodrigo Becão,1.7,1.9,1.4,0.2,2.6,0.6,0.8,-
Adam Ounas,0.4,0.4,0.4,-,-,1.6,-,-
Manuel Lazzari,0.8,0.6,0.8,0.1,0.8,0.8,0.1,1
Kastriot Dermaku,0.5,1,1,1.5,3.5,-,0.5,-
Samir Handanovic,-,-,-,-,0.2,-,-,1
Tommaso Augello,1.1,0.9,0.4,0.4,1.7,0.4,0.1,-
Kamil Glik,1.2,1.7,0.9,0.8,4.2,0.8,0.9,1
Stefano Sturaro,1.8,1.2,2.3,-,0.3,2,-,-
Kostas Manolas,1,0.8,0.7,0.6,2.5,0.2,0.4,-
Emmanuel Gyasi,0.8,0.4,1.8,-,0.2,0.6,0.1,-
Gervinho,0.2,0.4,0.3,-,0.1,0.5,-,-
Tommaso Pobega,1.2,0.5,1.4,0.2,1,1,0.1,-
Rolando Mandragora,1.1,1.2,1.9,0.1,1.1,1.4,0.4,-
Antonio Mirante,-,-,-,-,0.7,0.2,-,-
Graziano Pellè,0.2,0.2,1.5,-,0.6,0.5,-,-
Riccardo Sottil,0.3,0.2,0.8,-,0.1,0.3,-,-
