Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,League
Harvey Barnes,0.8,0.3,0.6,-,0.4,0.7,0.1,-,Premier_league
Alex Telles,1.6,1.8,0.4,0.1,2,1,0.2,-,Premier_league
Okay Yokuslu,2.4,2.2,1.6,-,2,1.1,0.2,-,Premier_league
Jack Harrison,1.8,0.4,0.8,-,0.5,0.9,0.1,-,Premier_league
Matheus Pereira,0.8,0.9,1,-,0.4,1.3,-,-,Premier_league
Joel Matip,1.4,0.7,1.1,1.2,2.2,0.1,-,-,Premier_league
Vladimir Coufal,2.1,1.2,0.9,0.3,2.6,1.1,0.2,-,Premier_league
Pierre-Emile Højbjerg,2.6,1.3,1.8,-,1.7,2,0.2,-,Premier_league
Luke Ayling,2.8,0.9,0.8,0.4,2,1,0.9,-,Premier_league
Scott Carson,-,-,-,-,-,-,-,-,Premier_league
Reece James,1.7,0.5,1,0.1,1.3,0.7,0.2,-,Premier_league
Oriol Romeu,3.3,1.4,1.4,-,0.7,2,0.3,-,Premier_league
Matthew Cash,2.5,2.1,1.3,0.1,2.9,1.2,0.4,-,Premier_league
Scott McTominay,1.6,0.9,1.5,-,1.3,0.4,0.3,-,Premier_league
Ahmed Hegazi,-,1,-,-,7,-,-,-,Premier_league
Ben Mee,1.1,1.4,0.5,0.7,4.9,0.5,1.5,-,Premier_league
Anthony Elanga,2,0.5,1,-,0.5,0.5,0.5,-,Premier_league
Fred,2.7,1.5,1.5,-,0.7,2,0.3,-,Premier_league
Timothy Fosu-Mensah,2,3,1,-,1,-,-,-,Premier_league
César Azpilicueta,2,1.1,1.2,0.1,2.3,0.7,0.2,-,Premier_league
Ademola Lookman,1,0.6,1.4,-,0.2,0.9,-,-,Premier_league
Michael Keane,0.8,1.5,0.4,0.3,4.5,0.5,0.9,-,Premier_league
Rúben Dias,0.8,1.1,0.7,0.3,2.8,0.4,0.7,1,Premier_league
Thiago Silva,0.9,1.4,0.6,0.6,3.6,0.3,0.6,-,Premier_league
Raúl Jiménez,0.3,0.8,0.9,-,1,0.7,-,1,Premier_league
Illan Meslier,-,-,-,-,1.2,-,-,1,Premier_league
Diego Llorente,2.3,1.3,1,0.3,2.5,0.9,0.9,-,Premier_league
Matt Targett,2.2,1.4,0.7,0.2,2.3,0.8,0.4,-,Premier_league
Marcos Alonso,1,0.9,1,-,2.2,0.5,0.1,-,Premier_league
Nélson Semedo,2.5,1.2,1.2,0.2,2.1,0.9,0.3,1,Premier_league
Diogo Jota,0.6,0.3,1.3,-,0.2,1.4,-,-,Premier_league
Jannik Vestergaard,1.7,1.4,0.6,0.5,4,0.6,0.5,-,Premier_league
Arthur Masuaku,1.7,0.7,0.8,0.2,1.4,1.9,-,-,Premier_league
Alexandre Lacazette,0.6,0.4,1.2,-,0.4,0.6,-,-,Premier_league
Andros Townsend,2.3,1.2,0.8,-,0.4,1.4,0.1,-,Premier_league
John McGinn,1.6,1.2,1.2,0.1,0.6,1.5,0.2,-,Premier_league
Wilfried Zaha,0.9,0.3,1.1,-,-,0.6,-,-,Premier_league
Andrew Robertson,1.2,0.6,0.6,0.3,1.8,0.8,0.2,-,Premier_league
Bukayo Saka,0.8,0.8,0.9,-,0.6,0.9,0.1,1,Premier_league
Jorginho,2,1.4,1.1,-,0.7,1.6,0.2,-,Premier_league
Jonny Evans,0.9,1.6,0.6,0.6,3.4,0.2,0.1,1,Premier_league
Romain Saïss,1.3,1.9,1.1,0.5,4.1,0.5,0.5,-,Premier_league
Stuart Dallas,1.9,1.2,1.1,0.1,1.2,1.5,0.1,-,Premier_league
Dwight McNeil,1.3,0.9,0.3,-,0.5,1.1,0.2,-,Premier_league
Nick Pope,-,0.1,0.1,-,1.3,-,-,-,Premier_league
Tanguy Ndombele,1.2,0.6,0.8,-,0.3,0.8,0.1,-,Premier_league
Yerry Mina,0.9,1,0.9,0.3,4.5,0.2,1,-,Premier_league
N'Golo Kanté,2.6,2,1.2,-,0.9,1,0.1,-,Premier_league
Toby Alderweireld,1.4,0.4,0.7,0.7,4.6,0.5,1.1,1,Premier_league
Dani Ceballos,1.5,1.4,0.9,0.1,0.6,1.2,0.2,-,Premier_league
Bertrand Traoré,0.7,0.4,0.9,-,0.3,0.7,-,-,Premier_league
Fikayo Tomori,2,2,1,-,8,-,1,-,Premier_league
Gaetano Berardi,1,0.5,0.5,-,1,-,0.5,-,Premier_league
Mateo Kovacic,1.7,0.6,0.6,-,0.3,0.6,-,-,Premier_league
Tom Cairney,0.9,-,0.4,-,0.1,0.3,-,-,Premier_league
Joël Veltman,2.4,1.2,1.2,0.2,2.1,1,0.2,-,Premier_league
Martin Dúbravka,-,-,-,-,0.9,-,-,-,Premier_league
Oleksandr Zinchenko,1.3,1.2,0.5,0.2,1.3,0.5,0.2,-,Premier_league
