Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,League
Leandrinho,0.8,0.2,0.8,-,0.4,0.4,-,-,Liga_nos
Vaná Alves,0.2,-,0.2,-,1,0.2,-,-,Liga_nos
Fabio China,0.9,0.9,1.1,0.1,1.6,0.7,0.2,1,Liga_nos
Joaquín Pereyra,0.9,1.1,1.1,-,0.6,0.5,0.3,-,Liga_nos
Javi García,0.9,0.8,1.4,0.1,2.1,0.6,0.4,-,Liga_nos
Babacar Niasse,0.1,-,0.1,-,0.9,0.1,-,-,Liga_nos
Kenji Gorré,1,0.3,1.6,-,0.1,0.8,-,-,Liga_nos
Jean Cléber,1,0.6,1.1,-,0.7,-,-,-,Liga_nos
Yaya,1.6,1.2,2.6,-,0.9,1,0.2,-,Liga_nos
Fábio Vieira,0.5,0.1,0.4,-,0.1,0.4,-,-,Liga_nos
Abdel Jalil Zaim Idriss Medioub,0.7,1.3,1,0.1,2.3,0.2,0.3,-,Liga_nos
Fabrício Isidoro,1.2,1.1,1.1,0.1,0.3,1.4,0.3,-,Liga_nos
Alex Soares,1.6,0.9,1.4,-,0.3,1,0.1,-,Liga_nos
Rolando,0.7,0.8,0.7,0.5,1,0.6,0.2,-,Liga_nos
Nikola Stojiljkovic,0.2,0.1,1.8,-,0.4,0.7,-,-,Liga_nos
Nélson Monte,1.2,0.9,0.4,0.6,3,0.4,0.3,-,Liga_nos
Uilton,0.6,0.6,0.7,0.1,0.8,0.3,-,-,Liga_nos
David Simão,1,0.8,1.3,0.1,0.2,0.7,0.1,-,Liga_nos
Show,1.5,0.9,1.3,-,1,0.7,0.1,-,Liga_nos
Easah Suliman,0.3,1.7,1.2,0.4,3.3,0.3,0.8,-,Liga_nos
Antunes,0.3,0.8,0.6,0.1,0.5,0.5,-,-,Liga_nos
Jaume Grau,1.3,1,1.4,-,0.9,1.7,0.4,-,Liga_nos
Rafael Barbosa,0.6,0.4,0.7,-,0.2,0.4,0.1,-,Liga_nos
Lucas Áfrico,1,0.8,1.3,0.6,2.2,0.2,0.6,-,Liga_nos
Eber Bessa,1.6,0.5,1.6,-,0.1,0.6,0.1,-,Liga_nos
Jaquité,1.4,0.9,1.1,0.1,0.8,0.9,0.3,-,Liga_nos
Andraz Sporar,0.1,-,0.6,-,0.3,0.1,-,-,Liga_nos
Rui Costa,0.2,-,0.7,-,0.3,0.3,0.1,-,Liga_nos
Leonardo Campana,-,0.2,0.9,-,0.3,0.4,0.1,-,Liga_nos
Ryotaro Meshino,0.4,-,0.3,-,0.1,0.3,-,-,Liga_nos
Gustavo Assunção,1,0.9,1.8,-,1.5,1.2,-,-,Liga_nos
João Lucas,1.1,1.5,0.6,0.3,1,0.6,0.3,-,Liga_nos
Abdullahi Ibrahim Alhassan,1.1,1.3,1.4,-,1,1.2,0.3,-,Liga_nos
Abdul Mumin,0.7,0.7,1.1,0.5,3.8,0.4,0.4,-,Liga_nos
Júlio César,0.9,1.3,1.4,0.4,4.8,0.4,0.6,-,Liga_nos
Filipe Melo,0.6,0.8,0.8,-,1.2,0.3,0.7,-,Liga_nos
Lucas,0.2,1.6,0.6,-,2.6,-,0.6,-,Liga_nos
Bura,1.3,0.8,0.7,-,2,0.4,0.6,-,Liga_nos
Madi Queta,0.6,0.6,0.8,-,0.1,0.5,-,-,Liga_nos
Ali Alipour,0.3,0.3,0.6,-,0.6,0.1,-,-,Liga_nos
Arcanjo,0.4,0.4,0.9,-,0.1,0.1,-,-,Liga_nos
Nathan,1,0.4,0.3,-,0.6,0.6,-,-,Liga_nos
Patrick,0.7,0.3,1.2,-,0.1,0.2,-,-,Liga_nos
Bruno Tabata,0.6,0.4,0.9,-,0.1,0.5,-,-,Liga_nos
Guedes,0.2,0.1,0.6,-,0.6,0.2,0.1,-,Liga_nos
Diogo Calila,1.3,0.4,1.1,0.2,0.7,0.6,0.1,1,Liga_nos
Sebastián Pérez,0.9,0.6,0.8,0.1,0.1,0.4,0.2,-,Liga_nos
Júlio César,0.9,0.1,0.7,-,0.1,0.4,0.1,-,Liga_nos
Alex Pinto,1.5,1.5,1.6,0.3,1.4,1.1,0.1,-,Liga_nos
Matheus Silva,0.9,0.8,1,0.4,0.5,0.3,0.2,-,Liga_nos
Franco Cervi,1,0.6,0.6,-,0.1,0.7,0.1,-,Liga_nos
Henrique Trevisan,0.5,0.8,0.5,-,1.5,-,0.3,-,Liga_nos
Costinha,0.7,0.3,0.8,-,0.2,0.6,-,-,Liga_nos
Andrijia Lukovic,0.9,0.6,0.9,-,0.6,0.5,0.3,-,Liga_nos
Lucas Kal,0.8,1,0.4,0.1,3.1,0.3,0.5,1,Liga_nos
Miguel Reisinho,1.3,0.8,1.3,-,0.3,1.2,-,-,Liga_nos
Heriberto Tavares,0.4,0.2,0.7,-,0.1,0.4,-,-,Liga_nos
Edwin Herrera,1.2,0.8,1.7,0.2,1.6,0.7,0.2,-,Liga_nos
Chico Ramos,1.1,0.5,0.8,-,0.8,0.6,0.3,-,Liga_nos
Vincent Koziello,0.6,0.6,1.1,-,0.4,0.8,-,-,Liga_nos
Pedrinho,0.2,0.2,0.6,-,0.2,0.2,-,-,Liga_nos
André Horta,0.8,0.2,0.4,-,-,0.4,-,-,Liga_nos
Diogo Queirós,0.3,1,0.8,0.3,2.3,0.2,0.3,1,Liga_nos
Vitor Carvalho,0.8,0.9,1.7,-,0.8,0.7,0.1,1,Liga_nos
Ruben Lameiras,0.7,0.5,0.7,-,0.3,0.4,0.1,-,Liga_nos
Kanya Fujimoto,0.4,0.3,0.7,-,0.1,0.2,0.1,-,Liga_nos
Hélder Sá,1.5,1,-,0.5,1,-,0.5,-,Liga_nos
João Pereira,0.7,0.5,0.5,-,0.3,0.7,-,-,Liga_nos
Bruno Ramires,0.7,0.7,0.8,-,1.1,0.6,0.1,-,Liga_nos
Ferro,0.3,1.5,1,0.3,1.5,0.3,-,-,Liga_nos
João Pedro,0.2,0.1,0.3,-,0.2,0.2,-,-,Liga_nos
Francisco Conceição,0.4,0.1,0.3,-,-,0.3,-,-,Liga_nos
Pierre Sagna,0.5,1,0.3,0.1,1.7,0.4,0.2,-,Liga_nos
André Pereira,0.9,0.4,1.4,-,0.1,0.1,0.1,-,Liga_nos
Chiquinho,0.2,0.4,0.5,-,-,0.5,0.1,-,Liga_nos
Henrique,0.8,0.6,0.7,-,0.3,0.3,-,-,Liga_nos
Franck-Yves Bambock,0.7,0.8,1.1,-,0.7,0.4,0.2,-,Liga_nos
Denis Poha,0.5,0.6,0.6,-,0.3,0.2,0.2,-,Liga_nos
Tiago Almeida,1.9,0.5,0.5,0.2,1.4,0.7,-,-,Liga_nos
Dor Jan,0.1,0.3,0.4,-,-,0.2,-,-,Liga_nos
Ruben Del Campo,0.2,-,2.2,-,0.4,0.2,-,-,Liga_nos
Bozhidar Kraev,0.4,0.3,0.6,-,0.2,0.5,-,-,Liga_nos
Gergely Bobal,1,-,0.5,-,0.5,-,-,-,Liga_nos
João Victor,0.4,0.3,0.5,-,0.1,0.5,0.1,-,Liga_nos
Danny Henriques,0.6,0.8,0.9,0.3,2.8,0.5,0.3,-,Liga_nos
Tim Hall,1,-,-,2,4,-,-,-,Liga_nos
Felipe Anderson,0.4,0.4,0.4,-,0.4,1.2,-,-,Liga_nos
Bruno Duarte,0.4,0.2,0.7,-,0.3,0.2,-,-,Liga_nos
Naoufel Khacef,0.9,0.7,0.9,-,0.5,0.5,-,-,Liga_nos
Ibrahima Camará,0.6,0.4,1.2,-,0.3,0.6,0.2,-,Liga_nos
Ukra,0.3,0.3,0.4,-,0.3,0.3,0.1,-,Liga_nos
Matheus Reis,0.5,0.7,0.7,0.3,0.4,0.1,-,-,Liga_nos
Lucas,0.4,0.2,0.5,-,0.5,0.4,0.1,-,Liga_nos
Eduardo Quaresma,0.5,1,-,0.5,0.5,0.5,-,-,Liga_nos
Cássio Scheid,0.7,1.2,0.8,0.5,2.5,0.3,0.9,-,Liga_nos
Welinton Júnior,1,0.5,0.7,-,0.1,0.4,-,-,Liga_nos
Francisco Teixeira,0.7,0.2,0.7,-,0.2,0.4,-,-,Liga_nos
Jorge Benguché,-,0.1,1.3,-,0.3,-,-,-,Liga_nos
Dyego Sousa,0.4,-,0.8,-,-,-,-,-,Liga_nos
Henrique Gomes,1,1.1,1.4,0.1,1.4,0.6,-,-,Liga_nos
Gonçalo Franco,1,1.1,1,-,0.4,0.8,0.1,-,Liga_nos
Nicolas Janvier,0.5,0.5,0.4,-,-,0.1,0.1,-,Liga_nos
Denis Poha,0.8,0.6,0.8,-,0.2,1.2,-,-,Liga_nos
Tarantini,1,0.4,0.4,-,0.9,0.9,-,-,Liga_nos
Witi,0.6,0.4,0.5,-,0.6,0.9,0.1,-,Liga_nos
Licá,0.6,0.3,1,-,1,1.1,-,-,Liga_nos
Hernani Infande,-,-,-,-,-,-,-,-,Liga_nos
Michael,-,-,-,-,1,-,-,-,Liga_nos
Guga,0.8,0.3,1.3,-,-,0.5,-,-,Liga_nos
Jordan van der Gaag,1,-,1,-,0.5,-,-,-,Liga_nos
Nené,0.9,0.4,1.5,0.1,0.3,0.6,0.1,-,Liga_nos
Hugo Seco,0.4,0.1,1,-,0.2,0.2,0.1,-,Liga_nos
Dejan Kerkez,-,2,-,-,-,0.5,0.5,-,Liga_nos
Carraça,0.5,-,1,-,0.5,-,-,-,Liga_nos
Bilel Aouacheria,0.5,0.1,1.4,-,0.1,0.1,-,-,Liga_nos
Djalma,0.3,0.4,0.7,-,0.1,0.1,-,-,Liga_nos
Rúben Macedo,0.4,0.1,0.9,-,0.4,0.4,-,-,Liga_nos
Calvin Verdonk,1.3,1.6,0.9,0.2,0.7,0.6,0.2,-,Liga_nos
Alaa Abbas,-,0.3,0.8,-,0.3,-,-,-,Liga_nos
Caio Secco,0.5,-,-,-,-,0.5,-,-,Liga_nos
Ruben Micael,0.5,0.3,1,-,0.4,0.7,0.1,-,Liga_nos
Afonso Figueiredo,0.3,0.8,0.7,0.1,0.8,0.9,0.1,-,Liga_nos
César Sousa,-,1,-,-,-,-,-,-,Liga_nos
Jacob Maddox,1,0.3,0.7,-,-,0.7,-,-,Liga_nos
Zé Luís,-,-,1,-,-,-,-,-,Liga_nos
Jean Patric,0.5,0.3,0.9,-,-,0.5,-,-,Liga_nos
Cauê,0.6,0.4,1,0.1,0.5,0.6,-,-,Liga_nos
Souleymane Anne,0.3,0.1,0.4,-,0.1,0.2,-,-,Liga_nos
Ronan,-,0.2,0.9,-,0.3,0.2,-,1,Liga_nos
Ricardo Vaz Tê,0.1,0.1,0.8,-,-,-,-,-,Liga_nos
Jefferson Galego,0.5,0.1,0.5,-,-,0.3,-,-,Liga_nos
Bertrand Yves Baraye,0.4,0.3,1.2,-,0.1,0.5,-,-,Liga_nos
Jonas Carls,-,1,-,-,-,-,-,-,Liga_nos
Casagrande,1,-,1,-,-,-,-,-,Liga_nos
Derik Lacerda,0.2,-,0.8,-,0.3,0.2,-,-,Liga_nos
Abbas Ibrahim,0.7,0.3,0.4,-,0.2,0.4,0.1,-,Liga_nos
Bruno Moreira,-,0.1,0.4,0.1,0.1,-,-,-,Liga_nos
Gabrielzinho,0.6,0.4,0.5,-,0.1,0.5,-,-,Liga_nos
Shahriar Moghanlou,0.3,0.1,1.3,-,0.2,0.2,-,-,Liga_nos
Milson,0.8,0.2,0.8,-,-,0.6,-,-,Liga_nos
Jeriel De Santis,-,-,0.3,-,-,-,-,-,Liga_nos
Miguel Luís,0.4,0.3,0.4,-,0.2,0.2,0.1,-,Liga_nos
Andreas Samaris,0.2,0.2,0.3,-,-,0.3,-,-,Liga_nos
Boubacar Hanne,0.2,-,0.2,-,0.2,-,-,-,Liga_nos
Dieguinho,-,-,0.3,-,-,0.3,-,-,Liga_nos
Anderson Cruz,0.6,0.5,0.4,-,0.1,0.9,-,-,Liga_nos
Andreas Karo,0.4,0.8,1,0.4,1.4,0.1,0.4,1,Liga_nos
Tim Söderström,0.8,0.8,0.8,-,0.7,0.5,-,-,Liga_nos
Paulinho,0.8,0.4,1.1,0.3,0.9,0.3,0.1,1,Liga_nos
Matchoi Djaló,0.7,-,-,-,-,0.3,-,-,Liga_nos
Hugo Marques,-,-,0.2,-,0.5,-,-,-,Liga_nos
Miullen,-,-,0.8,-,0.1,-,-,-,Liga_nos
Guilherme Schettine,0.1,0.1,0.5,-,-,0.2,-,-,Liga_nos
Cristian Tassano,1,-,0.5,-,4.5,0.5,0.5,-,Liga_nos
Marcelinho,-,-,-,-,-,-,-,-,Liga_nos
João Neto,0.3,0.2,1.5,-,0.5,-,-,-,Liga_nos
Tomislav Strkalj,0.1,0.1,0.4,-,0.2,0.1,-,-,Liga_nos
Miguel Bandarra,0.7,0.2,0.7,-,0.2,0.3,0.2,-,Liga_nos
Ivan Zlobin,-,-,-,-,0.8,-,-,-,Liga_nos
Pedro Marques,-,-,-,-,-,-,1,-,Liga_nos
Mamadou Loum,-,-,0.7,-,0.3,-,-,-,Liga_nos
Marcello Trotta,0.3,-,1,-,-,-,-,-,Liga_nos
Edi Semedo,-,-,0.5,-,0.2,-,-,-,Liga_nos
Marco Matias,0.4,0.2,0.8,-,0.1,0.2,0.1,-,Liga_nos
Dário Essugo,-,-,-,-,-,-,-,-,Liga_nos
Kibe,-,-,2.5,-,-,-,0.5,-,Liga_nos
Romário Baró,0.2,0.2,0.4,-,0.1,0.4,-,-,Liga_nos
Mabrouk Rouai,1,0.3,1,-,0.8,0.7,0.2,-,Liga_nos
Diogo Teixeira,-,-,-,-,-,1,-,-,Liga_nos
Adriano Castanheira,0.3,0.1,0.4,0.1,0.2,0.3,-,-,Liga_nos
Riccardo Piscitelli,-,0.1,0.2,-,1.5,0.1,-,-,Liga_nos
Júnior Brandão,0.4,-,0.5,0.1,0.5,0.2,-,-,Liga_nos
Kuku Emmanuel Fidelis,0.2,-,0.3,-,-,0.2,-,-,Liga_nos
Rodrigo Martins Gomes,-,-,0.3,-,-,0.3,-,-,Liga_nos
Noah Jean Holm,0.1,-,0.4,-,0.1,0.1,0.1,-,Liga_nos
Fernando Medeiros,0.3,-,0.4,-,-,-,-,-,Liga_nos
André Paulo,-,-,-,-,1,-,-,-,Liga_nos
Musa Juwara,-,-,-,-,-,-,-,-,Liga_nos
Lyle Foster,0.2,0.2,0.4,-,-,0.4,-,-,Liga_nos
François-Xavier Fumu Tamuzo,0.3,0.1,0.4,-,0.1,0.6,-,-,Liga_nos
Renan,0.5,-,0.8,-,0.1,0.1,-,-,Liga_nos
Lucas Silva,0.3,0.2,0.5,-,0.3,0.2,-,-,Liga_nos
Bruno Moreira,-,0.3,0.8,-,-,0.1,-,-,Liga_nos
Walterson,1,0.5,2,-,1,-,-,-,Liga_nos
Richard Rodrigues,0.4,0.2,0.5,-,0.1,0.8,-,-,Liga_nos
Rubén Oliveira,0.3,-,-,-,-,-,-,-,Liga_nos
Martín Calderón,0.4,-,0.5,-,0.3,0.3,-,-,Liga_nos
Tiago Morais,0.5,-,0.5,-,-,0.3,-,-,Liga_nos
Rui Fonte,-,-,0.2,-,0.4,-,-,-,Liga_nos
Rúben Fonseca,0.3,-,0.7,-,-,0.3,-,-,Liga_nos
Iván Marcano,-,-,-,-,-,-,-,-,Liga_nos
Jota Gonçalves,-,0.3,0.3,-,0.8,0.5,0.3,-,Liga_nos
José Marcelo,-,-,-,-,-,-,-,-,Liga_nos
Mile Svilar,-,-,-,-,-,-,-,-,Liga_nos
Alhassan Wakaso,0.1,0.1,1,0.1,0.1,0.4,-,-,Liga_nos
Carlos Vinícius,-,-,-,-,-,-,-,-,Liga_nos
Chima Akas,1,-,1,-,0.5,-,-,-,Liga_nos
David Tavares,0.3,0.1,0.7,-,-,0.1,-,-,Liga_nos
Lucas Marques,-,-,-,-,-,-,-,-,Liga_nos
Robinho,0.5,-,1,-,-,1,-,-,Liga_nos
Alvarinho,-,0.3,0.3,-,0.3,-,-,-,Liga_nos
Ricardo Ferreira,-,-,-,-,-,-,-,-,Liga_nos
Sori Mané,-,-,-,-,0.5,-,-,-,Liga_nos
Joel Sousa,-,-,-,-,-,-,-,-,Liga_nos
Diogo Silva,-,-,-,-,0.3,-,-,-,Liga_nos
Gustavo Viera,-,-,-,-,-,-,-,-,Liga_nos
Zé Oliveira,-,-,-,-,-,-,-,-,Liga_nos
Léo Vieira,-,-,-,-,-,-,-,-,Liga_nos
Bracali,-,-,-,-,-,-,-,-,Liga_nos
Caju,-,-,-,-,-,2,-,-,Liga_nos
Nilton Varela,0.2,-,0.6,0.2,-,0.2,-,-,Liga_nos
Alejandro Gómez,0.4,1.4,0.9,-,2.3,0.6,-,-,Liga_nos
Lee Seung-Woo,0.3,-,1,-,-,-,-,-,Liga_nos
Dani Morer,1.3,0.3,1.3,-,0.4,0.4,0.1,-,Liga_nos
Ahmed Isaiah,-,-,-,-,-,-,-,-,Liga_nos
Vladan Danilovic,0.9,0.3,1,-,0.6,1.3,0.1,-,Liga_nos
Facundo Ferreyra,-,-,1,-,-,-,-,-,Liga_nos
Cristián Borja,0.5,-,1,-,-,0.5,-,-,Liga_nos
Manuel Namora,-,-,-,-,1,-,-,-,Liga_nos
Abdul Wahab Ibrahim,-,1,-,-,1,-,-,-,Liga_nos
Abou Ouattara,-,-,-,-,-,-,-,-,Liga_nos
Edgar Pacheco,-,-,-,-,-,-,-,-,Liga_nos
Sassá,0.4,-,1.1,-,0.3,-,-,-,Liga_nos
Toni Martínez,-,-,-,-,-,-,-,-,Liga_nos
Leandro Silva,-,-,1,-,-,-,-,-,Liga_nos
Tomás Silva,-,-,1,-,-,2,-,-,Liga_nos
Guilherme Oliveira,-,-,-,-,-,-,-,-,Liga_nos
Diogo Costa,-,-,-,-,-,-,-,-,Liga_nos
Vitor Oliveira,-,-,1,-,-,-,-,-,Liga_nos
Jorge Pereira,3,-,1,-,1,-,-,-,Liga_nos
Charles,-,-,-,-,2.3,-,-,-,Liga_nos
Quentin Beunardeau,-,-,-,-,-,-,-,-,Liga_nos
Sean Klaiber,4,4,0.5,-,2.5,-,-,-,Eredivisie
Dusan Tadic,0.9,0.4,0.7,-,0.3,0.4,-,-,Eredivisie
Sébastien Haller,1.2,0.4,1.4,-,0.9,0.9,0.1,-,Eredivisie
Steven Berghuis,0.8,0.5,0.5,-,0.2,1.1,-,-,Eredivisie
Oussama Tannane,0.9,0.2,1.7,-,0.1,1,0.1,-,Eredivisie
Adam Maher,2.8,1.8,1.8,-,1.4,1,0.4,-,Eredivisie
Gregoire Amiot,3,1,1,-,4,1,2,-,Eredivisie
Joey Veerman,1.9,1.1,0.7,-,1.1,1.6,0.2,-,Eredivisie
Donyell Malen,0.2,0.3,0.3,-,0.3,0.3,-,-,Eredivisie
Teun Koopmeiners,2.7,1.4,1,0.1,1.5,1.1,0.4,-,Eredivisie
Ajdin Hrustic,4,-,1,-,-,-,-,-,Eredivisie
Ibrahim Sangaré,3.5,2.1,1.4,-,1.6,0.8,0.3,-,Eredivisie
Georgios Giakoumakis,0.6,0.3,1.7,-,1.7,0.3,0.5,-,Eredivisie
Ryan Gravenberch,1.3,1.4,1.1,-,0.6,0.9,0.1,-,Eredivisie
Mario Götze,1.5,1.2,0.4,-,0.2,1.3,-,-,Eredivisie
Calvin Stengs,1.6,0.6,0.9,-,0.4,1,0.1,-,Eredivisie
Jesper Karlsson,0.5,0.5,0.3,-,0.2,0.8,-,-,Eredivisie
Vaclav Cerny,1.3,0.4,0.8,-,0.4,1.6,-,-,Eredivisie
Davy Klaassen,1.2,0.6,1.2,-,0.6,1,0.1,-,Eredivisie
Cody Gakpo,0.9,0.4,0.9,-,0.4,0.3,-,-,Eredivisie
Abdou Harroui,3.1,1,1.1,-,0.6,1.5,0.2,-,Eredivisie
Gyrano Kerk,0.7,0.6,1.6,-,0.1,0.6,0.1,-,Eredivisie
Vangelis Pavlidis,1.1,0.4,0.8,-,1.1,0.9,0.1,-,Eredivisie
Marcos Senesi,2.5,2.4,1.4,0.6,3.7,1.1,0.7,1,Eredivisie
Fredrik Midtsjø,2,2,1.1,0.1,0.9,1.5,0.2,-,Eredivisie
Silvester van der Water,1.2,1,0.7,-,0.2,0.7,0.1,-,Eredivisie
Philipp Max,1.9,0.8,0.6,0.1,1.1,1.3,-,-,Eredivisie
Nicolás Tagliafico,2,1.9,1.5,0.2,1.2,1,0.1,-,Eredivisie
Jacob Rasmussen,1.8,2.1,0.5,0.5,3.4,0.4,0.6,-,Eredivisie
Jens Toornstra,1.1,1.3,0.5,0.1,0.6,1.2,0.3,-,Eredivisie
Eran Zahavi,0.8,0.4,0.8,-,0.3,0.5,-,-,Eredivisie
Rai Vloet,1.1,0.3,0.9,-,1,0.8,-,-,Eredivisie
Olivier Boscagli,1.4,2.8,0.7,0.1,2.6,0.9,0.4,-,Eredivisie
Zian Flemming,1,0.6,1.5,-,1.7,0.8,0.2,-,Eredivisie
Antony,0.7,0.2,0.4,-,0.1,0.6,-,-,Eredivisie
Denzel Dumfries,1.5,1.6,1.5,0.1,1.8,0.8,0.3,-,Eredivisie
Maximiliano Romero,-,-,-,-,-,-,-,-,Eredivisie
Lennart Thy,0.5,0.2,0.4,-,0.6,0.4,-,-,Eredivisie
Henk Veerman,0.5,0.1,0.8,-,1.8,0.5,0.2,-,Eredivisie
Gabriel Gudmundsson,2.2,0.7,1.2,0.1,1.6,1.3,-,-,Eredivisie
Myron Boadu,0.5,0.1,0.9,-,0.2,0.4,0.1,-,Eredivisie
Sergio Peña,1.8,0.7,1,-,0.4,1.6,0.1,-,Eredivisie
Lisandro Martínez,1.2,1.1,0.8,0.3,1.9,0.3,0.4,-,Eredivisie
Daley Blind,1.2,1.5,0.7,0.7,1.2,0.8,0.4,-,Eredivisie
Sander van de Streek,1.7,0.7,0.8,-,0.8,1.2,0.2,-,Eredivisie
Owen Wijndal,1.8,1.7,0.5,0.2,1.6,0.6,0.2,-,Eredivisie
Noussair Mazraoui,1.8,1.5,0.6,-,1,0.5,0.2,-,Eredivisie
Kenneth Paal,1.9,1.8,0.9,0.2,2.3,0.8,0.2,-,Eredivisie
Eric Botteghin,1.5,2.1,0.9,0.3,3,0.6,0.6,-,Eredivisie
Virgil Misidjan,1.2,0.6,1.1,-,0.1,0.5,-,-,Eredivisie
Pawel Bochniewicz,1.9,2,0.9,0.3,5.4,0.7,0.7,-,Eredivisie
Edson Álvarez,1.8,1.4,1.3,-,1.2,1.2,0.2,-,Eredivisie
Mickael Tirpan,1.3,2.9,0.6,0.8,3.1,0.6,0.4,-,Eredivisie
Lutsharel Geertruida,2.7,0.8,0.8,0.1,1.5,0.6,0.2,-,Eredivisie
Ahmed El Messaoudi,1.1,1.1,1.7,-,0.5,0.6,0.1,-,Eredivisie
Lassina Traoré,0.2,0.1,1,-,0.3,0.3,-,-,Eredivisie
Jonathan Mulder,2,1,-,-,5,-,-,-,Eredivisie
Riechedly Bazoer,1.1,1.5,0.9,0.1,1.2,0.6,0.6,-,Eredivisie
Albert Gudmundsson,0.8,0.6,0.6,-,0.1,1.1,-,1,Eredivisie
Jurriën Timber,1.7,1.5,0.5,0.4,1.7,0.5,0.4,-,Eredivisie
Kostas Lamprou,0.1,-,-,-,0.6,0.1,-,-,Eredivisie
George Cox,1.8,2.4,0.6,0.4,2.3,0.7,0.3,-,Eredivisie
André Onana,-,-,-,-,0.4,-,-,-,Eredivisie
Klaas Jan Huntelaar,0.3,0.1,0.1,-,0.1,0.3,-,-,Eredivisie
Sean Klaiber,1.4,1.3,0.7,0.1,0.5,0.5,0.1,-,Eredivisie
Bart Nieuwkoop,2.7,2.4,0.9,-,1.5,0.9,0.1,-,Eredivisie
Jan Paul van Hecke,1.8,2,1.2,0.6,3.6,0.5,1.1,-,Eredivisie
Tommy St. Jago,1.9,1.3,0.8,0.3,3.2,0.5,1,-,Eredivisie
Devyne Rensch,1.9,1.6,0.6,0.1,0.8,0.7,0.1,-,Eredivisie
Mike Trésor,1.2,0.7,0.5,-,0.3,0.6,-,-,Eredivisie
Ko Itakura,1.4,2,0.7,1,4.2,0.3,0.6,1,Eredivisie
Azor Matusiwa,2.2,2.7,0.8,0.3,1,0.7,0.5,-,Eredivisie
Maarten Stekelenburg,-,0.2,-,-,0.6,-,-,-,Eredivisie
Luis Sinisterra,0.9,0.4,0.7,-,0.6,1,-,-,Eredivisie
Dirk Abels,2.1,1.8,0.5,0.1,2.5,1.2,0.4,-,Eredivisie
Queensy Menig,1.3,0.5,0.8,-,0.1,1,-,-,Eredivisie
Jørgen Strand Larsen,0.3,0.2,1.3,-,1,0.6,-,-,Eredivisie
Maximilian Wittek,2.8,1.2,0.9,0.1,1.2,1.8,0.2,-,Eredivisie
Ridgeciano Haps,1,1.2,0.5,-,0.8,0.5,-,1,Eredivisie
Jonas Svensson,1.5,1.2,0.9,0.2,1.5,0.8,0.1,-,Eredivisie
Laros Duarte,1.5,0.7,0.8,-,0.9,1,-,-,Eredivisie
Eli Dasa,1.9,1.6,0.6,0.1,1.3,0.9,0.2,-,Eredivisie
Miguel Araujo,1.8,1.8,0.4,0.5,4.2,0.5,1.1,-,Eredivisie
Mohammed Kudus,1.2,0.4,0.9,-,0.1,1.2,-,-,Eredivisie
Django Warmerdam,2.5,1.6,0.5,0.1,1.2,0.7,0.3,-,Eredivisie
Robin Pröpper,1.2,1.4,1.2,0.3,3.4,0.7,0.9,-,Eredivisie
Noni Madueke,0.3,0.1,0.3,-,0.1,0.3,-,-,Eredivisie
Benson Manuel,1.2,0.2,0.4,-,0.2,0.7,0.1,-,Eredivisie
Xandro Schenk,1,1.3,0.7,1,4.7,0.7,0.3,-,Eredivisie
Milan van Ewijk,3.4,1.8,0.9,0.2,3.2,0.9,0.8,-,Eredivisie
Ahmed Touba,1.2,2.1,1,0.7,3.7,0.6,0.8,-,Eredivisie
Jordy Clasie,1.1,0.6,0.3,-,1.5,0.5,0.3,-,Eredivisie
Bart van Hintum,1.5,1.9,0.7,0.2,2.5,1.1,0.8,-,Eredivisie
Willem Janssen,1.1,2,0.9,0.2,2.6,0.1,0.8,-,Eredivisie
David Neres,0.8,0.4,0.3,-,-,0.7,0.1,-,Eredivisie
Ryan Thomas,1.4,1.3,0.4,-,0.8,0.9,0.1,-,Eredivisie
Bart Vriends,1.7,2,1,0.7,4.3,0.8,0.6,-,Eredivisie
Quincy Promes,0.7,0.2,0.2,-,0.1,0.3,0.1,-,Eredivisie
Tibor Halilovic,1.2,1.1,0.4,-,0.7,0.8,0.2,-,Eredivisie
Mats Seuntjens,1.6,0.4,1.6,-,1.2,1.4,0.2,-,Eredivisie
Hidde ter Avest,1.5,1.6,0.8,0.2,1.6,0.5,0.2,-,Eredivisie
Glenn Bijl,2.8,1.4,1.5,0.2,2.4,1.1,0.2,-,Eredivisie
Sondre Tronstad,2.7,2,1,-,0.8,1.6,0.3,-,Eredivisie
Danilho Doekhi,2,1.6,0.8,0.6,2.9,0.6,0.4,-,Eredivisie
Justin Bijlow,0.1,0.1,0.1,-,0.5,-,-,-,Eredivisie
Jeff Hardeveld,3.2,3.1,0.5,0.1,2,0.5,0.1,-,Eredivisie
Sai van Wermeskerken,2,1.4,0.9,-,2.2,0.8,0.1,-,Eredivisie
Danilo,0.5,0.2,0.5,-,0.5,0.5,-,-,Eredivisie
Julio Pleguezuelo,1.4,2.1,1.2,0.9,4.8,0.5,0.5,1,Eredivisie
Perr Schuurs,1.2,1.1,0.8,0.5,1.7,0.6,0.2,-,Eredivisie
Pablo Rosario,2,1.8,1.6,-,0.7,1.3,0.3,-,Eredivisie
Lisandro Semedo,1.1,0.5,0.4,-,0.4,0.8,0.1,-,Eredivisie
Loïs Openda,0.5,0.3,1,-,0.1,0.5,-,-,Eredivisie
