Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Ismaila Soro,1.8,1.3,1.2,-,0.6,0.9,-,-
Adrián Spörle,1.8,1.1,1.1,-,0.4,0.8,0.2,-
Chris Burke,0.4,0.4,0.4,-,0.2,0.4,-,-
Zdenek Zlamal,-,-,-,-,1.3,-,-,-
Kirk Broadfoot,0.7,1.3,1,0.6,3.2,0.4,0.7,-
Ofir Marciano,-,-,-,-,0.5,-,-,-
Alistair McCann,2.7,1.5,1.6,-,0.8,1.8,0.3,-
Julien Serrano,1.9,1.1,1.2,0.3,2,0.9,-,-
Jamie Murphy,0.9,0.2,0.3,-,0.4,0.3,-,-
David Gray,2.5,1.5,0.5,-,2.5,1.5,0.5,-
Liam Craig,1.1,1.3,0.6,-,1.8,0.3,0.3,-
Daryl Horgan,0.8,0.4,0.4,0.2,1,0.2,-,-
Bevis Mugabi,1.3,1.1,0.9,0.4,5.5,0.1,0.7,-
Stuart Findlay,0.7,0.8,0.5,0.9,4.3,0.2,1,-
Mark Reynolds,1.4,1.3,0.8,0.9,4.9,0.5,0.5,-
Ross Callachan,2.1,0.7,1.5,-,0.9,0.9,0.2,-
Jay Emmanuel-Thomas,0.3,0.1,0.5,-,0.8,0.2,-,-
Allan Campbell,2,1.3,1,-,0.8,0.6,0.7,-
Lawrence Shankland,0.5,0.2,1.3,-,1,0.5,0.2,-
Gary Dicker,2.7,1.2,1.4,-,1.5,2,0.2,-
Jamie Robson,1.8,1.4,0.9,0.1,2.4,0.8,0.4,-
Dean Lyness,-,-,-,-,1,-,-,-
Jordan Roberts,0.8,0.2,2.3,0.2,0.2,1,-,-
Shaun Rooney,1.2,1.1,0.8,0.1,1.9,0.9,0.3,-
Robbie Crawford,1.8,1.8,0.7,-,1.8,0.8,0.3,-
Aaron Martin,1,1.2,1.4,0.8,5.4,0.5,0.9,-
Aaron McGowan,0.9,1.4,0.8,0.1,1.4,0.2,0.5,-
Keith Watson,0.8,1,0.7,1.2,4.5,0.3,0.6,-
Marcus Fraser,2,1.1,0.9,0.1,2.4,0.9,0.5,-
Ryan Fulton,0.1,-,-,-,0.9,-,-,-
Richard Tait,1.1,1.4,0.9,0.2,1.8,0.4,0.3,-
Mark O'Hara,1.2,1,1.1,-,1.8,0.5,0.4,-
