Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Elías López,4,2.7,2.3,-,0.7,0.3,-,-
Lucas Martínez Quarta,1.8,1.7,1.9,0.7,3.6,0.4,0.3,1
Sebastián Villa,0.9,0.6,1.5,-,0.1,0.4,-,-
Angelo Gabrielli,1.5,1.5,1.5,0.2,1.8,0.8,0.2,-
Juan Sánchez Miño,2.4,1,1,-,1.1,1.2,0.2,-
Gastón Silva,2.4,1.8,0.3,0.1,3.2,0.5,0.3,-
Nicolás Figal,1.2,1.5,1.6,0.4,3,0.4,0.5,-
Juan Kaprof,0.9,0.2,1.6,-,-,0.5,0.1,-
Matías Pérez,1,2,1,1,4,-,-,-
Rubén Botta,-,-,1,-,-,-,-,-
Jerónimo Cacciabue,2.8,1,1.6,-,1,1.1,0.1,-
Emanuel Brítez,2.9,2,1.6,0.3,2.9,0.5,0.6,-
Santiago Silva,0.6,0.3,1.7,0.1,1,0.3,0.1,-
Julián Fernández,4,1.3,2,0.1,1.6,1.7,0.3,-
Gonzalo Rodríguez,1.3,1.7,0.9,0.8,5.9,0.4,0.7,-
Sebastián Palacios,0.7,-,0.8,-,-,0.8,-,-
Matías Zaracho,2.5,1.2,2,-,0.3,2,0.3,-
Juan Bolado,0.3,-,-,-,1.8,-,-,1
Braian Cufré,2.4,1.3,0.9,0.3,2.1,1.2,0.2,-
Sebastián Torrico,-,-,-,-,0.6,-,-,-
Gabriel Carabajal,1.3,0.1,0.7,-,0.6,0.8,-,-
Matías Laba,1,5,1,-,1,1,-,-
Bruno Pittón,2.4,1.1,0.9,0.3,1.9,0.8,0.2,-
Matías Melluso,4,2.5,2.2,0.4,1.3,1.8,0.4,-
Cristian Tarragona,1.5,0.3,2.3,-,0.7,0.9,0.1,-
Ezequiel Piovi,4.8,1.4,2.1,0.1,0.7,1.8,0.3,-
Reinaldo Lenis,1.7,0.5,0.8,-,0.5,1.2,-,-
Lucas Janson,1,0.4,0.7,-,0.6,0.7,-,-
Iván Pillud,1.8,0.7,1,0.4,1.8,0.9,0.1,-
Mauricio Martínez,0.9,1.8,0.5,0.5,1.9,0.9,0.5,-
Nahuel Molina,1.3,1.3,0.1,0.1,2.1,0.8,0.2,1
Carlos Auzqui,2.1,0.7,1.5,-,0.5,1.3,-,-
Leandro Marín,3.3,1.9,0.8,0.5,4.7,1.3,0.5,-
Nicolás Femia,1,1.5,2,0.5,-,-,0.5,-
Nahuel Bustos,0.5,0.2,1,0.1,0.6,0.7,-,-
Jorge Rodríguez,2.5,1.5,1.4,0.1,1.7,1.2,0.3,-
Bruno Bianchi,2.2,1.3,1.3,0.7,4.3,1.1,0.5,-
Pablo Becker,1.5,0.5,0.5,-,0.5,1,-,-
Óscar Romero,1.4,0.4,0.6,-,0.3,1.1,-,-
Gonzalo Jara,2.2,2,0.8,0.5,3,0.2,0.5,-
Enrique Bologna,0.5,-,-,-,-,0.5,-,-
Milton Casco,1.6,0.8,1.1,0.1,0.9,0.9,0.1,-
Emanuel Iñiguez,3.6,1.6,1,0.3,2.5,1,-,-
Lucas Vera,1.2,1.2,0.8,-,0.5,1,0.1,-
Julio González,2.5,1.3,1.4,0.2,4.3,0.9,0.3,-
Alexander Bernabei,1.8,1.3,1.1,0.2,0.4,1.3,0.2,-
Richard Prieto,2.5,0.5,2,-,1,1.5,-,-
Jesús Dátolo,0.6,0.2,1.4,-,0.2,0.6,0.2,-
Exequiel Palacios,2.4,0.7,0.9,-,0.3,1.9,-,-
Agustín Rossi,0.1,-,-,-,0.7,-,-,-
Gianluca Ferrari,1.8,1.5,0.7,0.7,4.8,0.3,0.3,-
Facundo Sánchez,1.8,1.5,1.2,0.2,2.2,1.3,0.5,-
Cain Fara,2.6,1.4,2.1,0.3,2.7,0.7,0.3,-
Mariano Bareiro,2.7,2.5,1.5,0.2,3.7,1.2,0.6,-
Javier Toledo,0.9,-,2.8,0.1,0.9,0.6,0.1,-
Facundo Quignón,3.8,1.3,1.9,0.1,1.8,2.1,0.2,-
Tomás Pochettino,1.6,0.4,0.4,-,0.4,1.4,-,-
Cristian Vega,3.6,1.5,1.7,0.1,1.7,2.7,0.1,-
Lucas Rodríguez,2.9,1,1.1,-,0.4,1.3,-,-
Alejandro Donatti,0.6,1.1,0.5,0.6,5.5,0.5,0.4,-
Víctor Salazar,1.8,0.8,0.6,0.2,1.2,1.2,-,-
Alexander Barboza,1,2.2,1.6,1.1,4.2,0.7,0.4,-
Julio Buffarini,2.1,1.1,1.2,0.3,1.2,1.5,0.4,-
Leandro Contín,0.9,0.2,1.5,0.1,1,0.7,0.1,-
Santiago García,0.1,-,1.2,-,0.7,0.2,0.2,-
Wilder Cartagena,3,1.5,3,-,2,0.5,-,-
Christian Chimino,3.1,1.5,1.5,0.4,3.5,1.5,0.4,-
Maximiliano Lovera,-,0.3,0.3,-,-,0.8,-,-
Eric Ramírez,1.6,0.8,0.9,-,-,1.3,-,-
Claudio Corvalán,2.2,2.4,0.8,0.3,2.4,0.4,0.4,-
Mauro Pittón,0.7,0.7,0.7,-,-,-,1,-
Manuel Castro,1.6,0.9,1.1,-,1.1,1.1,0.1,-
Lucas Hoyos,-,0.1,-,-,1.2,0.1,-,-
Santiago Sosa,4.5,0.5,2,-,1,2,-,-
Lautaro Valenti,1.8,1,1.2,0.9,4.6,0.3,0.7,-
Iván Marcone,3.1,1.4,1.6,-,1,1.5,0.4,-
Leonel Miranda,1.7,1.3,0.9,-,0.7,1.7,-,-
Mauro Zárate,0.5,0.2,0.4,-,0.1,0.1,-,-
Jonathan Cabral,2.3,1.8,0.8,1.1,3.7,0.8,0.5,-
Silvio Romero,0.3,0.2,0.9,-,0.2,0.6,-,-
Franco Fragapane,1.2,0.5,0.8,-,0.1,1.1,-,-
Lisandro Alzugaray,1,0.6,0.6,0.1,0.2,1.2,0.1,-
Maximiliano Coronel,1.7,2.3,1.1,0.6,3.6,0.6,0.4,-
Santiago Hezze,2.3,1.7,1,-,1.3,1.7,-,-
Juan Lucero,0.5,0.3,0.7,-,0.4,-,-,-
Mauro Formica,1.5,0.9,1.6,-,0.4,0.9,0.2,-
Rafael Delgado,3.1,1,0.6,-,2.6,1.6,1,-
Jesús Soraire,2,1.6,1.5,-,0.6,2,0.2,-
Agustín Urzi,2.2,0.7,2.1,0.1,0.3,1.1,0.2,-
Gabriel Carrasco,1.9,1.9,0.6,0.1,5,1,0.1,-
Marcos Rojo,2,3,3,-,-,1,-,-
Fernando Pellegrino,-,0.3,-,-,1.3,0.3,-,-
Harrinson Mancilla,2.6,2.1,3.3,-,0.9,1.7,0.3,-
Adolfo Gaich,0.3,-,1.3,-,0.7,0.2,0.1,-
Emiliano Méndez,2.2,1,1.3,0.1,1.4,1.3,0.2,-
Oliver Benítez,1.9,1.9,1,0.1,3.7,0.3,0.6,-
Diego González,1.9,1,0.3,-,0.6,1,-,-
Jorge Broun,-,0.1,-,-,0.7,-,-,-
Daniel Sappa,-,0.1,-,-,0.8,0.1,-,-
Nahuel Tenaglia,2.2,1.9,1,0.8,2.5,1.4,0.2,1
Mateo Carabajal,2.1,1.6,0.8,0.3,2.9,0.3,0.6,-
Jonathan Bay,2.5,1.7,1.1,0.1,1.4,0.9,0.2,-
Domingo Blanco,1.6,0.3,0.8,0.1,0.6,0.9,0.1,-
Nery Domínguez,2,1.5,0.7,0.5,2.5,0.9,0.4,-
Walter Bou,0.8,0.6,1,-,0.4,0.7,0.1,-
Federico Gino,2.2,1,1.6,-,1.1,1.4,0.5,-
Gonzalo Bettini,2.5,0.9,0.5,0.2,1.4,1.4,0.2,-
Alan Franco,1.2,1.5,1,0.6,3.7,0.6,1.1,-
Cesar Ibañez,3.9,1.3,1.9,0.3,1.6,3.2,0.1,-
Fabio Pereyra,1.3,1.3,0.9,0.9,6,0.7,0.7,-
Ignacio Piatti,0.7,1,0.7,-,0.3,1,-,-
Lucas Romero,2.5,1.8,0.8,-,1.3,1.6,0.6,-
Thiago Almada,0.9,0.2,0.5,-,0.1,0.8,-,-
David Barbona,0.9,0.4,0.9,-,0.3,0.9,-,-
Marcos Senesi,1,0.3,1.8,0.5,4.5,1.3,0.8,-
Diego Novaretti,1.5,1.7,0.9,0.1,4.4,0.8,1.1,-
