Name,KeyP,AvgP,Crosses,LongB,ThrB
Gian-Luca Waldschmidt,1.1,19,0.3,0.5,0.1
Lucas Possignolo,0.2,47.3,-,4.6,-
Chancel Mbemba,0.3,58.4,-,3.2,-
Filipe Augusto,0.6,55.3,0.1,3.1,-
Lourency,1,19.7,0.9,0.8,-
Yanis Hamache,0.8,18.8,0.9,0.8,-
Jovane Cabral,0.8,9.8,0.2,0.6,0.2
Miguel Cardoso,1,23.2,0.5,0.6,-
Pepelu,0.5,44.2,0.1,3.5,-
Morato,-,29.5,-,1.5,-
Fábio Cardoso,0.4,46.4,0.1,4.3,-
Raúl Silva,0.3,50.7,-,3.3,-
Luquinhas,1.7,22.9,1.4,0.8,0.1
Jonatan Lucca,1.2,24.1,1,2.4,-
Joel Pereira,0.8,39.5,0.7,5.1,0.1
Abdoulaye Ba,-,32.1,-,2.6,-
Jorge Silva,1.5,23.5,0.5,0.5,-
Léo Jardim,-,24,-,6.3,-
Pedro Marques,0.7,13.1,-,0.4,-
João Mário,0.5,14.3,0.1,0.4,-
Fransergio,0.7,33.9,0.2,2.4,0.1
Pelé,0.2,46.5,-,4.1,-
Nanu,0.3,29,0.2,0.7,0.1
Marcus Edwards,0.6,14.9,0.5,0.3,0.1
Lincoln,1.3,24.2,1.1,1.3,0.1
Mansur,0.3,38.4,0.2,2.1,-
Lucas Mineiro,0.2,27.4,-,2,-
Antonio Adán,-,27,-,4.8,-
Chidozie Awaziem,0.1,41,-,3.9,-
Pedro Nuno,1.5,20.2,1,1.3,0.2
Marco Baixinho,0.1,35.7,-,4.7,-
Mikel Agu,0.1,26.7,-,1.5,-
Eduardo Mancha,0.1,33.6,-,3.4,-
Agustín Marchesín,-,30.5,-,7.8,-
Jorge Fernandes,0.1,53.9,-,4,-
Toni Borevkovic,0.2,52.6,0.1,4.5,-
Srdjan Babic,0.1,57.2,-,3.4,-
Denis,-,36.9,-,7.2,-
Carlos Valenzuela,0.8,9.8,0.5,0.6,-
Marcelo,0.1,38.8,-,3.6,-
Gonçalo Ramos,0.3,7.5,-,-,-
Mikel Villanueva,0.1,47.2,-,5.1,-
Tomás Ribeiro,0.2,40,0.1,4.5,-
Jhon Murillo,0.9,23,-,0.7,-
Pedro Rebocho,0.9,31.5,1,2,-
Tiago Sá,-,28.5,-,6,-
Reggie Cannon,0.6,27.5,0.5,1,-
Kewin,-,24.5,-,5.5,-
Pedro Henrique,0.4,12.6,-,0.2,-
Jackson Porozo,0.1,16.8,-,0.4,-
Yan,1,18,0.4,0.9,-
Luiz Carlos,0.7,29.1,0.1,1.9,-
Gelson Dala,1.1,14.3,-,0.6,0.1
Jordi,0.1,24,-,5.7,-
Stefano Beltrame,0.3,13,0.3,0.3,-
Pedrão,0.2,41.8,-,2.6,-
Iván Jaime,0.8,15.3,0.4,0.5,-
Aylton Boa Morte,0.7,15.9,0.3,0.3,0.1
Nicolás Gaitán,1.8,16.2,1.3,1.2,0.1
Riccieli,0.2,43.3,-,3.1,-
Silvio,0.3,36.4,0.1,1.7,-
Yohan Tavares,-,49,-,3.1,-
Samuel Lino,0.3,18.4,0.1,0.5,-
Lazar Rosic,0.2,48.1,-,5.1,-
Mateus Pasinato,-,28.8,-,6.8,-
Filipe Soares,0.9,29.9,0.3,1.3,-
David Carmo,0.2,64.3,0.1,7.4,-
Rafik Guitane,1.1,21.2,0.2,0.8,0.1
Pawel Kieszek,-,30.5,-,6.4,-
Dudu,-,4,-,-,-
Anthony D'Alberto,0.3,28.7,0.2,1.6,-
Enzo Martínez,0.2,41,-,3.1,0.1
Samuel,0.1,36.2,-,9.5,-
Luiz Lúcio Reis Júnior,-,28.7,-,6,-
Fábio Coentrão,0.3,34.7,0.6,2.5,-
Ygor Nogueira,0.2,38,-,2.9,-
Rodrigão,0.2,37.7,-,2.9,-
Lucas Piazon,0.6,19.5,0.2,0.5,-
Afonso Taira,0.5,30.1,-,2.6,-
Andraz Sporar,0.4,9.3,0.1,0.1,-
Patrick Willian,0.2,43.8,-,4,-
Gonçalo Silva,0.2,36.9,-,3.1,-
Amine Oudrhiri,0.7,33.7,0.5,3.4,-
Júlio Romao,-,16.8,-,0.8,-
Walterson,0.7,18.6,0.2,0.7,-
Bebeto,0.5,27,0.4,1.5,-
Claude Goncalves,0.4,31.5,0.1,2.7,-
Mateo Cassierra,0.6,13.9,0.1,0.2,-
João Camacho,0.8,16.1,0.5,0.8,-
Cafu,0.3,27.2,0.1,1.1,-
Bruno Jordão,0.7,20.7,0.1,1.6,-
Matheus Clemente,1,15,-,1,-
Diogo Figueiras,0.7,32.5,0.5,1.7,-
Pedro Augusto,0.6,25.3,-,1.6,-
Adil Rami,0.1,33.5,-,4.3,-
Fali Candé,0.5,23.5,0.7,1.2,-
Cristián Borja,0.2,35.8,0.3,1.6,-
Fernando Fonseca,0.5,32.9,0.5,3.2,-
Hélder Ferreira,0.8,18.4,0.2,0.6,-
Joao Mendes,1,20.2,-,1.5,-
João Novais,1,23.2,0.6,2.5,0.1
Claudio Falcão,0.1,24.5,-,3.8,-
Bruno Miguel Rodrigues,0.2,58.2,-,2,-
Matheus Nunes,0.2,17,0.1,1,-
André Almeida,0.5,18.5,0.2,0.5,-
Shoya Nakajima,0.3,18.3,0.3,0.3,-
Antoine Leautey,0.8,13.9,0.4,0.6,0.1
Bruno Varela,-,28.1,-,7.1,-
Matheus,-,31.3,-,6.2,-
Henrique,0.2,34.7,-,3.2,-
Roberto Olabe,0.5,33.4,-,1.5,0.1
António Filipe,-,25.4,-,7.4,-
Diogo Leite,0.2,46.8,-,2.5,-
Steven Vitória,0.1,34.8,-,3.3,-
Abel Ruiz,0.6,12.3,-,0.1,-
Marcelo Hermes,1,25.4,1.3,1.6,-
Fabrício,0.5,14.8,0.4,0.5,-
Rúben Fernandes,0.2,46.4,0.1,3.8,-
Abdu Conté,0.8,35.1,1,2.1,-
Jean,0.2,21.5,-,2.7,-
Zié Ouattara,0.4,30.1,0.7,1.9,-
Filipe Ferreira,0.8,33.9,0.8,1.5,-
Beto,-,36.7,-,11.5,-
Afonso Sousa,0.7,19.5,0.3,0.6,-
Vincent Thill,0.7,16.1,0.5,0.8,0.1
Fábio Nunes,0.5,29.8,0.3,1.8,-
Pedro Mendes,0.4,14.8,0.1,0.1,-
Ruben Freitas,0.8,26.1,0.5,1.1,-
Ivo Pinto,0.5,30,0.6,1.2,-
Jhonata Robert,1,14.1,0.5,0.7,0.1
Brayan Riascos,0.4,15.1,0.1,0.8,-
Guga,0.7,32.8,0.4,2.8,0.1
Gonzalo Plata,0.2,10.4,0.2,0.2,-
Rafael Martins,0.5,11,-,0.1,-
Costinha,0.1,20.3,0.1,0.7,-
Rui Correia,0.2,37.7,-,5,-
Anderson Oliveira,0.6,17.8,0.2,0.7,-
João Afonso,0.2,28.3,-,2.7,-
Ricardo Alves,0.2,30.5,-,2.4,-
Felipe Pires,0.7,19.9,0.3,0.7,-
Abner Felipe,0.1,24.9,0.1,1.6,-
Sávio,0.8,26.3,0.7,1.9,-
Nuno Santos,0.5,28,0.1,2,-
Ewerton,0.9,24.8,0.4,1.5,0.1
Pedro Sá,0.1,23.2,-,1.6,-
Nikola Jambor,1,48.3,0.5,4.5,-
Daniel Bragança,0.3,17.5,-,0.9,-
Marco Pereira,0.1,32,-,8.8,-
Rashid,1.1,25.6,0.9,1.9,-
Diego Lopes,0.9,24.6,0.6,1.1,-
Francisco Moura,-,12.8,0.2,0.2,-
Anderson Silva,0.2,4,-,0.1,-
Pedro Pelágio,0.7,19.3,-,1,-
Diogo Salomão,0.7,16.1,0.5,0.5,-
Pedro Amaral,0.7,32.3,0.8,1.9,-
Nuno Tavares,0.6,27.6,0.7,0.9,-
Salvador Agra,1.3,22.2,0.9,0.8,-
Rafael Defendi,-,28.5,-,8.3,-
João Pedro,1,33.4,0.8,2.6,-
Larry Azouni,0.4,24.4,-,1.8,-
Bryan Róchez,0.3,9.8,-,0.2,-
Edgar Costa,0.9,16.6,1.2,1.1,-
Nuno Borges,0.4,39,0.1,3.8,-
Mohamed Diaby,0.1,12.1,-,0.8,-
Evanilson,0.5,6.3,0.1,0.1,-
Brian Mansilla,0.4,10.3,0.5,0.2,-
Francisco Geraldes,0.7,26.2,0.1,1.3,0.1
Rafael Camacho,0.3,13.2,-,0.3,-
Tomás Tavares,0.6,31.1,0.5,1.7,-
André Luis,0.5,10,0.1,-,0.1
João Afonso,-,22.2,-,2,-
Tiago Tomás,0.6,9.7,0.1,-,-
Reynaldo,-,7,-,-,-
Cristian Devenish,0.1,31.9,-,2.5,-
Malang Sarr,-,47.1,-,3,-
René,0.1,35.1,0.1,2.6,-
Koki Anzai,0.5,30.2,0.5,1.8,-
Jorge Correa,0.6,13.5,0.4,0.4,-
Yusupha Om Njie,0.2,7.2,-,0.1,-
Silvestre Varela,0.6,21.4,0.3,0.9,-
Jafar Salmani,0.5,8.1,0.4,0.3,-
André Pinto,0.1,27.2,-,3.3,-
Jardel,0.1,38.8,-,1.5,-
João Amaral,0.6,10.3,0.6,0.8,-
Lucas Piazon,0.4,22.3,-,0.5,-
Leandrinho,0.4,14.4,-,1.6,-
Vaná Alves,-,32,-,6,-
Fabio China,0.3,22.7,0.2,1.1,0.1
Joaquín Pereyra,0.9,23.3,0.5,1.6,-
Javi García,0.2,32.2,-,1.6,-
Babacar Niasse,0.1,28.6,-,6.4,-
Kenji Gorré,0.6,14.8,0.1,0.5,-
Jean Cléber,0.4,19.3,0.1,1.6,-
Yaya,0.3,30.1,-,1,-
Fábio Vieira,0.6,14.4,0.7,1.3,-
Abdel Jalil Zaim Idriss Medioub,0.6,35.3,-,2,-
Fabrício Isidoro,0.2,21.6,0.1,1.6,-
Alex Soares,0.6,27,0.1,2,0.1
Rolando,-,38.3,-,2.6,-
Nikola Stojiljkovic,0.1,9.1,-,0.2,-
Nélson Monte,0.1,26.7,0.1,2.4,0.1
Uilton,0.3,15.3,0.2,0.7,-
David Simão,0.9,21.6,1.1,2.1,-
Show,0.3,23.3,-,1.4,-
Easah Suliman,-,41.2,-,2,-
Antunes,0.3,14.5,0.5,0.9,-
Jaume Grau,0.2,34.3,-,2,0.1
Rafael Barbosa,0.7,19.9,0.3,1.3,-
Lucas Áfrico,0.2,37.6,-,2.6,-
Eber Bessa,0.6,11.7,0.6,0.9,-
Jaquité,0.2,13.8,-,1.2,-
