Name,KeyP,AvgP,Crosses,LongB,ThrB
Malvind Benning,1.1,33.7,1.1,2.2,-
Joshua Key,0.6,35.3,0.3,1.4,-
Cohen Bramall,1.4,39,1.7,2.7,-
Kyle Howkins,-,49.5,-,3.5,-
Conor McAleny,0.4,12.5,0.2,0.3,-
Kyle Knoyle,1.2,34.1,0.7,3.1,0.1
Stephen Quinn,1.5,36.3,0.5,1.6,0.1
Ryan Clampin,0.3,24.7,0.4,1.3,-
Liam Kinsella,0.6,32.2,0.2,1.2,-
Alex Gilliead,0.8,27.9,0.6,0.7,-
Liam Gibson,0.3,25.3,0.1,0.9,-
Sam Hart,0.7,26.2,0.9,2.3,-
Conor Thomas,0.9,39.6,0.2,2.7,-
David Stockdale,-,27.6,-,4.4,-
Charlie Carter,0.6,24.5,0.1,0.8,0.1
Liam Kitching,1.3,54.2,0.3,6.7,0.1
Luke Waterfall,0.1,40.8,-,4.2,-
Dan Jones,1.7,32.2,0.6,2.7,-
Davis Keillor-Dunn,1.4,27.9,0.4,1.8,-
Harry Clarke,0.3,43.5,0.1,5.2,-
Tom Parkes,0.1,42.7,-,3.7,-
Connor Wood,0.6,36.6,0.8,2.2,-
Luis Fernandez,-,35,-,3,-
Tom Clifford,0.9,27,0.8,1.9,-
Shaun Hobson,0.3,29.5,0.1,3.4,-
Aaron Collins,1.2,21.2,0.5,1.2,-
Rollin Menayese,0.3,36.3,-,3.1,-
Mark Beck,0.5,17.7,-,0.1,-
Joe Cracknell,-,31.6,-,13.3,-
Josh Doherty,0.6,30.9,0.6,2.7,-
Jon Mellish,0.9,19,0.1,0.4,-
Jamie Turley,0.1,41.2,-,2.3,-
Gethin Jones,0.9,37.3,0.6,1.1,-
Robbie Cundy,0.1,27.4,-,2.5,-
Cameron Borthwick-Jackson,0.6,30.6,0.3,2.9,-
Harrison Dunk,0.4,26,0.2,1.4,-
Kyle Jameson,0.3,33,-,3.1,-
Callum Harriott,1,21.8,0.6,0.9,0.1
