Name,KeyP,AvgP,Crosses,LongB,ThrB
Daniel Barlaser,1.6,30.8,1.7,3.7,-
Christian Kabasele,0.1,53,-,3.5,0.1
Bradley Johnson,0.6,39.6,0.2,2.7,0.1
Jefferson Lerma,0.8,46.4,0.1,2.5,0.1
Ken Sema,1.2,23.4,0.9,0.8,-
Jeremy Ngakia,0.4,29.4,0.3,2.4,-
Nathaniel Chalobah,0.3,33.4,-,1.6,0.1
Henrik Dalsgaard,0.6,41.2,0.5,3.4,-
Ben Brereton,1.1,15.9,0.1,0.5,0.1
Harry Toffolo,1.1,44.2,0.8,1.4,-
Callum Styles,0.8,29.6,0.5,1.3,-
George Saville,0.8,27.2,0.1,0.5,-
Mathias Jensen,1.5,36.3,1.3,4.2,0.1
Ben Davies,0.2,39.8,0.1,3.9,-
Nathan Collins,0.5,40.3,0.4,2.2,-
Lewis Cook,0.7,47.9,0.1,2.9,0.1
Daniel Ayala,0.1,48.6,-,3.4,-
Rico Henry,0.8,37.3,0.5,1.9,-
Sam Clucas,1.7,30.2,1.8,1,-
Julian Börner,0.3,41.5,0.1,2.4,-
David Brooks,1.1,28,0.5,1.3,0.1
Neeskens Kebano,1.2,17.1,1.1,0.3,-
Lewis O'Brien,1.1,39.8,0.2,0.9,0.1
Yannick Bolasie,0.5,14.9,0.4,0.3,-
Junior Stanislas,1.4,32,0.9,0.9,0.1
Nathan Byrne,1.4,38.7,1.4,2.5,-
Will Vaulks,1.1,33.5,0.6,2.7,-
Joe Lumley,0.2,28.8,-,6,-
Sammy Ameobi,0.6,27.5,0.4,0.9,-
Chris Martin,1.2,25,0.1,0.4,-
Pontus Jansson,0.3,57.4,-,2.3,-
Christian Nørgaard,0.7,51.7,0.1,3.1,-
Lyndon Dykes,0.8,19.1,0.1,0.3,-
Dominic Hyam,-,47.7,-,3.3,-
Sam Gallagher,0.6,13.6,0.1,0.3,-
Charlie Austin,0.5,16.2,0.1,1.6,-
Cameron Carter-Vickers,0.2,51.2,-,3.1,-
Kiko Femenía,0.8,45.1,0.8,2.4,-
Joshua Earl,0.4,26.8,-,1.2,-
Jay Fulton,0.4,27.3,0.1,0.7,-
Naby Sarr,0.2,63.3,-,5.3,-
Stefan Johansen,1.6,53.4,0.8,3.7,0.1
Tommy Smith,1.4,36.7,1.7,3.2,-
Lloyd Kelly,0.7,49,0.5,2.4,-
Marc Bola,0.7,31.1,0.4,2.4,-
Jordi Osei-Tutu,0.4,24.4,0.3,1.5,-
Joe Bennett,0.4,34.4,0.4,2.1,-
Ilias Chair,1.6,32.1,1.5,1.1,-
Louis Britton,-,5,-,-,-
James Chester,0.1,46.1,-,2.6,-
Felipe Araruna,-,34,-,1,-
Sepp van den Berg,0.4,28.5,0.2,1.5,-
Geoff Cameron,0.4,39.5,-,2.3,-
Craig Cathcart,0.2,45.8,0.1,4.1,-
Anfernee Dijksteel,0.3,27.7,-,2.6,-
Jake Bidwell,0.9,27,0.6,1,-
Christopher Schindler,0.1,44,-,1.4,-
Asmir Begovic,-,25.7,-,4.1,-
Conor Hourihane,0.9,31.9,0.6,2.4,-
Carlton Morris,0.5,15.3,-,0.4,-
Joe Worrall,0.3,42.3,-,3.9,-
Matty Pearson,0.2,39.4,0.1,3.1,-
Glen Rea,0.2,35,-,2.2,-
Colin Kazim-Richards,0.6,16.8,0.1,0.5,-
Jamal Lowe,0.5,18,0.1,0.3,0.1
Gustavo Hamer,1.5,41.8,1.3,3.2,-
Scott Wharton,0.1,43,-,3.3,-
Benjamin Whiteman,0.7,32.5,0.6,3,-
Harvey Elliott,1.7,35.3,0.5,2.6,0.2
Steven Fletcher,0.5,16.7,0.1,0.2,0.1
Scott McKenna,0.2,42.9,-,2,-
Darnell Fisher,0.8,22.5,0.8,1.6,-
Leo Østigard,0.2,38.4,-,3.4,-
Lukas Rupp,1,40.5,0.1,1.2,-
Tobias Figueiredo,0.2,44.3,-,3,-
Cauley Woodrow,1.1,25.5,0.2,0.7,-
Diego Rico,0.8,37.9,1,2.3,-
Andy Rinomhota,0.4,39.6,-,1.3,-
Pipa,0.9,37.3,0.3,2.4,0.1
Jonny Howson,0.6,38.3,0.1,3.1,-
Dillon Phillips,-,23.6,-,8.1,-
Sam Hutchinson,-,42,-,3.7,-
Mads Bech Sørensen,0.3,47.3,0.2,2.8,-
Tom Lawrence,0.8,24,0.7,0.7,-
James McClean,0.8,20.9,1.3,0.7,-
Samba Sow,0.3,28.2,0.1,0.7,-
Ryan Manning,0.7,30.4,0.4,1.1,-
Chris Mepham,0.2,54,-,3.2,-
Gaëtan Bong,0.6,28,0.7,1.4,0.1
Alex Pearce,0.2,33,-,2.5,-
Carel Eiting,1.3,35.2,0.3,1.5,0.1
Filip Krovinovic,1.4,32.3,0.3,1.1,-
Murray Wallace,0.5,33,0.2,1.3,-
Jack Simpson,-,39,-,2.8,-
Greg Cunningham,0.5,26.5,0.1,1.5,-
Marlon Pack,1,32.4,0.5,3.2,-
Seny Timothy Dieng,-,31.4,-,7,-
Sam Morsy,0.8,29.2,0.1,1.3,-
Liam Kelly,0.3,32.8,0.2,1.6,-
Callum Paterson,0.4,16.3,0.1,0.4,-
Lee Wallace,0.7,32.5,0.5,1.1,-
Achraf Lazaar,-,20,-,0.4,-
Caolan Boyd-Munce,1,18,1,2,-
Tom Trybull,0.2,36.5,-,1.9,-
Cheyenne Dunkley,0.2,21.3,-,0.6,-
Liam Moore,0.2,51.6,-,3.5,-
Josh Knight,0.3,25.5,0.1,3.3,-
Ciaron Brown,0.3,26.8,0.1,1.9,-
Marcus Browne,0.6,6.6,0.2,-,-
William Troost-Ekong,0.1,50.5,-,5.2,-
Anthony Knockaert,1.3,29.3,1.4,1.7,-
Ched Evans,0.9,21.3,0.1,0.7,-
Callum O'Hare,1.1,28.5,0.1,0.4,-
George Friend,0.1,30.9,-,1.7,-
Kasey Palmer,0.8,21.3,0.4,1,0.1
Matt Smith,0.4,9.1,-,-,-
Alfa Semedo,0.3,23.8,0.1,0.9,-
Ryan Nyambe,0.7,30.1,0.3,0.7,-
Joe Rothwell,0.9,32.4,0.2,2.5,0.1
Kyle McFadzean,0.3,37.8,-,3.5,-
Mario Vrancic,1,30.3,0.2,1.5,0.1
Lukas Jutkiewicz,0.4,15.5,-,0.3,-
Clark Robertson,0.6,17.3,0.2,1.3,-
Maxime Colin,0.7,29.2,0.6,1.9,-
Kyle Naughton,0.2,43.4,-,2.1,-
Anthony Stewart,0.2,22.6,-,2.3,-
Paul Huntington,-,28.2,-,2.1,-
Mahlon Romeo,0.4,29.3,0.8,1.4,-
George Evans,0.5,43.2,0.1,5.2,-
Michael Sollbauer,0.1,26.8,-,1.4,-
Daniel Bachmann,-,32.4,-,6.2,-
David Raya Martin,-,41.2,-,7.5,-
Daniel Iversen,-,29.3,-,7.6,-
Tommy Rowe,0.5,28.4,0.3,1.6,-
Curtis Thompson,0.5,22,0.1,1,-
Matt Crooks,0.8,22.4,0.1,0.8,-
Massimo Luongo,0.3,25.5,0.1,1,-
Tom Lockyer,0.3,37.9,0.2,2.8,-
Jamie Paterson,1.3,24.9,1,1.6,-
Maxime Biamou,0.6,12.6,0.1,-,-
John Swift,1.1,30.6,0.5,2.6,-
David Wheeler,0.3,14.7,-,0.4,-
Dominic Iorfa,0.2,28.3,0.1,1.1,-
Dan McNamara,0.8,27.1,0.5,1.3,-
Jonathan Hogg,0.3,58.1,-,3,-
Gary Gardner,0.7,23.4,0.5,1.4,-
Lewis Holtby,1.2,39.4,0.7,3.4,-
Viktor Johansson,-,28.8,-,10.7,-
Fraizer Campbell,0.6,14.5,0.1,0.4,-
Yuri Ribeiro,0.7,45.4,0.6,1.6,-
Famara Diédhiou,0.4,14.3,-,0.3,-
Osman Kakay,0.6,34.1,0.5,1.3,-
Kieran Dowell,1,16.6,0.5,0.2,0.2
Amari'i Bell,0.6,35.1,0.3,1.1,-
Jordan Smith,-,25,-,5,-
Lee Buchanan,0.4,32.1,0.3,1.5,-
Ben Foster,-,28.6,-,6.1,-
David Stockdale,0.2,36.6,-,11.6,-
Jamal Blackman,-,29.8,-,10.8,-
Jérémie Bela,1.3,18,1.3,0.8,-
George Edmundson,0.2,42.4,0.1,3.5,-
Jacob Sørensen,0.4,36.5,0.1,1,-
Tariqe Fosu-Henry,0.4,16.9,0.2,0.7,-
Adam Reach,0.8,30.2,0.7,1.7,-
Chris Willock,0.8,20.5,0.3,0.6,-
Jake Clarke-Salter,0.1,38.6,-,4.4,-
Carl Jenkinson,1.3,22,1,1.3,-
Wayne Rooney,2,50.8,1.1,5.2,0.1
Wes Harding,0.6,22.6,0.5,1.9,-
Dan Gosling,0.3,24.3,-,1.3,-
Rhys Norrington-Davies,0.4,36.4,0.4,1.6,0.1
Thomas Holmes,0.3,39.3,0.1,2.5,-
Matthew Olosunde,0.4,13.5,0.2,0.6,-
Adam Smith,0.7,35.5,0.2,1.2,-
Callum O'Dowda,0.7,24.9,0.5,0.8,-
James Collins,0.5,16.3,0.1,0.6,-
Sheyi Ojo,0.5,13.2,0.3,0.4,-
Jamie Lindsay,0.5,21,0.3,1,-
Maikel Kieftenbeld,0.3,28,-,1.5,-
Jason McCarthy,0.8,22.2,0.9,1.6,-
John Obi Mikel,0.3,37.3,-,1.8,-
Uche Ikpeazu,0.5,12,0.1,0.2,-
Kadeem Harris,0.7,15.1,0.7,0.6,-
Zak Vyner,0.1,34.2,-,2.7,-
Richard Wood,0.3,18.7,-,1.2,-
Tom Sang,0.7,25.7,0.4,1.9,0.2
Sam Field,0.2,28.5,-,0.5,0.1
David Junior Hoilett,0.8,16.9,0.1,0.7,-
Robert Glatzel,0.4,12.3,-,0.1,-
Jack Grimmer,0.5,21.5,0.6,1.5,-
Admiral Muskwe,0.5,9.1,-,0.2,-
Isaac Mbenza,1.2,19.8,0.8,0.9,-
Joel Bagan,0.6,23.6,0.3,2,-
Liam Palmer,0.5,26.4,0.4,1.8,-
Dennis Adeniran,0.2,18.2,-,1,-
Joe Lolley,0.9,17.8,0.4,0.7,-
Mason Bennett,0.6,15.7,0.1,0.2,-
