Name,KeyP,AvgP,Crosses,LongB,ThrB
Edu Expósito,1.4,34.4,0.8,2.4,-
José Gayà,1.1,35.5,0.5,2.2,-
Juan Foyth,0.2,43.3,0.1,1.8,0.1
Lucas Olaza,0.8,44.9,0.8,1.9,-
Jaume Doménech,-,28.1,-,9.4,-
Rubén Duarte,0.9,32.1,1.1,2.7,-
Yassine Bounou,-,28.7,-,6.1,-
Renan Lodi,0.5,25,0.7,1.2,-
Alfonso Espino,0.5,22.3,0.5,1.9,-
Marcelo,1,45.8,0.8,2,0.1
Andoni Gorosabel,0.7,34.4,0.6,1.1,-
Thierry Correia,0.6,32.3,0.4,2,-
Vicente Iborra,0.2,46,-,2.8,-
Marc Cucurella,1.1,29.8,0.7,0.8,-
Javier Ontiveros,0.9,21.4,0.5,0.9,0.1
Miguel Gutiérrez,0.7,38.2,0.3,0.5,0.2
Diego Carlos,0.2,56.9,-,4.6,-
Jorge de Frutos,1.1,15.9,0.5,0.6,-
José Luis Morales,0.9,16.4,0.5,0.8,0.1
Robin Le Normand,0.1,51.5,0.1,2.4,-
Asier Illarramendi,0.2,45,0.2,3,-
Aarón Escandell,-,29,-,8,-
Uros Racic,0.3,33.8,-,3.4,-
Etienne Capoue,0.2,47.6,-,1.5,0.1
Marco Asensio,0.9,25.5,0.6,0.9,-
Aïssa Mandi,0.1,54.3,-,3,-
José Mari,0.4,20.8,-,2.4,-
Djené Dakonam,0.2,29.6,-,2.5,-
Lucas Boyé,0.4,18.6,0.1,0.7,-
Nacho Monreal,0.4,37.6,0.2,1.3,-
Eden Hazard,0.4,23.9,0.1,0.6,-
Manu Trigueros,1,45.1,0.2,1.8,0.1
Miguel Ángel Rubio,-,26.5,-,3,-
Raúl García,0.6,23.4,0.5,0.8,-
Rubén Peña,0.3,24.9,0.4,0.7,-
Guido Carrillo,0.4,14.3,-,0.4,-
Iñaki Williams,0.8,13.6,0.3,0.2,-
Gonzalo Melero,0.7,35.6,-,1,-
Anaitz Arbilla,0.3,49.9,0.3,6.4,-
Edgar Badia,-,33.5,-,8.7,-
Kenedy,0.6,8.9,0.5,0.4,-
Joaquín,1.2,25,0.7,0.4,-
Alfonso Pedraza,0.9,32.1,0.9,0.6,-
Sergi Gómez,0.1,60.3,-,3.6,-
Álvaro Fernández,-,31.5,-,6.7,-
Ander Capa,0.6,30.5,0.3,1,-
Rodrygo,0.9,17.6,0.2,0.2,-
Victor Chust,-,37.5,-,2,-
Lucas Olaza,1.1,36.1,1.1,1.9,-
Marc Bartra,0.2,50.4,-,3.2,-
Jonathan Calleri,0.4,13.7,-,0.1,-
Carlos Clerc,0.7,38.1,0.5,1.7,-
Rubén Rochina,0.6,31.4,0.6,3.4,-
Neto,-,29.1,-,3.6,-
Lucas Pérez,1.9,18.4,1.8,0.9,0.1
Sergiño Dest,0.8,37.2,0.2,0.2,-
Carlos Akapo,0.2,18,0.2,0.8,-
Juan Miranda,0.5,32.5,0.4,0.9,-
Ilaix Moriba,0.5,26.4,-,0.4,-
Gonzalo Verdú,0.2,48,-,4.2,-
Marc-André ter Stegen,-,28.6,-,4.6,-
Víctor Ruiz,0.1,48,-,2.4,-
Álvaro Odriozola,0.6,27,0.7,0.8,-
Ramiro Funes Mori,-,47.7,-,2.2,-
Vinícius Júnior,0.9,21.1,0.2,0.3,-
Roque Mesa,0.6,34.7,0.4,2.2,0.1
Martín Zubimendi,0.2,35.8,-,2.1,-
Antonio Sanabria,0.2,13.6,-,0.3,-
Aleix Vidal,0.5,35.8,0.2,2.5,-
Óscar Plano,0.7,21.8,0.2,0.7,0.1
Lee Kang-In,0.9,20.8,0.3,1.8,0.2
Nemanja Maksimovic,0.5,21.7,0.3,0.9,-
Moi Gómez,0.9,35.5,0.3,1.5,-
Álex Fernández,0.9,31.8,1.1,1.8,-
Nacho Vidal,0.4,22.4,0.3,1.2,-
Joaquín Fernández,0.1,31,-,2.9,-
Sime Vrsaljko,-,25.1,0.3,0.8,-
Tete Morente,0.5,21.4,0.7,0.8,-
Cucho Hernández,0.9,20.3,0.3,0.7,-
Saidy Janko,0.5,22.4,0.6,0.9,-
Jeison Murillo,0.1,52.5,-,3.4,-
Ivan Rakitic,0.7,45.3,0.2,2.9,-
Roger Martí,0.5,15.2,0.1,0.5,0.1
Raúl García,0.4,16.4,-,0.6,0.1
Héctor Herrera,0.4,40.9,-,2.3,0.1
Íñigo Martínez,0.2,51.6,0.1,5.3,-
Clément Lenglet,0.3,69.7,-,2.8,-
Borja Iglesias,0.2,9.7,0.1,0.3,-
Ximo Navarro,0.3,25.5,0.4,1.5,-
Hugo Guillamón,-,47,-,4.2,-
Aarón Martín,0.3,35.4,0.2,1.1,-
Willian José,0.6,17.7,0.1,1.7,0.1
Esteban Burgos,0.1,39.6,-,6.3,-
