Name,KeyP,AvgP,Crosses,LongB,ThrB
Núrio Fortuna,0.5,46.4,0.3,2.8,-
Trent Sainsbury,0.2,40.9,-,3.6,-
Ritchie de Laet,0.1,50.7,0.1,3.7,-
Jonathan Buatu,0.2,46.5,-,2.6,-
Vaclav Jemelka,0.1,39.5,-,3.8,-
Dylan Ouédraogo,0.6,29.9,0.2,4.2,-
Jean-Luc Dompé,1.1,20.2,1.6,0.3,-
Mamadou Fall,0.9,19,0.3,0.3,-
Ortwin De Wolf,0.1,27.9,-,7.9,-
Kamal Sowah,1.2,38.2,0.3,1.6,-
Dorian Dessoleil,0.2,46.9,-,4.1,-
Omar Govea,1.6,45.9,1.2,3,-
Michael Ngadeu-Ngadjui,0.2,56.2,-,4.9,-
Hannes Delcroix,0.2,59.4,-,3.7,-
Jelle Bataille,1.6,33.6,1.2,1.7,-
Matt Miazga,0.2,55.3,-,3.5,-
Fashion Sakala,1.1,17.1,0.1,0.3,-
Nikola Storm,1.2,20.8,0.7,0.8,-
Giulian Biancone,0.8,48.9,0.5,3.2,0.1
Guillaume Gillet,0.4,41.4,-,3.4,-
Jordi Vanlerberghe,0.3,49.2,0.2,6.4,-
Sascha Kotysch,0.1,32.2,-,3.7,0.1
Daniel Schmidt,-,29.3,-,7.4,-
Faris Haroun,1,39.5,0.3,2.5,0.1
Laurens De Bock,1,50,0.6,4.2,-
Odilon Kossounou,0.3,47,0.1,3.7,-
Makhtar Gueye,0.6,15.7,0.1,0.4,-
Jhon Lucumí,0.4,58.9,-,6.3,-
Simon Mignolet,-,37.3,-,10.1,-
Sulayman Marreh,0.5,65.5,0.1,4.1,-
Pol García,1,57.9,0.9,4.9,-
Maxime Le Marchand,0.3,45.8,-,5.4,-
Lucas Rougeaux,0.5,38.8,-,3.4,0.1
Simen Juklerød,1.3,24.7,1.2,1,-
Gerardo Arteaga,0.6,32.7,0.7,1.6,-
Nicolas Raskin,0.9,37.3,0.4,2.2,0.1
Dino Arslanagic,0.3,41.3,-,4.3,0.1
Patrik Hrosovsky,0.6,55.3,0.3,4,0.1
Tahith Chong,1.1,17.9,0.2,0.7,-
Shamar Nicholson,0.5,17.1,-,0.4,-
Dylan Batubinsika,-,41.7,-,1.9,-
Emmanuel Agbadou,0.5,49.9,0.1,3,-
Igor de Camargo,0.6,14,-,0.1,-
Yannick Thoelen,-,32.1,-,7.3,-
Pierre-Yves Ngawa,-,23.9,-,2.3,-
Aleksandar Vukotic,-,38.8,-,4.7,-
Roman Bezus,1,25.6,0.1,1.5,0.1
Ilombe Mboyo,1.1,30.9,0.5,1.1,-
Mats Rits,0.7,38.5,0.2,3.2,-
Warleson,-,26,-,5.7,-
Martin Hongla,0.9,54.5,0.1,7,-
Kemar Lawrence,0.5,41.2,0.4,2.6,-
Ángelo Preciado,0.6,24.1,0.2,1.1,-
Michel Balikwisha,0.5,22,0.3,1,0.1
Adriano,1,41.9,0.8,3.6,-
Samuel Bastien,0.6,33.7,0.2,2.8,-
Konan N’Dri,0.7,17.7,0.3,0.3,-
Michael Krmencik,0.3,8.1,0.1,-,-
Musashi Suzuki,0.7,17.8,0.1,0.1,-
Sinan Bolat,-,28,-,7,-
Steve De Ridder,0.8,47.4,0.6,2.9,-
Dimitar Velkovski,0.6,34.2,0.5,1.9,-
Jelle Vossen,0.7,16.7,0.2,0.6,0.1
Kaveh Rezaei,0.8,18.7,-,0.2,0.1
Arnaud Bodart,0.1,29.1,-,5.7,-
Mehdi Carcela-González,1.1,20.3,0.6,1.4,0.2
Kristof D'Haene,0.9,38,1.1,3.6,-
Edo Kayembe,1,52.2,-,4.3,-
Yari Verschaeren,1.2,21.5,0.4,0.7,0.1
Joroen Dom,0.4,29.1,0.4,1.9,-
Federico Ricca,0.4,35.9,0.3,1.7,-
Sivert Heltne Nilsen,0.4,38.6,-,4.2,-
Daniel Opare,0.8,27.8,1,1.3,-
Elias Cobbaut,0.2,59.4,-,5.8,0.1
Jens Cools,0.3,41,0.1,3,-
Hendrik van Crombrugge,-,32.3,-,5.2,-
Vitinho,0.5,27.5,0.3,1.8,0.1
Mike Vanhamel,0.1,35.6,-,10.6,-
Pieter Gerkens,1,30.6,0.4,1.8,0.1
Carlos Cuesta,0.2,50.6,-,2.6,-
Marius Noubissi,0.5,15.6,0.1,0.3,-
Kevin Hoggas,1.3,37.9,0.3,3.3,0.1
Serge Leuko,0.6,25.6,0.4,1.8,-
Mousa Suleiman,0.6,19.4,-,0.8,-
Sandy Walsh,0.8,43,0.3,2.3,-
Leonardo Bertone,0.8,49.5,0.1,4.4,-
Ortwin De Wolf,-,23.4,-,4.5,-
Bassem Srarfi,1.1,18.4,0.9,0.8,0.1
Mathieu Maertens,0.6,23,0.2,2.1,-
Lucas Bijker,0.3,45.8,0.3,2.8,-
Daan Heymans,0.6,29.5,0.2,1.5,0.1
Cédric Kipré,-,43,-,2.2,-
Felipe Avenatti,0.7,10.5,-,-,-
Tomas Chory,0.5,14.2,-,0.1,-
Aleksandar Radovanovic,0.3,35.6,-,2.3,-
Amine Khammas,1.3,38.2,0.7,3.2,-
Toon Raemaekers,-,29.8,-,2.2,-
Andreas Hanche-Olsen,0.1,57.4,-,3.8,-
Marian Shved,0.8,14.6,0.4,0.2,-
Brecht Capon,0.5,32.4,0.5,1.9,-
Liberato Cacace,0.6,36.3,0.4,1.6,-
Hannes Van Der Bruggen,0.5,36.7,0.1,2.2,0.1
Senna Miangue,0.8,42.3,0.2,2.9,-
Daniel Vukovic,-,28.4,-,6.8,-
Danel Sinani,1.5,30.6,0.8,2.4,-
Saido Berahino,1.4,18.1,-,0.6,-
Birger Verstraete,0.5,29.7,0.5,3,-
Julien Ngoy,0.7,13,0.1,0.3,-
Alireza Safar Beiranvand,-,26,-,5.9,-
Kevin Vandendriessche,0.9,34.4,0.2,2,0.2
Robbe Quirynen,0.3,20.7,0.1,0.7,-
Francis Amuzu,1.3,16.6,0.8,0.3,-
Davy Roef,-,28.8,-,6.8,-
Petar Golubovic,0.5,38.9,0.6,3.7,-
Anton Tanghe,0.2,34.9,-,3.6,-
Franck Kanouté,0.2,31.5,-,4.3,0.1
David Hubert,0.3,38.6,-,2.5,0.1
Siebe Schrijvers,0.8,12.8,0.5,0.8,0.1
Siebe Schrijvers,0.8,26.8,0.3,1.4,0.2
Jackson Muleka,0.5,11.3,0.1,0.5,-
Jeremy Gelin,0.3,50.8,0.1,5.9,-
Thomas Didillon,-,31.4,-,7.9,-
Josh Cullen,1,40.2,0.9,2.9,0.1
Jorge Teixeira,0.3,46.7,-,4.8,-
Olivier Deman,0.6,18.1,-,1.2,-
Kristiyan Malinov,0.4,28.9,0.1,1.6,-
Tom Pietermaat,0.2,30.8,-,1.9,-
Wolke Janssens,0.6,31.7,0.1,2.1,-
Hervé Kouakou Koffi,0.1,34.8,-,10.3,-
Jonathan Heris,0.4,32,0.2,2.4,-
Maxime Lestienne,1.2,20.5,0.6,1.2,0.1
Menno Koch,0.1,27.1,-,1.7,-
Stipe Radic,-,39.9,-,3.4,-
Thibault Peyre,0.2,48,-,3.5,-
Anouar Ait El Hadj,0.9,35,0.4,2.1,-
Maximiliano Caufriez,0.6,36.4,0.2,3.9,-
Elisha Owusu,0.3,38.7,-,2.5,-
Derrick Luckassen,0.1,63.5,-,5.1,-
Serge Tabekou,1.1,16.8,0.4,0.2,-
Eric Ocansey,0.9,27.2,0.3,0.9,-
Marko Ilic,-,24.9,-,8,-
Dimitri Mohamed,0.3,29.6,0.3,1.6,-
Georges Mandjeck,0.1,36.4,0.1,1.6,-
Dries Wouters,0.5,28.3,0.1,1.5,0.1
Olivier Deschacht,0.2,39.8,-,3.1,-
Laurent Depoitre,1.1,14,0.1,0.2,-
Steeven Willems,0.1,41.7,-,3.4,-
Loic Ritiere,-,30,-,2,-
Jordan Lukaku,0.8,30.5,1,1,-
Emmanuel Dennis,1,19.9,0.3,0.4,-
Marco Ilaimaharitra,0.6,44.4,0.4,3.6,-
Gojko Cimirot,0.9,44.3,0.1,4.7,-
Jules van Cleemput,0.6,32.9,0.7,1.8,-
Obbi Oularé,0.4,12.3,-,0.3,-
Gustav Engvall,1.5,20.2,0.2,0.2,-
Michel Vlap,1.3,24.9,0.1,1.2,0.1
Thibault Vlietinck,0.8,27.9,0.6,0.8,-
Issa Kabore,0.8,23.7,1.1,1.2,-
Timon Wellenreuther,-,28.7,-,5.9,-
Miguel Vieira,0.2,38.8,-,3.8,-
Panos Armenakas,0.7,14.6,0.1,0.8,-
Christophe Lepoint,0.1,18.4,-,0.7,-
Ante Palaversa,0.3,32.7,-,1.6,-
Damjan Pavlovic,0.1,18.1,0.3,1.7,-
Andreas Wiegel,0.7,36.2,0.3,2.2,-
Nils Schouterden,0.8,32.6,0.4,1.9,-
Fabrice Olinga,0.6,15.6,0.3,0.5,-
Jean Butez,-,35.3,-,11.1,-
Matías Silvestre,0.3,29,-,1.8,-
Chris Durkin,0.6,35.8,0.1,2,-
Remy Descamps,-,27.6,-,8,-
